bill_id,document_id,document_type,document_size,document_mime,document_desc,url,state_link
1779323,2843477,text,65958,application/pdf,Introduced,https://legiscan.com/OK/text/HB1001/id/2843477,http://webserver1.lsb.state.ok.us/cf_pdf/2023-24%20INT/hB/HB1001XX%20INT.PDF
1779329,2843483,text,65968,application/pdf,Introduced,https://legiscan.com/OK/text/HB1002/id/2843483,http://webserver1.lsb.state.ok.us/cf_pdf/2023-24%20INT/hB/HB1002XX%20INT.PDF
1779321,2843475,text,65991,application/pdf,Introduced,https://legiscan.com/OK/text/HB1003/id/2843475,http://webserver1.lsb.state.ok.us/cf_pdf/2023-24%20INT/hB/HB1003XX%20INT.PDF
1779322,2843476,text,65987,application/pdf,Introduced,https://legiscan.com/OK/text/HB1004/id/2843476,http://webserver1.lsb.state.ok.us/cf_pdf/2023-24%20INT/hB/HB1004XX%20INT.PDF
1779324,2843478,text,65985,application/pdf,Introduced,https://legiscan.com/OK/text/HB1005/id/2843478,http://webserver1.lsb.state.ok.us/cf_pdf/2023-24%20INT/hB/HB1005XX%20INT.PDF
1779328,2843482,text,218755,application/pdf,Introduced,https://legiscan.com/OK/text/HB1006/id/2843482,http://webserver1.lsb.state.ok.us/cf_pdf/2023-24%20INT/hB/HB1006XX%20INT.PDF
1779326,2843480,text,84208,application/pdf,Introduced,https://legiscan.com/OK/text/HB1007/id/2843480,http://webserver1.lsb.state.ok.us/cf_pdf/2023-24%20INT/hB/HB1007XX%20INT.PDF
1779325,2843479,text,102228,application/pdf,Introduced,https://legiscan.com/OK/text/HB1008/id/2843479,http://webserver1.lsb.state.ok.us/cf_pdf/2023-24%20INT/hB/HB1008XX%20INT.PDF
1779421,2843596,text,102703,application/pdf,Introduced,https://legiscan.com/OK/text/HB1009/id/2843596,http://webserver1.lsb.state.ok.us/cf_pdf/2023-24%20INT/hB/HB1009XX%20INT.PDF
1779420,2843595,text,47192,application/pdf,Introduced,https://legiscan.com/OK/text/HB1010/id/2843595,http://webserver1.lsb.state.ok.us/cf_pdf/2023-24%20INT/hB/HB1010XX%20INT.PDF
1779426,2843601,text,51004,application/pdf,Introduced,https://legiscan.com/OK/text/HB1011/id/2843601,http://webserver1.lsb.state.ok.us/cf_pdf/2023-24%20INT/hB/HB1011XX%20INT.PDF
1779422,2843597,text,45851,application/pdf,Introduced,https://legiscan.com/OK/text/HB1012/id/2843597,http://webserver1.lsb.state.ok.us/cf_pdf/2023-24%20INT/hB/HB1012XX%20INT.PDF
1779424,2843599,text,59951,application/pdf,Introduced,https://legiscan.com/OK/text/HB1013/id/2843599,http://webserver1.lsb.state.ok.us/cf_pdf/2023-24%20INT/hB/HB1013XX%20INT.PDF
1779427,2843602,text,92208,application/pdf,Introduced,https://legiscan.com/OK/text/HB1014/id/2843602,http://webserver1.lsb.state.ok.us/cf_pdf/2023-24%20INT/hB/HB1014XX%20INT.PDF
1779423,2843598,text,77806,application/pdf,Introduced,https://legiscan.com/OK/text/HB1015/id/2843598,http://webserver1.lsb.state.ok.us/cf_pdf/2023-24%20INT/hB/HB1015XX%20INT.PDF
1779464,2843718,text,44524,application/pdf,Introduced,https://legiscan.com/OK/text/HB1016/id/2843718,http://webserver1.lsb.state.ok.us/cf_pdf/2023-24%20INT/hB/HB1016XX%20INT.PDF
1779444,2843703,text,44552,application/pdf,Introduced,https://legiscan.com/OK/text/HB1017/id/2843703,http://webserver1.lsb.state.ok.us/cf_pdf/2023-24%20INT/hB/HB1017XX%20INT.PDF
1779454,2843709,text,44519,application/pdf,Introduced,https://legiscan.com/OK/text/HB1018/id/2843709,http://webserver1.lsb.state.ok.us/cf_pdf/2023-24%20INT/hB/HB1018XX%20INT.PDF
1779327,2843481,text,78587,application/pdf,Introduced,https://legiscan.com/OK/text/HJR1001/id/2843481,http://webserver1.lsb.state.ok.us/cf_pdf/2023-24%20INT/hres/HJR1001XX%20INT.PDF
1779425,2843600,text,57420,application/pdf,Introduced,https://legiscan.com/OK/text/SCR1/id/2843600,http://webserver1.lsb.state.ok.us/cf_pdf/2023-24%20INT/SRES/SCR1XX%20INT.PDF
1779425,2843729,text,89419,application/pdf,Amended,https://legiscan.com/OK/text/SCR1/id/2843729,http://webserver1.lsb.state.ok.us/cf_pdf/2023-24%20FLR/HFLR/SCR1XX%20HFLR.PDF
1779425,2843730,text,58983,application/pdf,Engrossed,https://legiscan.com/OK/text/SCR1/id/2843730,http://webserver1.lsb.state.ok.us/cf_pdf/2023-24%20ENGR/SRES/SCR1XX%20ENGR.PDF
1779425,2843731,text,60140,application/pdf,Enrolled,https://legiscan.com/OK/text/SCR1/id/2843731,http://webserver1.lsb.state.ok.us/cf_pdf/2023-24%20ENR/SRES/SCR1XX%20ENR.PDF
