bill_id,date,chamber,sequence,action
1779321,2023-10-03,House,1,"First Reading"
1779321,2023-10-03,House,2,"Authored by Representative McCall"
1779321,2023-10-04,House,3,"Second Reading referred to Appropriations and Budget"
1779322,2023-10-03,House,1,"First Reading"
1779322,2023-10-03,House,2,"Authored by Representative McCall"
1779322,2023-10-04,House,3,"Second Reading referred to Appropriations and Budget"
1779323,2023-10-03,House,1,"First Reading"
1779323,2023-10-03,House,2,"Authored by Representative McCall"
1779323,2023-10-04,House,3,"Second Reading referred to Appropriations and Budget"
1779324,2023-10-03,House,1,"First Reading"
1779324,2023-10-03,House,2,"Authored by Representative McCall"
1779324,2023-10-04,House,3,"Second Reading referred to Appropriations and Budget"
1779325,2023-10-03,House,1,"First Reading"
1779325,2023-10-03,House,2,"Authored by Representative Steagall"
1779325,2023-10-04,House,3,"Second Reading referred to Appropriations and Budget"
1779326,2023-10-03,House,1,"First Reading"
1779326,2023-10-03,House,2,"Authored by Representative Wolfley"
1779326,2023-10-04,House,3,"Second Reading referred to Appropriations and Budget"
1779327,2023-10-03,House,1,"First Reading"
1779327,2023-10-03,House,2,"Authored by Representative Gann"
1779327,2023-10-04,House,3,"Second Reading referred to Appropriations and Budget"
1779328,2023-10-03,House,1,"First Reading"
1779328,2023-10-03,House,2,"Authored by Representative Wolfley"
1779328,2023-10-04,House,3,"Second Reading referred to Appropriations and Budget"
1779329,2023-10-03,House,1,"First Reading"
1779329,2023-10-03,House,2,"Authored by Representative McCall"
1779329,2023-10-04,House,3,"Second Reading referred to Appropriations and Budget"
1779420,2023-10-03,House,1,"First Reading"
1779420,2023-10-03,House,2,"Authored by Representative Munson"
1779420,2023-10-04,House,3,"Second Reading referred to Appropriations and Budget"
1779421,2023-10-03,House,1,"First Reading"
1779421,2023-10-03,House,2,"Authored by Representative Provenzano"
1779421,2023-10-04,House,3,"Second Reading referred to Appropriations and Budget"
1779422,2023-10-03,House,1,"First Reading"
1779422,2023-10-03,House,2,"Authored by Representative ODonnell"
1779422,2023-10-04,House,3,"Second Reading referred to Appropriations and Budget"
1779423,2023-10-03,House,1,"First Reading"
1779423,2023-10-03,House,2,"Authored by Representative Humphrey"
1779423,2023-10-04,House,3,"Second Reading referred to Appropriations and Budget"
1779424,2023-10-03,House,1,"First Reading"
1779424,2023-10-03,House,2,"Authored by Representative Fugate"
1779424,2023-10-04,House,3,"Second Reading referred to Appropriations and Budget"
1779425,2023-10-03,Senate,1,"First Reading"
1779425,2023-10-03,Senate,2,"Authored by Senator McCortney"
1779425,2023-10-03,Senate,3,"Coauthored by Representative Echols (principal House author)"
1779425,2023-10-03,Senate,4,"Direct to Calendar"
1779425,2023-10-03,Senate,5,"Adopted, referred for engrossment"
1779425,2023-10-03,Senate,6,"Engrossed to House"
1779425,2023-10-03,House,7,Introduced
1779425,2023-10-03,House,8,Considered
1779425,2023-10-03,House,9,"Adopted, returned to Senate"
1779425,2023-10-03,Senate,10,"Referred for enrollment"
1779425,2023-10-03,Senate,11,"Enrolled, to House"
1779425,2023-10-03,House,12,"Signed, returned to Senate"
1779425,2023-10-03,Senate,13,"Filed with Secretary of State"
1779426,2023-10-03,House,1,"First Reading"
1779426,2023-10-03,House,2,"Authored by Representative ODonnell"
1779426,2023-10-04,House,3,"Second Reading referred to Appropriations and Budget"
1779427,2023-10-03,House,1,"First Reading"
1779427,2023-10-03,House,2,"Authored by Representative Fugate"
1779427,2023-10-04,House,3,"Second Reading referred to Appropriations and Budget"
1779444,2023-10-03,House,1,"First Reading"
1779444,2023-10-03,House,2,"Authored by Representative Lepak"
1779444,2023-10-04,House,3,"Second Reading referred to Appropriations and Budget"
1779454,2023-10-03,House,1,"First Reading"
1779454,2023-10-03,House,2,"Authored by Representative Lepak"
1779454,2023-10-04,House,3,"Second Reading referred to Appropriations and Budget"
1779464,2023-10-03,House,1,"First Reading"
1779464,2023-10-03,House,2,"Authored by Representative Lepak"
1779464,2023-10-04,House,3,"Second Reading referred to Appropriations and Budget"
