people_id,name,first_name,middle_name,last_name,suffix,nickname,party_id,party,role_id,role,district,followthemoney_eid,votesmart_id,opensecrets_id,ballotpedia,knowwho_pid,committee_id
15268,"Charles McCall",Charles,A.,McCall,,,2,R,1,Rep,HD-022,11029712,138888,,Charles_McCall,410985,0
15285,"Jon Echols",Jon,,Echols,,,2,R,1,Rep,HD-090,6676570,106686,,Jon_Echols,411282,0
15740,"Terry O'Donnell",Terry,,O'Donnell,,,2,R,1,Rep,HD-023,8963616,138893,,Terry_O%27Donnell_(Oklahoma),410992,0
17462,"Mark Lepak",Mark,Paul,Lepak,,,2,R,1,Rep,HD-009,11998499,152320,,Mark_Lepak,495477,0
17840,"Cyndi Munson",Cyndi,,Munson,,,1,D,1,Rep,HD-085,23442381,152403,,Cyndi_Munson,495570,0
18905,"Greg McCortney",Greg,,McCortney,,,2,R,2,Sen,SD-013,39828115,170560,,Greg_McCortney,579419,0
18986,"Forrest Bennett",Forrest,,Bennett,,,1,D,1,Rep,HD-092,39828070,170964,,Forrest_Bennett,579591,0
18987,"Tom Gann",Tom,,Gann,,,2,R,1,Rep,HD-008,39827902,12373,,Tom_Gann,579473,0
18990,"Rick West",Rick,,West,,,2,R,1,Rep,HD-003,31963377,170718,,Rick_West_(Oklahoma),579466,0
19011,"Mickey Dollens",Mickey,,Dollens,,,1,D,1,Rep,HD-093,39828073,170970,,Mickey_Dollens,579594,0
19013,"Justin Humphrey",Justin,Jj,Humphrey,,,2,R,1,Rep,HD-019,39827925,170772,,Justin_Humphrey,579495,0
19217,"Monroe Nichols",Monroe,,Nichols,,,1,D,1,Rep,HD-072,6491914,106658,,Monroe_Nichols,579569,0
19492,"Jacob Rosecrants",Jacob,,Rosecrants,,,1,D,1,Rep,HD-046,39827977,170839,,Jacob_Rosecrants,579514,0
20831,"Andy Fugate",Andy,,Fugate,,,1,D,1,Rep,HD-094,45035076,182072,,Andy_Fugate,664036,0
20835,"John Waldron",John,,Waldron,,,1,D,1,Rep,HD-077,39828156,170655,,John_Waldron,579458,0
20877,"Melissa Provenzano",Melissa,,Provenzano,,,1,D,1,Rep,HD-079,45035034,182035,,Melissa_Provenzano,663971,0
20878,"Trish Ranson",Trish,,Ranson,,,1,D,1,Rep,HD-034,45034920,181928,,Trish_Ranson,663782,0
20895,"Jay Steagall",Jay,W.,Steagall,,,2,R,1,Rep,HD-043,45034950,181957,,Jay_Steagall,663827,0
22574,"Mauree Turner",Mauree,,Turner,,,1,D,1,Rep,HD-088,49636486,192155,,Mauree_Turner,738335,0
22578,"Max Wolfley",Max,,Wolfley,,,2,R,1,Rep,HD-095,6477321,67499,,Max_Wolfley,495606,0
23722,"Arturo Alonso-Sandoval",Arturo,,Alonso-Sandoval,,,1,D,1,Rep,HD-089,55466484,206421,,Arturo_Alonso,808027,0
23731,"Jared Deck",Jared,,Deck,,,1,D,1,Rep,HD-044,48111459,106625,,Jared_Deck,0,0
23733,"Ellyn Hefner",Ellyn,,Hefner,,,1,D,1,Rep,HD-087,55466481,206417,,Ellyn_Hefner,0,0
23734,"Annie Menz",Annie,,Menz,,,1,D,1,Rep,HD-045,54871343,206384,,Annie_Menz,0,0
23735,"Suzanne Schreiber",Suzanne,E.,Schreiber,,,1,D,1,Rep,HD-070,38292550,206407,,Suzanne_Schreiber,0,0
23737,"Amanda Swope",Amanda,,Swope,,,1,D,1,Rep,HD-071,49844529,206408,,Amanda_Swope,0,0
