bill_id,people_id,position
1779321,15268,1
1779321,17462,2
1779322,15268,1
1779322,17462,2
1779323,15268,1
1779323,17462,2
1779324,15268,1
1779324,17462,2
1779325,20895,1
1779326,22578,1
1779327,18987,1
1779327,18990,2
1779328,22578,1
1779329,15268,1
1779329,17462,2
1779420,17840,1
1779420,18986,3
1779420,19011,12
1779420,19217,13
1779420,19492,10
1779420,20835,9
1779420,20877,5
1779420,20878,2
1779420,22574,11
1779420,23731,8
1779420,23733,6
1779420,23734,7
1779420,23735,4
1779421,17840,5
1779421,18986,3
1779421,19011,11
1779421,19217,12
1779421,19492,9
1779421,20835,8
1779421,20877,1
1779421,20878,2
1779421,22574,10
1779421,23731,7
1779421,23733,4
1779421,23734,6
1779422,15740,1
1779423,19013,1
1779424,17840,7
1779424,18986,2
1779424,19011,15
1779424,19217,16
1779424,19492,13
1779424,20831,1
1779424,20835,12
1779424,20877,3
1779424,20878,6
1779424,22574,14
1779424,23722,9
1779424,23731,11
1779424,23733,5
1779424,23734,10
1779424,23735,4
1779424,23737,8
1779425,15285,2
1779425,18905,1
1779426,15740,1
1779427,19011,3
1779427,20831,1
1779427,20835,2
1779444,17462,1
1779454,17462,1
1779464,17462,1
