bill_id,date,chamber,sequence,action
1884535,2024-07-15,Senate,1,"First Reading"
1884535,2024-07-15,Senate,2,"Authored by Senator Treat"
1884535,2024-07-15,Senate,3,"Direct to Calendar"
1884535,2024-07-15,Senate,4,Considered
1884535,2024-07-15,Senate,5,"Coauthored by Senator Howard"
1884535,2024-07-15,Senate,6,"Coauthored by Senator Stephens"
1884535,2024-07-15,Senate,7,"Coauthored by Senator Stanley"
1884535,2024-07-15,Senate,8,"Coauthored by Senator Gollihare"
1884535,2024-07-15,Senate,9,"Coauthored by Senator Pederson"
1884535,2024-07-15,Senate,10,"Coauthored by Senator Jech"
1884535,2024-07-15,Senate,11,"Coauthored by Senator Rosino"
1884535,2024-07-15,Senate,12,"Coauthored by Senator Rader"
1884535,2024-07-15,Senate,13,"Coauthored by Senator Haste"
1884535,2024-07-15,Senate,14,"Coauthored by Senator McCortney"
1884535,2024-07-15,Senate,15,"Coauthored by Senator Coleman"
1884535,2024-07-15,Senate,16,"Coauthored by Senator Pugh"
1884535,2024-07-15,Senate,17,"Coauthored by Senator Garvin"
1884535,2024-07-15,Senate,18,"Coauthored by Senator Burns"
1884535,2024-07-15,Senate,19,"Coauthored by Senator Daniels"
1884535,2024-07-15,Senate,20,"Coauthored by Senator Alvord"
1884535,2024-07-15,Senate,21,"Coauthored by Senator Green"
1884535,2024-07-15,Senate,22,"Coauthored by Senator Woods"
1884535,2024-07-15,Senate,23,"Coauthored by Senator Pemberton"
1884535,2024-07-15,Senate,24,"Coauthored by Senator Murdock"
1884535,2024-07-15,Senate,25,"Coauthored by Senator Weaver"
1884535,2024-07-15,Senate,26,"Adopted, referred for enrollment: Ayes: 39 Nays: 0"
1884535,2024-07-15,Senate,27,"Enrolled, filed with Secretary of State"
1884535,2024-07-15,Senate,28,"Coauthored by Senator Hall"
1884535,2024-07-15,Senate,29,"Coauthored by Senator Deevers"
1884535,2024-07-16,Senate,30,"Coauthored by Senator Hamilton"
