bill_id,date,chamber,sequence,action
1776050,2024-02-05,House,1,"First Reading"
1776050,2024-02-05,House,2,"Authored by Representative Bashore"
1776050,2024-02-06,House,3,"Second Reading referred to Judiciary - Civil"
1776050,2024-02-12,House,4,"CR; Do Pass Judiciary - Civil Committee"
1776050,2024-02-12,House,5,"Coauthored by Representative(s) West (Josh), Moore"
1776050,2024-02-12,House,6,"Authored by Senator Rosino (principal Senate author)"
1776050,2024-02-21,House,7,"General Order"
1776050,2024-02-21,House,8,"Coauthored by Representative(s) Fetgatter, Sims, George, Hays"
1776050,2024-02-21,House,9,"Third Reading, Measure passed: Ayes: 85 Nays: 13"
1776050,2024-02-21,House,10,"Referred for engrossment"
1776050,2024-02-22,House,11,"Engrossed, signed, to Senate"
1776050,2024-02-22,Senate,12,"First Reading"
1776050,2024-03-19,Senate,13,"Second Reading referred to Judiciary"
1776050,2024-03-26,Senate,14,"Reported Do Pass Judiciary committee; CR filed"
1776050,2024-03-26,Senate,15,"Coauthored by Senator Stephens"
1780235,2024-02-05,Senate,1,"First Reading"
1780235,2024-02-05,Senate,2,"Authored by Senator Bergstrom"
1780235,2024-02-06,Senate,3,"Second Reading referred to Rules"
1780235,2024-02-12,Senate,4,"Coauthored by Representative McCall (principal House author)"
1780235,2024-04-22,Senate,5,"Coauthored by Representative Gann"
1780235,2024-05-20,Senate,6,"Coauthored by Senator Jett"
1780235,2024-05-29,Senate,7,"Coauthored by Senator Standridge"
1780235,2024-05-29,Senate,8,"Coauthored by Senator Hamilton, Stewart, Burns, Dahm, Newhouse, Stephens, Bullard, Weaver, Murdock, Pederson, Gollihare, Haste, Garvin, Alvord, Prieto, Pemberton, Green, Deevers, Coleman, Thompson (Kristen), Seifried, Rosino, Dugger, Kidd, Stanley, Jech, Rader, Thompson (Roger), Hall, Pugh"
1780235,2024-05-29,Senate,9,"Coauthored by Representative Steagall"
1780235,2024-05-29,Senate,10,"Coauthored by Representative May"
1780235,2024-05-29,Senate,11,"Coauthored by Representative Wallace"
1780235,2024-05-29,Senate,12,"Coauthored by Representative Dobrinski"
1780235,2024-05-29,Senate,13,"Coauthored by Representative West (Rick)"
1780235,2024-05-29,Senate,14,"Coauthored by Representative Conley"
1780235,2024-05-29,Senate,15,"Coauthored by Representative Davis"
1780235,2024-05-29,Senate,16,"Coauthored by Representative Echols"
1780235,2024-05-29,Senate,17,"Coauthored by Representative Grego"
1780235,2024-05-29,Senate,18,"Coauthored by Representative Sims"
1780235,2024-05-29,Senate,19,"Coauthored by Representative Caldwell (Chad)"
1780235,2024-05-29,Senate,20,"Coauthored by Representative Banning"
