people_id,name,first_name,middle_name,last_name,suffix,nickname,party_id,party,role_id,role,district,followthemoney_eid,votesmart_id,opensecrets_id,ballotpedia,knowwho_pid,committee_id
3681,"Shane Jett",Shane,David,Jett,,,2,R,1,Rep,SD-017,6583598,46260,,Shane_Jett,226662,0
3693,"Ken Luttrell",Ken,,Luttrell,,,2,R,1,Rep,HD-037,6477200,67527,,Ken_Luttrell,249091,0
12151,"Greg Treat",Greg,,Treat,,,2,R,2,Sen,SD-047,6699346,128503,,Greg_Treat,229899,0
14088,"Nathan Dahm",Nathan,,Dahm,,,2,R,2,Sen,SD-033,11029992,106666,,Nathan_Dahm,284965,0
15062,"Rob Standridge",Rob,,Standridge,,,2,R,2,Sen,SD-015,8660820,138847,,Rob_Standridge,411160,0
15165,"Kay Floyd",Kay,,Floyd,,,1,D,1,Rep,SD-046,8678662,138964,,Kay_Floyd,411277,0
15263,"Mark McBride",Mark,,McBride,,,2,R,1,Rep,HD-053,18915294,138929,,Mark_McBride_(Oklahoma),411095,0
15268,"Charles McCall",Charles,A.,McCall,,,2,R,1,Rep,HD-022,11029712,138888,,Charles_McCall,410985,0
15285,"Jon Echols",Jon,,Echols,,,2,R,1,Rep,HD-090,6676570,106686,,Jon_Echols,411282,0
15288,"Kevin Matthews",Kevin,L.,Matthews,,,1,D,1,Rep,SD-011,6491898,106660,,Kevin_Matthews,295234,0
15740,"Terry O'Donnell",Terry,,O'Donnell,,,2,R,1,Rep,HD-023,8963616,138893,,Terry_O%27Donnell_(Oklahoma),410992,0
17176,"Chris Kannady",Chris,,Kannady,,,2,R,1,Rep,HD-091,13005035,46284,,Chris_Kannady,495596,0
17263,"John Montgomery",John,Michael,Montgomery,,,2,R,2,Sen,SD-032,23442485,152379,,John_Montgomery_(Oklahoma),495535,0
17276,"Chad Caldwell",Chad,,Caldwell,,,2,R,1,Rep,HD-040,8608010,152349,,Chad_Caldwell,495512,0
17281,"Casey Murdock",William,Casey,Murdock,,Casey,2,R,1,Rep,SD-027,23442481,152372,,Casey_Murdock,495530,0
17282,"John Pfeiffer",John,,Pfeiffer,,,2,R,1,Rep,HD-038,23442467,152344,,John_Pfeiffer,495504,0
17284,"Kevin Wallace",Kevin,,Wallace,,,2,R,1,Rep,HD-032,15676223,152339,,Kevin_Wallace,495495,0
17318,"Darcy Jech",Darcy,A.,Jech,,,2,R,2,Sen,SD-026,23442518,152298,,Darcy_Jech,495416,0
17328,"George Young",George,E.,Young,,,1,D,1,Rep,SD-048,23442395,152429,,George_Young_(Oklahoma),495619,0
17462,"Mark Lepak",Mark,Paul,Lepak,,,2,R,1,Rep,HD-009,11998499,152320,,Mark_Lepak,495477,0
17586,"Roger Thompson",Roger,,Thompson,,,2,R,2,Sen,SD-008,23442513,152287,,Roger_Thompson,495396,0
17823,"Regina Goodwin",Regina,,Goodwin,,,1,D,1,Rep,HD-073,8888006,156149,,Regina_Goodwin,545811,0
17840,"Cyndi Munson",Cyndi,,Munson,,,1,D,1,Rep,HD-085,23442381,152403,,Cyndi_Munson,495570,0
18901,"Micheal Bergstrom",Micheal,,Bergstrom,,,2,R,2,Sen,SD-001,39828100,170518,,Micheal_Bergstrom,579855,0
18902,"Julie Daniels",Julie,J.,Daniels,,,2,R,2,Sen,SD-029,14963531,76819,,Julie_Daniels,579427,0
18904,"Chris Kidd",Chris,,Kidd,,,2,R,2,Sen,SD-031,16670394,170623,,Chris_Kidd,579454,0
18905,"Greg McCortney",Greg,,McCortney,,,2,R,2,Sen,SD-013,39828115,170560,,Greg_McCortney,579419,0
18906,"Joe Newhouse",Joe,,Newhouse,,,2,R,2,Sen,SD-025,26754618,170603,,Joe_Newhouse,468287,0
18907,"Dewayne Pemberton",Dewayne,,Pemberton,,,2,R,2,Sen,SD-009,26752032,170543,,Dewayne_Pemberton,579612,0
18908,"Adam Pugh",Adam,,Pugh,,,2,R,2,Sen,SD-041,39828160,152400,,Adam_Pugh,495562,0
18909,"Dave Rader",Dave,,Rader,,,2,R,2,Sen,SD-039,39828158,170660,,Dave_Rader,579459,0
18911,"Rande Worthen",Rande,,Worthen,,,2,R,1,Rep,HD-064,39828006,170883,,Rande_Worthen,579549,0
18912,"Tom Dugger",Tom,J.,Dugger,,,2,R,2,Sen,SD-021,9123789,77287,,Tom_J._Dugger,579420,0
18948,"Roland Pederson",Roland,,Pederson,,,2,R,2,Sen,SD-019,26753112,170581,,Roland_Pederson,579676,0
18951,"Ryan Martinez",Ryan,,Martinez,,,2,R,1,Rep,HD-039,39827961,170823,,Ryan_Martinez_(Oklahoma),530482,0
18986,"Forrest Bennett",Forrest,,Bennett,,,1,D,1,Rep,HD-092,39828070,170964,,Forrest_Bennett,579591,0
18987,"Tom Gann",Tom,,Gann,,,2,R,1,Rep,HD-008,39827902,12373,,Tom_Gann,579473,0
18988,"Josh West",Josh,,West,,,2,R,1,Rep,HD-005,39827898,170737,,Josh_West_(Oklahoma),579872,0
18989,"Kevin West",Kevin,,West,,,2,R,1,Rep,HD-054,39827988,170854,,Kevin_West,579387,0
18990,"Rick West",Rick,,West,,,2,R,1,Rep,HD-003,31963377,170718,,Rick_West_(Oklahoma),579466,0
18991,"Tammy West",Tammy,,West,,,2,R,1,Rep,HD-084,39828047,170941,,Tammy_West,579399,0
19005,"Rhonda Baker",Rhonda,,Baker,,,2,R,1,Rep,HD-060,39827998,170869,,Rhonda_Baker,579898,0
19006,"Dell Kerbs",Dell,,Kerbs,,,2,R,1,Rep,HD-026,39827935,170780,,Dell_Kerbs,579882,0
19007,"Mike Osburn",Mike,,Osburn,,,2,R,1,Rep,HD-081,6571057,55504,,Mike_Osburn,579908,0
19011,"Mickey Dollens",Mickey,,Dollens,,,1,D,1,Rep,HD-093,39828073,170970,,Mickey_Dollens,579594,0
19013,"Justin Humphrey",Justin,Jj,Humphrey,,,2,R,1,Rep,HD-019,39827925,170772,,Justin_Humphrey,579495,0
19014,"Lonnie Paxton",Lonnie,,Paxton,,,2,R,2,Sen,SD-023,39828132,12383,,Lonnie_Paxton,579451,0
19028,"Kyle Hilbert",Kyle,,Hilbert,,,2,R,1,Rep,HD-029,39827947,170797,,Kyle_Hilbert,579501,0
19041,"Meloyde Blancett",Meloyde,,Blancett,,,1,D,1,Rep,HD-078,8619757,170914,,Meloyde_Blancett,579574,0
19042,"Carl Newton",Carl,,Newton,,,2,R,1,Rep,HD-058,26756755,170860,,Carl_Newton,579530,0
19043,"Scott Fetgatter",Scott,,Fetgatter,,,2,R,1,Rep,HD-016,39827919,170762,,Scott_Fetgatter,579492,0
19045,"Jason Lowe",Jason,,Lowe,,,1,D,1,Rep,HD-097,39828086,170983,,Jason_Lowe,579600,0
19046,"Kevin McDugle",Kevin,,McDugle,,,2,R,1,Rep,HD-012,11029997,138862,,Kevin_McDugle,411315,0
19049,"Marcus McEntire",Marcus,,McEntire,,,2,R,1,Rep,HD-050,39827980,170847,,Marcus_McEntire,579705,0
19217,"Monroe Nichols",Monroe,,Nichols,,,1,D,1,Rep,HD-072,6491914,106658,,Monroe_Nichols,579569,0
19243,"Mark Lawson",Mark,,Lawson,,,2,R,1,Rep,HD-030,39827948,139647,,Mark_Lawson_(Oklahoma),579384,0
19437,"Paul Rosino",Paul,,Rosino,,,2,R,2,Sen,SD-045,18178532,176478,,Paul_Rosino,645880,0
19492,"Jacob Rosecrants",Jacob,,Rosecrants,,,1,D,1,Rep,HD-046,39827977,170839,,Jacob_Rosecrants,579514,0
19493,"Ross Ford",Ross,,Ford,,,2,R,1,Rep,HD-076,43788785,176486,,Ross_Ford_(Oklahoma),645459,0
19617,"Brad Boles",Brad,,Boles,,,2,R,1,Rep,HD-051,19766263,176933,,Brad_Boles,658805,0
19636,"Michael Brooks",Michael,,Brooks,,,1,D,2,Sen,SD-044,23442408,152311,,Michael_Brooks_(Oklahoma),631976,0
19705,"David Bullard",David,,Bullard,,,2,R,2,Sen,SD-006,45034779,181806,,David_Bullard,663400,0
19924,"Jim Olsen",Jim,,Olsen,,,2,R,1,Rep,HD-002,45034831,181851,,Jim_Olsen,663631,0
19945,"Lonnie Sims",Lonnie,,Sims,,,2,R,1,Rep,HD-068,43994112,182007,,Lonnie_Sims,663924,0
19961,"Brent Howard",Brent,,Howard,,,2,R,2,Sen,SD-038,45034822,181843,,Brent_Howard,663462,0
19964,"Darrell Weaver",Darrell,,Weaver,,,2,R,2,Sen,SD-024,45034800,181822,,Darrell_Weaver,663428,0
19965,"Julia Kirt",Julia,,Kirt,,,1,D,2,Sen,SD-030,45034805,181826,,Julia_Kirt,663441,0
20007,"Bill Coleman",Bill,,Coleman,,,2,R,2,Sen,SD-010,15755175,181809,,Bill_Coleman_(Oklahoma),663409,0
20038,"Mary Boren",Mary,B.,Boren,,,1,D,2,Sen,SD-016,45034789,181814,,Mary_Boren,663417,0
20170,"Nicole Miller",Nicole,,Miller,,,2,R,1,Rep,HD-082,44213422,182051,,Nicole_Miller_(Oklahoma),663995,0
20564,"Ty Burns",Ty,,Burns,,,2,R,1,Rep,HD-035,45034923,181931,,Ty_Burns,663785,0
20612,"Danny Sterling",Danny,,Sterling,,,2,R,1,Rep,HD-027,8955942,181911,,Danny_Sterling,663752,0
20691,"Ronny Johns",Ronny,,Johns,,,2,R,1,Rep,HD-025,45034890,181902,,Ronny_Johns,663739,0
20692,"Daniel Pae",Daniel,,Pae,,,2,R,1,Rep,HD-062,45034988,181991,,Daniel_Pae,663893,0
20740,"Brian Hill",Brian,,Hill,,,2,R,1,Rep,HD-047,45034963,170957,,Brian_Hill_(Oklahoma),579916,0
20741,"Robert Manger",Robert,,Manger,,,2,R,1,Rep,HD-101,45035108,182103,,Robert_Manger,664098,0
20756,"Sherrie Conley",Sherrie,,Conley,,,2,R,1,Rep,HD-020,45034874,181891,,Sherrie_Conley,663700,0
20757,"Jim Grego",Jim,,Grego,,,2,R,1,Rep,HD-017,31963401,181882,,Jim_Grego,663688,0
20758,"Tammy Townley",Tammy,,Townley,,,2,R,1,Rep,HD-048,45034966,181972,,Tammy_Townley,663847,0
20811,"Toni Hasenbeck",Toni,,Hasenbeck,,,2,R,1,Rep,HD-065,23442378,152384,,Toni_Hasenbeck,495540,0
20812,"John Haste",John,,Haste,,,2,R,2,Sen,SD-036,17849260,181838,,John_Haste,663457,0
20813,"Carri Hicks",Carri,,Hicks,,,1,D,2,Sen,SD-040,45034823,181844,,Carri_Hicks,663468,0
20814,"David Smith",David,,Smith,,,2,R,1,Rep,HD-018,45034867,181885,,David_Smith_(Oklahoma),663692,0
20829,"Denise Hader",Denise,,"Crosswhite Hader",,,2,R,1,Rep,HD-041,19765514,181946,,Denise_Hader,663806,0
20831,"Andy Fugate",Andy,,Fugate,,,1,D,1,Rep,HD-094,45035076,182072,,Andy_Fugate,664036,0
20832,"David Hardin",David,,Hardin,,,2,R,1,Rep,HD-086,45035069,182066,,David_Hardin,664016,0
20833,"Marilyn Stark",Marilyn,,Stark,,,2,R,1,Rep,HD-100,45035102,182097,,Marilyn_Stark,664088,0
