bill_id,date,chamber,sequence,action
1829452,2024-01-29,Senate,1,"First Reading"
1829452,2024-01-29,Senate,2,"Authored by Senator Bergstrom"
1829728,2024-01-29,House,1,"First Reading"
1829728,2024-01-29,House,2,"Authored by Representative Lepak"
1829728,2024-01-30,House,3,"Second Reading, direct to Calendar"
1829780,2024-01-29,House,1,"First Reading"
1829780,2024-01-29,House,2,"Authored by Representative McCall"
1829780,2024-01-30,House,3,"Second Reading, direct to Calendar"
1829780,2024-01-31,House,4,"General Order"
1829780,2024-01-31,House,5,"Third Reading, Measure passed: Ayes: 71 Nays: 20"
1829780,2024-01-31,House,6,"Referred for engrossment"
1829780,2024-01-31,House,7,"Engrossed, signed, to Senate"
1830632,2024-01-29,House,1,"First Reading"
1830632,2024-01-29,House,2,"Authored by Representative Steagall"
1830632,2024-01-30,House,3,"Second Reading, direct to Calendar"
