roll_call_id,people_id,vote,vote_desc
1372434,3693,1,Yea
1372434,15263,1,Yea
1372434,15268,1,Yea
1372434,15285,1,Yea
1372434,15740,1,Yea
1372434,17176,1,Yea
1372434,17276,1,Yea
1372434,17282,1,Yea
1372434,17284,1,Yea
1372434,17462,1,Yea
1372434,17823,2,Nay
1372434,17840,2,Nay
1372434,18911,1,Yea
1372434,18986,2,Nay
1372434,18987,1,Yea
1372434,18988,1,Yea
1372434,18989,1,Yea
1372434,18990,1,Yea
1372434,18991,1,Yea
1372434,19005,1,Yea
1372434,19006,1,Yea
1372434,19007,1,Yea
1372434,19011,2,Nay
1372434,19013,1,Yea
1372434,19028,1,Yea
1372434,19041,2,Nay
1372434,19042,1,Yea
1372434,19043,1,Yea
1372434,19045,2,Nay
1372434,19046,4,Absent
1372434,19049,4,Absent
1372434,19217,2,Nay
1372434,19243,4,Absent
1372434,19492,2,Nay
1372434,19493,1,Yea
1372434,19617,1,Yea
1372434,19924,1,Yea
1372434,19945,1,Yea
1372434,20170,1,Yea
1372434,20564,1,Yea
1372434,20612,1,Yea
1372434,20691,4,Absent
1372434,20692,1,Yea
1372434,20740,1,Yea
1372434,20741,1,Yea
1372434,20756,4,Absent
1372434,20757,1,Yea
1372434,20758,1,Yea
1372434,20811,1,Yea
1372434,20814,4,Absent
1372434,20829,1,Yea
1372434,20831,2,Nay
1372434,20832,1,Yea
1372434,20833,1,Yea
1372434,20834,1,Yea
1372434,20835,2,Nay
1372434,20873,1,Yea
1372434,20877,2,Nay
1372434,20878,2,Nay
1372434,20879,1,Yea
1372434,20880,1,Yea
1372434,20881,1,Yea
1372434,20886,1,Yea
1372434,20887,1,Yea
1372434,20888,1,Yea
1372434,20889,1,Yea
1372434,20890,1,Yea
1372434,20891,1,Yea
1372434,20892,1,Yea
1372434,20893,1,Yea
1372434,20895,1,Yea
1372434,21326,2,Nay
1372434,22506,4,Absent
1372434,22515,1,Yea
1372434,22548,1,Yea
1372434,22549,1,Yea
1372434,22558,1,Yea
1372434,22574,2,Nay
1372434,22576,1,Yea
1372434,22577,1,Yea
1372434,22578,1,Yea
1372434,22633,1,Yea
1372434,22765,1,Yea
1372434,22855,1,Yea
1372434,23722,2,Nay
1372434,23723,4,Absent
1372434,23724,1,Yea
1372434,23725,1,Yea
1372434,23726,1,Yea
1372434,23727,1,Yea
1372434,23728,1,Yea
1372434,23729,1,Yea
1372434,23730,4,Absent
1372434,23731,2,Nay
1372434,23732,1,Yea
1372434,23733,2,Nay
1372434,23734,2,Nay
1372434,23735,2,Nay
1372434,23736,1,Yea
1372434,23737,2,Nay
