Date,State,Bill No,Title,Action
"May 30, 2024",OK,HB 1792,Establishes the Oklahoma Crime Reclassification Act of 2023,"Concurrence Vote Passed
                           - Senate
                      

                      
                          (40 - 6)"
"May 30, 2024",OK,SB 1424,Exempts Poultry Producers from Civil Suits if They are Following State Approved Waste Disposal Plans,"Concurrence Vote Passed
                           - House
                      

                      
                          (69 - 27)"
"May 30, 2024",OK,HB 1734,Requrires Owneres of Medical Marijuana Dispenseries to Pass a Background Check,"Concurrence Vote Passed
                           - House
                      

                      
                          (82 - 4)"
"May 30, 2024",OK,SB 426,Prohibits Enforcement of Policies Required or Recommended by the World Health Organization,"Conference Report Adopted
                           - House
                      

                      
                          (74 - 19)"
"May 30, 2024",OK,SB 1155,Establishes the Oklahoma Museum of Popular Culture Supplemental Revolving Fund,"Bill Passed
                           - House
                      

                      
                          (68 - 24)"
"May 30, 2024",OK,HB 2914,Establishes the Oklahoma Sheriff's Office Funding Assistance Grant Program Act of 2024,"Bill Passed
                           - Senate
                      

                      
                          (45 - 1)"
"May 30, 2024",OK,SB 1193,Establishes the Workforce Development Revolving Fund for the Oklahoma State Regents for Higher Education,"Bill Passed
                           - House
                      

                      
                          (85 - 9)"
"May 30, 2024",OK,SB 1125,Appropriates Funding for Fiscal Year 2024-2025 State Budget,"Bill Passed
                           - House
                      

                      
                          (80 - 17)"
"May 30, 2024",OK,SB 362,Amends State Reading Requirements,"Bill Passed
                           - House
                      

                      
                          (85 - 5)"
"May 29, 2024",OK,SB 473,Establishes Judicial Offices in Tulsa and Oklahoma City for Business Courts,"Concurrence Vote Passed
                           - House
                      

                      
                          (79 - 8)"
"May 29, 2024",OK,SB 1424,Exempts Poultry Producers from Civil Suits if They are Following State Approved Waste Disposal Plans,"Concurrence Vote Passed
                           - Senate
                      

                      
                          (31 - 13)"
"May 29, 2024",OK,SB 473,Establishes Judicial Offices in Tulsa and Oklahoma City for Business Courts,"Concurrence Vote Passed
                           - Senate
                      

                      
                          (37 - 6)"
"May 29, 2024",OK,HB 1792,Establishes the Oklahoma Crime Reclassification Act of 2023,"Concurrence Vote Passed
                           - House
                      

                      
                          (67 - 26)"
"May 29, 2024",OK,SB 426,Prohibits Enforcement of Policies Required or Recommended by the World Health Organization,"Bill Passed
                           - Senate
                      

                      
                          (36 - 6)"
"May 29, 2024",OK,HB 2923,Amends Salaries for Members of the State Board of Judges,"Bill Passed
                           - Senate
                      

                      
                          (43 - 2)"
"May 28, 2024",OK,HB 2896,Transfers Funds to the Department of Public Safety,"Bill Passed
                           - House
                      

                      
                          (89 - 2)"
"May 28, 2024",OK,SB 1193,Establishes the Workforce Development Revolving Fund for the Oklahoma State Regents for Higher Education,"Bill Passed
                           - Senate
                      

                      
                          (29 - 11)"
"May 28, 2024",OK,SB 1125,Appropriates Funding for Fiscal Year 2024-2025 State Budget,"Bill Passed
                           - Senate
                      

                      
                          (31 - 11)"
"May 28, 2024",OK,HB 2914,Establishes the Oklahoma Sheriff's Office Funding Assistance Grant Program Act of 2024,"Bill Passed
                           - House
                      

                      
                          (89 - 6)"
"May 28, 2024",OK,HB 2923,Amends Salaries for Members of the State Board of Judges,"Bill Passed
                           - House
                      

                      
                          (68 - 16)"
"May 28, 2024",OK,SB 1155,Establishes the Oklahoma Museum of Popular Culture Supplemental Revolving Fund,"Bill Passed
                           - Senate
                      

                      
                          (28 - 15)"
"May 23, 2024",OK,HB 1105,Increases the Challenge Period for Initiative Petitions and Referendums from 10 to 90 Days,"Concurrence Vote Passed
                           - House
                      

                      
                          (72 - 18)"
"May 23, 2024",OK,SB 1994,Authorizes Property Owners to Ask Sheriffs to Remove Individuals Who are Unlawfully Occupying,"Concurrence Vote Passed
                           - Senate
                      

                      
                          (33 - 7)"
"May 9, 2024",OK,HB 3278,Amends Requirements for High School Graduation,"Concurrence Vote Passed
                           - House
                      

                      
                          (73 - 14)"
"April 25, 2024",OK,HB 4073,Establishes Alyssa's Law,"Bill Passed
                           - Senate
                      

                      
                          (42 - 0)"
"April 25, 2024",OK,HB 1105,Increases the Challenge Period for Initiative Petitions and Referendums from 10 to 90 Days,"Bill Passed
                           - Senate
                      

                      
                          (38 - 7)"
"April 25, 2024",OK,SB 473,Establishes Judicial Offices in Tulsa and Oklahoma City for Business Courts,"Bill Passed
                           - House
                      

                      
                          (56 - 26)"
"April 25, 2024",OK,HB 1734,Requrires Owneres of Medical Marijuana Dispenseries to Pass a Background Check,"Bill Passed
                           - Senate
                      

                      
                          (42 - 3)"
"April 25, 2024",OK,SB 1450,Increases Penalties for Retail Theft and Other Organized Retail Crimes,"Bill Passed
                           - House
                      

                      
                          (65 - 14)"
"April 25, 2024",OK,SB 1510,"Expands Enforcement of the Energy Discrimination Elimination Act of 2022 to Agriculture, Timber, and Mining Compan ...","Bill Failed
                           - House
                      

                      
                          (40 - 44)"
"April 25, 2024",OK,HB 3780,Amends Provisions of the Oklahoma Open Meetings Act Related to Video or Teleconferencing,"Bill Passed
                           - Senate
                      

                      
                          (38 - 1)"
"April 24, 2024",OK,SB 1470,Authorizes Leniency for Criminal Defendants if They Can Show Abuse Contributed to Their Offense,"Veto Override Passed
                           - Senate
                      

                      
                          (46 - 1)"
"April 24, 2024",OK,SB 1702,Authorizes Protections for Businesses and Individuals Involved in the Death Penalty,"Bill Passed
                           - House
                      

                      
                          (68 - 14)"
"April 23, 2024",OK,HB 2102,Establishes the Hope Shaffer Act,"Bill Passed
                           - Senate
                      

                      
                          (31 - 8)"
"April 23, 2024",OK,SB 1200,Requires Year Round Daylight Savings Time if Approved Federally by Congress,"Bill Passed
                           - House
                      

                      
                          (67 - 29)"
"April 23, 2024",OK,SB 2035,Amends the State's Temporary Car Tag Laws to Reduce Traffic Stops,"Bill Passed
                           - House
                      

                      
                          (89 - 2)"
"April 23, 2024",OK,HB 4156,"Amends Various State Immigration Laws, Policies, and Restrictions","Bill Passed
                           - Senate
                      

                      
                          (39 - 8)"
"April 22, 2024",OK,HB 3278,Amends Requirements for High School Graduation,"Bill Passed
                           - Senate
                      

                      
                          (35 - 11)"
"April 22, 2024",OK,SB 1854,Prohibits Unauthorized Camping on State-Owned Land,"Bill Passed
                           - House
                      

                      
                          (77 - 18)"
"April 18, 2024",OK,HB 4156,"Amends Various State Immigration Laws, Policies, and Restrictions","Bill Passed
                           - House
                      

                      
                          (77 - 20)"
"April 17, 2024",OK,SB 1994,Authorizes Property Owners to Ask Sheriffs to Remove Individuals Who are Unlawfully Occupying,"Bill Passed
                           - House
                      

                      
                          (77 - 16)"
"April 17, 2024",OK,SB 1470,Authorizes Leniency for Criminal Defendants if They Can Show Abuse Contributed to Their Offense,"Bill Passed
                           - House
                      

                      
                          (84 - 3)"
"March 19, 2024",OK,SB 458,Authorizes Nurse Practitioners to Prescribe Drugs Without a Doctor,"Concurrence Vote Passed
                           - Senate
                      

                      
                          (43 - 3)"
"March 14, 2024",OK,HB 3013,Prohibits the Use of Certain IVF Medications and Drugs,"Bill Passed
                           - House
                      

                      
                          (77 - 18)"
"March 14, 2024",OK,SB 1100,"Prohibits Threatening, Harassing, or Inflicting Physical or Emotional Distress on Another Individual","Bill Passed
                           - Senate
                      

                      
                          (38 - 8)"
"March 14, 2024",OK,SB 1906,Repeals Previous Language Requirements for Grade Level Advancement,"Bill Passed
                           - Senate
                      

                      
                          (40 - 2)"
"March 13, 2024",OK,HB 3582,Authorizes Motorcycle Lane Filtering Under Certain Conditions,"Bill Failed
                           - House
                      

                      
                          (33 - 62)"
