bill_id,session,chamber,action_date,action,order,comm_order,vote
HCR0001,2023R1,H,2023-01-24,HRULES Committee ~ Public Hearing: Heard,,1,
HCR0001,2023R1,H,2023-01-31,HRULES Committee ~ Work Session: Heard and Reported Out,,2,
HCR0001,2023R1,S,2023-03-16,SRULES Committee ~ Public Hearing and Work Session: Heard and Reported Out,,3,
HCR0001,2023R1,H,2023-01-09,First reading. Referred to Speaker's desk.,1,,
HCR0001,2023R1,H,2023-01-12,Referred to Rules.,2,,
HCR0001,2023R1,H,2023-01-24,Public Hearing held.,3,,
HCR0001,2023R1,H,2023-01-31,Work Session held.,4,,
HCR0001,2023R1,H,2023-02-03,Recommendation: Be adopted.,5,,
HCR0001,2023R1,H,2023-02-07,Made a Special Order of Business on 02-23 Calendar.,6,,
HCR0001,2023R1,H,2023-02-23,"Carried over to February 28, 2023 Calendar by virtue of adjournment.",7,,
HCR0001,2023R1,H,2023-02-28,Made a Special Order of Business on 03-02 Calendar.,8,,
HCR0001,2023R1,H,2023-03-02,Read as Special Order of Business. Carried by Marsh. Adopted.,9,,"Ayes, 56; Excused, 4--Breese-Iverson, Helfrich, Kropf, Scharf."
HCR0001,2023R1,S,2023-03-06,First reading. Referred to President's desk.,10,,
HCR0001,2023R1,S,2023-03-08,Referred to Rules.,11,,
HCR0001,2023R1,S,2023-03-16,Public Hearing and Work Session held.,12,,
HCR0001,2023R1,S,2023-03-21,Recommendation: Do adopt.,13,,
HCR0001,2023R1,S,2023-03-21,Second reading.,14,,
HCR0001,2023R1,S,2023-03-22,Made a Special Order of Business by voice vote.,15,,
HCR0001,2023R1,S,2023-03-22,Final reading.  Carried by Golden.  Adopted.,16,,"Ayes, 29; Excused, 1--Gorsek."
HCR0001,2023R1,H,2023-03-23,Speaker signed.,17,,
HCR0001,2023R1,S,2023-03-27,President signed.,18,,
HCR0001,2023R1,H,2023-03-27,Filed with Secretary of State.,19,,
HJM0001,2023R1,H,2023-01-09,First reading. Referred to Speaker's desk.,1,,
HJM0001,2023R1,H,2023-01-12,Referred to Rules.,2,,
HJM0001,2023R1,H,2023-06-25,In committee upon adjournment.,3,,
HJR0001,2023R1,H,2023-01-09,First reading. Referred to Speaker's desk.,1,,
HJR0001,2023R1,H,2023-01-12,Referred to Rules.,2,,
HJR0001,2023R1,H,2023-06-25,In committee upon adjournment.,3,,
HR0001,2023R1,H,2023-05-03,First reading. Referred to Speaker's desk.,1,,
HR0001,2023R1,H,2023-05-04,Referred to Rules.,2,,
HR0001,2023R1,H,2023-06-25,In committee upon adjournment.,3,,
SB0001,2023R1,S,2023-01-31,SFR Committee ~ Public Hearing: Heard,,1,
SB0001,2023R1,S,2023-02-28,SFR Committee ~ Work Session: Not Heard,,2,
SB0001,2023R1,S,2023-04-03,SFR Committee ~ Work Session: Heard and Reported Out,,3,
SB0001,2023R1,J,2023-06-06,JWMGG Committee ~ Work Session: Heard and Reported Out,,4,
SB0001,2023R1,J,2023-06-09,JWM Committee ~ Work Session: Heard and Reported Out with Amendments,,5,
SB0001,2023R1,S,2023-01-09,Introduction and first reading. Referred to President's desk.,1,,
SB0001,2023R1,S,2023-01-14,Referred to Finance and Revenue.,2,,
SB0001,2023R1,S,2023-01-31,Public Hearing held.,3,,
SB0001,2023R1,S,2023-04-03,Work Session held.,4,,
SB0001,2023R1,S,2023-04-11,Recommendation: Do pass with amendments and be referred to Ways and Means. (Printed A-Eng.),5,,
SB0001,2023R1,S,2023-04-11,Referred to Ways and Means by order of the President.,6,,
SB0001,2023R1,S,2023-05-24,Assigned to Subcommittee On General Government.,7,,
SB0001,2023R1,S,2023-06-06,Returned to Full Committee.,8,,
SB0001,2023R1,S,2023-06-06,Work Session held.,9,,
SB0001,2023R1,S,2023-06-09,Work Session held.,10,,
