Rep Andersen,Representative,Tom,Andersen,H,Democrat,19
Rep Boice,Representative,Court,Boice,H,Republican,1
Rep Boshart Davis,Representative,Shelly,Boshart Davis,H,Republican,15
Rep Bowman,Representative,Ben,Bowman,H,Democrat,25
Rep Breese-Iverson,House Republican Leader,Vikki,Breese-Iverson,H,Republican,59
Rep Bynum,Representative,Janelle,Bynum,H,Democrat,39
Rep Cate,Representative,Jami,Cate,H,Republican,11
Rep Chaichi,Representative,Farrah,Chaichi,H,Democrat,35
Rep Conrad,Representative,Charlie,Conrad,H,Republican,12
Rep Cramer,Representative,Tracy,Cramer,H,Republican,22
Rep Dexter,Representative,Maxine,Dexter,H,Democrat,33
Rep Diehl,Representative,Ed,Diehl,H,Republican,17
Rep Elmer,Representative,Lucetta,Elmer,H,Republican,24
Rep Evans,Representative,Paul,Evans,H,Democrat,20
Rep Fahey,House Majority Leader,Julie,Fahey,H,Democrat,14
Rep Gamba,Representative,Mark,Gamba,H,Democrat,41
Rep Gomberg,Representative,David,Gomberg,H,Democrat,10
Rep Goodwin,Representative,Christine,Goodwin,H,Republican,4
Rep Grayber,Representative,Dacia,Grayber,H,Democrat,28
Rep Hartman,Representative,Annessa,Hartman,H,Democrat,40
Rep Helfrich,Representative,Jeffrey,Helfrich,H,Republican,52
Rep Helm,Representative,Ken,Helm,H,Democrat,27
Rep Hieb,Representative,James,Hieb,H,Republican,51
Rep Holvey,Representative,Paul,Holvey,H,Democrat,8
Rep Hudson,Representative,Zach,Hudson,H,Democrat,49
Rep Javadi,Representative,Cyrus,Javadi,H,Republican,32
Rep Kropf,Representative,Jason,Kropf,H,Democrat,54
Rep Levy B,Representative,Bobby,Levy,H,Republican,58
Rep Levy E,Representative,Emerson,Levy,H,Democrat,53
Rep Lewis,Representative,Rick,Lewis,H,Republican,18
Rep Lively,Representative,John,Lively,H,Democrat,7
Rep Mannix,Representative,Kevin,Mannix,H,Republican,21
Rep Marsh,Representative,Pam,Marsh,H,Democrat,5
Rep McIntire,Representative,Emily,McIntire,H,Republican,56
Rep McLain,Representative,Susan,McLain,H,Democrat,29
Rep Morgan,Representative,Lily,Morgan,H,Republican,3
Rep Nathanson,Representative,Nancy,Nathanson,H,Democrat,13
Rep Nelson,Representative,Travis,Nelson,H,Democrat,44
Rep Neron,Representative,Courtney,Neron,H,Democrat,26
Rep Nguyen D,Representative,Daniel,Nguyen,H,Democrat,38
Rep Nguyen H,Representative,Hoa,Nguyen,H,Democrat,48
Rep Nosse,Representative,Rob,Nosse,H,Democrat,42
Rep Osborne,Representative,Virgle,Osborne,H,Republican,2
Rep Owens,Representative,Mark,Owens,H,Republican,60
Rep Pham H,Representative,Hai,Pham,H,Democrat,36
Rep Pham K,Representative,Khanh,Pham,H,Democrat,46
Rep Reschke,Representative,E. Werner,Reschke,H,Republican,55
Rep Reynolds,Representative,Lisa,Reynolds,H,Democrat,34
Rep Ruiz,Representative,Ricki,Ruiz,H,Democrat,50
Rep Sanchez,Representative,Tawna,Sanchez,H,Democrat,43
Rep Scharf,Representative,Anna,Scharf,H,Republican,23
Rep Smith G,Representative,Greg,Smith,H,Republican,57
Rep Sosa,Representative,Nathan,Sosa,H,Democrat,30
Rep Speaker Rayfield,Speaker,Dan,Rayfield,H,Democrat,16
Rep Stout,Representative,Brian,Stout,H,Republican,31
Rep Tran,Representative,Thuy,Tran,H,Democrat,45
Rep Valderrama,Representative,Andrea,Valderrama,H,Democrat,47
Rep Wallan,Representative,Kim,Wallan,H,Republican,6
Rep Walters,Representative,Jules,Walters,H,Democrat,37
Rep Wright,Representative,Boomer,Wright,H,Republican,9
Sen Anderson,Senator,Dick,Anderson,S,Republican,5
Sen Bonham,Senator,Daniel,Bonham,S,Republican,26
Sen Boquist,Senator,Brian,Boquist,S,Independent,12
Sen Campos,Senator,Wlnsvey,Campos,S,Democrat,18
Sen Dembrow,Senator,Michael,Dembrow,S,Democrat,23
Sen Findley,Senator,Lynn,Findley,S,Republican,30
Sen Frederick,Senator,Lew,Frederick,S,Democrat,22
Sen Gelser Blouin,Senator,Sara,Gelser Blouin,S,Democrat,8
Sen Girod,Senator,Fred,Girod,S,Republican,9
Sen Golden,Senator,Jeff,Golden,S,Democrat,3
Sen Gorsek,Senator,Chris,Gorsek,S,Democrat,25
Sen Hansell,Senator,Bill,Hansell,S,Republican,29
Sen Hayden,Senator,Cedric,Hayden,S,Republican,6
Sen Jama,Senator,Kayse,Jama,S,Democrat,24
Sen Knopp,Senator,Tim,Knopp,S,Republican,27
Sen Lieber,Senator,Kate,Lieber,S,Democrat,14
Sen Linthicum,Senator,Dennis,Linthicum,S,Republican,28
Sen Manning Jr,Senator,James,Manning Jr.,S,Democrat,7
Sen Meek,Senator,Mark,Meek,S,Democrat,20
Sen Patterson,Senator,Deb,Patterson,S,Democrat,10
Sen President Wagner,President,Rob,Wagner,S,Democrat,19
Sen Prozanski,Senator,Floyd,Prozanski,S,Democrat,4
Sen Robinson,Senator,Art,Robinson,S,Republican,2
Sen Smith DB,Senator,David Brock,Smith,S,Republican,1
Sen Sollman,Senator,Janeen,Sollman,S,Democrat,15
Sen Steiner,Senator,Elizabeth,Steiner,S,Democrat,17
Sen Taylor,Senator,Kathleen,Taylor,S,Democrat,21
Sen Thatcher,Senator,Kim,Thatcher,S,Republican,11
Sen Weber,Senator,Suzanne,Weber,S,Republican,16
Sen Woods,Senator,Aaron,Woods,S,Democrat,13
