bill_id,people_id,position
1646594,15768,1
1646595,20426,1
1646596,16811,5
1646596,22309,3
1646596,22311,1
1646596,22313,4
1646596,22319,2
1646597,6275,2
1646597,14781,1
1646597,22306,3
1646599,20618,1
1646600,6251,2
1646600,16811,1
1646600,23063,3
1646601,6228,18
1646601,6229,19
1646601,6241,16
1646601,14772,9
1646601,14780,2
1646601,15769,13
1646601,16808,7
1646601,16809,1
1646601,16810,3
1646601,18585,5
1646601,18598,4
1646601,18600,15
1646601,18601,21
1646601,20429,20
1646601,21542,14
1646601,22312,6
1646601,22314,11
1646601,22949,10
1646601,23064,17
1646601,23849,8
1646601,23852,12
1646602,15768,1
1646605,6228,5
1646605,15768,6
1646605,15769,3
1646605,18601,7
1646605,22314,2
1646605,22320,1
1646605,23064,4
1646606,6204,3
1646606,18585,1
1646606,21655,2
1646606,22309,4
1646607,19542,2
1646607,22316,3
1646607,22317,1
1646607,22321,4
1646608,18585,2
1646608,22317,1
1646610,6228,2
1646610,18581,7
1646610,18601,8
1646610,20426,1
1646610,22320,4
1646610,22321,3
1646610,22322,6
1646610,23913,5
1646616,22949,1
1646617,18588,1
1646619,15768,1
1646620,23856,1
1646622,6275,1
1646623,6221,5
1646623,21542,4
1646623,22316,2
1646623,22317,3
1646623,23083,1
1646626,19543,1
1646627,16808,6
1646627,16810,1
1646627,18586,3
1646627,19312,11
1646627,21655,5
1646627,22307,16
1646627,22311,15
1646627,22313,2
1646627,22314,10
1646627,22320,13
1646627,23063,12
1646627,23064,14
1646627,23083,9
1646627,23847,4
1646627,23849,7
1646627,23850,8
1646627,23857,17
1646628,18581,1
1646628,22322,2
1646629,6221,1
1646632,6267,1
1646632,16808,3
1646632,16809,6
1646632,19565,2
1646632,21655,5
1646632,22313,4
1646635,16822,1
1646636,22950,1
1646636,23853,2
1646637,6251,4
1646637,16808,2
1646637,18585,1
1646637,20429,5
1646637,22309,6
1646637,23849,3
1646639,16808,2
1646639,16822,1
1646641,6229,1
1646644,6275,4
1646644,14772,7
1646644,16809,9
1646644,18585,1
1646644,18586,16
1646644,20429,3
1646644,21655,6
1646644,22307,15
1646644,22311,14
1646644,22313,8
1646644,22314,10
1646644,22318,12
1646644,22319,2
1646644,23063,11
1646644,23064,13
1646644,24261,5
1646646,16811,1
1646646,21655,2
1646646,23852,3
1646647,6275,1
1646647,18581,2
1646648,14780,2
1646648,22316,1
1646648,22321,4
1646648,23083,3
1646650,6251,1
1646650,16808,4
1646650,16814,2
1646650,22318,6
1646650,23849,5
1646650,24261,3
1646652,18600,1
1646657,19312,6
1646657,19565,2
1646657,21434,3
1646657,21542,1
1646657,22312,4
1646657,22316,5
1646657,22317,7
1646657,22321,10
1646657,22322,9
1646657,22950,8
1646658,18581,2
1646658,19543,1
1646659,18600,1
1646660,23853,1
1646662,6275,2
1646662,18596,1
1646664,6228,2
1646664,6229,3
1646664,16818,1
1646664,20429,4
1646665,6204,3
1646665,6251,11
1646665,16808,7
1646665,16811,15
1646665,18583,8
1646665,18585,13
1646665,20429,18
1646665,21655,6
1646665,22307,19
1646665,22311,17
1646665,22313,10
1646665,22315,12
1646665,22318,1
1646665,22320,16
1646665,23063,14
1646665,23847,4
1646665,23849,9
1646665,23856,2
1646665,23914,5
1646666,6204,1
1646666,16818,2
1646666,18597,5
1646666,19543,4
1646666,22309,3
1646667,6204,5
1646667,6228,22
1646667,14780,24
1646667,15769,18
1646667,16808,9
1646667,16811,19
1646667,18583,10
1646667,18597,25
1646667,18598,6
1646667,18601,26
1646667,19312,17
1646667,20426,3
1646667,20429,23
1646667,21655,8
1646667,22311,4
1646667,22313,2
1646667,22314,14
1646667,22315,1
1646667,22316,15
1646667,22318,21
1646667,22321,27
1646667,23083,13
1646667,23849,11
1646667,23850,12
1646667,23852,16
1646667,23854,20
1646667,24262,7
1646668,19565,1
1646671,6204,12
1646671,6241,10
1646671,14772,4
1646671,18588,1
1646671,18597,14
1646671,22307,13
1646671,22309,2
1646671,22311,11
1646671,22313,5
1646671,22314,6
1646671,22316,7
1646671,22319,9
1646671,23063,8
1646671,23849,3
1646674,16818,1
1646675,6221,1
1646676,14780,1
1646676,22316,2
1646677,22319,1
1646677,23063,2
1646678,6204,1
1646678,6228,3
1646678,18597,2
1646678,22309,4
1646680,22311,1
1646680,23063,2
1646681,16808,1
1646682,22310,1
1646683,19312,1
1646683,21542,5
1646683,22312,2
1646683,22316,4
1646683,23848,3
1646686,13858,1
1646687,20426,1
1646688,23849,1
1646689,22320,1
1646690,14780,2
1646690,18581,6
1646690,21542,5
1646690,21655,4
1646690,22316,1
1646690,22321,8
1646690,22322,7
1646690,23083,3
1646694,15768,1
1646694,22307,2
1646696,6228,1
1646697,18581,1
1646697,23854,2
1646700,6228,3
1646700,14781,1
1646700,16818,4
1646700,18581,5
1646700,19565,2
1646700,23083,6
1646702,16809,1
1646702,21542,3
1646702,23852,2
1646703,22320,1
1646706,16814,2
1646706,18601,1
1646707,16818,1
1646714,20616,1
1646714,22949,4
1646714,23848,3
1646714,24262,2
1646716,6221,1
1646718,14780,3
1646718,16808,6
1646718,21655,5
1646718,22313,7
1646718,22317,1
1646718,22322,11
1646718,22950,2
1646718,23083,8
1646718,23852,9
1646718,23854,10
1646718,23911,4
1646722,6204,2
1646722,18597,3
1646722,21655,4
1646722,22311,1
1646722,22314,5
1646722,22909,6
1646723,16808,1
1646724,20616,1
1646728,19565,1
1646728,21542,2
1646728,23083,3
1646729,18600,5
1646729,19565,2
1646729,21542,1
1646729,22317,3
1646729,23848,4
1646730,20426,1
1646730,23857,2
1646731,22316,4
1646731,22317,5
1646731,22950,1
1646731,23083,3
1646731,23848,2
1646732,16822,1
1646732,22318,3
1646732,23849,2
1646733,6275,2
1646733,14781,1
1646734,22322,1
1646734,23853,2
1646736,6221,5
1646736,16808,2
1646736,22317,1
1646736,22322,4
1646736,23083,3
1646738,22308,2
1646738,22309,1
1646739,18581,3
1646739,21542,6
1646739,22312,1
1646739,22316,2
1646739,23083,5
1646739,23848,4
1646741,16808,1
1646742,23853,1
1646743,14772,2
1646743,16808,8
1646743,16818,17
1646743,18585,1
1646743,18600,3
1646743,21655,6
1646743,22312,5
1646743,22313,9
1646743,22314,12
1646743,22315,13
1646743,23083,11
1646743,23848,7
1646743,23850,10
1646743,23852,14
1646743,23913,15
1646743,24261,4
1646743,24264,16
1646744,6221,1
1646745,6275,3
1646745,14781,1
1646745,18581,2
1646746,6283,8
1646746,18597,2
1646746,21655,4
1646746,22313,1
1646746,22315,5
1646746,22319,7
1646746,23063,6
1646746,24261,3
1646752,15768,1
1646753,16814,1
1646754,18581,1
1646754,23854,2
1646755,6275,1
1646762,16811,3
1646762,18598,4
1646762,22309,6
1646762,22311,5
1646762,23851,2
1646762,23855,1
1646764,23853,1
1646768,6221,12
1646768,6228,8
1646768,6267,1
1646768,14780,10
1646768,16811,7
1646768,18583,3
1646768,19565,9
1646768,21655,2
1646768,22309,11
1646768,22316,5
1646768,22317,6
1646768,22949,4
1646771,6204,13
1646771,6251,2
1646771,14772,7
1646771,16808,5
1646771,16810,9
1646771,16822,1
1646771,21655,4
1646771,22307,14
1646771,22314,8
1646771,22318,11
1646771,22909,3
1646771,23063,10
1646771,23849,6
1646771,23856,12
1646772,18581,1
1646772,22322,4
1646772,23854,2
1646772,24887,3
1646773,18588,1
1646775,22307,4
1646775,22309,5
1646775,22311,3
1646775,22318,2
1646775,23063,1
1646776,6241,16
1646776,6275,6
1646776,14780,1
1646776,16818,7
1646776,18581,3
1646776,18586,8
1646776,18600,15
1646776,19565,2
1646776,20618,10
1646776,22312,11
1646776,22316,4
1646776,22321,9
1646776,22322,17
1646776,23083,14
1646776,23848,13
1646776,23853,5
1646776,24262,12
1646777,19542,2
1646777,20616,1
1646781,15768,1
1646783,23853,1
1646786,16808,3
1646786,18583,4
1646786,18597,2
1646786,19566,9
1646786,20426,1
1646786,22313,5
1646786,22315,6
1646786,22320,7
1646786,22909,8
1646787,18581,1
1646787,18600,4
1646787,22317,2
1646787,23867,3
1646788,6229,2
1646788,23063,1
1646789,18581,1
1646789,18600,4
1646789,22317,2
1646789,22322,6
1646789,22950,5
1646789,24887,3
1646790,6228,1
1646790,16809,3
1646790,20429,2
1646791,6229,12
1646791,15768,2
1646791,16811,9
1646791,18597,3
1646791,20426,1
1646791,22309,13
1646791,22311,11
1646791,22313,6
1646791,22314,7
1646791,23063,8
1646791,23064,10
1646791,23849,5
1646791,23857,14
1646791,23914,4
1646792,18581,1
1646792,22316,3
1646792,22950,2
1646795,16808,1
1646797,16811,1
1646797,23851,2
1646798,19565,2
1646798,21542,1
1646800,6204,4
1646800,15768,1
1646800,16808,2
1646800,18583,8
1646800,21655,7
1646800,22311,3
1646800,22313,10
1646800,22314,12
1646800,23847,6
1646800,23849,9
1646800,23850,11
1646800,23852,13
1646800,24261,5
1646802,16810,1
1646803,18581,1
1646803,22322,2
1646803,22949,5
1646803,23848,4
1646803,23867,3
1646804,22313,1
1646812,18598,3
1646812,21655,4
1646812,23851,2
1646812,23855,1
1646813,19565,2
1646813,21542,1
1646816,22309,1
1646818,18600,4
1646818,19565,2
1646818,21542,1
1646818,22316,3
1646819,15768,1
1646821,18585,1
1646821,22309,5
1646821,22311,3
1646821,22319,2
1646821,23867,4
1646823,14780,3
1646823,22316,2
1646823,23853,1
1646824,15768,2
1646824,22317,1
1646824,22322,3
1646825,19312,1
1646825,20618,2
1646825,21542,5
1646825,22312,3
1646825,22316,4
