bill_id,document_id,document_type,document_size,document_mime,document_desc,url,state_link
1836102,2913177,text,29667,application/pdf,Introduced,https://legiscan.com/OR/text/HB4001/id/2913177,https://olis.oregonlegislature.gov/liz/2024R1/Downloads/MeasureDocument/HB4001/Introduced
1836102,2930898,text,25640,application/pdf,Introduced,https://legiscan.com/OR/text/HB4001/id/2930898,https://olis.oregonlegislature.gov/liz/2024R1/Downloads/MeasureDocument/HB4001/House%20Amendments%20to%20Introduced
1836102,2930899,text,32882,application/pdf,Engrossed,https://legiscan.com/OR/text/HB4001/id/2930899,https://olis.oregonlegislature.gov/liz/2024R1/Downloads/MeasureDocument/HB4001/A-Engrossed
1836102,2951651,text,25167,application/pdf,Enrolled,https://legiscan.com/OR/text/HB4001/id/2951651,https://olis.oregonlegislature.gov/liz/2024R1/Downloads/MeasureDocument/HB4001/Enrolled
1836048,2913123,text,28116,application/pdf,Introduced,https://legiscan.com/OR/text/HB4002/id/2913123,https://olis.oregonlegislature.gov/liz/2024R1/Downloads/MeasureDocument/HB4002/Introduced
1836048,2943524,text,260906,application/pdf,Introduced,https://legiscan.com/OR/text/HB4002/id/2943524,https://olis.oregonlegislature.gov/liz/2024R1/Downloads/MeasureDocument/HB4002/House%20Amendments%20to%20Introduced
1836048,2943525,text,263939,application/pdf,Engrossed,https://legiscan.com/OR/text/HB4002/id/2943525,https://olis.oregonlegislature.gov/liz/2024R1/Downloads/MeasureDocument/HB4002/A-Engrossed
1836048,2949940,text,246132,application/pdf,Enrolled,https://legiscan.com/OR/text/HB4002/id/2949940,https://olis.oregonlegislature.gov/liz/2024R1/Downloads/MeasureDocument/HB4002/Enrolled
1836041,2913116,text,27847,application/pdf,Introduced,https://legiscan.com/OR/text/HB4003/id/2913116,https://olis.oregonlegislature.gov/liz/2024R1/Downloads/MeasureDocument/HB4003/Introduced
1836041,2927581,text,24415,application/pdf,Introduced,https://legiscan.com/OR/text/HB4003/id/2927581,https://olis.oregonlegislature.gov/liz/2024R1/Downloads/MeasureDocument/HB4003/House%20Amendments%20to%20Introduced
1836041,2927582,text,32527,application/pdf,Engrossed,https://legiscan.com/OR/text/HB4003/id/2927582,https://olis.oregonlegislature.gov/liz/2024R1/Downloads/MeasureDocument/HB4003/A-Engrossed
1836041,2940112,text,18240,application/pdf,Engrossed,https://legiscan.com/OR/text/HB4003/id/2940112,https://olis.oregonlegislature.gov/liz/2024R1/Downloads/MeasureDocument/HB4003/Senate%20Amendments%20to%20A-Engrossed
1836041,2940113,text,28743,application/pdf,Engrossed,https://legiscan.com/OR/text/HB4003/id/2940113,https://olis.oregonlegislature.gov/liz/2024R1/Downloads/MeasureDocument/HB4003/B-Engrossed
1836041,2954657,text,24567,application/pdf,Enrolled,https://legiscan.com/OR/text/HB4003/id/2954657,https://olis.oregonlegislature.gov/liz/2024R1/Downloads/MeasureDocument/HB4003/Enrolled
1835972,2913033,text,31416,application/pdf,Introduced,https://legiscan.com/OR/text/HB4004/id/2913033,https://olis.oregonlegislature.gov/liz/2024R1/Downloads/MeasureDocument/HB4004/Introduced
1835972,2927613,text,17781,application/pdf,Introduced,https://legiscan.com/OR/text/HB4004/id/2927613,https://olis.oregonlegislature.gov/liz/2024R1/Downloads/MeasureDocument/HB4004/House%20Amendments%20to%20Introduced
1835972,2927614,text,32837,application/pdf,Engrossed,https://legiscan.com/OR/text/HB4004/id/2927614,https://olis.oregonlegislature.gov/liz/2024R1/Downloads/MeasureDocument/HB4004/A-Engrossed
1835972,2942968,text,29990,application/pdf,Enrolled,https://legiscan.com/OR/text/HB4004/id/2942968,https://olis.oregonlegislature.gov/liz/2024R1/Downloads/MeasureDocument/HB4004/Enrolled
1836049,2913124,text,38317,application/pdf,Introduced,https://legiscan.com/OR/text/HB4005/id/2913124,https://olis.oregonlegislature.gov/liz/2024R1/Downloads/MeasureDocument/HB4005/Introduced
1836085,2913160,text,60828,application/pdf,Introduced,https://legiscan.com/OR/text/HB4006/id/2913160,https://olis.oregonlegislature.gov/liz/2024R1/Downloads/MeasureDocument/HB4006/Introduced
1836085,2924692,text,20301,application/pdf,Introduced,https://legiscan.com/OR/text/HB4006/id/2924692,https://olis.oregonlegislature.gov/liz/2024R1/Downloads/MeasureDocument/HB4006/House%20Amendments%20to%20Introduced
1836085,2924693,text,60767,application/pdf,Engrossed,https://legiscan.com/OR/text/HB4006/id/2924693,https://olis.oregonlegislature.gov/liz/2024R1/Downloads/MeasureDocument/HB4006/A-Engrossed
1836085,2942967,text,58860,application/pdf,Enrolled,https://legiscan.com/OR/text/HB4006/id/2942967,https://olis.oregonlegislature.gov/liz/2024R1/Downloads/MeasureDocument/HB4006/Enrolled
1835995,2913068,text,28237,application/pdf,Introduced,https://legiscan.com/OR/text/HB4007/id/2913068,https://olis.oregonlegislature.gov/liz/2024R1/Downloads/MeasureDocument/HB4007/Introduced
1835995,2949936,text,25198,application/pdf,Introduced,https://legiscan.com/OR/text/HB4007/id/2949936,https://olis.oregonlegislature.gov/liz/2024R1/Downloads/MeasureDocument/HB4007/House%20Amendments%20to%20Introduced
1835995,2949937,text,31594,application/pdf,Engrossed,https://legiscan.com/OR/text/HB4007/id/2949937,https://olis.oregonlegislature.gov/liz/2024R1/Downloads/MeasureDocument/HB4007/A-Engrossed
