bill_id,date,chamber,sequence,action
1835908,2024-02-05,Senate,1,"Introduction and first reading. Referred to President's desk."
1835908,2024-02-05,Senate,2,"Referred to Natural Resources and Wildfire, then Ways and Means."
1835908,2024-02-08,Senate,3,"Public Hearing held."
1835908,2024-02-13,Senate,4,"Work Session held."
1835908,2024-02-16,Senate,5,"Recommendation: Do pass with amendments and subsequent referral to Ways and Means be rescinded. (Printed A-Eng.)"
1835908,2024-02-16,Senate,6,"Subsequent referral rescinded by order of the President."
1835908,2024-02-19,Senate,7,"Second reading."
1835908,2024-02-20,Senate,8,"Third reading. Carried by Girod. Passed. Ayes, 29; Nays, 1--Bonham."
1835908,2024-02-21,House,9,"First reading. Referred to Speaker's desk."
1835908,2024-02-21,House,10,"Referred to Agriculture, Land Use, Natural Resources, and Water."
1835908,2024-02-27,House,11,"Public Hearing and Work Session held."
1835908,2024-02-28,House,12,"Recommendation: Do pass."
1835908,2024-02-28,House,13,"Second reading."
1835908,2024-02-29,House,14,"Rules suspended. Carried over to March 4, 2024 Calendar."
1835908,2024-03-04,House,15,"Third reading. Carried by Helm. Passed. Ayes, 53; Nays, 3--Chaichi, Hartman, Nelson; Excused, 2--Boshart Davis, Cramer; Excused for Business of the House, 2--Sanchez, Speaker Rayfield."
1835908,2024-03-06,Senate,16,"President signed."
1835908,2024-03-06,House,17,"Speaker signed."
1835908,2024-03-27,Senate,18,"Governor signed."
1835908,2024-03-28,Senate,19,"Chapter 48, 2024 Laws."
1835908,2024-03-28,Senate,20,"Effective date, March 27, 2024."
1835909,2024-02-05,House,1,"First reading. Referred to Speaker's desk."
1835909,2024-02-05,House,2,"Referred to Revenue."
1835909,2024-03-07,House,3,"In committee upon adjournment."
1835910,2024-02-05,House,1,"First reading. Referred to Speaker's desk."
1835910,2024-02-05,House,2,"Referred to Emergency Management, General Government, and Veterans with subsequent referral to Ways and Means."
1835910,2024-02-06,House,3,"Public Hearing held."
1835910,2024-02-08,House,4,"Work Session held."
1835910,2024-02-12,House,5,"Recommendation: Do pass with amendments, be printed A-Engrossed, and be referred to Ways and Means by prior reference."
1835910,2024-02-12,House,6,"Referred to Ways and Means by prior reference."
