Date,State,Bill No,Title,Action
"March 7, 2024",OR,HB 4059,Establishes Oregon Laws for Brassica Production in Willamette Valley's Protected District,"Concurrence Vote Passed
                           - House
                      

                      
                          (33 - 23)"
"March 7, 2024",OR,HB 4059,Establishes Oregon Laws for Brassica Production in Willamette Valley's Protected District,"Bill Passed
                           - Senate
                      

                      
                          (17 - 11)"
"March 7, 2024",OR,HB 4092,Requires the OHA to Study How Much Money Local Mental Health Programs Need to Comply with State Laws,"Bill Passed
                           - Senate
                      

                      
                          (21 - 7)"
"March 7, 2024",OR,SB 1557,Requires the Oregon Healthcare Authority Provide Services to Certain Individuals Under 21 Years of Age,"Bill Passed
                           - House
                      

                      
                          (48 - 8)"
"March 7, 2024",OR,SB 1552,Establishes a Youth Advisory Group for Developing Standards,"Bill Passed
                           - House
                      

                      
                          (48 - 8)"
"March 7, 2024",OR,HB 4080,Requires Individuals Involved in Offshore Wind Energy Projects Meet Certain Labor and Supply Chain Standards,"Bill Passed
                           - Senate
                      

                      
                          (17 - 11)"
"March 7, 2024",OR,HB 4149,Requires Pharmacy Benefits Managers to be Licensed,"Bill Passed
                           - Senate
                      

                      
                          (25 - 3)"
"March 7, 2024",OR,HB 4109,Amends Photo Radar Laws and Makes Changes to Aviation Grant Funds,"Bill Passed
                           - Senate
                      

                      
                          (21 - 7)"
"March 7, 2024",OR,HB 4098,Establishes the CHIPS Child Care Fund,"Bill Passed
                           - Senate
                      

                      
                          (24 - 4)"
"March 7, 2024",OR,SB 1521,Requires DHS to Contract with at Least One Agency Providing Agency with Choice Services,"Bill Passed
                           - House
                      

                      
                          (35 - 21)"
"March 7, 2024",OR,HB 4121,Amends State Laws About Marijuana and Hemp,"Bill Passed
                           - Senate
                      

                      
                          (20 - 7)"
"March 7, 2024",OR,HB 4156,Expands State Stalking Laws,"Bill Passed
                           - Senate
                      

                      
                          (25 - 3)"
"March 7, 2024",OR,HB 4154,Establishes a Fund to Help the Electronic Chip Industry,"Bill Passed
                           - Senate
                      

                      
                          (24 - 4)"
"March 7, 2024",OR,SB 5701,Appropriates Funding for Various State Agencies,"Bill Passed
                           - House
                      

                      
                          (49 - 7)"
