bill_id,document_id,document_type,document_size,document_mime,document_desc,url,state_link
1637837,2617381,text,6470,text/html,Introduced,https://legiscan.com/SC/text/H3002/id/2617381,https://www.scstatehouse.gov/sess125_2023-2024/prever/3002_20221208.htm
1637347,2616916,text,82165,text/html,Introduced,https://legiscan.com/SC/text/H3003/id/2616916,https://www.scstatehouse.gov/sess125_2023-2024/prever/3003_20221208.htm
1637858,2617401,text,4447,text/html,Introduced,https://legiscan.com/SC/text/H3004/id/2617401,https://www.scstatehouse.gov/sess125_2023-2024/prever/3004_20221208.htm
1637865,2617407,text,5587,text/html,Introduced,https://legiscan.com/SC/text/H3005/id/2617407,https://www.scstatehouse.gov/sess125_2023-2024/prever/3005_20221208.htm
1637440,2617005,text,10492,text/html,Introduced,https://legiscan.com/SC/text/H3006/id/2617005,https://www.scstatehouse.gov/sess125_2023-2024/prever/3006_20221208.htm
1637351,2616919,text,17259,text/html,Introduced,https://legiscan.com/SC/text/H3007/id/2616919,https://www.scstatehouse.gov/sess125_2023-2024/prever/3007_20221208.htm
1637450,2617014,text,6688,text/html,Introduced,https://legiscan.com/SC/text/H3008/id/2617014,https://www.scstatehouse.gov/sess125_2023-2024/prever/3008_20221208.htm
1637417,2616982,text,4085,text/html,Introduced,https://legiscan.com/SC/text/H3009/id/2616982,https://www.scstatehouse.gov/sess125_2023-2024/prever/3009_20221208.htm
1637719,2617271,text,10088,text/html,Introduced,https://legiscan.com/SC/text/H3010/id/2617271,https://www.scstatehouse.gov/sess125_2023-2024/prever/3010_20221208.htm
1637829,2617373,text,4404,text/html,Introduced,https://legiscan.com/SC/text/H3011/id/2617373,https://www.scstatehouse.gov/sess125_2023-2024/prever/3011_20221208.htm
1637696,2617249,text,8830,text/html,Introduced,https://legiscan.com/SC/text/H3012/id/2617249,https://www.scstatehouse.gov/sess125_2023-2024/prever/3012_20221208.htm
1637622,2672099,text,23932,text/html,Draft,https://legiscan.com/SC/text/H3013/id/2672099,https://www.scstatehouse.gov/sess125_2023-2024/prever/3013_20230131.htm
1637622,2617176,text,24623,text/html,Introduced,https://legiscan.com/SC/text/H3013/id/2617176,https://www.scstatehouse.gov/sess125_2023-2024/prever/3013_20221208.htm
1637567,2734618,text,11465,text/html,Draft,https://legiscan.com/SC/text/H3014/id/2734618,https://www.scstatehouse.gov/sess125_2023-2024/prever/3014_20230308.htm
1637567,2734619,text,11919,text/html,Draft,https://legiscan.com/SC/text/H3014/id/2734619,https://www.scstatehouse.gov/sess125_2023-2024/prever/3014_20230309.htm
1637567,2764647,text,18506,text/html,Draft,https://legiscan.com/SC/text/H3014/id/2764647,https://www.scstatehouse.gov/sess125_2023-2024/prever/3014_20230329.htm
1637567,2767335,text,18967,text/html,Draft,https://legiscan.com/SC/text/H3014/id/2767335,https://www.scstatehouse.gov/sess125_2023-2024/prever/3014_20230331.htm
1637567,2617123,text,5414,text/html,Introduced,https://legiscan.com/SC/text/H3014/id/2617123,https://www.scstatehouse.gov/sess125_2023-2024/prever/3014_20221208.htm
1637567,2725152,text,15009,text/html,Introduced,https://legiscan.com/SC/text/H3014/id/2725152,https://www.scstatehouse.gov/sess125_2023-2024/prever/3014_20230302.htm
1637567,2801880,text,14542,text/html,"Comm Sub",https://legiscan.com/SC/text/H3014/id/2801880,https://www.scstatehouse.gov/sess125_2023-2024/prever/3014_20230301.htm
1637697,2617250,text,5335,text/html,Introduced,https://legiscan.com/SC/text/H3015/id/2617250,https://www.scstatehouse.gov/sess125_2023-2024/prever/3015_20221208.htm
1637431,2616996,text,4185,text/html,Introduced,https://legiscan.com/SC/text/H3016/id/2616996,https://www.scstatehouse.gov/sess125_2023-2024/prever/3016_20221208.htm
1637809,2617354,text,4914,text/html,Introduced,https://legiscan.com/SC/text/H3017/id/2617354,https://www.scstatehouse.gov/sess125_2023-2024/prever/3017_20221208.htm
1637652,2617205,text,3609,text/html,Introduced,https://legiscan.com/SC/text/H3018/id/2617205,https://www.scstatehouse.gov/sess125_2023-2024/prever/3018_20221208.htm
1637424,2734892,text,14390,text/html,Draft,https://legiscan.com/SC/text/H3019/id/2734892,https://www.scstatehouse.gov/sess125_2023-2024/prever/3019_20230309.htm
1637424,2616989,text,8000,text/html,Introduced,https://legiscan.com/SC/text/H3019/id/2616989,https://www.scstatehouse.gov/sess125_2023-2024/prever/3019_20221208.htm
1637424,2734891,text,13834,text/html,Introduced,https://legiscan.com/SC/text/H3019/id/2734891,https://www.scstatehouse.gov/sess125_2023-2024/prever/3019_20230308.htm
1637424,2801774,text,22492,text/html,"Comm Sub",https://legiscan.com/SC/text/H3019/id/2801774,https://www.scstatehouse.gov/sess125_2023-2024/prever/3019_20230301.htm
1637844,2617387,text,10432,text/html,Introduced,https://legiscan.com/SC/text/H3020/id/2617387,https://www.scstatehouse.gov/sess125_2023-2024/prever/3020_20221208.htm
1637555,2617113,text,3277,text/html,Introduced,https://legiscan.com/SC/text/H3021/id/2617113,https://www.scstatehouse.gov/sess125_2023-2024/prever/3021_20221208.htm
1637599,2617154,text,11113,text/html,Introduced,https://legiscan.com/SC/text/H3022/id/2617154,https://www.scstatehouse.gov/sess125_2023-2024/prever/3022_20221208.htm
1637600,2617155,text,5648,text/html,Introduced,https://legiscan.com/SC/text/H3023/id/2617155,https://www.scstatehouse.gov/sess125_2023-2024/prever/3023_20221208.htm
1637760,2617307,text,3706,text/html,Introduced,https://legiscan.com/SC/text/H3024/id/2617307,https://www.scstatehouse.gov/sess125_2023-2024/prever/3024_20221208.htm
1637498,2617058,text,13998,text/html,Introduced,https://legiscan.com/SC/text/H3025/id/2617058,https://www.scstatehouse.gov/sess125_2023-2024/prever/3025_20221208.htm
1637836,2617380,text,3857,text/html,Introduced,https://legiscan.com/SC/text/H3026/id/2617380,https://www.scstatehouse.gov/sess125_2023-2024/prever/3026_20221208.htm
1637587,2617143,text,3277,text/html,Introduced,https://legiscan.com/SC/text/H3027/id/2617143,https://www.scstatehouse.gov/sess125_2023-2024/prever/3027_20221208.htm
1637441,2617006,text,5001,text/html,Introduced,https://legiscan.com/SC/text/H3028/id/2617006,https://www.scstatehouse.gov/sess125_2023-2024/prever/3028_20221208.htm
1637514,2617072,text,2493,text/html,Introduced,https://legiscan.com/SC/text/H3029/id/2617072,https://www.scstatehouse.gov/sess125_2023-2024/prever/3029_20221208.htm
1637798,2617344,text,31926,text/html,Introduced,https://legiscan.com/SC/text/H3030/id/2617344,https://www.scstatehouse.gov/sess125_2023-2024/prever/3030_20221208.htm
1637550,2617108,text,10197,text/html,Introduced,https://legiscan.com/SC/text/H3031/id/2617108,https://www.scstatehouse.gov/sess125_2023-2024/prever/3031_20221208.htm
1637626,2617180,text,9740,text/html,Introduced,https://legiscan.com/SC/text/H3032/id/2617180,https://www.scstatehouse.gov/sess125_2023-2024/prever/3032_20221208.htm
1637743,2617292,text,4684,text/html,Introduced,https://legiscan.com/SC/text/H3033/id/2617292,https://www.scstatehouse.gov/sess125_2023-2024/prever/3033_20221208.htm
1637591,2617147,text,3637,text/html,Introduced,https://legiscan.com/SC/text/H3034/id/2617147,https://www.scstatehouse.gov/sess125_2023-2024/prever/3034_20221208.htm
1637510,2617068,text,9336,text/html,Introduced,https://legiscan.com/SC/text/H3035/id/2617068,https://www.scstatehouse.gov/sess125_2023-2024/prever/3035_20221208.htm
1637777,2617323,text,5103,text/html,Introduced,https://legiscan.com/SC/text/H3036/id/2617323,https://www.scstatehouse.gov/sess125_2023-2024/prever/3036_20221208.htm
