bill_id,date,chamber,sequence,action
1635322,2022-11-30,Senate,1,Prefiled
1635322,2022-11-30,Senate,2,"Referred to Committee on Education"
1635322,2023-01-10,Senate,3,"Introduced and read first time"
1635322,2023-01-10,Senate,4,"Referred to Committee on Education"
1635324,2022-11-30,Senate,1,Prefiled
1635324,2022-11-30,Senate,2,"Referred to Committee on Judiciary"
1635324,2023-01-10,Senate,3,"Introduced and read first time"
1635324,2023-01-10,Senate,4,"Referred to Committee on Judiciary"
1635324,2023-07-27,,5,"Scrivener's error corrected"
1635327,2022-11-30,Senate,1,Prefiled
1635327,2022-11-30,Senate,2,"Referred to Committee on Judiciary"
1635327,2023-01-10,Senate,3,"Introduced and read first time"
1635327,2023-01-10,Senate,4,"Referred to Committee on Judiciary"
1635329,2022-11-30,Senate,1,Prefiled
1635329,2022-11-30,Senate,2,"Referred to Committee on Judiciary"
1635329,2023-01-10,Senate,3,"Introduced and read first time"
1635329,2023-01-10,Senate,4,"Referred to Committee on Judiciary"
1635332,2022-11-30,Senate,1,Prefiled
1635332,2022-11-30,Senate,2,"Referred to Committee on Finance"
1635332,2023-01-10,Senate,3,"Introduced and read first time"
1635332,2023-01-10,Senate,4,"Referred to Committee on Finance"
1635334,2022-11-30,Senate,1,Prefiled
1635334,2022-11-30,Senate,2,"Referred to Committee on Corrections and Penology"
1635334,2023-01-10,Senate,3,"Introduced and read first time"
1635334,2023-01-10,Senate,4,"Referred to Committee on Corrections and Penology"
1635334,2023-07-27,,5,"Scrivener's error corrected"
1635336,2022-11-30,Senate,1,Prefiled
1635336,2022-11-30,Senate,2,"Referred to Committee on Education"
1635336,2023-01-10,Senate,3,"Introduced and read first time"
1635336,2023-01-10,Senate,4,"Referred to Committee on Education"
1635339,2022-11-30,Senate,1,Prefiled
1635339,2022-11-30,Senate,2,"Referred to Committee on Education"
1635339,2023-01-10,Senate,3,"Introduced and read first time"
1635339,2023-01-10,Senate,4,"Referred to Committee on Education"
1635341,2022-11-30,Senate,1,Prefiled
1635341,2022-11-30,Senate,2,"Referred to Committee on Judiciary"
1635341,2023-01-10,Senate,3,"Introduced and read first time"
1635341,2023-01-10,Senate,4,"Referred to Committee on Judiciary"
1635344,2022-11-30,Senate,1,Prefiled
1635344,2022-11-30,Senate,2,"Referred to Committee on Judiciary"
1635344,2023-01-10,Senate,3,"Introduced and read first time"
1635344,2023-01-10,Senate,4,"Referred to Committee on Judiciary"
1635347,2022-11-30,Senate,1,Prefiled
1635347,2022-11-30,Senate,2,"Referred to Committee on Medical Affairs"
1635347,2023-01-10,Senate,3,"Introduced and read first time"
1635347,2023-01-10,Senate,4,"Referred to Committee on Medical Affairs"
1635347,2023-02-08,,5,"Scrivener's error corrected"
1635350,2022-11-30,Senate,1,Prefiled
1635350,2022-11-30,Senate,2,"Referred to Committee on Judiciary"
1635350,2023-01-10,Senate,3,"Introduced and read first time"
1635350,2023-01-10,Senate,4,"Referred to Committee on Judiciary"
1635350,2024-01-19,Senate,5,"Referred to Subcommittee: Hutto (ch), Rice, Senn, Adams, Tedder"
1635350,2024-03-27,Senate,6,"Committee report: Favorable with amendment Judiciary"
1635350,2024-04-02,,7,"Scrivener's error corrected"
1635350,2024-04-03,Senate,8,"Committee Amendment Adopted"
1635350,2024-04-03,Senate,9,Amended
1635350,2024-04-03,Senate,10,"Read second time"
1635350,2024-04-04,,11,"Scrivener's error corrected"
1635350,2024-05-07,Senate,12,"Recommitted to Committee on Judiciary"
1635352,2022-11-30,Senate,1,Prefiled
1635352,2022-11-30,Senate,2,"Referred to Committee on Finance"
1635352,2023-01-10,Senate,3,"Introduced and read first time"
1635352,2023-01-10,Senate,4,"Referred to Committee on Finance"
1635354,2022-11-30,Senate,1,Prefiled
1635354,2022-11-30,Senate,2,"Referred to Committee on Judiciary"
1635354,2023-01-10,Senate,3,"Introduced and read first time"
1635354,2023-01-10,Senate,4,"Referred to Committee on Judiciary"
1635354,2023-02-08,,5,"Scrivener's error corrected"
1635357,2022-11-30,Senate,1,Prefiled
1635357,2022-11-30,Senate,2,"Referred to Committee on Judiciary"
1635357,2023-01-10,Senate,3,"Introduced and read first time"
1635357,2023-01-10,Senate,4,"Referred to Committee on Judiciary"
1635357,2023-02-08,,5,"Scrivener's error corrected"
1635360,2022-11-30,Senate,1,Prefiled
1635360,2022-11-30,Senate,2,"Referred to Committee on Family and Veterans' Services"
1635360,2023-01-10,Senate,3,"Introduced and read first time"
1635360,2023-01-10,Senate,4,"Referred to Committee on Family and Veterans' Services"
1635363,2022-11-30,Senate,1,Prefiled
1635363,2022-11-30,Senate,2,"Referred to Committee on Judiciary"
1635363,2023-01-10,Senate,3,"Introduced and read first time"
1635363,2023-01-10,Senate,4,"Referred to Committee on Judiciary"
1635365,2022-11-30,Senate,1,Prefiled
1635365,2022-11-30,Senate,2,"Referred to Committee on Judiciary"
1635365,2023-01-10,Senate,3,"Introduced and read first time"
1635365,2023-01-10,Senate,4,"Referred to Committee on Judiciary"
1635367,2022-11-30,Senate,1,Prefiled
1635367,2022-11-30,Senate,2,"Referred to Committee on Medical Affairs"
1635367,2023-01-10,Senate,3,"Introduced and read first time"
1635367,2023-01-10,Senate,4,"Referred to Committee on Medical Affairs"
