bill_id,roll_call_id,date,chamber,description,yea,nay,nv,absent,total
1635387,1265063,2023-03-01,Senate,"Senate: 3rd Reading",39,1,0,3,43
1635387,1438094,2024-05-02,House,"House: Passage Of Bill",99,0,15,10,124
1635387,1441844,2024-05-09,House,"House: Concur In Senate Amendments",0,101,14,9,124
1635389,1272017,2023-03-09,Senate,"Senate: 2nd Reading",41,0,0,4,45
1635405,1263633,2023-02-28,Senate,"Senate: 2nd Reading",41,0,0,4,45
1635488,1256650,2023-02-21,Senate,"Senate: To Set For Special Order",33,10,0,2,45
1635488,1258205,2023-02-22,Senate,"Senate: To Lay On The Table Amendment No. 6",29,12,0,1,42
1635488,1258206,2023-02-22,Senate,"Senate: 2nd Reading",39,5,0,2,46
1635488,1304616,2023-04-19,House,"House: Table Amendment 2 Amendment Number 2",72,30,15,7,124
1635488,1304617,2023-04-19,House,"House: Table Amendment 5 Amendment Number 5",30,72,15,7,124
1635488,1304618,2023-04-19,House,"House: Passage Of Bill",75,21,21,7,124
1635488,1306305,2023-04-20,House,"House: Passage Of Bill",80,22,13,9,124
1635488,1318677,2023-05-04,Senate,"Senate: To Concur",32,6,0,7,45
1635538,1286227,2023-03-28,Senate,"Senate: 2nd Reading",41,0,0,2,43
1635538,1318491,2023-05-04,House,"House: Passage Of Bill",108,0,12,4,124
1635538,1322919,2023-05-10,Senate,"Senate: To Concur",45,0,0,1,46
1635541,1233398,2023-01-19,Senate,"Senate: To Lay On The Table",24,14,0,6,44
1635541,1235049,2023-01-24,Senate,"Senate: To Lay On The Table Amendment Number 11",29,12,0,4,45
1635541,1235050,2023-01-24,Senate,"Senate: To Lay On The Table Amendment Number 15",29,9,0,6,44
1635541,1235624,2023-01-25,Senate,"Senate: To Lay On The Table The Motion To Carry Over S. 39",14,29,0,3,46
1635541,1235625,2023-01-25,Senate,"Senate: To Carry Over Amendment Number 17",39,3,0,3,45
1635541,1235626,2023-01-25,Senate,"Senate: To Lay On The Table",29,13,0,3,45
1635541,1238956,2023-01-31,Senate,"Senate: To Adopt Amendment Number 48",28,14,0,4,46
1635541,1238957,2023-01-31,Senate,"Senate: To Adopt Amendment Number 50",24,18,0,4,46
1635541,1238958,2023-01-31,Senate,"Senate: To Adopt Amendment Number 52",16,27,0,3,46
1635541,1238959,2023-01-31,Senate,"Senate: To Adopt Amendment Number 54",28,15,0,3,46
1635541,1238960,2023-01-31,Senate,"Senate: To Adopt Amendment Number 58",21,20,0,3,44
1635541,1238961,2023-01-31,Senate,"Senate: To Adopt Amendment Number 61",18,25,0,3,46
1635541,1238962,2023-01-31,Senate,"Senate: 2nd Reading",28,15,0,3,46
1635541,1311471,2023-04-26,House,"House: Table Amendment 2 Amendment Number 2",76,26,18,4,124
1635541,1311472,2023-04-26,House,"House: Table Amendment 3 Amendment Number 3",79,27,14,4,124
1635541,1311473,2023-04-26,House,"House: Table Amendment 4 Amendment Number 4",75,27,18,4,124
1635541,1311474,2023-04-26,House,"House: Table Amendment 5 Amendment Number 5",73,29,18,4,124
1635541,1311475,2023-04-26,House,"House: Table Amendment 6 Amendment Number 6",74,29,17,4,124
1635541,1311476,2023-04-26,House,"House: Table Amendment 7 Amendment Number 7",82,29,9,4,124
1635541,1311477,2023-04-26,House,"House: Table Amendment 8 Amendment Number 8",80,28,12,4,124
1635541,1311478,2023-04-26,House,"House: Table Amendment 9 Amendment Number 9",78,27,15,4,124
1635541,1311479,2023-04-26,House,"House: Table Amendment 12 Amendment Number 12",79,31,10,4,124
1635541,1311480,2023-04-26,House,"House: Table Amendment 13 Amendment Number 13",78,28,14,4,124
1635541,1311481,2023-04-26,House,"House: Table Amendment 14 Amendment Number 14",78,25,17,4,124
1635541,1311482,2023-04-26,House,"House: Table Amendment 15 Amendment Number 15",77,32,11,4,124
1635541,1311483,2023-04-26,House,"House: Table Amendment 16 Amendment Number 16",80,31,9,4,124
1635541,1311484,2023-04-26,House,"House: Table Amendment 17 Amendment Number 17",78,27,15,4,124
1635541,1311485,2023-04-26,House,"House: Table Amendment 18 Amendment Number 18",80,26,14,4,124
1635541,1311486,2023-04-26,House,"House: Table Amendment 19 Amendment Number 19",76,30,14,4,124
1635541,1311487,2023-04-26,House,"House: Table Amendment 20 Amendment Number 20",79,29,12,4,124
1635541,1311488,2023-04-26,House,"House: Table Amendment 21 Amendment Number 21",79,25,16,4,124
1635541,1311489,2023-04-26,House,"House: Table Amendment 22 Amendment Number 22",77,30,13,4,124
1635541,1311490,2023-04-26,House,"House: Table Amendment 24 Amendment Number 24",81,31,8,4,124
1635541,1311491,2023-04-26,House,"House: Table Amendment 25 Amendment Number 25",79,32,9,4,124
1635541,1311492,2023-04-26,House,"House: Table Amendment 26 Amendment Number 26",77,30,13,4,124
1635541,1311493,2023-04-26,House,"House: Passage Of Bill",79,35,6,4,124
1635541,1312671,2023-04-27,House,"House: Passage Of Bill",74,36,6,8,124
1635552,1279920,2023-03-21,Senate,"Senate: 2nd Reading",40,0,0,2,42
1635552,1441103,2024-05-08,House,"House: Passage Of Bill",108,0,6,10,124
1635552,1441871,2024-05-09,House,"House: Concur In Senate Amendments",103,0,10,11,124
1635574,1263887,2023-02-28,Senate,"Senate: 2nd Reading",40,0,0,5,45
1635574,1322668,2023-05-10,House,"House: Passage Of Bill",104,7,8,5,124
1635574,1323568,2023-05-11,Senate,"Senate: To Concur",42,0,0,3,45
1635574,1331567,2023-05-23,Senate,"Senate: To Override The Veto",45,0,0,0,45
1635574,1341219,2023-06-07,House,"House: Override Veto By The Governor",72,33,11,8,124
1635580,1264441,2023-02-28,Senate,"Senate: 2nd Reading",41,0,0,4,45
1635593,1300141,2023-02-28,Senate,"Senate: 2nd Reading",41,0,0,4,45
1635593,1316328,2023-05-02,House,"House: Passage Of Bill",116,0,6,2,124
