bill_id,people_id,position
1635322,2348,1
1635324,2348,1
1635327,2348,1
1635329,2330,1
1635332,2341,1
1635332,13014,2
1635334,2348,1
1635336,18037,1
1635339,2348,1
1635341,2330,1
1635344,2350,1
1635344,18037,2
1635347,13014,1
1635350,2324,1
1635350,2334,3
1635350,18033,2
1635352,2330,1
1635354,18036,1
1635357,18036,1
1635360,2342,1
1635363,2330,1
1635365,2342,1
1635365,18033,2
1635367,18036,1
1635370,2348,1
1635372,2348,1
1635375,2342,1
1635375,13014,2
1635377,18037,1
1635380,18031,1
1635382,2348,1
1635382,25027,2
1635384,2348,1
1635387,2348,3
1635387,14070,1
1635387,14450,2
1635389,2330,5
1635389,14032,4
1635389,14069,1
1635389,18033,3
1635389,21755,2
1635392,21756,2
1635392,21893,1
1635394,18037,1
1635396,2348,1
1635396,21755,2
1635399,18037,1
1635402,2342,1
1635405,2348,3
1635405,2364,7
1635405,2365,6
1635405,11221,5
1635405,14070,1
1635405,14450,2
1635405,18034,4
1635407,2348,1
1635410,2348,1
1635413,18031,1
1635416,2342,1
1635416,13014,2
1635418,21893,1
1635421,2341,1
1635423,2330,1
1635427,18036,1
1635430,18031,1
1635432,18037,1
1635435,18036,1
1635437,2294,2
1635437,14031,1
1635437,18034,3
1635440,18037,1
1635442,21893,1
1635444,2324,1
1635447,18031,1
1635449,14070,1
1635449,21755,2
1635455,2365,1
1635457,18031,1
1635460,2348,1
1635462,14032,5
1635462,14069,1
1635462,17736,2
1635462,18033,4
1635462,19906,6
1635462,21755,3
1635464,2342,1
1635467,14070,1
1635467,14450,2
1635469,2348,1
1635472,2341,5
1635472,2342,6
1635472,14032,2
1635472,14069,1
1635472,18033,3
1635472,18036,4
1635472,21755,8
1635472,25027,7
1635474,2348,1
1635474,21755,2
1635476,21893,1
1635479,2342,1
1635482,2342,1
1635485,2348,1
1635488,2330,2
1635488,2350,3
1635488,14070,1
1635491,18037,1
1635493,2348,1
1635496,18037,1
1635499,2348,1
1635501,18036,1
1635504,2330,1
1635506,18037,1
