bill_id,session,session_year,primary_sponsor,all_sponsors,summary,keywords,bill_url
HB1001,2024-RS,2024,Representative Karr (prime),"Representatives Karr (prime), Auch, Aylward, Blare, Chaffee, Emery, Fitzgerald, Gross, Hansen, Jamison, Jensen (Kevin), Jensen (Phil), Koth, Krohmer, Krull, Lems, Lesmeister, Massie, May, Mills, Moore, Mortenson, Mulally, Mulder, Odenbach, Overweg, Perry, Peterson (Sue), Pinnow, Pourier, Randolph, Rehfeldt, Reimer, Reisch, Schaefbauer, Sjaarda, Soye, St. John, Teunissen, Tordsen, Venhuizen, and Wangsness and Senators Johnson (prime), Beal, Foster, Frye-Mueller, Hoffman, Pischke, Rohl, and Wiik",repeal the expiration of a reduction in certain gross receipts and use tax rates.,Retail Sales and Service Tax; Sunset Clause; Taxation,http://sdlegislature.gov/Session/Bill/24381
HB1002,2024-RS,2024,Representative Venhuizen (prime),"Representatives Venhuizen (prime), Arlint, Bahmuller, Drury, Duba, Duffy, Emery, Gross, Kassin, Koth, Moore, Mortenson, Mulally, Mulder, Nelson, Otten (Ernie), Perry, Pinnow, Rehfeldt, Schneider, Shorma, Sjaarda, Tordsen, Wangsness, and Weisgram and Senators Bolin (prime), Crabtree, Davis, Diedrich, Mehlhaff, Nesiba, Rohl, and Stalzer",require administration of the ACT to public school students in grade eleven.,Education; School Curriculum; School Districts; Schools; Students,http://sdlegislature.gov/Session/Bill/24593
HB1003,2024-RS,2024,The Chair of the Committee on State Affairs,The Chair of the Committee on State Affairs at the request of the State Investment Council,update a reference to the Internal Revenue Code for purposes of higher education savings plans.,Education; Executive/Judiciary Request; Higher Education,http://sdlegislature.gov/Session/Bill/24758
HB1004,2024-RS,2024,The Chair of the Committee on Judiciary,The Chair of the Committee on Judiciary at the request of the Code Commission,update the official code of laws.,Code Commission; Legislature and Statutes,http://sdlegislature.gov/Session/Bill/24521
HB1005,2024-RS,2024,Representative Hansen (prime),"Representatives Hansen (prime), DeGroot, and Healy and Senators Hunhoff (prime), Foster, and Mehlhaff at the request of the Interim Committee on Rules Review",revise the manner of citing the Administrative Rules of South Dakota.,Administrative Procedure; Legislative Documents; State Affairs and Government,http://sdlegislature.gov/Session/Bill/24483
HB1006,2024-RS,2024,Representative Hansen (prime),"Representatives Hansen (prime), DeGroot, and Healy and Senators Hunhoff (prime), Foster, and Mehlhaff at the request of the Interim Committee on Rules Review",increase the amount of time permitted the Interim Rules Review Committee to review final permanent rulemaking materials.,Administrative Procedure; Promulgation of Rules; State Affairs and Government,http://sdlegislature.gov/Session/Bill/24520
HB1007,2024-RS,2024,The Chair of the Committee on Military,The Chair of the Committee on Military and Veterans Affairs at the request of the Department of Veterans Affairs,amend the requirement to employ a county veterans' service officer.,Counties; Executive/Judiciary Request; Indian Tribes; Veterans Affairs,http://sdlegislature.gov/Session/Bill/24864
HB1008,2024-RS,2024,The Chair of the Committee on Military,The Chair of the Committee on Military and Veterans Affairs at the request of the Department of Veterans Affairs,modify the eligibility for admission to the state veterans' home and repeal the residency requirement.,Executive/Judiciary Request; Nursing Homes; Residency; Veterans Affairs,http://sdlegislature.gov/Session/Bill/24865
HB1009,2024-RS,2024,Representative Krohmer (prime),"Representatives Krohmer (prime), Jensen (Phil), Krull, May, Mills, Otten (Ernie), Perry, Pourier, Reisch, Soye, and Venhuizen and Senators Schoenbeck (prime) and Johnson",modify the observation of time in South Dakota.,Daylight Savings Time; State Affairs and Government,http://sdlegislature.gov/Session/Bill/24382
HB1010,2024-RS,2024,Representative Krohmer (prime),Representative Krohmer (prime),require customer consent for installation of a smart meter for a utility service.,Public Utilities and Carriers; Utilities,http://sdlegislature.gov/Session/Bill/24433
