bill_id,session,session_year,action_date,action,order,vote_url
HB1001,2024-RS,2024,2024-01-09,First read in House and referred to House Taxation H.J. 22,1,
HB1001,2024-RS,2024,2024-01-11,Scheduled for hearing,2,
HB1001,2024-RS,2024,2024-01-11,"House Taxation  Do Pass, Passed, YEAS 11, NAYS 1.",3,
HB1001,2024-RS,2024,2024-01-11,Fiscal Note Requested H.J. 37,4,
HB1001,2024-RS,2024,2024-01-12,"House of Representatives  Do Pass, Passed, YEAS 54, NAYS 12. H.J. 52",5,
HB1001,2024-RS,2024,2024-01-16,First read in Senate and referred to Senate Committee on Appropriations S.J. 86,6,
HB1001,2024-RS,2024,2024-01-18,Scheduled for hearing,7,
HB1001,2024-RS,2024,2024-01-18,"Senate Committee on Appropriations  Tabled, Passed, YEAS 7, NAYS 2.",8,
HB1002,2024-RS,2024,2024-01-09,First read in House and referred to House Education H.J. 18,1,
HB1002,2024-RS,2024,2024-01-12,Scheduled for hearing,2,
HB1002,2024-RS,2024,2024-01-12,"House Education  Tabled, Passed, YEAS 14, NAYS 0.",3,
HB1003,2024-RS,2024,2024-01-09,First read in House and referred to House State Affairs H.J. 21,1,
HB1003,2024-RS,2024,2024-01-12,Scheduled for hearing,2,
HB1003,2024-RS,2024,2024-01-12,"House State Affairs  Do Pass, Passed, YEAS 13, NAYS 0.",3,
HB1003,2024-RS,2024,2024-01-12,"Certified uncontested, placed on consent",4,
HB1003,2024-RS,2024,2024-01-16,Remove from Consent Calendar H.J. 61,5,
HB1003,2024-RS,2024,2024-01-17,"House of Representatives  Do Pass, Passed, YEAS 69, NAYS 0. H.J. 76",6,
HB1003,2024-RS,2024,2024-01-18,First read in Senate and referred to Senate Education S.J. 108,7,
HB1003,2024-RS,2024,2024-01-25,Scheduled for hearing,8,
HB1003,2024-RS,2024,2024-01-25,"Senate Education  Do Pass, Passed, YEAS 6, NAYS 0.",9,
HB1003,2024-RS,2024,2024-01-25,"Certified uncontested, placed on consent",10,
HB1003,2024-RS,2024,2024-01-29,"Senate  Do Pass, Passed, YEAS 31, NAYS 0. S.J. 191",11,
HB1003,2024-RS,2024,2024-01-30,Signed by the Speaker H.J. 203,12,
HB1003,2024-RS,2024,2024-01-31,Signed by the President S.J. 224,13,
HB1003,2024-RS,2024,2024-02-01,"Delivered to the Governor on Thursday, February 01, 2024  H.J. 224",14,
HB1003,2024-RS,2024,2024-02-06,"Signed by the Governor on Monday, February 05, 2024  H.J. 256",15,
HB1004,2024-RS,2024,2024-01-09,First read in House and referred to House Judiciary H.J. 19,1,
HB1004,2024-RS,2024,2024-01-12,Scheduled for hearing,2,
HB1004,2024-RS,2024,2024-01-12,"House Judiciary  Do Pass, Passed, YEAS 11, NAYS 0.",3,
HB1004,2024-RS,2024,2024-01-12,"Certified uncontested, placed on consent",4,
HB1004,2024-RS,2024,2024-01-16,"House of Representatives  Do Pass, Passed, YEAS 69, NAYS 0. H.J. 61",5,
HB1004,2024-RS,2024,2024-01-17,First read in Senate and referred to Senate Judiciary S.J. 96,6,
HB1004,2024-RS,2024,2024-01-25,Scheduled for hearing,7,
HB1004,2024-RS,2024,2024-01-25,"Senate Judiciary  Do Pass, Passed, YEAS 7, NAYS 0.",8,
HB1004,2024-RS,2024,2024-01-25,"Certified uncontested, placed on consent",9,
HB1004,2024-RS,2024,2024-01-29,"Senate  Do Pass, Passed, YEAS 31, NAYS 0. S.J. 191",10,
HB1004,2024-RS,2024,2024-01-30,Signed by the Speaker H.J. 203,11,
HB1004,2024-RS,2024,2024-01-31,Signed by the President S.J. 224,12,
HB1004,2024-RS,2024,2024-02-01,"Delivered to the Governor on Thursday, February 01, 2024  H.J. 224",13,
HB1004,2024-RS,2024,2024-02-06,"Signed by the Governor on Monday, February 05, 2024  H.J. 256",14,
HB1005,2024-RS,2024,2024-01-09,First read in House and referred to House Judiciary H.J. 19,1,
HB1005,2024-RS,2024,2024-01-12,Scheduled for hearing,2,
HB1005,2024-RS,2024,2024-01-12,"House Judiciary  Do Pass, Passed, YEAS 11, NAYS 0.",3,
HB1005,2024-RS,2024,2024-01-12,"Certified uncontested, placed on consent",4,
HB1005,2024-RS,2024,2024-01-16,"House of Representatives  Do Pass, Passed, YEAS 69, NAYS 0. H.J. 61",5,
HB1005,2024-RS,2024,2024-01-17,First read in Senate and referred to Senate State Affairs S.J. 96,6,
HB1005,2024-RS,2024,2024-01-22,Scheduled for hearing,7,
HB1005,2024-RS,2024,2024-01-22,"Senate State Affairs  Do Pass, Passed, YEAS 9, NAYS 0.",8,
HB1005,2024-RS,2024,2024-01-22,"Certified uncontested, placed on consent",9,
