people_id,name,first_name,middle_name,last_name,suffix,nickname,party_id,party,role_id,role,district,followthemoney_eid,votesmart_id,opensecrets_id,ballotpedia,knowwho_pid,committee_id
8218,"Ryan Maher",Ryan,M.,Maher,,,2,R,2,Sen,SD-028,6475292,60326,,Ryan_Maher,250320,0
8222,"Phil Jensen",Phil,,Jensen,,,2,R,1,Rep,HD-033,8594037,104047,,Phil_Jensen,271447,0
8275,"Charles Hoffman",Charles,B,Hoffman,,,2,R,1,Rep,HD-023,6675771,25131,,Charles_Hoffman_(South_Dakota),271417,0
8288,"Dean Wink",Dean,,Wink,,,2,R,1,Rep,SD-029,6675835,92840,,Dean_Wink,271437,0
8291,"Jim Bolin",Jim,,Bolin,,,2,R,1,Rep,SD-016,6675741,103990,,James_Bolin,271395,0
8296,"Al Novstrup",Al,,Novstrup,,,2,R,2,Sen,SD-003,6580757,48320,,Al_Novstrup,214314,0
8303,"Jean Hunhoff",Jean,,Hunhoff,,,2,R,1,Rep,SD-018,6580577,25169,,Jean_Hunhoff,205990,0
10984,"Jon Hansen",Jon,,Hansen,,,2,R,1,Rep,HD-025,6685955,121385,,Jon_Hansen,292773,0
14196,"Ernie Otten",Ernie,,Otten,Jr.,,2,R,1,Rep,HD-006,11023160,149106,,Ernie_Otten_Jr.,396244,0
14420,"Mike Stevens",Mike,,Stevens,,,2,R,1,Rep,HD-018,11023149,137892,,Mike_Stevens_(South_Dakota),408739,0
14495,"Gary Cammack",Gary,L.,Cammack,,,2,R,1,Rep,HD-029,11023127,113610,,Gary_Cammack,403108,0
14687,"Elizabeth May",Elizabeth,,May,,Liz,2,R,1,Rep,HD-027,6533952,66336,,Elizabeth_May,408749,0
14691,"Herman Otten",Herman,,Otten,,,2,R,2,Sen,SD-006,11023119,11244,,Herman_Otten,396246,0
14692,"Kyle Schoenfish",Kyle,,Schoenfish,,,2,R,2,Sen,SD-019,6503105,121354,,Kyle_Schoenfish,290500,0
14693,"Jim Stalzer",Jim,,Stalzer,,,2,R,2,Sen,SD-011,8616599,137861,,Jim_Stalzer,403090,0
17145,"John Wiik",John,,Wiik,,,2,R,1,Rep,SD-004,23353298,151947,,John_Wiik,492802,0
17180,"Arch Beal",Arch,,Beal,,,2,R,2,Sen,SD-012,8596817,151966,,Arch_Beal,492835,0
17181,"Fred Deutsch",Fred,,Deutsch,,,2,R,1,Rep,HD-004,8605103,137845,,Fred_Deutsch,403080,0
17185,"Joshua Klumb",Joshua,M.,Klumb,,,2,R,2,Sen,SD-020,23353476,151984,,Joshua_Klumb,486969,0
17189,"Lee Schoenbeck",Lee,,Schoenbeck,,,2,R,1,Rep,SD-005,6580835,7456,,Lee_Schoenbeck,212040,0
17190,"Larry Zikmund",Larry,P.,Zikmund,,,2,R,2,Sen,SD-014,8608125,137866,,Larry_P._Zikmund,408635,0
17257,"Shawn Bordeaux",Shawn,L.,Bordeaux,,,1,D,2,Sen,SD-026,23353488,151995,,Shawn_Bordeaux,493037,0
17822,"William Shorma",William,,Shorma,,,2,R,1,Rep,HD-017,39762645,156686,,William_Shorma,535341,0
18628,"Julie Frye-Mueller",Julie,,Frye-Mueller,,,2,R,2,Sen,SD-030,23353627,152012,,Julie_Frye-Mueller,493067,0
18686,"Hugh Bartels",Hugh,M.,Bartels,,,2,R,1,Rep,HD-005,39762614,168917,,Hugh_Bartels,569505,0
18687,"Roger Chase",Roger,,Chase,,,2,R,1,Rep,HD-022,8594979,101252,,Roger_Chase,581537,0
18690,"Greg Jamison",Greg,,Jamison,,,2,R,1,Rep,HD-012,28727308,77866,,Greg_Jamison,576720,0
18691,"Kevin Jensen",Kevin,D.,Jensen,,,2,R,1,Rep,HD-016,11023139,137889,,Kevin_Jensen,408661,0
