bill_id,people_id,position
1641365,8303,4
1641365,14196,1
1641365,14692,8
1641365,18693,5
1641365,18700,7
1641365,18936,6
1641365,20406,3
1641365,20581,2
1641365,22632,9
1641366,14196,1
1641366,22244,2
1641366,22451,3
1642033,14692,6
1642033,17181,2
1642033,18702,4
1642033,20582,3
1642033,22244,7
1642033,22451,5
1642033,22632,1
1642064,17189,2
1642064,18686,1
1642082,14196,5
1642082,14692,7
1642082,17181,3
1642082,18702,6
1642082,20582,4
1642082,22244,2
1642082,22451,1
1642082,22632,8
1642119,14196,4
1642119,14420,7
1642119,14692,6
1642119,17181,1
1642119,18702,2
1642119,20582,3
1642119,22244,8
1642119,22451,5
1642119,22632,9
1642133,14692,6
1642133,17181,1
1642133,18702,4
1642133,20582,3
1642133,22244,2
1642133,22451,5
1642168,14196,5
1642168,14420,1
1642168,14692,8
1642168,17181,3
1642168,18702,6
1642168,20582,4
1642168,22244,9
1642168,22451,7
1642168,22632,2
1643556,14196,5
1643556,14420,7
1643556,14692,6
1643556,17181,3
1643556,18702,1
1643556,20582,4
1643556,22244,8
1643556,22451,2
1643556,22632,9
1645209,14495,3
1645209,17190,2
1645209,18696,9
1645209,18792,7
1645209,18936,10
1645209,20583,8
1645209,21507,4
1645209,21672,5
1645209,22419,1
1645209,22513,6
1645235,8218,1
1645235,8296,30
1645235,14495,4
1645235,14691,32
1645235,14693,39
1645235,17189,36
1645235,17190,43
1645235,17822,37
1645235,18687,7
1645235,18692,19
1645235,18696,25
1645235,18936,29
1645235,19494,10
1645235,19679,2
1645235,20396,3
1645235,20397,18
1645235,20409,38
1645235,20579,6
1645235,20581,13
1645235,20584,31
1645235,21437,15
1645235,21507,5
1645235,21672,8
1645235,21673,35
1645235,22244,40
1645235,22503,17
1645235,22504,34
1645235,22532,12
1645235,22640,9
1645235,23768,16
1645235,23769,20
1645235,23770,22
1645235,23771,23
1645235,23772,26
1645235,23775,42
1645235,23778,21
1645235,23899,27
1645235,24072,41
1645235,24157,33
1645235,24394,11
1645235,24395,14
1645235,24401,24
1645235,24752,28
1645275,14420,2
1645275,17189,1
1645288,8303,14
1645288,14196,24
1645288,14420,31
1645288,14687,21
1645288,17181,9
1645288,17257,7
1645288,18686,5
1645288,18692,15
1645288,18696,20
1645288,18701,26
1645288,18702,28
1645288,18936,1
1645288,19494,10
1645288,20396,6
1645288,20409,30
1645288,20539,25
1645288,20581,11
1645288,20582,13
1645288,20583,16
1645288,20585,27
1645288,22449,4
1645288,22451,2
1645288,22504,29
1645288,22640,8
1645288,23768,12
1645288,23770,17
1645288,23771,18
1645288,23776,34
1645288,23907,32
1645288,24072,33
1645288,24155,3
1645288,24156,22
1645288,24401,19
1645288,24752,23
1645368,8218,10
1645368,8303,8
1645368,14691,12
1645368,17189,17
1645368,17190,20
1645368,18686,3
1645368,18687,1
1645368,18692,2
1645368,18702,13
1645368,19494,4
1645368,20583,9
1645368,21437,7
1645368,21443,18
1645368,21673,16
1645368,22243,19
1645368,22504,15
1645368,22532,5
1645368,23772,11
1645368,23774,14
1645368,24395,6
1645381,14196,2
1645381,20396,4
1645381,21437,1
1645381,22503,6
1645381,23766,3
1645381,23777,5
1645447,8303,11
1645447,14196,16
1645447,14693,20
1645447,17181,8
1645447,17189,2
1645447,17190,24
1645447,17822,19
1645447,18686,3
1645447,18687,6
1645447,18692,12
1645447,19494,9
1645447,20396,4
1645447,20583,13
1645447,21437,10
1645447,21672,7
1645447,21673,18
1645447,22243,23
1645447,22353,1
1645447,23767,5
1645447,23771,14
1645447,23772,15
1645447,23774,17
1645447,23775,22
1645447,24072,21
1645474,14693,21
1645474,17189,19
1645474,17257,4
1645474,17822,20
1645474,18692,9
1645474,18701,17
1645474,18792,2
1645474,18936,13
1645474,19679,18
1645474,20396,3
1645474,20539,16
1645474,20584,14
1645474,21501,15
1645474,21672,5
1645474,22640,6
1645474,23766,1
1645474,23768,7
1645474,23776,24
1645474,23899,11
1645474,23907,22
1645474,24072,23
1645474,24120,10
1645474,24122,8
1645474,24752,12
1645488,8218,9
1645488,14420,14
1645488,14691,11
1645488,17190,18
1645488,18686,3
1645488,18687,1
1645488,18792,8
1645488,19494,4
1645488,21437,7
1645488,21672,2
1645488,22243,16
1645488,22353,10
1645488,22532,5
1645488,22632,17
1645488,23774,13
1645488,24072,15
1645488,24157,12
1645488,24395,6
1645513,8303,11
1645513,14196,17
1645513,14420,21
1645513,14692,20
1645513,17189,2
1645513,17190,25
1645513,18686,3
1645513,18687,6
1645513,18692,12
1645513,18702,18
1645513,18936,16
1645513,20396,4
1645513,20581,9
1645513,20583,13
1645513,21437,10
1645513,22243,24
1645513,22244,22
1645513,22504,19
1645513,22532,8
1645513,22640,7
1645513,23767,5
1645513,23769,1
1645513,23771,14
1645513,24072,23
1645513,24752,15
1645529,14495,3
1645529,17190,9
1645529,18696,8
1645529,18792,1
1645529,20583,7
1645529,21507,4
1645529,21672,5
1645529,22419,2
1645529,22513,6
1645554,14196,5
1645554,14420,8
1645554,14692,7
1645554,17181,3
1645554,18702,6
1645554,20582,4
1645554,22244,2
1645554,22451,1
1645554,22632,9
1645580,17181,1
1645580,17189,2
1645590,8296,3
1645590,18691,2
1645590,20396,1
1645590,20539,4
1645590,23907,5
1650722,8296,1
1650722,14196,2
1650722,18690,3
1650977,17181,5
1650977,17189,10
1650977,18686,3
1650977,18692,8
1650977,19494,6
1650977,20396,4
1650977,21437,1
1650977,22503,7
1650977,22504,9
1650977,23774,2
1651225,14693,6
1651225,21437,1
1651225,22503,3
1651225,23774,2
1651225,24122,4
1651225,24312,5
1652076,23907,1
1652079,23907,1
1652082,23907,1
1652158,8296,2
1652158,14196,11
1652158,14693,15
1652158,17145,16
1652158,17181,1
1652158,18628,5
1652158,18691,6
1652158,18699,8
1652158,19905,14
1652158,19915,10
1652158,20396,3
1652158,20539,12
1652158,22503,4
1652158,23773,13
1652158,23899,9
1652158,24274,7
1652683,8218,1
1653208,8218,17
1653208,8222,13
1653208,8291,4
1653208,8296,20
1653208,8303,11
1653208,14196,21
1653208,14691,22
1653208,14693,26
1653208,17145,2
1653208,17181,8
1653208,17185,14
1653208,17190,28
1653208,17822,25
1653208,18691,12
1653208,18699,18
1653208,19679,24
1653208,20396,3
1653208,20539,23
1653208,20579,1
1653208,21507,6
1653208,21672,7
1653208,22503,10
1653208,22532,9
1653208,23767,5
1653208,23771,16
1653208,23899,19
1653208,24072,27
1653208,24120,15
1653733,8296,29
1653733,14691,32
1653733,14693,2
1653733,17181,10
1653733,17190,43
1653733,17822,40
1653733,18628,14
1653733,18692,17
1653733,18699,24
1653733,18701,35
1653733,18792,18
1653733,18936,28
1653733,19915,26
1653733,20396,5
1653733,20406,15
1653733,20539,33
1653733,20579,7
1653733,20581,11
1653733,20583,19
1653733,20584,31
1653733,20585,36
1653733,21672,8
1653733,22450,30
1653733,22451,37
1653733,22503,13
1653733,22504,38
1653733,23766,4
1653733,23767,6
1653733,23768,12
1653733,23772,23
1653733,23773,34
1653733,23774,1
1653733,23777,9
1653733,23899,25
1653733,23907,41
1653733,24072,42
1653733,24120,20
1653733,24121,39
1653733,24122,16
1653733,24155,3
1653733,24274,22
1653733,24401,21
1653733,24752,27
1653990,8291,1
1653990,8303,11
1653990,14196,21
1653990,14420,32
1653990,17181,9
1653990,17190,36
1653990,17822,31
1653990,18686,4
1653990,18687,6
1653990,18690,12
1653990,18692,13
1653990,18702,24
1653990,18792,15
1653990,19679,26
1653990,20396,5
1653990,20539,22
1653990,20581,10
1653990,20583,16
1653990,20584,20
1653990,21672,7
1653990,21673,30
1653990,22243,34
1653990,22353,19
1653990,22451,25
1653990,22504,28
1653990,22632,35
1653990,22640,8
1653990,23769,14
1653990,23770,17
1653990,23774,27
1653990,23775,2
1653990,23899,18
1653990,24072,33
1653990,24121,29
1653990,24155,3
1653990,24157,23
1654238,8218,1
1654238,8291,7
1654238,14196,26
1654238,14420,36
1654238,17181,10
1654238,17190,39
1654238,17822,34
1654238,18686,5
1654238,18696,21
1654238,18702,29
1654238,18792,18
