bill_id,session_id,bill_number,status,status_desc,status_date,title,description,committee_id,committee,last_action_date,last_action,url,state_link
1792470,2107,HB1001,2,Engrossed,2024-01-12,"Repeal the expiration of a reduction in certain gross receipts and use tax rates.","Repeal the expiration of a reduction in certain gross receipts and use tax rates.",0,,2024-01-18,"Committee on Appropriations Tabled, Passed, YEAS 7, NAYS 2.",https://legiscan.com/SD/bill/HB1001/2024,https://sdlegislature.gov/#/Session/Bill/24381
1792467,2107,HB1002,1,Introduced,2024-01-09,"Require administration of the ACT to public school students in grade eleven.","Require administration of the ACT to public school students in grade eleven.",0,,2024-01-12,"Education Tabled, Passed, YEAS 14, NAYS 0.",https://legiscan.com/SD/bill/HB1002/2024,https://sdlegislature.gov/#/Session/Bill/24593
1792486,2107,HB1003,4,Passed,2024-02-06,"Update a reference to the Internal Revenue Code for purposes of higher education savings plans.","Update a reference to the Internal Revenue Code for purposes of higher education savings plans.",0,,2024-02-06,"Signed by the Governor on February 06, 2024 H.J. 256",https://legiscan.com/SD/bill/HB1003/2024,https://sdlegislature.gov/#/Session/Bill/24758
1792488,2107,HB1004,4,Passed,2024-02-06,"Update the official code of laws.","Update the official code of laws.",0,,2024-02-06,"Signed by the Governor on February 06, 2024 H.J. 256",https://legiscan.com/SD/bill/HB1004/2024,https://sdlegislature.gov/#/Session/Bill/24521
1792499,2107,HB1005,4,Passed,2024-02-06,"Revise the manner of citing the Administrative Rules of South Dakota.","Revise the manner of citing the Administrative Rules of South Dakota.",0,,2024-02-06,"Signed by the Governor on February 06, 2024 H.J. 256",https://legiscan.com/SD/bill/HB1005/2024,https://sdlegislature.gov/#/Session/Bill/24483
1792460,2107,HB1006,4,Passed,2024-02-06,"Increase the amount of time permitted the Interim Rules Review Committee to review final permanent rulemaking materials.","Increase the amount of time permitted the Interim Rules Review Committee to review final permanent rulemaking materials.",0,,2024-02-06,"Signed by the Governor on February 06, 2024 H.J. 256",https://legiscan.com/SD/bill/HB1006/2024,https://sdlegislature.gov/#/Session/Bill/24520
1792504,2107,HB1007,4,Passed,2024-02-27,"Amend the requirement to employ a county veterans' service officer.","Amend the requirement to employ a county veterans' service officer.",0,,2024-02-27,"Signed by the Governor on February 27, 2024 H.J. 410",https://legiscan.com/SD/bill/HB1007/2024,https://sdlegislature.gov/#/Session/Bill/24864
1792492,2107,HB1008,4,Passed,2024-02-27,"Modify the eligibility for admission to the state veterans' home and repeal the residency requirement.","Modify the eligibility for admission to the state veterans' home and repeal the residency requirement.",0,,2024-02-27,"Signed by the Governor on February 27, 2024 H.J. 410",https://legiscan.com/SD/bill/HB1008/2024,https://sdlegislature.gov/#/Session/Bill/24865
1792464,2107,HB1009,1,Introduced,2024-01-09,"Modify the observation of time in South Dakota.","Modify the observation of time in South Dakota.",0,,2024-01-17,"State Affairs Deferred to the 41st legislative day, Passed, YEAS 11, NAYS 2.",https://legiscan.com/SD/bill/HB1009/2024,https://sdlegislature.gov/#/Session/Bill/24382
1792457,2107,HB1010,0,,,"Require customer consent for installation of a smart meter for a utility service.","Require customer consent for installation of a smart meter for a utility service.",0,,2024-01-09,"Withdrawn at the Request of the Prime Sponsor H.J. 16",https://legiscan.com/SD/bill/HB1010/2024,https://sdlegislature.gov/#/Session/Bill/24433
1794526,2107,HB1011,4,Passed,2024-02-06,"Revise the membership of the South Dakota Capitol Complex Restoration and Beautification Commission.","Revise the membership of the South Dakota Capitol Complex Restoration and Beautification Commission.",0,,2024-02-06,"Signed by the Governor on February 06, 2024 H.J. 256",https://legiscan.com/SD/bill/HB1011/2024,https://sdlegislature.gov/#/Session/Bill/24703
1794552,2107,HB1012,4,Passed,2024-02-13,"Adopt the interstate counseling licensure compact and revise educational requirements to comply with the compact.","Adopt the interstate counseling licensure compact and revise educational requirements to comply with the compact.",0,,2024-02-13,"Signed by the Governor on February 13, 2024 H.J. 314",https://legiscan.com/SD/bill/HB1012/2024,https://sdlegislature.gov/#/Session/Bill/24474
1794548,2107,HB1013,4,Passed,2024-02-06,"Adopt the advanced practice registered nurse compact.","Adopt the advanced practice registered nurse compact.",0,,2024-02-06,"Signed by the Governor on February 06, 2024 H.J. 256",https://legiscan.com/SD/bill/HB1013/2024,https://sdlegislature.gov/#/Session/Bill/24509
1794546,2107,HB1014,1,Introduced,2024-01-09,"Amend the criteria for designation as a regional nursing facility and applicable reimbursement.","Amend the criteria for designation as a regional nursing facility and applicable reimbursement.",0,,2024-02-15,"Committee on Appropriations Deferred to the 41st legislative day, Passed, YEAS 7, NAYS 2.",https://legiscan.com/SD/bill/HB1014/2024,https://sdlegislature.gov/#/Session/Bill/24540
1794532,2107,HB1015,4,Passed,2024-02-06,"Adopt the social work licensure compact.","Adopt the social work licensure compact.",0,,2024-02-06,"Signed by the Governor on February 06, 2024 H.J. 256",https://legiscan.com/SD/bill/HB1015/2024,https://sdlegislature.gov/#/Session/Bill/24669
1794533,2107,HB1016,1,Introduced,2024-01-09,"Conduct a feasibility study on the medicaid program of all-inclusive care for the elderly and make an appropriation therefor.","Conduct a feasibility study on the medicaid program of all-inclusive care for the elderly and make an appropriation therefor.",0,,2024-02-20,"Committee on Appropriations Tabled, Passed, YEAS 16, NAYS 0.",https://legiscan.com/SD/bill/HB1016/2024,https://sdlegislature.gov/#/Session/Bill/24671
1794543,2107,HB1017,4,Passed,2024-02-13,"Adopt the psychology interjurisdictional licensure compact.","Adopt the psychology interjurisdictional licensure compact.",0,,2024-02-13,"Signed by the Governor on February 13, 2024 H.J. 314",https://legiscan.com/SD/bill/HB1017/2024,https://sdlegislature.gov/#/Session/Bill/24675
1794530,2107,HB1018,4,Passed,2024-02-06,"Revise certain references to the Internal Revenue Code.","Revise certain references to the Internal Revenue Code.",0,,2024-02-06,"Signed by the Governor on February 06, 2024 H.J. 256",https://legiscan.com/SD/bill/HB1018/2024,https://sdlegislature.gov/#/Session/Bill/24705
1794556,2107,HB1019,4,Passed,2024-02-01,"Clarify language regarding sales and use tax in certain statutes.","Clarify language regarding sales and use tax in certain statutes.",0,,2024-02-01,"Signed by the Governor on February 01, 2024 H.J. 224",https://legiscan.com/SD/bill/HB1019/2024,https://sdlegislature.gov/#/Session/Bill/24876
1794520,2107,HB1020,4,Passed,2024-02-06,"Revise the method by which completion of a required suicide awareness and prevention training is verified.","Revise the method by which completion of a required suicide awareness and prevention training is verified.",0,,2024-02-06,"Signed by the Governor on February 06, 2024 H.J. 256",https://legiscan.com/SD/bill/HB1020/2024,https://sdlegislature.gov/#/Session/Bill/24788
1794549,2107,HB1021,1,Introduced,2024-01-09,"Merge the Professional Teachers Practices and Standards Commission and the Professional Administrators Practices and Standards Commission.","Merge the Professional Teachers Practices and Standards Commission and the Professional Administrators Practices and Standards Commission.",0,,2024-01-17,"Education Deferred to the 41st legislative day, Passed, YEAS 8, NAYS 7.",https://legiscan.com/SD/bill/HB1021/2024,https://sdlegislature.gov/#/Session/Bill/24789
1794554,2107,HB1022,4,Passed,2024-03-26,"Make an appropriation to the Department of Education to provide professional development in literacy to teachers, and to declare an emergency.","Make an appropriation to the Department of Education to provide professional development in literacy to teachers, and to declare an emergency.",0,,2024-03-26,"Signed by the Governor on March 26, 2024 H.J. 514",https://legiscan.com/SD/bill/HB1022/2024,https://sdlegislature.gov/#/Session/Bill/24918
1794527,2107,HB1023,4,Passed,2024-02-27,"Provide immunity from liability for certain actions of the State Bar and its agents.","Provide immunity from liability for certain actions of the State Bar and its agents.",0,,2024-02-27,"Signed by the Governor on February 27, 2024 H.J. 410",https://legiscan.com/SD/bill/HB1023/2024,https://sdlegislature.gov/#/Session/Bill/24741
1794545,2107,HB1024,4,Passed,2024-02-13,"Require that an application for a medical marijuana registry identification card include a notice of federal law regarding firearms and the unlawful use of a controlled substance.","Require that an application for a medical marijuana registry identification card include a notice of federal law regarding firearms and the unlawful use of a controlled substance.",0,,2024-02-13,"Signed by the Governor on February 13, 2024 H.J. 314",https://legiscan.com/SD/bill/HB1024/2024,https://sdlegislature.gov/#/Session/Bill/24528
1794523,2107,HB1025,2,Engrossed,2024-01-17,"Establish the crime of exposure of a law enforcement officer to a controlled drug or substance and to provide a penalty therefor.","Establish the crime of exposure of a law enforcement officer to a controlled drug or substance and to provide a penalty therefor.",0,,2024-01-25,"Judiciary Deferred to the 41st legislative day, Passed, YEAS 4, NAYS 3.",https://legiscan.com/SD/bill/HB1025/2024,https://sdlegislature.gov/#/Session/Bill/24629
1794536,2107,HB1026,4,Passed,2024-02-06,"Clarify the requirement for the construction or expansion of a municipal campground or tourist accommodation facility.","Clarify the requirement for the construction or expansion of a municipal campground or tourist accommodation facility.",0,,2024-02-06,"Signed by the Governor on February 06, 2024 H.J. 256",https://legiscan.com/SD/bill/HB1026/2024,https://sdlegislature.gov/#/Session/Bill/24660
1795039,2107,HB1027,4,Passed,2024-02-15,"Modify substances listed on the controlled substances schedule and to declare an emergency.","Modify substances listed on the controlled substances schedule and to declare an emergency.",0,,2024-02-15,"Signed by the Governor on February 15, 2024 H.J. 340",https://legiscan.com/SD/bill/HB1027/2024,https://sdlegislature.gov/#/Session/Bill/24717
1795043,2107,HB1028,4,Passed,2024-02-13,"Classify xylazine as a Schedule III controlled substance, establish permissible uses, and to declare an emergency.","Classify xylazine as a Schedule III controlled substance, establish permissible uses, and to declare an emergency.",0,,2024-02-13,"Signed by the Governor on February 13, 2024 H.J. 314",https://legiscan.com/SD/bill/HB1028/2024,https://sdlegislature.gov/#/Session/Bill/24718
1795045,2107,HB1029,4,Passed,2024-02-21,"Modify and repeal provisions related to the licensure of hearing aid dispensers and audiologists.","Modify and repeal provisions related to the licensure of hearing aid dispensers and audiologists.",0,,2024-02-21,"Signed by the Governor on February 21, 2024 H.J. 364",https://legiscan.com/SD/bill/HB1029/2024,https://sdlegislature.gov/#/Session/Bill/24721
1795030,2107,HB1030,4,Passed,2024-02-06,"Update statutory and regulatory references pertaining to water pollution.","Update statutory and regulatory references pertaining to water pollution.",0,,2024-02-06,"Signed by the Governor on February 06, 2024 H.J. 256",https://legiscan.com/SD/bill/HB1030/2024,https://sdlegislature.gov/#/Session/Bill/24743
1795027,2107,HB1031,4,Passed,2024-02-06,"Update the development and implementation of conservation district standards.","Update the development and implementation of conservation district standards.",0,,2024-02-06,"Signed by the Governor on February 06, 2024 H.J. 256",https://legiscan.com/SD/bill/HB1031/2024,https://sdlegislature.gov/#/Session/Bill/24744
1794994,2107,HB1032,1,Introduced,2024-01-09,"Extend to veterinarians provisions governing drugs, medicines, and various biological products that are prepared for animal use.","Extend to veterinarians provisions governing drugs, medicines, and various biological products that are prepared for animal use.",0,,2024-01-30,"Agriculture and Natural Resources Deferred to the 41st legislative day, Passed, YEAS 13, NAYS 0.",https://legiscan.com/SD/bill/HB1032/2024,https://sdlegislature.gov/#/Session/Bill/24745
1795051,2107,HB1033,4,Passed,2024-02-06,"Address the administration of State Conservation Commission functions by the Department of Agriculture and Natural Resources.","Address the administration of State Conservation Commission functions by the Department of Agriculture and Natural Resources.",0,,2024-02-06,"Signed by the Governor on February 06, 2024 H.J. 256",https://legiscan.com/SD/bill/HB1033/2024,https://sdlegislature.gov/#/Session/Bill/24746
1795036,2107,HB1034,4,Passed,2024-02-21,"Require hydrogen pipelines to be permitted by the Public Utilities Commission.","Require hydrogen pipelines to be permitted by the Public Utilities Commission.",0,,2024-02-21,"Signed by the Governor on February 21, 2024 H.J. 364",https://legiscan.com/SD/bill/HB1034/2024,https://sdlegislature.gov/#/Session/Bill/24814
