bill_id,document_id,document_type,document_size,document_mime,document_desc,url,state_link
1792470,2863864,text,104512,application/pdf,Introduced,https://legiscan.com/SD/text/HB1001/id/2863864,https://mylrc.sdlegislature.gov/api/Documents/256775.pdf
1792467,2863862,text,113486,application/pdf,Introduced,https://legiscan.com/SD/text/HB1002/id/2863862,https://mylrc.sdlegislature.gov/api/Documents/256781.pdf
1792486,2863877,text,110695,application/pdf,Introduced,https://legiscan.com/SD/text/HB1003/id/2863877,https://mylrc.sdlegislature.gov/api/Documents/256782.pdf
1792486,2907083,text,106586,application/pdf,Enrolled,https://legiscan.com/SD/text/HB1003/id/2907083,https://mylrc.sdlegislature.gov/api/Documents/263409.pdf
1792488,2863879,text,112882,application/pdf,Introduced,https://legiscan.com/SD/text/HB1004/id/2863879,https://mylrc.sdlegislature.gov/api/Documents/256783.pdf
1792488,2907220,text,108465,application/pdf,Enrolled,https://legiscan.com/SD/text/HB1004/id/2907220,https://mylrc.sdlegislature.gov/api/Documents/263410.pdf
1792499,2863888,text,112023,application/pdf,Introduced,https://legiscan.com/SD/text/HB1005/id/2863888,https://mylrc.sdlegislature.gov/api/Documents/256784.pdf
1792499,2902738,text,94460,application/pdf,Enrolled,https://legiscan.com/SD/text/HB1005/id/2902738,https://mylrc.sdlegislature.gov/api/Documents/262676.pdf
1792460,2863856,text,130477,application/pdf,Introduced,https://legiscan.com/SD/text/HB1006/id/2863856,https://mylrc.sdlegislature.gov/api/Documents/256785.pdf
1792460,2906329,text,112914,application/pdf,Enrolled,https://legiscan.com/SD/text/HB1006/id/2906329,https://mylrc.sdlegislature.gov/api/Documents/262677.pdf
1792504,2863892,text,106822,application/pdf,Introduced,https://legiscan.com/SD/text/HB1007/id/2863892,https://mylrc.sdlegislature.gov/api/Documents/256786.pdf
1792504,2934262,text,101039,application/pdf,Enrolled,https://legiscan.com/SD/text/HB1007/id/2934262,https://mylrc.sdlegislature.gov/api/Documents/265805.pdf
1792492,2863882,text,105571,application/pdf,Introduced,https://legiscan.com/SD/text/HB1008/id/2863882,https://mylrc.sdlegislature.gov/api/Documents/256787.pdf
1792492,2902661,text,106686,application/pdf,"Comm Sub",https://legiscan.com/SD/text/HB1008/id/2902661,https://mylrc.sdlegislature.gov/api/Documents/262609.pdf
1792492,2929358,text,99721,application/pdf,Enrolled,https://legiscan.com/SD/text/HB1008/id/2929358,https://mylrc.sdlegislature.gov/api/Documents/265685.pdf
1792464,2863859,text,106524,application/pdf,Introduced,https://legiscan.com/SD/text/HB1009/id/2863859,https://mylrc.sdlegislature.gov/api/Documents/256788.pdf
1792457,2863854,text,105629,application/pdf,Introduced,https://legiscan.com/SD/text/HB1010/id/2863854,https://mylrc.sdlegislature.gov/api/Documents/256789.pdf
1794526,2865963,text,106743,application/pdf,Introduced,https://legiscan.com/SD/text/HB1011/id/2865963,https://mylrc.sdlegislature.gov/api/Documents/257348.pdf
1794526,2905847,text,94775,application/pdf,Enrolled,https://legiscan.com/SD/text/HB1011/id/2905847,https://mylrc.sdlegislature.gov/api/Documents/262682.pdf
1794552,2865989,text,261816,application/pdf,Introduced,https://legiscan.com/SD/text/HB1012/id/2865989,https://mylrc.sdlegislature.gov/api/Documents/257349.pdf
1794552,2884252,text,266414,application/pdf,"Comm Sub",https://legiscan.com/SD/text/HB1012/id/2884252,https://mylrc.sdlegislature.gov/api/Documents/259877.pdf
1794552,2911648,text,227966,application/pdf,Enrolled,https://legiscan.com/SD/text/HB1012/id/2911648,https://mylrc.sdlegislature.gov/api/Documents/263714.pdf
1794548,2865985,text,218031,application/pdf,Introduced,https://legiscan.com/SD/text/HB1013/id/2865985,https://mylrc.sdlegislature.gov/api/Documents/257350.pdf
1794548,2905569,text,186225,application/pdf,Enrolled,https://legiscan.com/SD/text/HB1013/id/2905569,https://mylrc.sdlegislature.gov/api/Documents/262678.pdf
1794546,2865983,text,117854,application/pdf,Introduced,https://legiscan.com/SD/text/HB1014/id/2865983,https://mylrc.sdlegislature.gov/api/Documents/257351.pdf
1794532,2865969,text,258144,application/pdf,Introduced,https://legiscan.com/SD/text/HB1015/id/2865969,https://mylrc.sdlegislature.gov/api/Documents/257352.pdf
1794532,2905502,text,219950,application/pdf,Enrolled,https://legiscan.com/SD/text/HB1015/id/2905502,https://mylrc.sdlegislature.gov/api/Documents/262683.pdf
1794533,2865970,text,114019,application/pdf,Introduced,https://legiscan.com/SD/text/HB1016/id/2865970,https://mylrc.sdlegislature.gov/api/Documents/257353.pdf
1794533,2891799,text,118500,application/pdf,"Comm Sub",https://legiscan.com/SD/text/HB1016/id/2891799,https://mylrc.sdlegislature.gov/api/Documents/260607.pdf
1794543,2865980,text,247324,application/pdf,Introduced,https://legiscan.com/SD/text/HB1017/id/2865980,https://mylrc.sdlegislature.gov/api/Documents/257354.pdf
1794543,2914208,text,210598,application/pdf,Enrolled,https://legiscan.com/SD/text/HB1017/id/2914208,https://mylrc.sdlegislature.gov/api/Documents/264346.pdf
1794530,2865967,text,104689,application/pdf,Introduced,https://legiscan.com/SD/text/HB1018/id/2865967,https://mylrc.sdlegislature.gov/api/Documents/257355.pdf
1794530,2902679,text,101198,application/pdf,Enrolled,https://legiscan.com/SD/text/HB1018/id/2902679,https://mylrc.sdlegislature.gov/api/Documents/262684.pdf
1794556,2865993,text,123552,application/pdf,Introduced,https://legiscan.com/SD/text/HB1019/id/2865993,https://mylrc.sdlegislature.gov/api/Documents/257356.pdf
1794556,2899229,text,114407,application/pdf,Enrolled,https://legiscan.com/SD/text/HB1019/id/2899229,https://mylrc.sdlegislature.gov/api/Documents/261518.pdf
1794520,2865957,text,106065,application/pdf,Introduced,https://legiscan.com/SD/text/HB1020/id/2865957,https://mylrc.sdlegislature.gov/api/Documents/257357.pdf
1794520,2907235,text,97498,application/pdf,Enrolled,https://legiscan.com/SD/text/HB1020/id/2907235,https://mylrc.sdlegislature.gov/api/Documents/263411.pdf
1794549,2865986,text,187560,application/pdf,Introduced,https://legiscan.com/SD/text/HB1021/id/2865986,https://mylrc.sdlegislature.gov/api/Documents/257358.pdf
1794554,2865991,text,100635,application/pdf,Introduced,https://legiscan.com/SD/text/HB1022/id/2865991,https://mylrc.sdlegislature.gov/api/Documents/257359.pdf
1794554,2885367,text,101947,application/pdf,"Comm Sub",https://legiscan.com/SD/text/HB1022/id/2885367,https://mylrc.sdlegislature.gov/api/Documents/260277.pdf
1794554,2940244,text,101939,application/pdf,"Comm Sub",https://legiscan.com/SD/text/HB1022/id/2940244,https://mylrc.sdlegislature.gov/api/Documents/266396.pdf
1794554,2941181,text,101504,application/pdf,"Comm Sub",https://legiscan.com/SD/text/HB1022/id/2941181,https://mylrc.sdlegislature.gov/api/Documents/266605.pdf
1794554,2950206,text,97659,application/pdf,Enrolled,https://legiscan.com/SD/text/HB1022/id/2950206,https://mylrc.sdlegislature.gov/api/Documents/267139.pdf
1794527,2865964,text,109803,application/pdf,Introduced,https://legiscan.com/SD/text/HB1023/id/2865964,https://mylrc.sdlegislature.gov/api/Documents/257360.pdf
1794527,2902162,text,111543,application/pdf,"Comm Sub",https://legiscan.com/SD/text/HB1023/id/2902162,https://mylrc.sdlegislature.gov/api/Documents/262337.pdf
1794527,2935877,text,99015,application/pdf,Enrolled,https://legiscan.com/SD/text/HB1023/id/2935877,https://mylrc.sdlegislature.gov/api/Documents/265969.pdf
1794545,2865982,text,131699,application/pdf,Introduced,https://legiscan.com/SD/text/HB1024/id/2865982,https://mylrc.sdlegislature.gov/api/Documents/257362.pdf
1794545,2901717,text,126375,application/pdf,"Comm Sub",https://legiscan.com/SD/text/HB1024/id/2901717,https://mylrc.sdlegislature.gov/api/Documents/262370.pdf
1794545,2912387,text,113750,application/pdf,Enrolled,https://legiscan.com/SD/text/HB1024/id/2912387,https://mylrc.sdlegislature.gov/api/Documents/264154.pdf
1794523,2865960,text,108855,application/pdf,Introduced,https://legiscan.com/SD/text/HB1025/id/2865960,https://mylrc.sdlegislature.gov/api/Documents/257363.pdf
1794523,2882876,text,109909,application/pdf,"Comm Sub",https://legiscan.com/SD/text/HB1025/id/2882876,https://mylrc.sdlegislature.gov/api/Documents/259616.pdf
1794536,2865973,text,110570,application/pdf,Introduced,https://legiscan.com/SD/text/HB1026/id/2865973,https://mylrc.sdlegislature.gov/api/Documents/257364.pdf
1794536,2881997,text,111356,application/pdf,"Comm Sub",https://legiscan.com/SD/text/HB1026/id/2881997,https://mylrc.sdlegislature.gov/api/Documents/259304.pdf
1794536,2905848,text,101091,application/pdf,Enrolled,https://legiscan.com/SD/text/HB1026/id/2905848,https://mylrc.sdlegislature.gov/api/Documents/262681.pdf
1795039,2866596,text,163272,application/pdf,Introduced,https://legiscan.com/SD/text/HB1027/id/2866596,https://mylrc.sdlegislature.gov/api/Documents/257745.pdf
1795039,2881396,text,165486,application/pdf,"Comm Sub",https://legiscan.com/SD/text/HB1027/id/2881396,https://mylrc.sdlegislature.gov/api/Documents/259310.pdf
1795039,2916598,text,153537,application/pdf,Enrolled,https://legiscan.com/SD/text/HB1027/id/2916598,https://mylrc.sdlegislature.gov/api/Documents/264682.pdf
1795043,2866600,text,105319,application/pdf,Introduced,https://legiscan.com/SD/text/HB1028/id/2866600,https://mylrc.sdlegislature.gov/api/Documents/257746.pdf
1795043,2916648,text,101458,application/pdf,Enrolled,https://legiscan.com/SD/text/HB1028/id/2916648,https://mylrc.sdlegislature.gov/api/Documents/264663.pdf
1795045,2866602,text,298102,application/pdf,Introduced,https://legiscan.com/SD/text/HB1029/id/2866602,https://mylrc.sdlegislature.gov/api/Documents/257747.pdf
1795045,2891299,text,290750,application/pdf,"Comm Sub",https://legiscan.com/SD/text/HB1029/id/2891299,https://mylrc.sdlegislature.gov/api/Documents/260608.pdf
1795045,2915361,text,290723,application/pdf,"Comm Sub",https://legiscan.com/SD/text/HB1029/id/2915361,https://mylrc.sdlegislature.gov/api/Documents/264609.pdf
1795045,2926160,text,212103,application/pdf,Enrolled,https://legiscan.com/SD/text/HB1029/id/2926160,https://mylrc.sdlegislature.gov/api/Documents/265313.pdf
1795030,2866587,text,161821,application/pdf,Introduced,https://legiscan.com/SD/text/HB1030/id/2866587,https://mylrc.sdlegislature.gov/api/Documents/257748.pdf
1795030,2905509,text,148992,application/pdf,Enrolled,https://legiscan.com/SD/text/HB1030/id/2905509,https://mylrc.sdlegislature.gov/api/Documents/262686.pdf
1795027,2866584,text,110602,application/pdf,Introduced,https://legiscan.com/SD/text/HB1031/id/2866584,https://mylrc.sdlegislature.gov/api/Documents/257749.pdf
1795027,2907189,text,102505,application/pdf,Enrolled,https://legiscan.com/SD/text/HB1031/id/2907189,https://mylrc.sdlegislature.gov/api/Documents/263412.pdf
1794994,2866551,text,105303,application/pdf,Introduced,https://legiscan.com/SD/text/HB1032/id/2866551,https://mylrc.sdlegislature.gov/api/Documents/257750.pdf
1795051,2866608,text,153099,application/pdf,Introduced,https://legiscan.com/SD/text/HB1033/id/2866608,https://mylrc.sdlegislature.gov/api/Documents/257751.pdf
1795051,2903059,text,130798,application/pdf,Enrolled,https://legiscan.com/SD/text/HB1033/id/2903059,https://mylrc.sdlegislature.gov/api/Documents/262687.pdf
1795036,2866593,text,105810,application/pdf,Introduced,https://legiscan.com/SD/text/HB1034/id/2866593,https://mylrc.sdlegislature.gov/api/Documents/257752.pdf
1795036,2924944,text,99238,application/pdf,Enrolled,https://legiscan.com/SD/text/HB1034/id/2924944,https://mylrc.sdlegislature.gov/api/Documents/265156.pdf
1795048,2866605,text,113870,application/pdf,Introduced,https://legiscan.com/SD/text/HB1035/id/2866605,https://mylrc.sdlegislature.gov/api/Documents/257753.pdf
1795048,2907735,text,102284,application/pdf,Enrolled,https://legiscan.com/SD/text/HB1035/id/2907735,https://mylrc.sdlegislature.gov/api/Documents/263413.pdf
1795037,2866594,text,112793,application/pdf,Introduced,https://legiscan.com/SD/text/HB1036/id/2866594,https://mylrc.sdlegislature.gov/api/Documents/257754.pdf
1795033,2866590,text,149349,application/pdf,Introduced,https://legiscan.com/SD/text/HB1037/id/2866590,https://mylrc.sdlegislature.gov/api/Documents/257755.pdf
1795024,2866581,text,125228,application/pdf,Introduced,https://legiscan.com/SD/text/HB1038/id/2866581,https://mylrc.sdlegislature.gov/api/Documents/257756.pdf
1795024,2886866,text,126109,application/pdf,"Comm Sub",https://legiscan.com/SD/text/HB1038/id/2886866,https://mylrc.sdlegislature.gov/api/Documents/260377.pdf
1795024,2929728,text,125801,application/pdf,"Comm Sub",https://legiscan.com/SD/text/HB1038/id/2929728,https://mylrc.sdlegislature.gov/api/Documents/265747.pdf
1795024,2940712,text,113665,application/pdf,Enrolled,https://legiscan.com/SD/text/HB1038/id/2940712,https://mylrc.sdlegislature.gov/api/Documents/266415.pdf
1795014,2866571,text,122882,application/pdf,Introduced,https://legiscan.com/SD/text/HB1039/id/2866571,https://mylrc.sdlegislature.gov/api/Documents/257757.pdf
1795014,2929754,text,128472,application/pdf,"Comm Sub",https://legiscan.com/SD/text/HB1039/id/2929754,https://mylrc.sdlegislature.gov/api/Documents/265771.pdf
1795014,2949557,text,115460,application/pdf,Enrolled,https://legiscan.com/SD/text/HB1039/id/2949557,https://mylrc.sdlegislature.gov/api/Documents/267115.pdf
1795020,2866577,text,115638,application/pdf,Introduced,https://legiscan.com/SD/text/HB1040/id/2866577,https://mylrc.sdlegislature.gov/api/Documents/257776.pdf
1796733,2868590,text,109558,application/pdf,Introduced,https://legiscan.com/SD/text/HB1041/id/2868590,https://mylrc.sdlegislature.gov/api/Documents/258058.pdf
1796733,2903063,text,98472,application/pdf,Enrolled,https://legiscan.com/SD/text/HB1041/id/2903063,https://mylrc.sdlegislature.gov/api/Documents/262675.pdf
1796750,2868607,text,110400,application/pdf,Introduced,https://legiscan.com/SD/text/HB1042/id/2868607,https://mylrc.sdlegislature.gov/api/Documents/258059.pdf
1796712,2868569,text,108385,application/pdf,Introduced,https://legiscan.com/SD/text/HB1043/id/2868569,https://mylrc.sdlegislature.gov/api/Documents/258060.pdf
