bill_id,date,chamber,sequence,action
1792457,2024-01-09,House,1,"Withdrawn at the Request of the Prime Sponsor H.J. 16"
1792460,2024-01-09,House,1,"First read in House and referred to House Judiciary H.J. 19"
1792460,2024-01-12,House,2,"Scheduled for hearing"
1792460,2024-01-12,House,3,"Judiciary Do Pass, Passed, YEAS 11, NAYS 0."
1792460,2024-01-12,House,4,"Certified uncontested, placed on consent"
1792460,2024-01-16,House,5,"House of Representatives Do Pass, Passed, YEAS 69, NAYS 0. H.J. 61"
1792460,2024-01-17,Senate,6,"First read in Senate and referred to Senate State Affairs S.J. 96"
1792460,2024-01-22,Senate,7,"Scheduled for hearing"
1792460,2024-01-22,Senate,8,"State Affairs Do Pass, Passed, YEAS 9, NAYS 0."
1792460,2024-01-22,Senate,9,"Certified uncontested, placed on consent"
1792460,2024-01-23,Senate,10,"Senate Do Pass, Passed, YEAS 33, NAYS 0. S.J. 149"
1792460,2024-01-29,House,11,"Signed by the Speaker H.J. 191"
1792460,2024-01-30,Senate,12,"Signed by the President S.J. 207"
1792460,2024-01-31,House,13,"Delivered to the Governor on January 31, 2024 H.J. 207"
1792460,2024-02-06,House,14,"Signed by the Governor on February 06, 2024 H.J. 256"
1792464,2024-01-09,House,1,"First read in House and referred to House State Affairs H.J. 21"
1792464,2024-01-17,House,2,"Scheduled for hearing H.J. 1"
1792464,2024-01-17,House,3,"State Affairs Deferred to the 41st legislative day, Passed, YEAS 11, NAYS 2."
1792467,2024-01-09,House,1,"First read in House and referred to House Education H.J. 18"
1792467,2024-01-12,House,2,"Scheduled for hearing"
1792467,2024-01-12,House,3,"Education Tabled, Passed, YEAS 14, NAYS 0."
1792470,2024-01-09,House,1,"First read in House and referred to House Taxation H.J. 22"
1792470,2024-01-11,House,2,"Scheduled for hearing"
1792470,2024-01-11,House,3,"Taxation Do Pass, Passed, YEAS 11, NAYS 1."
1792470,2024-01-11,House,4,"Fiscal Note Requested H.J. 37"
1792470,2024-01-12,House,5,"House of Representatives Do Pass, Passed, YEAS 54, NAYS 12. H.J. 52"
1792470,2024-01-16,Senate,6,"First read in Senate and referred to Senate Committee on Appropriations S.J. 86"
1792470,2024-01-18,Senate,7,"Scheduled for hearing"
1792470,2024-01-18,Senate,8,"Committee on Appropriations Tabled, Passed, YEAS 7, NAYS 2."
1792473,2024-01-09,Senate,1,"First read in Senate and referred to Senate Local Government S.J. 21"
1792473,2024-01-12,Senate,2,"Scheduled for hearing"
1792473,2024-01-12,Senate,3,"Local Government Do Pass, Passed, YEAS 5, NAYS 0."
1792473,2024-01-12,Senate,4,"Certified uncontested, placed on consent"
1792473,2024-01-16,Senate,5,"Senate Do Pass, Passed, YEAS 32, NAYS 0. S.J. 86"
1792473,2024-01-17,House,6,"First read in House and referred to House Local Government H.J. 74"
1792473,2024-01-23,House,7,"Scheduled for hearing"
1792473,2024-01-23,House,8,"Local Government Do Pass, Passed, YEAS 12, NAYS 0."
1792473,2024-01-23,House,9,"Certified uncontested, placed on consent"
1792473,2024-01-24,House,10,"House of Representatives Do Pass, Passed, YEAS 68, NAYS 0. H.J. 166"
1792473,2024-01-25,Senate,11,"Signed by the President S.J. 186"
1792473,2024-01-29,House,12,"Signed by the Speaker H.J. 192"
1792473,2024-01-30,Senate,13,"Delivered to the Governor on January 30, 2024 S.J. 202"
1792473,2024-02-06,Senate,14,"Signed by the Governor on February 06, 2024 S.J. 264"
1792476,2024-01-09,Senate,1,"First read in Senate and referred to Senate Local Government S.J. 21"
1792476,2024-01-19,Senate,2,"Scheduled for hearing"
1792476,2024-01-19,Senate,3,"Local Government Motion to amend, Passed Amendment 5A"
1792476,2024-01-19,Senate,4,"Local Government Do Pass Amended, Passed, YEAS 7, NAYS 0."
1792476,2024-01-19,Senate,5,"Certified uncontested, placed on consent"
1792476,2024-01-23,Senate,6,"Remove from Consent Calendar S.J. 149"
1792476,2024-01-24,Senate,7,"Senate Do Pass Amended, Passed, YEAS 31, NAYS 0. S.J. 168"
1792476,2024-01-25,House,8,"First read in House and referred to House Local Government H.J. 178"
1792476,2024-02-01,House,9,"Scheduled for hearing"
1792476,2024-02-01,House,10,"Local Government Do Pass, Passed, YEAS 12, NAYS 0."
1792476,2024-02-01,House,11,"Certified uncontested, placed on consent"
1792476,2024-02-02,House,12,"House of Representatives Do Pass Amended, Passed, YEAS 66, NAYS 0. H.J. 238"
1792476,2024-02-05,Senate,13,"Signed by the President S.J. 261"
1792476,2024-02-06,House,14,"Signed by the Speaker H.J. 273"
1792476,2024-02-07,Senate,15,"Delivered to the Governor on February 07, 2024 S.J. 276"
1792476,2024-02-13,Senate,16,"Signed by the Governor on February 13, 2024 S.J. 304"
1792480,2024-01-09,Senate,1,"First read in Senate and referred to Senate Education S.J. 19"
1792480,2024-01-16,Senate,2,"Scheduled for hearing"
1792480,2024-01-16,Senate,3,"Education Do Pass, Passed, YEAS 6, NAYS 0."
1792480,2024-01-16,Senate,4,"Certified uncontested, placed on consent"
