bill_id,roll_call_id,date,chamber,description,yea,nay,nv,absent,total
1792460,1364246,2024-01-12,House,"Do Pass",11,0,0,2,13
1792460,1364689,2024-01-16,House,"Do Pass",69,0,0,0,69
1792460,1367185,2024-01-22,Senate,"Do Pass",9,0,0,0,9
1792460,1368142,2024-01-23,Senate,"Do Pass",33,0,0,1,34
1792464,1366328,2024-01-17,House,"Deferred to the 41st legislative day",11,2,0,0,13
1792467,1364201,2024-01-12,House,Tabled,14,0,0,1,15
1792470,1364026,2024-01-11,House,"Do Pass",11,1,0,1,13
1792470,1364253,2024-01-12,House,"Do Pass",54,12,0,3,69
1792470,1366495,2024-01-18,Senate,Tabled,7,2,0,0,9
1792473,1364196,2024-01-12,Senate,"Do Pass",5,0,0,2,7
1792473,1366066,2024-01-16,Senate,"Do Pass",32,0,0,2,34
1792473,1367715,2024-01-23,House,"Do Pass",12,0,0,1,13
1792473,1368926,2024-01-24,House,"Do Pass",68,0,0,1,69
1792476,1366905,2024-01-19,Senate,"Do Pass Amended",7,0,0,0,7
1792476,1368932,2024-01-24,Senate,"Do Pass Amended",31,0,0,3,34
1792476,1373648,2024-02-01,House,"Do Pass",12,0,0,1,13
1792476,1375211,2024-02-02,House,"Do Pass Amended",66,0,0,3,69
1792480,1364395,2024-01-16,Senate,"Do Pass",6,0,0,1,7
1792480,1366464,2024-01-17,Senate,"Do Pass",33,0,0,1,34
1792480,1367209,2024-01-22,House,"Do Pass",15,0,0,0,15
1792480,1368160,2024-01-23,House,"Do Pass",67,1,0,1,69
1792483,1374093,2024-02-01,Senate,"Do Pass Amended",7,0,0,0,7
1792483,1376384,2024-02-05,Senate,"Do Pass Amended",32,0,0,2,34
1792483,1393430,2024-02-23,House,"Do Pass",10,1,0,2,13
1792483,1397098,2024-02-27,House,"Do Pass Amended",67,3,0,0,70
1792486,1364169,2024-01-12,House,"Do Pass",13,0,0,0,13
1792486,1366465,2024-01-17,House,"Do Pass",69,0,0,0,69
1792486,1369076,2024-01-25,Senate,"Do Pass",6,0,0,1,7
1792486,1371151,2024-01-29,Senate,"Do Pass",31,0,0,3,34
1792488,1364242,2024-01-12,House,"Do Pass",11,0,0,2,13
1792488,1365919,2024-01-16,House,"Do Pass",69,0,0,0,69
1792488,1369081,2024-01-25,Senate,"Do Pass",7,0,0,0,7
1792488,1371264,2024-01-29,Senate,"Do Pass",31,0,0,3,34
1792492,1368806,2024-01-24,House,"Do Pass Amended",13,0,0,0,13
1792492,1371921,2024-01-30,House,"Do Pass Amended",68,0,0,1,69
1792492,1379325,2024-02-07,Senate,"Do Pass",5,0,0,0,5
1792492,1384901,2024-02-14,Senate,"Do Pass Amended",31,1,0,3,35
1792495,1364416,2024-01-16,Senate,"Do Pass",5,1,0,1,7
1792495,1366390,2024-01-17,Senate,"Do Pass",30,3,0,1,34
1792495,1368299,2024-01-24,House,"Referred to",14,0,0,1,15
1792495,1396945,2024-02-27,House,"Do Pass",9,0,0,0,9
1792495,1399369,2024-02-29,House,"Do Pass",60,8,0,2,70
1792499,1364176,2024-01-12,House,"Do Pass",11,0,0,2,13
1792499,1366069,2024-01-16,House,"Do Pass",69,0,0,0,69
1792499,1367206,2024-01-22,Senate,"Do Pass",9,0,0,0,9
1792499,1368158,2024-01-23,Senate,"Do Pass",33,0,0,1,34
1792502,1364161,2024-01-12,Senate,"Do Pass",7,0,0,0,7
1792502,1365787,2024-01-16,Senate,"Do Pass",32,0,0,2,34
1792502,1367250,2024-01-22,House,"Do Pass",13,0,0,0,13
