Date,State,Bill No,Title,Action
"March 27, 2023",SD,SB 129,Amends Rules Prohibiting Assault Against Teachers,"Veto Override Failed
                           - Senate
                      

                      
                          (20 - 15)"
"March 7, 2023",SD,HB 1022,Appropriates Funds for the Increased Costs of Building the New State Public Health Laboratory.,"Conference Report Adopted
                           - Senate
                      

                      
                          (26 - 4)"
"March 7, 2023",SD,HB 1022,Appropriates Funds for the Increased Costs of Building the New State Public Health Laboratory.,"Conference Report Adopted
                           - House
                      

                      
                          (51 - 19)"
"March 7, 2023",SD,HB 1239,Prohibits a Ban of Fuel Gas Appliances for Consumer Use,"Concurrence Vote Passed
                           - House
                      

                      
                          (67 - 3)"
"March 7, 2023",SD,SB 1,Expands Definition of Who Can Access Medical Marijuana Program,"Concurrence Vote Passed
                           - Senate
                      

                      
                          (19 - 15)"
"March 6, 2023",SD,SB 4,Amends Court Authority to Commit a Juvenile Habitual Offender to the Department of Corrections,"Concurrence Vote Passed
                           - Senate
                      

                      
                          (29 - 6)"
"March 6, 2023",SD,SB 160,Requires Ballots be Audited Within 15 Days Following a Primary or General Election,"Concurrence Vote Passed
                           - Senate
                      

                      
                          (34 - 1)"
"March 6, 2023",SD,SB 174,Prohibits Implementation Policies that Prohibit the Use of Any Energy Utility Service,"Bill Passed
                           - House
                      

                      
                          (64 - 5)"
"March 6, 2023",SD,SB 91,Increases Criminal Penalties for Rape,"Bill Passed
                           - House
                      

                      
                          (66 - 2)"
"March 6, 2023",SD,HB 1094,Reduces Tax Rates on Food and Repeals Conditional Reduction of Certain Gross Receipts Tax Rates,"Bill Passed
                           - Senate
                      

                      
                          (18 - 17)"
"March 6, 2023",SD,SB 1,Expands Definition of Who Can Access Medical Marijuana Program,"Bill Passed
                           - House
                      

                      
                          (36 - 32)"
"March 6, 2023",SD,SB 207,Establishes Penalties for Appropriating Public Funds to Influence an Election Result,"Bill Passed
                           - House
                      

                      
                          (62 - 6)"
"March 6, 2023",SD,SB 70,Amends Courtroom Provisions and Requirements for Minor Witnesses,"Bill Passed
                           - House
                      

                      
                          (54 - 14)"
"March 2, 2023",SD,SB 139,Establishes a 30-Day State Residency Requirement to Vote,"Concurrence Vote Passed
                           - Senate
                      

                      
                          (29 - 4)"
"March 1, 2023",SD,HB 1165,Prohibits Absentee Ballot Drop Boxes,"Concurrence Vote Passed
                           - House
                      

                      
                          (57 - 11)"
"March 1, 2023",SD,HB 1079,Appropriates Funds to the South Dakota Department of Health to Fund Mental Health Services,"Bill Passed
                           - Senate
                      

                      
                          (27 - 6)"
"March 1, 2023",SD,SB 55,Prohibits Ranked-Choice Voting,"Bill Passed
                           - House
                      

                      
                          (63 - 5)"
"Feb. 28, 2023",SD,HB 1090,Authorizes Protections for Farmers and Agricultural Operations from Frivolous Lawsuits,"Concurrence Vote Passed
                           - House
                      

                      
                          (63 - 7)"
"Feb. 28, 2023",SD,SB 4,Amends Court Authority to Commit a Juvenile Habitual Offender to the Department of Corrections,"Bill Passed
                           - House
                      

                      
                          (62 - 7)"
"Feb. 28, 2023",SD,SB 129,Amends Rules Prohibiting Assault Against Teachers,"Bill Passed
                           - House
                      

                      
                          (40 - 30)"
"Feb. 27, 2023",SD,HB 1165,Prohibits Absentee Ballot Drop Boxes,"Bill Passed
                           - Senate
                      

                      
                          (30 - 4)"
"Feb. 27, 2023",SD,HB 1135,Establishes Transparency in the Pricing of Prescription Drugs,"Bill Passed
                           - Senate
                      

                      
                          (34 - 0)"
"Feb. 27, 2023",SD,HB 1079,Appropriates Funds to the South Dakota Department of Health to Fund Mental Health Services,"Bill Passed
                           - House
                      

                      
                          (56 - 13)"
"Feb. 27, 2023",SD,HB 1017,Authorizes Construction of New Prison Facilities,"Bill Passed
                           - House
                      

                      
                          (53 - 16)"
"Feb. 24, 2023",SD,HB 1090,Authorizes Protections for Farmers and Agricultural Operations from Frivolous Lawsuits,"Bill Passed
                           - Senate
                      

                      
                          (25 - 8)"
"Feb. 23, 2023",SD,SB 102,Requires Continuous Updating of Candidate Lists Prior to an Election,"Bill Passed
                           - House
                      

                      
                          (66 - 2)"
"Feb. 22, 2023",SD,HB 1200,"Require Citizens Collect 1,000 Signatures from Each Legislative District to Put Constitutional Amendments to a Sta ...","Bill Passed
                           - House
                      

                      
                          (47 - 22)"
"Feb. 21, 2023",SD,HB 1220,Prohibits Criminal Prosecution of Any Individual Who Receives an Abortion,"Bill Passed
                           - House
                      

                      
                          (63 - 7)"
"Feb. 16, 2023",SD,HB 1235,Authorizes a COVID-19 Vaccine Conscience Exemption,"Bill Failed
                           - House
                      

                      
                          (30 - 39)"
"Feb. 13, 2023",SD,SB 207,Establishes Penalties for Appropriating Public Funds to Influence an Election Result,"Bill Passed
                           - Senate
                      

                      
                          (24 - 10)"
"Feb. 13, 2023",SD,HB 1135,Establishes Transparency in the Pricing of Prescription Drugs,"Bill Passed
                           - House
                      

                      
                          (62 - 5)"
"Feb. 9, 2023",SD,HB 1080,Prohibits Gender-Affirming Medical Care for Minors,"Bill Passed
                           - Senate
                      

                      
                          (30 - 4)"
"Feb. 2, 2023",SD,HB 1080,Prohibits Gender-Affirming Medical Care for Minors,"Bill Passed
                           - House
                      

                      
                          (60 - 10)"
"Feb. 2, 2023",SD,SB 55,Prohibits Ranked-Choice Voting,"Bill Passed
                           - Senate
                      

                      
                          (31 - 4)"
"Jan. 23, 2023",SD,SB 41,Establishes Housing Infrastructure Fund; Appropriates Monies Therefor,"Bill Passed
                           - House
                      

                      
                          (54 - 16)"
"Jan. 13, 2023",SD,SB 41,Establishes Housing Infrastructure Fund; Appropriates Monies Therefor,"Bill Passed
                           - Senate
                      

                      
                          (29 - 2)"
