bill_number,session,summary,keywords,authors,coauthors,sponsors,cosponsors,house_committee,hc_status,senate_committee,sc_status,bill_url
SB 5,78R,"Relating to the creation, administration, powers, duties, functions, operations, and financing of the Johnson County Special Utility District; authorizing the imposition of taxes and the issuance of bonds.",JOHNSON COUNTY SPECIAL UTILITY DISTRICT (D0367); Special Districts & Authorities--Water & Utility (I0755),Averitt,,Wohlgemuth,,Natural Resources,Out of committee,Intergovernmental Relations,Out of committee,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=78R&Bill=SB5
SB 10,78R,Relating to the creation of employer health benefit plan groups.,Business & Commerce--Small Business & Minority Business (I0051); Insurance--Health & Accident (I0422); Insurance--Insurers & Agents (I0425),Averitt,Brimer; Carona; Estes; Harris; Hinojosa; Jackson; Lindsay; Nelson; Shapiro; Staples; Van de Putte; Williams,Smithee,,Insurance,Out of committee,State Affairs,Out of committee,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=78R&Bill=SB10
SB 105,78R,Relating to the abolition of the County Court at Law of Navarro County.,NAVARRO COUNTY (G0177); Courts--County & Statutory (I0115),Averitt,Ogden,,,Judicial Affairs,In committee,Jurisprudence,Out of committee,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=78R&Bill=SB105
SB 106,78R,Relating to the creation of a judicial district composed of Johnson County.,JOHNSON COUNTY (G0112); Courts--District (I0120),Averitt,,,,,,Jurisprudence,In committee,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=78R&Bill=SB106
SB 107,78R,Relating to the creation of a judicial district composed of McLennan County.,MCLENNAN COUNTY (G0164); Courts--District (I0120),Averitt,,,,,,Jurisprudence,In committee,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=78R&Bill=SB107
SB 109,78R,Relating to policy forms for certain residential property insurance policies.,"Insurance--Fire, Allied Lines & Home (I0430); Insurance--Insurers & Agents (I0425); Insurance--Property & Casualty (I0442)",Averitt,,,,,,Business & Commerce,In committee,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=78R&Bill=SB109
SB 144,78R,Relating to the requirement that certain information be provided to health care practitioners regarding the use and abuse of certain drugs.,Health Care Providers (I0387); Occupational Regulation--Health Occupations (I0540); POISON CONTROL CENTERS (S0073); PRESCRIPTIONS (S2567),Averitt,,Capelo; Truitt; Zedler; Naishtat; Coleman,McReynolds,Public Health,Out of committee,Health & Human Services,Out of committee,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=78R&Bill=SB144
SB 224,78R,Relating to the rendition of personal property for ad valorem tax purposes and to protests and appeals of ad valorem tax appraisals.,Taxation--Property-Appeal of Tax Decisions (I0796); Taxation--Property-Appraisals & Appraisal Districts (I0792),Averitt,,,,,,Finance,In committee,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=78R&Bill=SB224
SB 225,78R,Relating to the ad valorem taxation of tangible personal property held or used for the production of income.,Property Interests--Personal Property (I0600); Taxation--Property-Appeal of Tax Decisions (I0796); Taxation--Property-Appraisals & Appraisal Districts (I0792); Taxation--Property-Exemptions (I0793),Averitt,,,,,,Finance,In committee,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=78R&Bill=SB225
SB 240,78R,Relating to the enrollment of certain children and recipients of medical assistance in group health benefit plans.,Health--Children's Insurance (I0388); Human Services--Medical Assistance (I0905); CHILD HEALTH PLAN (P0025); HEALTH & HUMAN SERVICES COMMISSION (V0177),Averitt,,Wohlgemuth,,"State Health Care Expenditures, Select",Out of committee,State Affairs,Out of committee,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=78R&Bill=SB240
SB 246,78R,Relating to providing temporary community-based therapeutic foster care for certain children.,Human Services--Child Services (I0895); Mental Health & Mental Retardation (I0530); Minors--Health & Safety (I0533); FOSTER CARE (S0064),Averitt,,,,,,Health & Human Services,In committee,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=78R&Bill=SB246
