bill_number,session,chamber,action_date,action,comment,journal_page,order
SR 30,881,Senate,2023-06-20,Reported enrolled,,35,3
SR 30,881,Senate,2023-06-20,Read & adopted,,34,2
SR 30,881,Senate,2023-06-20,Received by the Secretary of the Senate,,,1
SR 35,881,Senate,2023-06-21,Reported enrolled,,54,7
SR 35,881,Senate,2023-06-27,Statement(s) submitted,,57,6
SR 35,881,Senate,2023-06-21,Reason for vote recorded in Journal,,38,5
SR 35,881,Senate,2023-06-21,Record vote,,53,4
SR 35,881,Senate,2023-06-21,Adopted,,53,3
SR 35,881,Senate,2023-06-21,Read,,53,2
SR 35,881,Senate,2023-06-21,Received by the Secretary of the Senate,,,1
SR 2,881,Senate,2023-06-06,Reported enrolled,,11,3
SR 2,881,Senate,2023-06-06,Read & adopted,,10,2
SR 2,881,Senate,2023-06-06,Received by the Secretary of the Senate,,,1
SB 16,881,Senate,2023-05-30,Filed,,,2
SB 16,881,Senate,2023-05-30,Received by the Secretary of the Senate,,,1
SCR 1,881,Senate,2023-05-30,Filed,,,2
SCR 1,881,Senate,2023-05-30,Received by the Secretary of the Senate,,,1
SB 1,881,House,2023-05-30,Received from the Senate,,17,22
SB 1,881,Senate,2023-05-30,Reported engrossed,,6,21
SB 1,881,Senate,2023-05-30,Record vote,,5,20
SB 1,881,Senate,2023-05-30,Passed,,5,19
SB 1,881,Senate,2023-05-30,Read 3rd time,,5,18
SB 1,881,Senate,2023-05-30,Record vote,,5,17
SB 1,881,Senate,2023-05-30,Three day rule suspended,,5,16
SB 1,881,Senate,2023-05-30,Vote recorded in Journal,,5,15
SB 1,881,Senate,2023-05-30,Read 2nd time & passed to engrossment,,5,14
SB 1,881,Senate,2023-05-30,Laid before the Senate,,5,13
SB 1,881,Senate,2023-05-30,Ordered not printed,,3,12
SB 1,881,Senate,2023-05-30,Printing rule suspended,,3,11
SB 1,881,Senate,2023-05-30,Reported favorably w/o amendments,,6,10
SB 1,881,Senate,2023-05-30,Vote taken in committee,,,9
SB 1,881,Senate,2023-05-30,Considered in public hearing,,,8
SB 1,881,Senate,2023-05-30,Scheduled for public hearing on  . . .,,,7
SB 1,881,Senate,2023-05-30,Posting rule suspended,,3,6
SB 1,881,Senate,2023-05-30,Referred to Finance,,2,5
SB 1,881,Senate,2023-05-30,Read first time,,2,4
SB 1,881,Senate,2023-05-30,Co-author authorized,,5,3
SB 1,881,Senate,2023-05-30,Filed,,,2
SB 1,881,Senate,2023-05-30,Received by the Secretary of the Senate,,,1
SB 26,881,House,2023-06-27,Received from the Senate,,18,25
