bill_id,document_id,document_type,document_size,document_mime,document_desc,url,state_link
1769293,2820611,text,32636,text/html,Introduced,https://legiscan.com/TX/text/HB1/id/2820611,https://capitol.texas.gov/tlodocs/881/billtext/html/HB00001I.htm
1769293,2821096,text,32858,text/html,"Comm Sub",https://legiscan.com/TX/text/HB1/id/2821096,https://capitol.texas.gov/tlodocs/881/billtext/html/HB00001H.htm
1769293,2821366,text,34438,text/html,Engrossed,https://legiscan.com/TX/text/HB1/id/2821366,https://capitol.texas.gov/tlodocs/881/billtext/html/HB00001E.htm
1769272,2820598,text,87429,text/html,Introduced,https://legiscan.com/TX/text/HB2/id/2820598,https://capitol.texas.gov/tlodocs/881/billtext/html/HB00002I.htm
1769272,2821128,text,87668,text/html,"Comm Sub",https://legiscan.com/TX/text/HB2/id/2821128,https://capitol.texas.gov/tlodocs/881/billtext/html/HB00002H.htm
1769272,2824500,text,91156,text/html,"Comm Sub",https://legiscan.com/TX/text/HB2/id/2824500,https://capitol.texas.gov/tlodocs/881/billtext/html/HB00002S.htm
1769272,2821529,text,90038,text/html,Engrossed,https://legiscan.com/TX/text/HB2/id/2821529,https://capitol.texas.gov/tlodocs/881/billtext/html/HB00002E.htm
1769168,2820469,text,87426,text/html,Introduced,https://legiscan.com/TX/text/HB3/id/2820469,https://capitol.texas.gov/tlodocs/881/billtext/html/HB00003I.htm
1769179,2820711,text,7624,text/html,Introduced,https://legiscan.com/TX/text/HB4/id/2820711,https://capitol.texas.gov/tlodocs/881/billtext/html/HB00004I.htm
1769163,2820810,text,20067,text/html,Introduced,https://legiscan.com/TX/text/HB5/id/2820810,https://capitol.texas.gov/tlodocs/881/billtext/html/HB00005I.htm
1769206,2821142,text,10413,text/html,Introduced,https://legiscan.com/TX/text/HB6/id/2821142,https://capitol.texas.gov/tlodocs/881/billtext/html/HB00006I.htm
1769199,2820787,text,18820,text/html,Introduced,https://legiscan.com/TX/text/HB7/id/2820787,https://capitol.texas.gov/tlodocs/881/billtext/html/HB00007I.htm
1769172,2821254,text,23273,text/html,Introduced,https://legiscan.com/TX/text/HB8/id/2821254,https://capitol.texas.gov/tlodocs/881/billtext/html/HB00008I.htm
1769177,2821286,text,106644,text/html,Introduced,https://legiscan.com/TX/text/HB9/id/2821286,https://capitol.texas.gov/tlodocs/881/billtext/html/HB00009I.htm
1769192,2821457,text,84769,text/html,Introduced,https://legiscan.com/TX/text/HB10/id/2821457,https://capitol.texas.gov/tlodocs/881/billtext/html/HB00010I.htm
1769203,2820977,text,16415,text/html,Introduced,https://legiscan.com/TX/text/HB11/id/2820977,https://capitol.texas.gov/tlodocs/881/billtext/html/HB00011I.htm
1769188,2821288,text,6156,text/html,Introduced,https://legiscan.com/TX/text/HB12/id/2821288,https://capitol.texas.gov/tlodocs/881/billtext/html/HB00012I.htm
1769174,2821244,text,43882,text/html,Introduced,https://legiscan.com/TX/text/HB13/id/2821244,https://capitol.texas.gov/tlodocs/881/billtext/html/HB00013I.htm
1769296,2821178,text,18873,text/html,Introduced,https://legiscan.com/TX/text/HB14/id/2821178,https://capitol.texas.gov/tlodocs/881/billtext/html/HB00014I.htm
1769252,2821488,text,45731,text/html,Introduced,https://legiscan.com/TX/text/HB15/id/2821488,https://capitol.texas.gov/tlodocs/881/billtext/html/HB00015I.htm
1769227,2821275,text,21388,text/html,Introduced,https://legiscan.com/TX/text/HB16/id/2821275,https://capitol.texas.gov/tlodocs/881/billtext/html/HB00016I.htm
1769259,2821504,text,102746,text/html,Introduced,https://legiscan.com/TX/text/HB17/id/2821504,https://capitol.texas.gov/tlodocs/881/billtext/html/HB00017I.htm
1769249,2821276,text,14716,text/html,Introduced,https://legiscan.com/TX/text/HB18/id/2821276,https://capitol.texas.gov/tlodocs/881/billtext/html/HB00018I.htm
1769278,2821282,text,17287,text/html,Introduced,https://legiscan.com/TX/text/HB19/id/2821282,https://capitol.texas.gov/tlodocs/881/billtext/html/HB00019I.htm
1769284,2821519,text,38878,text/html,Introduced,https://legiscan.com/TX/text/HB20/id/2821519,https://capitol.texas.gov/tlodocs/881/billtext/html/HB00020I.htm
