bill_id,date,chamber,sequence,action
1769163,2023-05-30,House,1,Filed
1769168,2023-05-30,House,1,Filed
1769172,2023-05-30,House,1,Filed
1769174,2023-05-30,House,1,Filed
1769177,2023-05-30,House,1,Filed
1769179,2023-05-30,House,1,Filed
1769183,2023-05-30,Senate,1,"Received by the Secretary of the Senate"
1769183,2023-05-30,Senate,2,Filed
1769188,2023-05-30,House,1,Filed
1769192,2023-05-30,House,1,Filed
1769196,2023-05-30,Senate,1,"Received by the Secretary of the Senate"
1769196,2023-05-30,Senate,2,Filed
1769199,2023-05-30,House,1,Filed
1769203,2023-05-30,House,1,Filed
1769206,2023-05-30,House,1,Filed
1769216,2023-05-30,House,1,Filed
1769218,2023-05-30,House,1,Filed
1769218,2023-05-30,House,2,"Read first time"
1769218,2023-05-30,House,3,"Referred to Ways & Means"
1769218,2023-05-30,House,4,"Considered in formal meeting"
1769218,2023-05-30,House,5,"Reported favorably w/o amendment(s)"
1769218,2023-05-30,House,6,"Motion to set as special order"
1769218,2023-05-30,House,7,"Motion prevails"
1769218,2023-05-30,House,8,"Comte report filed with Committee Coordinator"
1769218,2023-05-30,House,9,"Committee report distributed"
1769218,2023-05-30,House,10,"Read 2nd time"
1769218,2023-05-30,House,11,Adopted
1769218,2023-05-30,House,12,"Record vote RV#3"
1769218,2023-05-30,House,13,"Statement(s) of vote recorded in Journal"
1769218,2023-05-31,House,14,"Reported engrossed"
1769218,2023-06-02,Senate,15,"Received from the House"
1769220,2023-05-30,Senate,1,"Received by the Secretary of the Senate"
1769220,2023-05-30,Senate,2,Filed
1769220,2023-05-30,Senate,3,"Co-author authorized"
1769220,2023-05-30,Senate,4,"Read first time"
1769220,2023-05-30,Senate,5,"Referred to Finance"
1769220,2023-05-30,Senate,6,"Posting rule suspended"
1769220,2023-05-30,Senate,7,"Scheduled for public hearing on . . ."
1769220,2023-05-30,Senate,8,"Considered in public hearing"
1769220,2023-05-30,Senate,9,"Vote taken in committee"
1769220,2023-05-30,Senate,10,"Reported favorably w/o amendments"
1769220,2023-05-30,Senate,11,"Printing rule suspended"
1769220,2023-05-30,Senate,12,"Ordered not printed"
1769220,2023-05-30,Senate,13,"Read 2nd time & passed to engrossment"
1769220,2023-05-30,Senate,14,"Vote recorded in Journal"
1769220,2023-05-30,Senate,15,"Three day rule suspended"
1769220,2023-05-30,Senate,16,"Record vote"
1769220,2023-05-30,Senate,17,"Read 3rd time"
1769220,2023-05-30,Senate,18,Passed
1769220,2023-05-30,Senate,19,"Record vote"
1769220,2023-05-30,Senate,20,"Remarks ordered printed"
1769220,2023-05-30,Senate,21,"Reported engrossed"
1769220,2023-05-30,House,22,"Received from the Senate"
1769224,2023-05-30,Senate,1,"Received by the Secretary of the Senate"
1769224,2023-05-30,Senate,2,Filed
1769227,2023-05-30,House,1,Filed
1769230,2023-05-30,House,1,Filed
1769233,2023-05-30,House,1,Filed
1769237,2023-05-30,House,1,Filed
1769239,2023-05-30,House,1,Filed
1769243,2023-05-30,Senate,1,"Received by the Secretary of the Senate"
1769243,2023-05-30,Senate,2,Filed
1769247,2023-05-30,Senate,1,"Received by the Secretary of the Senate"
1769247,2023-05-30,Senate,2,Filed
1769247,2023-06-02,Senate,3,"Read first time"
1769247,2023-06-02,Senate,4,"Referred to Border Security"
1769247,2023-06-06,Senate,5,"Scheduled for public hearing on . . ."
1769247,2023-06-06,Senate,6,"Considered in public hearing"
1769247,2023-06-06,Senate,7,"Testimony taken in committee"
1769247,2023-06-06,Senate,8,"Vote taken in committee"
1769247,2023-06-06,Senate,9,"Reported favorably w/o amendments"
1769247,2023-06-06,Senate,10,"Committee report printed and distributed"
1769247,2023-06-07,Senate,11,"Co-author authorized"
1769247,2023-06-12,Senate,12,"Co-author authorized"
1769247,2023-06-20,Senate,13,"Co-author authorized"
1769247,2023-06-21,Senate,14,"Co-author authorized"
1769249,2023-05-30,House,1,Filed
1769252,2023-05-30,House,1,Filed
1769255,2023-05-30,House,1,Filed
1769259,2023-05-30,House,1,Filed
1769262,2023-05-30,House,1,Filed
1769264,2023-05-30,House,1,Filed
1769267,2023-05-30,Senate,1,"Received by the Secretary of the Senate"
1769267,2023-05-30,Senate,2,Filed
1769267,2023-05-30,Senate,3,"Co-author authorized"
1769267,2023-05-30,Senate,4,"Read first time"
1769267,2023-05-30,Senate,5,"Referred to Finance"
1769267,2023-05-30,Senate,6,"Posting rule suspended"
1769267,2023-05-30,Senate,7,"Scheduled for public hearing on . . ."
1769267,2023-05-30,Senate,8,"Considered in public hearing"
1769267,2023-05-30,Senate,9,"Vote taken in committee"
1769267,2023-05-30,Senate,10,"Reported favorably w/o amendments"
1769267,2023-05-30,Senate,11,"Printing rule suspended"
1769267,2023-05-30,Senate,12,"Ordered not printed"
1769267,2023-05-30,Senate,13,"Read 2nd time & passed to engrossment"
1769267,2023-05-30,Senate,14,"Vote recorded in Journal"
1769267,2023-05-30,Senate,15,"Three day rule suspended"
1769267,2023-05-30,Senate,16,"Record vote"
1769267,2023-05-30,Senate,17,"Read 3rd time"
1769267,2023-05-30,Senate,18,Passed
1769267,2023-05-30,Senate,19,"Record vote"
1769267,2023-05-30,Senate,20,"Reported engrossed"
1769267,2023-05-30,House,21,"Received from the Senate"
1769272,2023-05-30,House,1,Filed
1769272,2023-05-30,House,2,"Read first time"
1769272,2023-05-30,House,3,"Referred to State Affairs"
1769272,2023-05-30,House,4,"Considered in formal meeting"
1769272,2023-05-30,House,5,"Reported favorably w/o amendment(s)"
1769272,2023-05-30,House,6,"Motion to set as special order"
1769272,2023-05-30,House,7,"Motion prevails"
1769272,2023-05-30,House,8,"Comte report filed with Committee Coordinator"
1769272,2023-05-30,House,9,"Committee report distributed"
1769272,2023-05-30,House,10,"Read 2nd time"
1769272,2023-05-30,House,11,"Amended 1-Guillen"
1769272,2023-05-30,House,12,"Passed to engrossment as amended"
1769272,2023-05-30,House,13,"Constitutional three day rule suspended"
1769272,2023-05-30,House,14,"Record vote RV#4"
1769272,2023-05-30,House,15,"Read 3rd time"
1769272,2023-05-30,House,16,Passed
1769272,2023-05-30,House,17,"Record vote RV#6"
1769272,2023-05-31,House,18,"Reported engrossed"
1769272,2023-06-02,Senate,19,"Received from the House"
1769272,2023-06-02,Senate,20,"Read first time"
1769272,2023-06-02,Senate,21,"Referred to Border Security"
1769272,2023-06-06,Senate,22,"Co-sponsor authorized"
1769272,2023-06-06,Senate,23,"Scheduled for public hearing on . . ."
1769272,2023-06-06,Senate,24,"Posting rule suspended"
1769272,2023-06-06,Senate,25,"Considered in public hearing"
1769272,2023-06-06,Senate,26,"Testimony taken in committee"
1769272,2023-06-06,Senate,27,"Vote taken in committee"
1769272,2023-06-06,Senate,28,"Reported favorably as substituted"
1769272,2023-06-06,Senate,29,"Committee report printed and distributed"
1769272,2023-06-07,Senate,30,"Co-sponsor authorized"
1769272,2023-06-07,Senate,31,"Printing rule suspended"
