bill_id,people_id,position
1769163,19319,1
1769168,21776,1
1769172,11598,1
1769174,11598,1
1769177,11598,1
1769179,21776,1
1769183,5962,1
1769188,11598,1
1769192,11598,1
1769196,5962,1
1769199,11598,1
1769203,11598,1
1769206,21776,1
1769216,20230,1
1769218,5852,7
1769218,5862,13
1769218,5874,17
1769218,5877,19
1769218,5903,26
1769218,5920,31
1769218,5922,32
1769218,5934,37
1769218,5955,46
1769218,5971,5
1769218,5989,65
1769218,11346,42
1769218,11352,53
1769218,14043,54
1769218,14783,8
1769218,14784,3
1769218,14785,15
1769218,15408,25
1769218,15409,66
1769218,15426,36
1769218,15686,22
1769218,16346,44
1769218,16526,39
1769218,16835,12
1769218,16836,2
1769218,16840,1
1769218,16841,47
1769218,16842,52
1769218,16848,68
1769218,17984,49
1769218,18001,30
1769218,18576,4
1769218,18661,57
1769218,18672,20
1769218,18673,29
1769218,18675,38
1769218,18679,61
1769218,18680,62
1769218,18682,70
1769218,19319,14
1769218,20016,10
1769218,20173,51
1769218,20226,6
1769218,20228,9
1769218,20237,28
1769218,20241,48
1769218,20245,59
1769218,21683,45
1769218,21776,16
1769218,22376,69
1769218,22432,34
1769218,22435,58
1769218,22436,55
1769218,22896,60
1769218,23106,43
1769218,23179,40
1769218,23180,67
1769218,23190,56
1769218,23342,63
1769218,23384,18
1769218,24077,11
1769218,24079,21
1769218,24081,23
1769218,24083,24
1769218,24084,27
1769218,24086,33
1769218,24088,35
1769218,24090,41
1769218,24091,50
1769218,24092,64
1769220,5850,2
1769220,5875,5
1769220,5904,8
1769220,5906,10
1769220,5921,13
1769220,5929,14
1769220,5949,16
1769220,5962,20
1769220,6014,11
1769220,6015,12
1769220,6019,19
1769220,6029,26
1769220,6030,27
1769220,6032,28
1769220,11013,22
1769220,11015,23
1769220,11020,3
1769220,11599,18
1769220,14238,25
1769220,16267,1
1769220,16834,4
1769220,17365,9
1769220,19686,7
1769220,19730,21
1769220,20015,17
1769220,21679,6
1769220,24093,15
1769220,24827,24
1769224,5904,1
1769227,22955,1
1769230,20248,1
1769233,23342,1
1769237,20230,1
1769239,18576,1
1769243,5904,1
1769247,5875,3
1769247,5929,4
1769247,5933,5
1769247,5962,7
1769247,14238,9
1769247,16267,2
1769247,19686,1
1769247,20015,6
1769247,24827,8
1769249,15409,1
1769252,22955,1
1769255,23342,1
1769259,22955,1
1769262,20230,1
1769264,22955,1
1769267,5850,2
1769267,5875,5
1769267,5904,8
1769267,5906,10
1769267,5921,13
1769267,5929,14
1769267,5949,16
1769267,5962,20
1769267,6014,11
1769267,6015,12
1769267,6019,19
1769267,6029,26
1769267,6030,27
1769267,6032,28
1769267,11013,22
1769267,11015,23
1769267,11020,3
1769267,11599,18
1769267,14238,25
1769267,16267,1
1769267,16834,4
1769267,17365,9
1769267,19686,7
1769267,19730,21
1769267,20015,17
1769267,21679,6
1769267,24093,15
1769267,24827,24
1769272,5852,7
1769272,5862,17
1769272,5874,21
1769272,5875,84
1769272,5877,23
1769272,5899,31
1769272,5903,1
1769272,5922,39
1769272,5929,86
1769272,5931,42
1769272,5933,87
1769272,5934,45
1769272,5945,51
1769272,5955,55
1769272,5962,89
1769272,5971,2
1769272,5989,74
1769272,11346,4
1769272,11349,3
1769272,11352,62
1769272,14043,63
1769272,14047,48
1769272,14783,10
1769272,14784,12
1769272,14785,19
1769272,14786,33
1769272,15077,83
1769272,15351,8
1769272,15408,32
1769272,15409,76
1769272,15426,44
1769272,15686,27
1769272,16267,82
1769272,16346,52
1769272,16526,47
