bill_id,session_id,bill_number,status,status_desc,status_date,title,description,committee_id,committee,last_action_date,last_action,url,state_link
1773355,2058,HB1,1,Introduced,2023-06-28,"Relating to a reduction in the maximum compressed tax rate of a school district and additional state aid for certain school districts impacted by compression.","Relating to a reduction in the maximum compressed tax rate of a school district and additional state aid for certain school districts impacted by compression.",0,,2023-07-05,"Committee report sent to Calendars",https://legiscan.com/TX/bill/HB1/2023/X2,https://capitol.texas.gov/BillLookup/History.aspx?LegSess=882&Bill=HB1
1773951,2058,HB2,1,Introduced,2023-07-10,"Relating to providing property tax relief through the public school finance system, exemptions, limitations on appraisals and taxes, and property tax administration; authorizing the imposition of a fee.","Relating to providing property tax relief through the public school finance system, exemptions, limitations on appraisals and taxes, and property tax administration; authorizing the imposition of a fee.",0,,2023-07-13,"Laid on the table subject to call",https://legiscan.com/TX/bill/HB2/2023/X2,https://capitol.texas.gov/BillLookup/History.aspx?LegSess=882&Bill=HB2
1773952,2058,HB3,1,Introduced,2023-07-10,"Relating to the amount of the total revenue exemption for the franchise tax and the exclusion of certain taxable entities from the requirement to file a franchise tax report.","Relating to the amount of the total revenue exemption for the franchise tax and the exclusion of certain taxable entities from the requirement to file a franchise tax report.",0,,2023-07-13,"Laid on the table subject to call",https://legiscan.com/TX/bill/HB3/2023/X2,https://capitol.texas.gov/BillLookup/History.aspx?LegSess=882&Bill=HB3
1773247,2058,HB11,1,Introduced,2023-06-27,"Relating to the authority to suspend entry into this state of certain persons.","Relating to the authority to suspend entry into this state of certain persons.",0,,2023-06-27,Filed,https://legiscan.com/TX/bill/HB11/2023/X2,https://capitol.texas.gov/BillLookup/History.aspx?LegSess=882&Bill=HB11
1773253,2058,HB12,1,Introduced,2023-06-27,"Relating to the vote required in an election to approve an ad valorem tax rate that exceeds a taxing unit's voter-approval tax rate; making conforming changes.","Relating to the vote required in an election to approve an ad valorem tax rate that exceeds a taxing unit's voter-approval tax rate; making conforming changes.",0,,2023-06-27,Filed,https://legiscan.com/TX/bill/HB12/2023/X2,https://capitol.texas.gov/BillLookup/History.aspx?LegSess=882&Bill=HB12
1773240,2058,HB13,1,Introduced,2023-06-27,"Relating to the abolition of ad valorem taxes and the creation of a joint interim committee on the abolition of those taxes.","Relating to the abolition of ad valorem taxes and the creation of a joint interim committee on the abolition of those taxes.",0,,2023-06-27,Filed,https://legiscan.com/TX/bill/HB13/2023/X2,https://capitol.texas.gov/BillLookup/History.aspx?LegSess=882&Bill=HB13
1773262,2058,HB14,1,Introduced,2023-06-27,"Relating to the calculation of certain ad valorem tax rates of a taxing unit and the manner in which a proposed ad valorem tax rate that exceeds the voter-approval tax rate is approved; making conforming changes.","Relating to the calculation of certain ad valorem tax rates of a taxing unit and the manner in which a proposed ad valorem tax rate that exceeds the voter-approval tax rate is approved; making conforming changes.",0,,2023-06-27,Filed,https://legiscan.com/TX/bill/HB14/2023/X2,https://capitol.texas.gov/BillLookup/History.aspx?LegSess=882&Bill=HB14
1773241,2058,HB15,1,Introduced,2023-06-27,"Relating to informed consent before provision of certain medical treatments and exemptions from COVID-19 vaccination requirements.","Relating to informed consent before provision of certain medical treatments and exemptions from COVID-19 vaccination requirements.",0,,2023-06-27,Filed,https://legiscan.com/TX/bill/HB15/2023/X2,https://capitol.texas.gov/BillLookup/History.aspx?LegSess=882&Bill=HB15
1773255,2058,HB16,1,Introduced,2023-06-27,"Relating to reducing school district maintenance and operations ad valorem taxes through the use of certain surplus state revenue.","Relating to reducing school district maintenance and operations ad valorem taxes through the use of certain surplus state revenue.",1901,"House Ways & Means",2023-07-05,"Referred to Ways & Means",https://legiscan.com/TX/bill/HB16/2023/X2,https://capitol.texas.gov/BillLookup/History.aspx?LegSess=882&Bill=HB16
1773257,2058,HB17,1,Introduced,2023-06-27,"Relating to a limit on municipal and county expenditures.","Relating to a limit on municipal and county expenditures.",0,,2023-06-27,Filed,https://legiscan.com/TX/bill/HB17/2023/X2,https://capitol.texas.gov/BillLookup/History.aspx?LegSess=882&Bill=HB17
