bill_id,document_id,document_type,document_size,document_mime,document_desc,url,state_link
1773355,2831382,text,36926,text/html,Introduced,https://legiscan.com/TX/text/HB1/id/2831382,https://capitol.texas.gov/tlodocs/882/billtext/html/HB00001I.htm
1773355,2831982,text,36960,text/html,"Comm Sub",https://legiscan.com/TX/text/HB1/id/2831982,https://capitol.texas.gov/tlodocs/882/billtext/html/HB00001H.htm
1773951,2833346,text,405509,text/html,Introduced,https://legiscan.com/TX/text/HB2/id/2833346,https://capitol.texas.gov/tlodocs/882/billtext/html/HB00002I.htm
1773951,2833652,text,405732,text/html,"Comm Sub",https://legiscan.com/TX/text/HB2/id/2833652,https://capitol.texas.gov/tlodocs/882/billtext/html/HB00002H.htm
1773952,2833347,text,11344,text/html,Introduced,https://legiscan.com/TX/text/HB3/id/2833347,https://capitol.texas.gov/tlodocs/882/billtext/html/HB00003I.htm
1773952,2833651,text,11562,text/html,"Comm Sub",https://legiscan.com/TX/text/HB3/id/2833651,https://capitol.texas.gov/tlodocs/882/billtext/html/HB00003H.htm
1773247,2831333,text,18859,text/html,Introduced,https://legiscan.com/TX/text/HB11/id/2831333,https://capitol.texas.gov/tlodocs/882/billtext/html/HB00011I.htm
1773253,2831395,text,45794,text/html,Introduced,https://legiscan.com/TX/text/HB12/id/2831395,https://capitol.texas.gov/tlodocs/882/billtext/html/HB00012I.htm
1773240,2831326,text,21389,text/html,Introduced,https://legiscan.com/TX/text/HB13/id/2831326,https://capitol.texas.gov/tlodocs/882/billtext/html/HB00013I.htm
1773262,2831545,text,102776,text/html,Introduced,https://legiscan.com/TX/text/HB14/id/2831545,https://capitol.texas.gov/tlodocs/882/billtext/html/HB00014I.htm
1773241,2831339,text,38878,text/html,Introduced,https://legiscan.com/TX/text/HB15/id/2831339,https://capitol.texas.gov/tlodocs/882/billtext/html/HB00015I.htm
1773255,2831337,text,19969,text/html,Introduced,https://legiscan.com/TX/text/HB16/id/2831337,https://capitol.texas.gov/tlodocs/882/billtext/html/HB00016I.htm
1773257,2831416,text,17922,text/html,Introduced,https://legiscan.com/TX/text/HB17/id/2831416,https://capitol.texas.gov/tlodocs/882/billtext/html/HB00017I.htm
1773265,2831547,text,23445,text/html,Introduced,https://legiscan.com/TX/text/HB18/id/2831547,https://capitol.texas.gov/tlodocs/882/billtext/html/HB00018I.htm
1773252,2831334,text,8289,text/html,Introduced,https://legiscan.com/TX/text/HB19/id/2831334,https://capitol.texas.gov/tlodocs/882/billtext/html/HB00019I.htm
1773242,2831415,text,14718,text/html,Introduced,https://legiscan.com/TX/text/HB20/id/2831415,https://capitol.texas.gov/tlodocs/882/billtext/html/HB00020I.htm
1773256,2831209,text,80241,text/html,Introduced,https://legiscan.com/TX/text/HB21/id/2831209,https://capitol.texas.gov/tlodocs/882/billtext/html/HB00021I.htm
1773260,2831584,text,307510,text/html,Introduced,https://legiscan.com/TX/text/HB22/id/2831584,https://capitol.texas.gov/tlodocs/882/billtext/html/HB00022I.htm
1773243,2831332,text,18821,text/html,Introduced,https://legiscan.com/TX/text/HB23/id/2831332,https://capitol.texas.gov/tlodocs/882/billtext/html/HB00023I.htm
1773246,2831409,text,23272,text/html,Introduced,https://legiscan.com/TX/text/HB24/id/2831409,https://capitol.texas.gov/tlodocs/882/billtext/html/HB00024I.htm
1773249,2831422,text,106645,text/html,Introduced,https://legiscan.com/TX/text/HB25/id/2831422,https://capitol.texas.gov/tlodocs/882/billtext/html/HB00025I.htm
1773251,2831414,text,84769,text/html,Introduced,https://legiscan.com/TX/text/HB26/id/2831414,https://capitol.texas.gov/tlodocs/882/billtext/html/HB00026I.htm
1773263,2831405,text,6171,text/html,Introduced,https://legiscan.com/TX/text/HB27/id/2831405,https://capitol.texas.gov/tlodocs/882/billtext/html/HB00027I.htm
1773261,2831418,text,16415,text/html,Introduced,https://legiscan.com/TX/text/HB28/id/2831418,https://capitol.texas.gov/tlodocs/882/billtext/html/HB00028I.htm
1773258,2831388,text,43882,text/html,Introduced,https://legiscan.com/TX/text/HB29/id/2831388,https://capitol.texas.gov/tlodocs/882/billtext/html/HB00029I.htm
1773250,2831393,text,95210,text/html,Introduced,https://legiscan.com/TX/text/HB30/id/2831393,https://capitol.texas.gov/tlodocs/882/billtext/html/HB00030I.htm
1773264,2831421,text,9526,text/html,Introduced,https://legiscan.com/TX/text/HB31/id/2831421,https://capitol.texas.gov/tlodocs/882/billtext/html/HB00031I.htm
1773341,2831373,text,17062,text/html,Introduced,https://legiscan.com/TX/text/HB32/id/2831373,https://capitol.texas.gov/tlodocs/882/billtext/html/HB00032I.htm
1773338,2831370,text,16913,text/html,Introduced,https://legiscan.com/TX/text/HB33/id/2831370,https://capitol.texas.gov/tlodocs/882/billtext/html/HB00033I.htm
1773347,2831378,text,15034,text/html,Introduced,https://legiscan.com/TX/text/HB34/id/2831378,https://capitol.texas.gov/tlodocs/882/billtext/html/HB00034I.htm
1773323,2831357,text,42152,text/html,Introduced,https://legiscan.com/TX/text/HB35/id/2831357,https://capitol.texas.gov/tlodocs/882/billtext/html/HB00035I.htm
1773332,2831541,text,59293,text/html,Introduced,https://legiscan.com/TX/text/HB36/id/2831541,https://capitol.texas.gov/tlodocs/882/billtext/html/HB00036I.htm
1773345,2831536,text,7562,text/html,Introduced,https://legiscan.com/TX/text/HB37/id/2831536,https://capitol.texas.gov/tlodocs/882/billtext/html/HB00037I.htm
