bill_id,date,chamber,sequence,action
1773240,2023-06-27,House,1,Filed
1773241,2023-06-27,House,1,Filed
1773242,2023-06-27,House,1,Filed
1773243,2023-06-27,House,1,Filed
1773244,2023-06-27,House,1,Filed
1773245,2023-06-27,House,1,Filed
1773246,2023-06-27,House,1,Filed
1773247,2023-06-27,House,1,Filed
1773248,2023-06-27,House,1,Filed
1773248,2023-07-05,House,2,"Read first time"
1773248,2023-07-05,House,3,"Referred to Ways & Means"
1773249,2023-06-27,House,1,Filed
1773250,2023-06-27,House,1,Filed
1773251,2023-06-27,House,1,Filed
1773252,2023-06-27,House,1,Filed
1773252,2023-07-05,House,2,"Read first time"
1773252,2023-07-05,House,3,"Referred to Ways & Means"
1773253,2023-06-27,House,1,Filed
1773254,2023-06-27,House,1,Filed
1773255,2023-06-27,House,1,Filed
1773255,2023-07-05,House,2,"Read first time"
1773255,2023-07-05,House,3,"Referred to Ways & Means"
1773256,2023-06-27,House,1,Filed
1773257,2023-06-27,House,1,Filed
1773258,2023-06-27,House,1,Filed
1773259,2023-06-27,House,1,Filed
1773260,2023-06-28,House,1,Filed
1773261,2023-06-27,House,1,Filed
1773262,2023-06-27,House,1,Filed
1773263,2023-06-27,House,1,Filed
1773264,2023-06-27,House,1,Filed
1773265,2023-06-27,House,1,Filed
1773265,2023-07-05,House,2,"Read first time"
1773265,2023-07-05,House,3,"Referred to Ways & Means"
1773305,2023-06-28,House,1,Filed
1773307,2023-06-28,House,1,Filed
1773309,2023-06-28,House,1,Filed
1773309,2023-07-05,House,2,"Read first time"
1773309,2023-07-05,House,3,"Referred to Ways & Means"
1773311,2023-06-28,House,1,Filed
1773313,2023-06-28,House,1,Filed
1773315,2023-06-28,House,1,Filed
1773317,2023-06-28,Senate,1,"Received by the Secretary of the Senate"
1773317,2023-06-28,Senate,2,Filed
1773317,2023-06-28,Senate,3,"Co-author authorized"
1773317,2023-06-28,Senate,4,"Read first time"
1773317,2023-06-28,Senate,5,"Referred to Finance"
1773317,2023-06-28,Senate,6,"Posting rule suspended"
1773317,2023-06-28,Senate,7,"Scheduled for public hearing on . . ."
1773317,2023-06-28,Senate,8,"Considered in public hearing"
1773317,2023-06-28,Senate,9,"Vote taken in committee"
1773317,2023-06-28,Senate,10,"Reported favorably w/o amendments"
1773317,2023-06-28,Senate,11,"Printing rule suspended"
1773317,2023-06-28,Senate,12,"Ordered not printed"
1773317,2023-06-28,Senate,13,"Rules suspended"
1773317,2023-06-28,Senate,14,"Record vote"
1773317,2023-06-28,Senate,15,"Read 2nd time & passed to engrossment"
1773317,2023-06-28,Senate,16,"Vote recorded in Journal"
1773317,2023-06-28,Senate,17,"Three day rule suspended"
1773317,2023-06-28,Senate,18,"Record vote"
1773317,2023-06-28,Senate,19,"Read 3rd time"
1773317,2023-06-28,Senate,20,Passed
1773317,2023-06-28,Senate,21,"Record vote"
1773317,2023-06-28,Senate,22,"Reported engrossed"
1773317,2023-06-30,House,23,"Received from the Senate"
1773319,2023-06-28,House,1,Filed
1773321,2023-06-28,House,1,Filed
1773323,2023-06-28,House,1,Filed
1773325,2023-06-28,House,1,Filed
1773325,2023-06-28,House,2,"Read first time"
1773325,2023-06-28,House,3,"Referred to Ways & Means"
1773325,2023-06-28,House,4,"Considered in formal meeting"
1773325,2023-06-28,House,5,"Reported favorably w/o amendment(s)"
1773325,2023-06-29,House,6,"Comte report filed with Committee Coordinator"
1773325,2023-06-29,House,7,"Committee report distributed"
1773325,2023-07-05,House,8,"Committee report sent to Calendars"
1773328,2023-06-28,House,1,Filed
1773330,2023-06-28,House,1,Filed
1773332,2023-06-28,House,1,Filed
1773336,2023-06-28,Senate,1,"Received by the Secretary of the Senate"
1773336,2023-06-28,Senate,2,Filed
1773338,2023-06-28,House,1,Filed
1773341,2023-06-28,House,1,Filed
1773343,2023-06-28,House,1,Filed
1773345,2023-06-28,House,1,Filed
1773347,2023-06-28,House,1,Filed
1773349,2023-06-28,House,1,Filed
1773351,2023-06-28,Senate,1,"Received by the Secretary of the Senate"
1773351,2023-06-28,Senate,2,Filed
1773353,2023-06-28,House,1,Filed
1773355,2023-06-28,House,1,Filed
1773355,2023-06-28,House,2,"Read first time"
1773355,2023-06-28,House,3,"Referred to Ways & Means"
