bill_id,roll_call_id,date,chamber,description,yea,nay,nv,absent,total
1773317,1348585,2023-06-28,Senate,"Rules suspended",31,0,0,0,31
1773317,1348586,2023-06-28,Senate,"Three day rule suspended",31,0,0,0,31
1773317,1348587,2023-06-28,Senate,"Read 3rd time",31,0,0,0,31
1773359,1348613,2023-06-28,Senate,"Adopted as amended",31,0,0,0,31
1773452,1350719,2023-07-13,House,"Rules suspended RV#8",131,0,1,17,149
1773738,1350598,2023-07-13,House,"Rules suspended RV#8",131,0,1,17,149
1773747,1350582,2023-07-05,House,"Adopted RV#3",145,0,0,4,149
1773790,1350601,2023-07-13,House,"Rules suspended RV#8",131,0,1,17,149
1773899,1350596,2023-07-13,House,"Rules suspended RV#8",131,0,1,17,149
1773910,1350595,2023-07-13,House,"Rules suspended RV#8",131,0,1,17,149
1773915,1350597,2023-07-13,House,"Rules suspended RV#8",131,0,1,17,149
1773926,1350716,2023-07-13,House,"Rules suspended RV#8",131,0,1,17,149
1773936,1350594,2023-07-13,House,"Rules suspended RV#8",131,0,1,17,149
1773955,1350583,2023-07-13,House,"Rules suspended RV#8",131,0,1,17,149
1773961,1350600,2023-07-13,House,RV#27,130,5,1,13,149
1773961,1350613,2023-07-13,House,"Adopted as amended RV#28",132,5,0,12,149
1773961,1350718,2023-07-13,Senate,Adopted,31,0,0,0,31
1773961,1350763,2023-07-13,Senate,Adopted,31,0,0,0,31
1773969,1350374,2023-07-12,Senate,"Rules suspended",31,0,0,0,31
1773969,1350375,2023-07-12,Senate,"Three day rule suspended",31,0,0,0,31
1773969,1350376,2023-07-12,Senate,"Read 3rd time",31,0,0,0,31
1773969,1350599,2023-07-13,House,"Read 2nd time RV#13",127,5,2,15,149
1773969,1350612,2023-07-13,House,"Read 3rd time RV#30",131,5,1,12,149
1774019,1350377,2023-07-12,Senate,"Rules suspended",31,0,0,0,31
1774019,1350378,2023-07-12,Senate,"Three day rule suspended",31,0,0,0,31
1774019,1350379,2023-07-12,Senate,"Read 3rd time",31,0,0,0,31
1774019,1350585,2023-07-13,House,"Amendment fails of adoption RV#17",51,79,1,18,149
1774019,1350603,2023-07-13,House,"Amendment fails of adoption RV#18",51,81,1,16,149
1774019,1350604,2023-07-13,House,"Amendment fails of adoption RV#20",51,81,1,16,149
1774019,1350605,2023-07-13,House,"Amendment fails of adoption RV#21",19,116,1,13,149
1774019,1350606,2023-07-13,House,"Amendment fails of adoption RV#22",18,117,1,13,149
1774019,1350607,2023-07-13,House,"Amendment fails of adoption RV#23",51,82,1,15,149
1774019,1350608,2023-07-13,House,"Amendment fails of adoption RV#24",54,78,1,16,149
1774019,1350609,2023-07-13,House,"Amendment fails of adoption RV#25",52,81,1,15,149
1774019,1350610,2023-07-13,House,"Statement(s) of vote recorded in Journal RV#26",132,4,0,13,149
1774019,1350611,2023-07-13,House,"Read 3rd time RV#31",133,4,0,12,149
1774114,1350729,2023-07-13,House,"Rules suspended RV#8",131,0,1,17,149
1774119,1350727,2023-07-13,House,"Rules suspended RV#8",131,0,1,17,149
1774137,1350591,2023-07-13,House,"Rules suspended RV#8",131,0,1,17,149
1774219,1350717,2023-07-13,House,"Rules suspended RV#8",131,0,1,17,149
1774234,1350725,2023-07-13,House,"Rules suspended RV#8",131,0,1,17,149
1774236,1350726,2023-07-13,House,"Rules suspended RV#8",131,0,1,17,149
1774237,1350721,2023-07-13,House,"Rules suspended RV#8",131,0,1,17,149
1774239,1350723,2023-07-13,House,"Rules suspended RV#8",131,0,1,17,149
1774241,1350724,2023-07-13,House,"Rules suspended RV#8",131,0,1,17,149
1774243,1350722,2023-07-13,House,"Rules suspended RV#8",131,0,1,17,149
1774245,1350720,2023-07-13,House,"Rules suspended RV#8",131,0,1,17,149
1774247,1350728,2023-07-13,House,"Rules suspended RV#8",131,0,1,17,149
1774249,1350586,2023-07-13,House,"Rules suspended RV#8",131,0,1,17,149
1774250,1350588,2023-07-13,House,"Rules suspended RV#8",131,0,1,17,149
1774304,1350592,2023-07-13,House,"Rules suspended RV#8",131,0,1,17,149
1774307,1350589,2023-07-13,House,"Rules suspended RV#8",131,0,1,17,149
1774309,1350587,2023-07-13,House,"Rules suspended RV#8",131,0,1,17,149
1774312,1350593,2023-07-13,House,"Rules suspended RV#8",131,0,1,17,149
