bill_id,people_id,position
1773240,22955,1
1773241,22955,1
1773242,15409,1
1773243,11598,1
1773244,22955,1
1773245,23342,1
1773246,11598,1
1773247,22955,1
1773248,18682,1
1773249,11598,1
1773250,23342,1
1773251,11598,1
1773252,17984,1
1773253,22955,1
1773254,15409,1
1773255,16835,6
1773255,19319,1
1773255,20237,4
1773255,22376,3
1773255,24077,2
1773255,24078,5
1773256,15409,1
1773257,19319,1
1773257,22376,2
1773258,11598,1
1773259,23342,1
1773260,15409,1
1773261,11598,1
1773262,22955,1
1773263,11598,1
1773264,23342,1
1773265,15409,1
1773305,23180,1
1773307,20230,1
1773309,23180,1
1773311,23180,1
1773313,20230,1
1773315,14783,1
1773317,5850,2
1773317,5875,6
1773317,5906,10
1773317,5921,13
1773317,5929,14
1773317,5933,15
1773317,5949,17
1773317,5962,21
1773317,6014,11
1773317,6015,12
1773317,6019,20
1773317,6029,27
1773317,11013,23
1773317,11015,24
1773317,11020,3
1773317,11599,19
1773317,14238,26
1773317,15077,5
1773317,16267,1
1773317,16834,4
1773317,17365,9
1773317,19686,8
1773317,19730,22
1773317,20015,18
1773317,21679,7
1773317,24093,16
1773317,24827,25
1773319,14783,1
1773321,11349,1
1773323,20230,1
1773325,5903,10
1773325,5934,13
1773325,5971,4
1773325,14784,3
1773325,15351,5
1773325,15628,14
1773325,16346,15
1773325,16836,2
1773325,16840,1
1773325,16848,19
1773325,18673,11
1773325,19319,7
1773325,20241,16
1773325,21776,8
1773325,22376,20
1773325,22436,17
1773325,23384,9
1773325,24077,6
1773325,24088,12
1773325,24092,18
1773328,14783,1
1773330,14783,1
1773332,20230,1
1773336,5904,1
1773338,20230,1
1773341,20230,1
1773343,20230,1
1773345,20230,1
1773347,20230,1
1773349,11349,1
1773351,5904,1
1773353,11349,1
1773355,5903,10
1773355,5931,12
1773355,5934,14
1773355,5971,4
1773355,14784,3
1773355,15351,5
1773355,15628,15
1773355,16346,16
1773355,16836,2
1773355,16840,1
1773355,16848,20
1773355,18673,11
1773355,19319,7
1773355,20241,17
1773355,21776,8
1773355,22376,21
1773355,22436,18
1773355,23384,9
1773355,24077,6
1773355,24088,13
1773355,24092,19
1773357,11349,1
1773359,5850,2
1773359,5875,6
1773359,5906,10
1773359,5921,13
1773359,5929,14
1773359,5933,15
1773359,5949,17
1773359,5962,21
1773359,6014,11
1773359,6015,12
1773359,6019,20
1773359,6029,27
1773359,6032,28
1773359,11013,23
1773359,11015,24
1773359,11020,3
1773359,11599,19
1773359,14238,26
1773359,15077,5
1773359,16267,1
1773359,16834,4
1773359,17365,9
1773359,19686,8
1773359,19730,22
1773359,20015,18
1773359,21679,7
1773359,24093,16
1773359,24827,25
1773366,5931,1
1773369,6032,1
1773373,5921,1
1773377,15409,3
1773377,22376,2
1773377,23179,1
1773381,20234,1
1773386,11349,1
1773389,11349,1
1773393,11349,1
1773397,24093,1
1773401,24093,1
1773403,5921,1
1773404,14783,1
1773412,16834,1
1773424,6029,1
1773445,19686,1
1773449,23342,1
1773452,16840,1
1773472,16846,1
1773490,14238,1
1773493,6030,1
1773495,6030,1
1773496,20015,1
1773509,6032,1
1773512,6032,1
1773515,6032,1
1773518,6029,1
1773520,6032,1
1773522,6032,1
1773524,18682,1
1773526,6032,1
1773544,16846,1
1773561,16846,1
1773570,16846,1
1773585,16846,1
1773586,24093,1
1773608,6032,1
1773736,20243,1
1773738,20226,1
1773741,14783,1
1773742,5962,1
1773744,6029,1
1773746,19686,1
1773747,15425,1
1773776,5920,14
1773776,5931,17
1773776,5944,20
1773776,5996,30
1773776,11598,27
1773776,15352,9
1773776,15629,25
1773776,15631,31
1773776,17631,5
1773776,18284,24
1773776,18674,13
1773776,19959,28
1773776,20229,7
1773776,20232,8
1773776,20234,12
1773776,20235,2
1773776,20239,15
1773776,20240,21
1773776,20243,26
1773776,20246,29
1773776,20248,32
1773776,21336,18
1773776,21683,23
1773776,22437,22
1773776,23145,16
1773776,23184,3
1773776,24075,6
1773776,24076,1
1773776,24080,10
1773776,24082,11
1773776,24089,4
1773776,24094,19
1773782,5920,16
1773782,5931,19
1773782,5944,23
1773782,5996,33
1773782,11598,29
1773782,15352,10
1773782,15629,28
1773782,15631,34
1773782,17631,6
1773782,18029,13
1773782,18284,27
1773782,18576,32
1773782,18674,15
1773782,19959,30
1773782,20229,8
1773782,20232,9
1773782,20234,14
1773782,20235,4
1773782,20239,17
1773782,20240,24
1773782,20243,2
1773782,20246,31
1773782,20248,35
1773782,21335,3
1773782,21336,21
1773782,21683,26
1773782,22437,25
1773782,23145,18
1773782,23184,5
1773782,24075,7
1773782,24076,1
1773782,24080,11
1773782,24082,12
1773782,24089,20
1773782,24094,22
1773790,16846,1
1773801,14783,1
1773808,5933,1
1773808,6015,2
1773870,5971,1
1773884,22436,1
1773899,14783,1
1773909,22436,1
1773910,20016,1
1773915,20016,1
1773919,19686,1
1773923,6029,1
1773926,11352,1
1773936,11352,1
1773951,5852,7
1773951,5862,13
1773951,5877,19
1773951,5899,25
1773951,5903,27
1773951,5913,32
1773951,5931,36
1773951,5934,38
1773951,5955,47
1773951,5971,4
1773951,5989,66
1773951,11346,44
1773951,11352,53
1773951,11598,55
1773951,14043,54
1773951,14237,16
1773951,14783,9
1773951,14785,15
1773951,15351,8
1773951,15408,26
1773951,15409,67
1773951,15628,42
1773951,16346,2
1773951,16526,40
1773951,16835,12
1773951,16836,3
1773951,16840,1
1773951,16842,52
1773951,16847,58
1773951,16848,69
1773951,17984,49
1773951,18001,33
1773951,18576,5
1773951,18661,59
1773951,18672,20
1773951,18675,39
1773951,18679,63
1773951,18682,71
1773951,19319,14
1773951,20173,51
1773951,20226,6
1773951,20228,10
1773951,20236,28
1773951,20237,30
1773951,20241,48
1773951,20245,61
1773951,21683,46
1773951,21776,17
1773951,22376,70
1773951,22431,34
1773951,22435,60
1773951,22436,56
1773951,22896,62
1773951,23106,45
1773951,23179,41
1773951,23180,68
1773951,23190,57
1773951,23342,64
1773951,23384,18
1773951,24077,11
1773951,24078,21
1773951,24079,22
1773951,24081,23
1773951,24083,24
1773951,24084,29
1773951,24085,31
1773951,24086,35
1773951,24088,37
1773951,24090,43
1773951,24091,50
1773951,24092,65
1773952,5852,7
1773952,5862,13
1773952,5877,3
1773952,5899,1
1773952,5903,25
1773952,5913,30
1773952,5931,34
1773952,5934,36
1773952,5955,45
1773952,5971,5
1773952,5989,63
1773952,11346,41
1773952,11352,51
1773952,14043,52
1773952,14237,16
1773952,14783,9
1773952,14785,15
1773952,15351,8
1773952,15408,24
1773952,15409,64
1773952,16346,43
1773952,16526,38
1773952,16835,12
1773952,16840,2
1773952,16842,50
1773952,16847,55
1773952,16848,66
1773952,17984,47
1773952,18001,31
1773952,18661,56
1773952,18672,19
1773952,18673,4
1773952,18675,37
1773952,18679,60
1773952,18682,68
1773952,19319,14
1773952,20173,49
1773952,20226,6
1773952,20228,10
1773952,20236,26
1773952,20237,28
1773952,20241,46
1773952,20245,58
1773952,21683,44
1773952,21776,17
1773952,22376,67
1773952,22431,32
1773952,22435,57
1773952,22436,53
1773952,22896,59
1773952,23106,42
1773952,23179,39
1773952,23180,65
1773952,23190,54
1773952,23342,61
1773952,23384,18
1773952,24077,11
1773952,24078,20
1773952,24079,21
1773952,24081,22
1773952,24083,23
1773952,24084,27
1773952,24085,29
1773952,24086,33
1773952,24088,35
1773952,24090,40
1773952,24091,48
1773952,24092,62
1773955,5903,2
1773955,18661,1
1773956,5875,1
1773960,5875,1
1773961,5850,73
1773961,5852,7
1773961,5862,13
1773961,5875,77
1773961,5877,19
1773961,5899,25
1773961,5903,27
1773961,5906,80
1773961,5913,33
1773961,5921,83
1773961,5929,84
1773961,5931,37
1773961,5933,85
1773961,5934,39
1773961,5949,87
1773961,5955,48
1773961,5962,91
1773961,5971,4
1773961,5989,66
1773961,6014,81
1773961,6015,82
1773961,6019,90
1773961,6029,97
1773961,6030,98
1773961,6032,99
1773961,11013,93
1773961,11015,94
1773961,11020,74
1773961,11346,45
1773961,11352,54
1773961,11599,89
1773961,14043,55
1773961,14237,16
1773961,14238,96
1773961,14783,9
1773961,14785,15
1773961,15077,76
1773961,15351,8
1773961,15408,26
1773961,15409,67
1773961,15628,43
1773961,16267,72
1773961,16346,1
1773961,16526,41
1773961,16834,75
1773961,16835,12
1773961,16836,3
1773961,16840,2
1773961,16842,53
1773961,16847,58
1773961,16848,69
1773961,17365,79
1773961,17984,50
1773961,18001,34
1773961,18576,5
1773961,18661,59
1773961,18672,20
1773961,18673,32
1773961,18675,40
1773961,18679,63
1773961,18682,71
1773961,19319,14
1773961,19686,78
1773961,19730,92
1773961,20015,88
1773961,20173,52
1773961,20226,6
1773961,20228,10
1773961,20236,28
1773961,20237,30
1773961,20241,49
1773961,20245,61
1773961,21683,47
1773961,21776,17
1773961,22376,70
1773961,22431,35
1773961,22435,60
1773961,22436,56
1773961,22896,62
1773961,23106,46
1773961,23179,42
1773961,23180,68
1773961,23190,57
1773961,23342,64
1773961,23384,18
1773961,24077,11
1773961,24078,21
1773961,24079,22
1773961,24081,23
1773961,24083,24
1773961,24084,29
1773961,24085,31
1773961,24086,36
1773961,24088,38
1773961,24090,44
1773961,24091,51
1773961,24092,65
1773961,24093,86
1773961,24827,95
1773963,5875,1
1773965,5920,4
1773965,20240,2
1773965,20243,5
1773965,20246,6
1773965,24076,3
1773965,24080,1
1773967,5875,1
1773969,5850,2
1773969,5852,37
1773969,5862,43
1773969,5875,6
1773969,5877,33
1773969,5899,31
1773969,5903,55
1773969,5904,9
1773969,5906,11
1773969,5913,60
1773969,5921,14
1773969,5929,15
1773969,5931,64
1773969,5933,16
1773969,5934,66
1773969,5949,18
1773969,5955,75
1773969,5962,22
1773969,5971,35
1773969,5989,93
1773969,6014,12
1773969,6015,13
1773969,6019,21
1773969,6029,28
1773969,6030,29
1773969,6032,30
1773969,11013,24
1773969,11015,25
1773969,11020,3
1773969,11346,71
1773969,11352,81
1773969,11599,20
1773969,14043,82
