bill_id,session_id,bill_number,status,status_desc,status_date,title,description,committee_id,committee,last_action_date,last_action,url,state_link
1781207,2102,HB1,1,Introduced,2023-10-19,"Relating to primary and secondary education, including the certification, compensation, and health coverage of certain public school employees, the public school finance system, special education in public schools, the establishment of an education savings account program, measures to support the education of public school students that include certain educational grant programs, reading instruction, and early childhood education, the provision of virtual education, and public school accountability.","Relating to primary and secondary education, including the certification, compensation, and health coverage of certain public school employees, the public school finance system, special education in public schools, the establishment of an education savings account program, measures to support the education of public school students that include certain educational grant programs, reading instruction, and early childhood education, the provision of virtual education, and public school accountability.",0,,2023-10-19,Filed,https://legiscan.com/TX/bill/HB1/2023/X3,https://capitol.texas.gov/BillLookup/History.aspx?LegSess=883&Bill=HB1
1780499,2102,HB4,2,Engrossed,2023-10-26,"Relating to the creation of the criminal offense of improper entry from a foreign nation and indemnification of certain claims relating to the enforcement of that offense.","Relating to the creation of the criminal offense of improper entry from a foreign nation and indemnification of certain claims relating to the enforcement of that offense.",0,,2023-11-02,"Committee report printed and distributed",https://legiscan.com/TX/bill/HB4/2023/X3,https://capitol.texas.gov/BillLookup/History.aspx?LegSess=883&Bill=HB4
1780078,2102,HB5,1,Introduced,2023-10-11,"Relating to the punishment for certain criminal conduct involving the smuggling of persons or the operation of a stash house; increasing criminal penalties.","Relating to the punishment for certain criminal conduct involving the smuggling of persons or the operation of a stash house; increasing criminal penalties.",1895,"House State Affairs",2023-10-12,"Referred to State Affairs",https://legiscan.com/TX/bill/HB5/2023/X3,https://capitol.texas.gov/BillLookup/History.aspx?LegSess=883&Bill=HB5
1780473,2102,HB6,2,Engrossed,2023-10-26,"Relating to making an appropriation for the construction, operation, and maintenance of border barrier infrastructure.","Relating to making an appropriation for the construction, operation, and maintenance of border barrier infrastructure.",1909,"Senate Finance",2023-10-26,"Referred to Finance",https://legiscan.com/TX/bill/HB6/2023/X3,https://capitol.texas.gov/BillLookup/History.aspx?LegSess=883&Bill=HB6
1780478,2102,HB7,1,Introduced,2023-10-13,"Relating to prohibiting a private employer from adopting or enforcing certain COVID-19 vaccine mandates; authorizing an administrative penalty.","Relating to prohibiting a private employer from adopting or enforcing certain COVID-19 vaccine mandates; authorizing an administrative penalty.",1895,"House State Affairs",2023-10-13,"Referred to State Affairs",https://legiscan.com/TX/bill/HB7/2023/X3,https://capitol.texas.gov/BillLookup/History.aspx?LegSess=883&Bill=HB7
1779719,2102,HB11,1,Introduced,2023-10-06,"Relating to the procedure following the apprehension of an undocumented individual by the Department of Public Safety for illegal entry into this state from Mexico during certain declared disasters; creating a criminal offense.","Relating to the procedure following the apprehension of an undocumented individual by the Department of Public Safety for illegal entry into this state from Mexico during certain declared disasters; creating a criminal offense.",1895,"House State Affairs",2023-10-12,"Referred to State Affairs",https://legiscan.com/TX/bill/HB11/2023/X3,https://capitol.texas.gov/BillLookup/History.aspx?LegSess=883&Bill=HB11
1779744,2102,HB12,1,Introduced,2023-10-06,"Relating to the Department of Public Safety performing rapid DNA testing of certain individuals crossing the Texas-Mexico border.","Relating to the Department of Public Safety performing rapid DNA testing of certain individuals crossing the Texas-Mexico border.",0,,2023-10-06,Filed,https://legiscan.com/TX/bill/HB12/2023/X3,https://capitol.texas.gov/BillLookup/History.aspx?LegSess=883&Bill=HB12
1779701,2102,HB13,1,Introduced,2023-10-06,"Relating to a requirement that an appraisal review board rely on an appraisal of residential real property prepared by an appraiser and submitted to the board by the property owner to determine a protest regarding the value of the property.","Relating to a requirement that an appraisal review board rely on an appraisal of residential real property prepared by an appraiser and submitted to the board by the property owner to determine a protest regarding the value of the property.",0,,2023-10-06,Filed,https://legiscan.com/TX/bill/HB13/2023/X3,https://capitol.texas.gov/BillLookup/History.aspx?LegSess=883&Bill=HB13
1779718,2102,HB14,1,Introduced,2023-10-06,"Relating to the punishment for the criminal offense of operation of a stash house; increasing a criminal penalty.","Relating to the punishment for the criminal offense of operation of a stash house; increasing a criminal penalty.",1895,"House State Affairs",2023-10-12,"Referred to State Affairs",https://legiscan.com/TX/bill/HB14/2023/X3,https://capitol.texas.gov/BillLookup/History.aspx?LegSess=883&Bill=HB14
1779723,2102,HB15,1,Introduced,2023-10-06,"Relating to review of advanced placement courses by the State Board of Education and to the advanced placement courses and examinations that may be offered by school districts.","Relating to review of advanced placement courses by the State Board of Education and to the advanced placement courses and examinations that may be offered by school districts.",0,,2023-10-06,Filed,https://legiscan.com/TX/bill/HB15/2023/X3,https://capitol.texas.gov/BillLookup/History.aspx?LegSess=883&Bill=HB15
1779735,2102,HB16,1,Introduced,2023-10-06,"Relating to informed consent before provision of certain medical treatments and exemptions from COVID-19 vaccination requirements.","Relating to informed consent before provision of certain medical treatments and exemptions from COVID-19 vaccination requirements.",0,,2023-10-06,Filed,https://legiscan.com/TX/bill/HB16/2023/X3,https://capitol.texas.gov/BillLookup/History.aspx?LegSess=883&Bill=HB16
1779751,2102,HB17,1,Introduced,2023-10-06,"Relating to the provision of certain behavioral health services, including intensive outpatient services and partial hospitalization services, under Medicaid.","Relating to the provision of certain behavioral health services, including intensive outpatient services and partial hospitalization services, under Medicaid.",0,,2023-10-06,Filed,https://legiscan.com/TX/bill/HB17/2023/X3,https://capitol.texas.gov/BillLookup/History.aspx?LegSess=883&Bill=HB17
1779721,2102,HB18,1,Introduced,2023-10-06,"Relating to the expansion of eligibility for Medicaid to certain individuals under the federal Patient Protection and Affordable Care Act.","Relating to the expansion of eligibility for Medicaid to certain individuals under the federal Patient Protection and Affordable Care Act.",0,,2023-10-06,Filed,https://legiscan.com/TX/bill/HB18/2023/X3,https://capitol.texas.gov/BillLookup/History.aspx?LegSess=883&Bill=HB18
1779716,2102,HB19,1,Introduced,2023-10-06,"Relating to the authority of the Texas Department of Insurance to publish and maintain a list of certain swim schools.","Relating to the authority of the Texas Department of Insurance to publish and maintain a list of certain swim schools.",0,,2023-10-06,Filed,https://legiscan.com/TX/bill/HB19/2023/X3,https://capitol.texas.gov/BillLookup/History.aspx?LegSess=883&Bill=HB19
1779727,2102,HB20,1,Introduced,2023-10-06,"Relating to the limitation on increases in the appraised value of a residence homestead for ad valorem taxation.","Relating to the limitation on increases in the appraised value of a residence homestead for ad valorem taxation.",0,,2023-10-06,Filed,https://legiscan.com/TX/bill/HB20/2023/X3,https://capitol.texas.gov/BillLookup/History.aspx?LegSess=883&Bill=HB20
