bill_id,date,chamber,sequence,action
1779692,2023-10-06,House,1,Filed
1779693,2023-10-06,House,1,Filed
1779694,2023-10-06,Senate,1,"Received by the Secretary of the Senate"
1779694,2023-10-06,Senate,2,Filed
1779695,2023-10-06,House,1,Filed
1779696,2023-10-06,House,1,Filed
1779697,2023-10-06,House,1,Filed
1779698,2023-10-06,House,1,Filed
1779698,2023-10-12,House,2,"Read first time"
1779698,2023-10-12,House,3,"Referred to State Affairs"
1779699,2023-10-06,House,1,Filed
1779700,2023-10-06,Senate,1,"Received by the Secretary of the Senate"
1779700,2023-10-06,Senate,2,Filed
1779701,2023-10-06,House,1,Filed
1779702,2023-10-06,Senate,1,"Received by the Secretary of the Senate"
1779702,2023-10-06,Senate,2,Filed
1779703,2023-10-06,Senate,1,"Received by the Secretary of the Senate"
1779703,2023-10-06,Senate,2,Filed
1779704,2023-10-06,House,1,Filed
1779704,2023-10-11,House,2,"Referred to Resolutions Calendars"
1779704,2023-11-01,House,3,"Rules suspended"
1779704,2023-11-01,House,4,Adopted
1779704,2023-11-02,House,5,"Reported enrolled"
1779705,2023-10-06,Senate,1,"Received by the Secretary of the Senate"
1779705,2023-10-06,Senate,2,Filed
1779706,2023-10-06,House,1,Filed
1779707,2023-10-06,House,1,Filed
1779708,2023-10-06,House,1,Filed
1779709,2023-10-06,Senate,1,"Received by the Secretary of the Senate"
1779709,2023-10-06,Senate,2,Filed
1779710,2023-10-06,Senate,1,"Received by the Secretary of the Senate"
1779710,2023-10-06,Senate,2,Filed
1779711,2023-10-06,House,1,Filed
1779712,2023-10-06,Senate,1,"Received by the Secretary of the Senate"
1779712,2023-10-06,Senate,2,Filed
1779713,2023-10-06,House,1,Filed
1779714,2023-10-06,House,1,Filed
1779715,2023-10-06,House,1,Filed
1779716,2023-10-06,House,1,Filed
1779717,2023-10-06,House,1,Filed
1779718,2023-10-06,House,1,Filed
1779718,2023-10-12,House,2,"Read first time"
1779718,2023-10-12,House,3,"Referred to State Affairs"
1779719,2023-10-06,House,1,Filed
1779719,2023-10-12,House,2,"Read first time"
1779719,2023-10-12,House,3,"Referred to State Affairs"
1779720,2023-10-06,Senate,1,"Received by the Secretary of the Senate"
1779720,2023-10-06,Senate,2,Filed
1779721,2023-10-06,House,1,Filed
1779722,2023-10-06,House,1,Filed
1779723,2023-10-06,House,1,Filed
1779724,2023-10-06,House,1,Filed
1779725,2023-10-06,House,1,Filed
1779726,2023-10-06,House,1,Filed
1779727,2023-10-06,House,1,Filed
1779728,2023-10-06,House,1,Filed
1779729,2023-10-06,Senate,1,"Received by the Secretary of the Senate"
1779729,2023-10-06,Senate,2,Filed
1779730,2023-10-06,House,1,Filed
1779731,2023-10-06,Senate,1,"Received by the Secretary of the Senate"
1779731,2023-10-06,Senate,2,Filed
1779731,2023-10-09,Senate,3,"Transmitted to the Governor"
1779732,2023-10-06,Senate,1,"Received by the Secretary of the Senate"
1779732,2023-10-06,Senate,2,Filed
1779733,2023-10-06,Senate,1,"Received by the Secretary of the Senate"
1779733,2023-10-06,Senate,2,Filed
1779734,2023-10-06,House,1,Filed
1779735,2023-10-06,House,1,Filed
1779736,2023-10-06,House,1,Filed
1779737,2023-10-05,Senate,1,"Received by the Secretary of the Senate"
1779737,2023-10-05,Senate,2,Filed
1779737,2023-10-09,Senate,3,"Co-author authorized"
1779737,2023-10-09,Senate,4,"Read first time"
1779737,2023-10-09,Senate,5,"Referred to Border Security"
1779737,2023-10-09,Senate,6,"Posting rule suspended"
1779737,2023-10-09,Senate,7,"Record vote"
1779737,2023-10-10,Senate,8,"Scheduled for public hearing on . . ."
1779737,2023-10-10,Senate,9,"Considered in public hearing"
1779737,2023-10-10,Senate,10,"Testimony taken in committee"
1779737,2023-10-10,Senate,11,"Vote taken in committee"
1779737,2023-10-11,Senate,12,"Reported favorably w/o amendments"
1779737,2023-10-11,Senate,13,"Committee report printed and distributed"
1779737,2023-10-12,Senate,14,"Co-author authorized"
1779737,2023-10-12,Senate,15,"Rules suspended-Regular order of business"
1779737,2023-10-12,Senate,16,"Record vote"
1779737,2023-10-12,Senate,17,"Read 2nd time"
