bill_id,people_id,position
1779692,18029,1
1779693,22955,1
1779694,6032,1
1779695,20230,1
1779696,18029,1
1779697,18029,1
1779698,5899,1
1779698,11346,12
1779698,14785,5
1779698,15409,19
1779698,16346,2
1779698,17984,14
1779698,18680,17
1779698,19319,4
1779698,20228,3
1779698,20237,9
1779698,20241,13
1779698,21776,6
1779698,22435,16
1779698,23179,11
1779698,24083,7
1779698,24084,8
1779698,24086,10
1779698,24091,15
1779698,24092,18
1779699,18029,1
1779700,20015,1
1779701,14783,1
1779702,24093,1
1779703,6032,1
1779704,16840,1
1779705,5929,1
1779706,18029,1
1779707,18029,1
1779708,14783,1
1779709,6032,1
1779710,6032,1
1779711,18029,1
1779712,6032,1
1779713,18029,1
1779714,5913,1
1779715,20230,1
1779716,17984,1
1779717,20230,1
1779718,21776,1
1779719,11346,10
1779719,17984,1
1779719,18682,2
1779719,20016,5
1779719,20228,3
1779719,20237,9
1779719,22436,11
1779719,23179,4
1779719,23180,12
1779719,24077,6
1779719,24083,7
1779719,24084,8
1779720,5929,1
1779721,20230,1
1779722,16847,1
1779723,23179,1
1779723,23342,2
1779724,18029,1
1779725,20230,1
1779726,18029,1
1779727,14783,1
1779728,18029,1
1779729,6032,1
1779730,22955,1
1779731,6032,1
1779732,20015,1
1779733,15077,1
1779734,18029,1
1779735,22955,1
1779736,18029,1
1779737,5875,4
1779737,5921,8
1779737,5929,9
1779737,5933,10
1779737,5962,12
1779737,6015,7
1779737,11013,14
1779737,11015,15
1779737,11020,1
1779737,15077,3
1779737,16267,2
1779737,17365,6
1779737,19686,5
1779737,19730,13
1779737,20015,11
1779738,20230,1
1779739,20230,1
1779740,18029,1
1779741,20230,1
1779742,24093,1
1779743,18029,1
1779744,5903,2
1779744,14784,5
1779744,18682,3
1779744,22896,4
1779744,23179,1
1779744,23190,6
1779745,18029,1
1779746,5862,3
1779746,5899,2
1779746,16840,1
1779746,20234,4
1779746,20244,5
1779747,14783,1
1779748,18029,1
1779749,20015,1
1779750,20230,1
1779751,17984,1
1779752,18029,1
1779753,18029,1
1779754,14783,1
1779755,20230,1
1779756,18029,1
1779758,19730,1
1779759,23179,1
1779760,5874,1
1779760,24827,2
1779761,5874,1
1779761,24827,2
1779762,5874,1
1779762,24827,2
1779763,19730,1
1779764,5874,1
1779764,24827,2
1779765,19730,1
1779767,11598,1
1779768,15356,1
1779769,5971,1
1779770,11598,1
1779771,5874,1
1779771,24827,2
1779772,5903,2
1779772,17984,1
1779773,23179,1
1779773,24077,2
1779774,5874,1
1779774,24827,2
1779775,11346,1
1779776,22376,1
1779777,11598,1
1779778,5874,1
1779778,24827,2
1779779,15409,7
1779779,19319,1
1779779,23179,4
1779779,24077,5
1779779,24081,3
1779779,24084,6
1779779,24092,2
1779780,11346,2
1779780,20234,1
1779781,11346,1
1779782,20230,1
1779784,20805,1
1779785,22376,1
1779786,5903,2
1779786,17984,1
1779787,15356,1
1779788,5971,1
1779789,16847,1
1779792,5874,1
1779792,24827,2
1779793,5874,1
1779793,24827,2
1779794,14783,1
1779795,19730,1
1779796,11346,6
1779796,15409,7
1779796,19319,1
1779796,23179,3
1779796,23180,2
1779796,24084,4
1779796,24086,5
1779797,11598,1
1779798,15409,10
1779798,19319,1
1779798,20228,6
1779798,20241,2
1779798,22431,5
1779798,23179,9
1779798,24077,7
1779798,24081,4
1779798,24084,8
1779798,24092,3
1779799,15356,1
1779800,21776,1
1779801,11598,1
1779802,5874,1
1779802,24827,2
1779803,20230,1
1779804,5903,2
1779804,5971,1
1779804,24077,3
1779805,5874,1
1779805,24827,2
1779806,14783,1
1779807,20805,1
1779808,20230,1
1779810,20230,1
1779811,5874,1
1779811,24827,2
1779812,5903,2
1779812,11346,17
1779812,14047,16
1779812,15426,15
1779812,17984,19
1779812,18673,12
1779812,18680,22
1779812,18682,23
1779812,19319,4
1779812,20241,18
1779812,21776,7
1779812,22431,1
1779812,22432,14
1779812,22435,21
1779812,22436,20
1779812,23179,5
1779812,23384,8
1779812,24077,6
1779812,24078,9
1779812,24083,10
1779812,24084,11
1779812,24086,13
1779812,24092,3
1779813,11598,1
1779814,5899,1
1779815,5971,1
1779815,24077,2
1779816,5874,1
1779816,24827,2
1779817,15356,1
1779818,5874,1
1779818,24827,2
1779819,5874,1
1779819,24827,2
1779823,11598,1
1779824,6032,1
1779825,5913,1
1779826,19730,1
1779827,5913,1
1779828,23179,1
1779829,5903,2
1779829,15409,8
1779829,19319,1
1779829,23179,7
1779829,24077,4
1779829,24081,5
1779829,24083,3
1779829,24084,6
1779830,23342,1
1779831,6032,1
1779832,19730,1
1779833,19730,1
1779834,20173,1
1779835,19730,1
1779836,23179,1
1779837,5913,1
1779838,6032,1
1779868,5852,23
1779868,5875,6
1779868,5877,37
1779868,5899,42
1779868,5903,17
1779868,5921,9
1779868,5922,49
1779868,5929,10
1779868,5934,52
1779868,5962,11
1779868,5971,20
1779868,5979,70
1779868,6015,8
1779868,11013,13
1779868,11015,14
1779868,11020,3
1779868,11346,57
1779868,14047,55
1779868,14237,34
1779868,14238,16
1779868,14784,27
1779868,14785,33
1779868,15077,5
1779868,15351,24
1779868,15408,43
1779868,15409,76
1779868,15425,51
1779868,16267,2
1779868,16346,58
1779868,16526,54
1779868,16834,4
1779868,16835,30
1779868,16836,31
1779868,16842,63
1779868,16847,66
1779868,17365,7
1779868,17984,60
1779868,18001,21
1779868,18661,67
1779868,18669,25
1779868,18672,38
1779868,18673,47
1779868,18675,53
1779868,18679,72
1779868,18680,73
1779868,18682,79
1779868,19319,32
1779868,19686,1
1779868,19730,12
1779868,20016,28
1779868,20173,62
1779868,20226,22
1779868,20228,26
1779868,20236,44
1779868,20237,46
1779868,20241,59
1779868,20245,69
1779868,21683,18
1779868,21776,35
1779868,22376,78
1779868,22431,48
1779868,22435,68
1779868,22436,64
1779868,22896,71
1779868,23179,56
1779868,23180,77
1779868,23190,65
1779868,23342,74
1779868,23384,36
1779868,24077,29
1779868,24078,39
1779868,24081,40
1779868,24083,41
1779868,24084,45
1779868,24086,50
1779868,24090,19
1779868,24091,61
1779868,24092,75
1779868,24827,15
1779869,5875,1
1779870,5875,1
1779871,5875,1
1779872,18029,1
1779873,20237,1
1779873,23179,2
1779874,5913,1
1779875,22896,1
1779876,5962,2
1779876,14238,1
1779877,14785,1
1779878,5921,1
1779879,20248,1
1779880,5850,2
1779880,5875,7
1779880,5904,10
1779880,5906,12
1779880,5921,15
1779880,5929,1
1779880,5933,17
1779880,5949,19
1779880,5962,23
1779880,6014,13
1779880,6015,14
1779880,6019,22
1779880,6029,29
1779880,6030,30
1779880,6032,31
1779880,11013,25
1779880,11015,26
1779880,11020,4
1779880,11599,21
1779880,14238,28
1779880,15077,6
1779880,16267,3
1779880,16834,5
1779880,17365,11
1779880,19686,9
1779880,19730,24
1779880,20015,20
1779880,20805,16
1779880,21679,8
1779880,24093,18
1779880,24827,27
1779881,5903,2
1779881,23179,3
1779881,23342,1
1779881,24077,4
1779882,6014,1
1779883,20015,1
1779884,5949,1
1779885,23184,1
1779886,15409,2
1779886,19319,1
1779887,24077,3
1779887,24078,2
1779887,24081,1
1779888,15409,9
1779888,16835,5
1779888,19319,1
1779888,22432,3
1779888,23179,8
1779888,23180,4
1779888,24077,6
1779888,24083,2
1779888,24084,7
1779889,5921,1
1779890,5903,2
1779890,18669,1
1779891,6014,1
1779891,24093,2
1779892,5931,1
1779892,21683,2
1779893,17365,1
1779894,5850,2
