roll_call_id,people_id,vote,vote_desc
1355867,5850,2,Nay
1355867,5875,1,Yea
1355867,5904,2,Nay
1355867,5906,1,Yea
1355867,5921,1,Yea
1355867,5929,1,Yea
1355867,5933,1,Yea
1355867,5949,2,Nay
1355867,5962,1,Yea
1355867,6014,2,Nay
1355867,6015,1,Yea
1355867,6019,1,Yea
1355867,6029,2,Nay
1355867,6030,2,Nay
1355867,6032,2,Nay
1355867,11013,1,Yea
1355867,11015,1,Yea
1355867,11020,1,Yea
1355867,11599,2,Nay
1355867,14238,1,Yea
1355867,15077,1,Yea
1355867,16267,1,Yea
1355867,16834,2,Nay
1355867,17365,1,Yea
1355867,19686,1,Yea
1355867,19730,1,Yea
1355867,20015,1,Yea
1355867,20805,2,Nay
1355867,21679,2,Nay
1355867,24093,2,Nay
1355867,24827,1,Yea
1356007,5850,2,Nay
1356007,5875,1,Yea
1356007,5904,2,Nay
1356007,5906,1,Yea
1356007,5921,1,Yea
1356007,5929,1,Yea
1356007,5933,1,Yea
1356007,5949,2,Nay
1356007,5962,1,Yea
1356007,6014,2,Nay
1356007,6015,1,Yea
1356007,6019,1,Yea
1356007,6029,2,Nay
1356007,6030,2,Nay
1356007,6032,2,Nay
1356007,11013,1,Yea
1356007,11015,1,Yea
1356007,11020,1,Yea
1356007,11599,2,Nay
1356007,14238,1,Yea
1356007,15077,1,Yea
1356007,16267,1,Yea
1356007,16834,2,Nay
1356007,17365,1,Yea
1356007,19686,1,Yea
1356007,19730,1,Yea
1356007,20015,1,Yea
1356007,20805,2,Nay
1356007,21679,2,Nay
1356007,24093,2,Nay
1356007,24827,1,Yea
1356008,5850,1,Yea
1356008,5875,2,Nay
1356008,5904,1,Yea
1356008,5906,2,Nay
1356008,5921,2,Nay
1356008,5929,2,Nay
1356008,5933,2,Nay
1356008,5949,1,Yea
1356008,5962,2,Nay
1356008,6014,1,Yea
1356008,6015,2,Nay
1356008,6019,2,Nay
1356008,6029,1,Yea
1356008,6030,1,Yea
1356008,6032,1,Yea
1356008,11013,2,Nay
1356008,11015,2,Nay
1356008,11020,2,Nay
1356008,11599,1,Yea
1356008,14238,2,Nay
1356008,15077,2,Nay
1356008,16267,2,Nay
