bill_id,document_id,document_type,document_size,document_mime,document_desc,url,state_link
1782999,2849083,text,1338290,text/html,Introduced,https://legiscan.com/TX/text/HB1/id/2849083,https://capitol.texas.gov/tlodocs/884/billtext/html/HB00001I.htm
1782999,2850600,text,1338298,text/html,"Comm Sub",https://legiscan.com/TX/text/HB1/id/2850600,https://capitol.texas.gov/tlodocs/884/billtext/html/HB00001H.htm
1783170,2849174,text,85995,text/html,Introduced,https://legiscan.com/TX/text/HB2/id/2849174,https://capitol.texas.gov/tlodocs/884/billtext/html/HB00002I.htm
1783170,2850126,text,86003,text/html,"Comm Sub",https://legiscan.com/TX/text/HB2/id/2850126,https://capitol.texas.gov/tlodocs/884/billtext/html/HB00002H.htm
1783170,2851055,text,92984,text/html,Engrossed,https://legiscan.com/TX/text/HB2/id/2851055,https://capitol.texas.gov/tlodocs/884/billtext/html/HB00002E.htm
1783002,2849084,text,11427,text/html,Introduced,https://legiscan.com/TX/text/HB3/id/2849084,https://capitol.texas.gov/tlodocs/884/billtext/html/HB00003I.htm
1783007,2849086,text,81904,text/html,Introduced,https://legiscan.com/TX/text/HB4/id/2849086,https://capitol.texas.gov/tlodocs/884/billtext/html/HB00004I.htm
1783007,2849852,text,82131,text/html,"Comm Sub",https://legiscan.com/TX/text/HB4/id/2849852,https://capitol.texas.gov/tlodocs/884/billtext/html/HB00004H.htm
1783053,2849101,text,7016,text/html,Introduced,https://legiscan.com/TX/text/HB11/id/2849101,https://capitol.texas.gov/tlodocs/884/billtext/html/HB00011I.htm
1783070,2849108,text,16299,text/html,Introduced,https://legiscan.com/TX/text/HB12/id/2849108,https://capitol.texas.gov/tlodocs/884/billtext/html/HB00012I.htm
1783056,2849528,text,287808,text/html,Introduced,https://legiscan.com/TX/text/HB13/id/2849528,https://capitol.texas.gov/tlodocs/884/billtext/html/HB00013I.htm
1783054,2849102,text,26429,text/html,Introduced,https://legiscan.com/TX/text/HB14/id/2849102,https://capitol.texas.gov/tlodocs/884/billtext/html/HB00014I.htm
1783060,2849104,text,26943,text/html,Introduced,https://legiscan.com/TX/text/HB15/id/2849104,https://capitol.texas.gov/tlodocs/884/billtext/html/HB00015I.htm
1783015,2849161,text,10105,text/html,Introduced,https://legiscan.com/TX/text/HB16/id/2849161,https://capitol.texas.gov/tlodocs/884/billtext/html/HB00016I.htm
1783032,2849095,text,22773,text/html,Introduced,https://legiscan.com/TX/text/HB17/id/2849095,https://capitol.texas.gov/tlodocs/884/billtext/html/HB00017I.htm
1783042,2849151,text,43377,text/html,Introduced,https://legiscan.com/TX/text/HB18/id/2849151,https://capitol.texas.gov/tlodocs/884/billtext/html/HB00018I.htm
1783033,2849217,text,11101,text/html,Introduced,https://legiscan.com/TX/text/HB19/id/2849217,https://capitol.texas.gov/tlodocs/884/billtext/html/HB00019I.htm
1783039,2849096,text,10256,text/html,Introduced,https://legiscan.com/TX/text/HB20/id/2849096,https://capitol.texas.gov/tlodocs/884/billtext/html/HB00020I.htm
1783029,2849093,text,6861,text/html,Introduced,https://legiscan.com/TX/text/HB21/id/2849093,https://capitol.texas.gov/tlodocs/884/billtext/html/HB00021I.htm
1783005,2849149,text,8612,text/html,Introduced,https://legiscan.com/TX/text/HB22/id/2849149,https://capitol.texas.gov/tlodocs/884/billtext/html/HB00022I.htm
1782992,2849236,text,39340,text/html,Introduced,https://legiscan.com/TX/text/HB23/id/2849236,https://capitol.texas.gov/tlodocs/884/billtext/html/HB00023I.htm
1783055,2849154,text,17049,text/html,Introduced,https://legiscan.com/TX/text/HB24/id/2849154,https://capitol.texas.gov/tlodocs/884/billtext/html/HB00024I.htm
1782994,2849080,text,12811,text/html,Introduced,https://legiscan.com/TX/text/HB25/id/2849080,https://capitol.texas.gov/tlodocs/884/billtext/html/HB00025I.htm
1783037,2849328,text,20448,text/html,Introduced,https://legiscan.com/TX/text/HB26/id/2849328,https://capitol.texas.gov/tlodocs/884/billtext/html/HB00026I.htm
1783057,2849103,text,11445,text/html,Introduced,https://legiscan.com/TX/text/HB27/id/2849103,https://capitol.texas.gov/tlodocs/884/billtext/html/HB00027I.htm
1783031,2849325,text,15010,text/html,Introduced,https://legiscan.com/TX/text/HB28/id/2849325,https://capitol.texas.gov/tlodocs/884/billtext/html/HB00028I.htm
1783040,2849097,text,9296,text/html,Introduced,https://legiscan.com/TX/text/HB29/id/2849097,https://capitol.texas.gov/tlodocs/884/billtext/html/HB00029I.htm
1783026,2849233,text,59127,text/html,Introduced,https://legiscan.com/TX/text/HB30/id/2849233,https://capitol.texas.gov/tlodocs/884/billtext/html/HB00030I.htm
1783011,2849316,text,16915,text/html,Introduced,https://legiscan.com/TX/text/HB31/id/2849316,https://capitol.texas.gov/tlodocs/884/billtext/html/HB00031I.htm
1783023,2849220,text,18895,text/html,Introduced,https://legiscan.com/TX/text/HB32/id/2849220,https://capitol.texas.gov/tlodocs/884/billtext/html/HB00032I.htm
1783000,2849218,text,40810,text/html,Introduced,https://legiscan.com/TX/text/HB33/id/2849218,https://capitol.texas.gov/tlodocs/884/billtext/html/HB00033I.htm
1783047,2849157,text,13916,text/html,Introduced,https://legiscan.com/TX/text/HB34/id/2849157,https://capitol.texas.gov/tlodocs/884/billtext/html/HB00034I.htm
1783051,2849155,text,32065,text/html,Introduced,https://legiscan.com/TX/text/HB35/id/2849155,https://capitol.texas.gov/tlodocs/884/billtext/html/HB00035I.htm
1783062,2849789,text,307497,text/html,Introduced,https://legiscan.com/TX/text/HB36/id/2849789,https://capitol.texas.gov/tlodocs/884/billtext/html/HB00036I.htm
1783050,2849417,text,188271,text/html,Introduced,https://legiscan.com/TX/text/HB37/id/2849417,https://capitol.texas.gov/tlodocs/884/billtext/html/HB00037I.htm
1783038,2849160,text,20749,text/html,Introduced,https://legiscan.com/TX/text/HB38/id/2849160,https://capitol.texas.gov/tlodocs/884/billtext/html/HB00038I.htm
1783067,2849158,text,5804,text/html,Introduced,https://legiscan.com/TX/text/HB39/id/2849158,https://capitol.texas.gov/tlodocs/884/billtext/html/HB00039I.htm
1783043,2849411,text,62810,text/html,Introduced,https://legiscan.com/TX/text/HB40/id/2849411,https://capitol.texas.gov/tlodocs/884/billtext/html/HB00040I.htm
1783046,2849156,text,29988,text/html,Introduced,https://legiscan.com/TX/text/HB41/id/2849156,https://capitol.texas.gov/tlodocs/884/billtext/html/HB00041I.htm
1782990,2849237,text,5710,text/html,Introduced,https://legiscan.com/TX/text/HB42/id/2849237,https://capitol.texas.gov/tlodocs/884/billtext/html/HB00042I.htm
1783072,2849239,text,25429,text/html,Introduced,https://legiscan.com/TX/text/HB43/id/2849239,https://capitol.texas.gov/tlodocs/884/billtext/html/HB00043I.htm
1783073,2849110,text,13551,text/html,Introduced,https://legiscan.com/TX/text/HB44/id/2849110,https://capitol.texas.gov/tlodocs/884/billtext/html/HB00044I.htm
1783003,2849308,text,11101,text/html,Introduced,https://legiscan.com/TX/text/HB45/id/2849308,https://capitol.texas.gov/tlodocs/884/billtext/html/HB00045I.htm
1783030,2849094,text,41976,text/html,Introduced,https://legiscan.com/TX/text/HB46/id/2849094,https://capitol.texas.gov/tlodocs/884/billtext/html/HB00046I.htm
1782998,2849082,text,27050,text/html,Introduced,https://legiscan.com/TX/text/HB47/id/2849082,https://capitol.texas.gov/tlodocs/884/billtext/html/HB00047I.htm
1783028,2849221,text,8670,text/html,Introduced,https://legiscan.com/TX/text/HB48/id/2849221,https://capitol.texas.gov/tlodocs/884/billtext/html/HB00048I.htm
1783041,2849098,text,9326,text/html,Introduced,https://legiscan.com/TX/text/HB49/id/2849098,https://capitol.texas.gov/tlodocs/884/billtext/html/HB00049I.htm
1782996,2849216,text,43894,text/html,Introduced,https://legiscan.com/TX/text/HB50/id/2849216,https://capitol.texas.gov/tlodocs/884/billtext/html/HB00050I.htm
1783045,2849833,text,378038,text/html,Introduced,https://legiscan.com/TX/text/HB51/id/2849833,https://capitol.texas.gov/tlodocs/884/billtext/html/HB00051I.htm
1783016,2849319,text,13299,text/html,Introduced,https://legiscan.com/TX/text/HB52/id/2849319,https://capitol.texas.gov/tlodocs/884/billtext/html/HB00052I.htm
1783020,2849322,text,7682,text/html,Introduced,https://legiscan.com/TX/text/HB53/id/2849322,https://capitol.texas.gov/tlodocs/884/billtext/html/HB00053I.htm
1783064,2849105,text,12824,text/html,Introduced,https://legiscan.com/TX/text/HB54/id/2849105,https://capitol.texas.gov/tlodocs/884/billtext/html/HB00054I.htm
1783061,2849159,text,12608,text/html,Introduced,https://legiscan.com/TX/text/HB55/id/2849159,https://capitol.texas.gov/tlodocs/884/billtext/html/HB00055I.htm
1783052,2849152,text,20559,text/html,Introduced,https://legiscan.com/TX/text/HB56/id/2849152,https://capitol.texas.gov/tlodocs/884/billtext/html/HB00056I.htm
1783012,2849087,text,17173,text/html,Introduced,https://legiscan.com/TX/text/HB57/id/2849087,https://capitol.texas.gov/tlodocs/884/billtext/html/HB00057I.htm
1783006,2849085,text,7609,text/html,Introduced,https://legiscan.com/TX/text/HB58/id/2849085,https://capitol.texas.gov/tlodocs/884/billtext/html/HB00058I.htm
1783048,2849099,text,24813,text/html,Introduced,https://legiscan.com/TX/text/HB59/id/2849099,https://capitol.texas.gov/tlodocs/884/billtext/html/HB00059I.htm
1782991,2849078,text,6238,text/html,Introduced,https://legiscan.com/TX/text/HB60/id/2849078,https://capitol.texas.gov/tlodocs/884/billtext/html/HB00060I.htm
1783049,2849100,text,7367,text/html,Introduced,https://legiscan.com/TX/text/HB61/id/2849100,https://capitol.texas.gov/tlodocs/884/billtext/html/HB00061I.htm
1783065,2849106,text,5006,text/html,Introduced,https://legiscan.com/TX/text/HB62/id/2849106,https://capitol.texas.gov/tlodocs/884/billtext/html/HB00062I.htm
1783014,2849432,text,59387,text/html,Introduced,https://legiscan.com/TX/text/HB63/id/2849432,https://capitol.texas.gov/tlodocs/884/billtext/html/HB00063I.htm
1783004,2849317,text,19047,text/html,Introduced,https://legiscan.com/TX/text/HB64/id/2849317,https://capitol.texas.gov/tlodocs/884/billtext/html/HB00064I.htm
1783063,2849420,text,107116,text/html,Introduced,https://legiscan.com/TX/text/HB65/id/2849420,https://capitol.texas.gov/tlodocs/884/billtext/html/HB00065I.htm
1782995,2849224,text,6398,text/html,Introduced,https://legiscan.com/TX/text/HB66/id/2849224,https://capitol.texas.gov/tlodocs/884/billtext/html/HB00066I.htm
1783035,2849163,text,43970,text/html,Introduced,https://legiscan.com/TX/text/HB67/id/2849163,https://capitol.texas.gov/tlodocs/884/billtext/html/HB00067I.htm
1783001,2849318,text,16647,text/html,Introduced,https://legiscan.com/TX/text/HB68/id/2849318,https://capitol.texas.gov/tlodocs/884/billtext/html/HB00068I.htm
1783059,2849414,text,84700,text/html,Introduced,https://legiscan.com/TX/text/HB69/id/2849414,https://capitol.texas.gov/tlodocs/884/billtext/html/HB00069I.htm
1783010,2849310,text,14511,text/html,Introduced,https://legiscan.com/TX/text/HB70/id/2849310,https://capitol.texas.gov/tlodocs/884/billtext/html/HB00070I.htm
1783013,2849088,text,16307,text/html,Introduced,https://legiscan.com/TX/text/HB71/id/2849088,https://capitol.texas.gov/tlodocs/884/billtext/html/HB00071I.htm
1783024,2850300,text,6216,text/html,Introduced,https://legiscan.com/TX/text/HB72/id/2850300,https://capitol.texas.gov/tlodocs/884/billtext/html/HB00072I.htm
1783121,2849129,text,4293,text/html,Introduced,https://legiscan.com/TX/text/HB73/id/2849129,https://capitol.texas.gov/tlodocs/884/billtext/html/HB00073I.htm
1783091,2849118,text,7320,text/html,Introduced,https://legiscan.com/TX/text/HB74/id/2849118,https://capitol.texas.gov/tlodocs/884/billtext/html/HB00074I.htm
1783140,2849134,text,56425,text/html,Introduced,https://legiscan.com/TX/text/HB75/id/2849134,https://capitol.texas.gov/tlodocs/884/billtext/html/HB00075I.htm
1783085,2849115,text,7847,text/html,Introduced,https://legiscan.com/TX/text/HB76/id/2849115,https://capitol.texas.gov/tlodocs/884/billtext/html/HB00076I.htm
1783100,2849121,text,31877,text/html,Introduced,https://legiscan.com/TX/text/HB77/id/2849121,https://capitol.texas.gov/tlodocs/884/billtext/html/HB00077I.htm
1783106,2849382,text,14570,text/html,Introduced,https://legiscan.com/TX/text/HB78/id/2849382,https://capitol.texas.gov/tlodocs/884/billtext/html/HB00078I.htm
1783080,2849113,text,36152,text/html,Introduced,https://legiscan.com/TX/text/HB79/id/2849113,https://capitol.texas.gov/tlodocs/884/billtext/html/HB00079I.htm
1783115,2849381,text,230901,text/html,Introduced,https://legiscan.com/TX/text/HB80/id/2849381,https://capitol.texas.gov/tlodocs/884/billtext/html/HB00080I.htm
1783110,2849124,text,9553,text/html,Introduced,https://legiscan.com/TX/text/HB81/id/2849124,https://capitol.texas.gov/tlodocs/884/billtext/html/HB00081I.htm
1783147,2849324,text,23596,text/html,Introduced,https://legiscan.com/TX/text/HB82/id/2849324,https://capitol.texas.gov/tlodocs/884/billtext/html/HB00082I.htm
1783095,2849119,text,7014,text/html,Introduced,https://legiscan.com/TX/text/HB83/id/2849119,https://capitol.texas.gov/tlodocs/884/billtext/html/HB00083I.htm
1783213,2849212,text,14829,text/html,Introduced,https://legiscan.com/TX/text/HB84/id/2849212,https://capitol.texas.gov/tlodocs/884/billtext/html/HB00084I.htm
1783195,2849196,text,11282,text/html,Introduced,https://legiscan.com/TX/text/HB85/id/2849196,https://capitol.texas.gov/tlodocs/884/billtext/html/HB00085I.htm
1783215,2849214,text,5088,text/html,Introduced,https://legiscan.com/TX/text/HB86/id/2849214,https://capitol.texas.gov/tlodocs/884/billtext/html/HB00086I.htm
1783191,2849192,text,230065,text/html,Introduced,https://legiscan.com/TX/text/HB87/id/2849192,https://capitol.texas.gov/tlodocs/884/billtext/html/HB00087I.htm
