bill_id,date,chamber,sequence,action
1782989,2023-11-07,Senate,1,"Received by the Secretary of the Senate"
1782989,2023-11-07,Senate,2,Filed
1782989,2023-11-07,Senate,3,"Read first time"
1782989,2023-11-07,Senate,4,"Referred to Finance"
1782989,2023-11-09,Senate,5,"Co-author authorized"
1782989,2023-11-09,Senate,6,"Scheduled for public hearing on . . ."
1782989,2023-11-09,Senate,7,"Considered in public hearing"
1782989,2023-11-09,Senate,8,"Vote taken in committee"
1782989,2023-11-09,Senate,9,"Reported favorably w/o amendments"
1782989,2023-11-09,Senate,10,"Rules suspended"
1782989,2023-11-09,Senate,11,"Record vote"
1782989,2023-11-09,Senate,12,"Printing rule suspended"
1782989,2023-11-09,Senate,13,"Ordered not printed"
1782989,2023-11-09,Senate,14,"Laid before the Senate"
1782989,2023-11-09,Senate,15,"Read 2nd time"
1782989,2023-11-09,Senate,16,"Amendment(s) offered FA1 Eckhardt"
1782989,2023-11-09,Senate,17,"Amendment to amendment offered FA2 Eckhardt"
1782989,2023-11-09,Senate,18,"Amendment to amendment fails of adoption"
1782989,2023-11-09,Senate,19,"Record vote"
1782989,2023-11-09,Senate,20,"Amendment fails of adoption FA1 Eckhardt"
1782989,2023-11-09,Senate,21,"Record vote"
1782989,2023-11-09,Senate,22,"Amendment(s) offered FA3 Perry"
1782989,2023-11-09,Senate,23,"Amendment withdrawn"
1782989,2023-11-09,Senate,24,"Amendment(s) offered FA4 Perry"
1782989,2023-11-09,Senate,25,"Amendment withdrawn"
1782989,2023-11-09,Senate,26,"Amendment(s) offered FA5 Menéndez"
1782989,2023-11-09,Senate,27,"Amendment fails of adoption"
1782989,2023-11-09,Senate,28,"Record vote"
1782989,2023-11-09,Senate,29,"Passed to engrossment"
1782989,2023-11-09,Senate,30,"Record vote"
1782989,2023-11-09,Senate,31,"Three day rule suspended"
1782989,2023-11-09,Senate,32,"Record vote"
1782989,2023-11-09,Senate,33,"Read 3rd time"
1782989,2023-11-09,Senate,34,Passed
1782989,2023-11-09,Senate,35,"Record vote"
1782989,2023-11-09,Senate,36,"Reported engrossed"
1782989,2023-11-10,House,37,"Received from the Senate"
1782989,2023-11-10,House,38,"Read first time"
1782989,2023-11-10,House,39,"Referred to Educational Opportunity & Enrichment, Select"
1782990,2023-11-07,House,1,Filed
1782991,2023-11-07,House,1,Filed
1782992,2023-11-07,House,1,Filed
1782993,2023-11-07,Senate,1,"Received by the Secretary of the Senate"
1782993,2023-11-07,Senate,2,Filed
1782993,2023-11-07,Senate,3,"Read first time"
1782993,2023-11-07,Senate,4,"Referred to Finance"
1782993,2023-11-09,Senate,5,"Co-author authorized"
1782993,2023-11-09,Senate,6,"Scheduled for public hearing on . . ."
1782993,2023-11-09,Senate,7,"Considered in public hearing"
1782993,2023-11-09,Senate,8,"Vote taken in committee"
1782993,2023-11-09,Senate,9,"Reported favorably w/o amendments"
1782993,2023-11-09,Senate,10,"Rules suspended"
1782993,2023-11-09,Senate,11,"Record vote"
1782993,2023-11-09,Senate,12,"Printing rule suspended"
1782993,2023-11-09,Senate,13,"Ordered not printed"
1782993,2023-11-09,Senate,14,"Rules suspended-Regular order of business"
1782993,2023-11-09,Senate,15,"Record vote"
1782993,2023-11-09,Senate,16,"Read 2nd time"
1782993,2023-11-09,Senate,17,"Amendment(s) offered FA1 Gutierrez"
1782993,2023-11-09,Senate,18,"Amendment fails of adoption"
1782993,2023-11-09,Senate,19,"Record vote"
1782993,2023-11-09,Senate,20,"Amendment(s) offered FA2 Menéndez"
1782993,2023-11-09,Senate,21,"Amendment fails of adoption"
1782993,2023-11-09,Senate,22,"Record vote"
