bill_id,roll_call_id,date,chamber,description,yea,nay,nv,absent,total
1782989,1357369,2023-11-09,Senate,"Rules suspended",31,0,0,0,31
1782989,1357370,2023-11-09,Senate,"Amendment to amendment fails of adoption",10,18,0,3,31
1782989,1357371,2023-11-09,Senate,"Amendment fails of adoption",0,1,0,3,4
1782989,1357372,2023-11-09,Senate,"Record vote",0,1,0,3,4
1782989,1357373,2023-11-09,Senate,"Three day rule suspended",10,18,0,3,31
1782989,1357374,2023-11-09,Senate,"Read 3rd time",10,18,0,3,31
1782993,1357382,2023-11-09,Senate,"Rules suspended",10,18,0,3,31
1782993,1357383,2023-11-09,Senate,"Rules suspended-Regular order of business",18,10,0,3,31
1782993,1357384,2023-11-09,Senate,"Amendment fails of adoption",10,18,0,3,31
1782993,1357385,2023-11-09,Senate,"Amendment fails of adoption",10,18,0,3,31
1782993,1357386,2023-11-09,Senate,"Amendment fails of adoption",10,18,0,3,31
1782993,1357387,2023-11-09,Senate,"Amendment fails of adoption",10,18,0,3,31
1782993,1357388,2023-11-09,Senate,"Record vote",10,18,0,3,31
1782993,1357389,2023-11-09,Senate,"Read 3rd time",18,10,0,3,31
1782993,1357512,2023-11-14,House,"Amendment fails of adoption RV#6",60,83,1,5,149
1782993,1357513,2023-11-14,House,"Amendment fails of adoption RV#7",60,83,1,5,149
1782993,1357514,2023-11-14,House,"Amendment fails of adoption RV#8",60,82,1,6,149
1782993,1357515,2023-11-14,House,"Statement of Leg. Intent Recorded in Journal RV#9",86,56,1,6,149
1782993,1357607,2023-11-14,House,"Amended RV#37",84,59,1,5,149
1782993,1358050,2023-12-01,Senate,"Senate concurs in House amendment(s)",18,9,0,4,31
1782999,1357811,2023-11-17,House,"Amendment amended RV#56",84,63,1,1,149
1782999,1357812,2023-11-17,House,"Motion to reconsider and table prevails RV#57",84,63,1,1,149
1782999,1357813,2023-11-17,House,"Amendment adopted as amended RV#58",84,63,1,1,149
1782999,1357814,2023-11-17,House,"Motion to reconsider and table prevails RV#59",85,62,1,1,149
1783019,1357375,2023-11-09,Senate,"Rules suspended",31,0,0,0,31
1783019,1357376,2023-11-09,Senate,"Amendment fails of adoption",10,18,0,3,31
1783019,1357377,2023-11-09,Senate,"Amendment fails of adoption",10,18,0,3,31
1783019,1357378,2023-11-09,Senate,"Amendment fails of adoption",10,18,0,3,31
