Date,State,Bill No,Title,Action
"Nov. 14, 2023",TX,SB 4,Amends State Criminal Code to Establish Illegal Entry Across the Border as a Class B Misdemeanor,"Bill Passed
                           - House
                      

                      
                          (83 - 61)"
"Nov. 9, 2023",TX,SB 4,Amends State Criminal Code to Establish Illegal Entry Across the Border as a Class B Misdemeanor,"Bill Passed
                           - Senate
                      

                      
                          (17 - 11)"
"Nov. 9, 2023",TX,SB 3,Appropriates $1.5 Billion for the Construction of a Border Wall,"Bill Passed
                           - Senate
                      

                      
                          (18 - 10)"
"Oct. 26, 2023",TX,SB 4,Increases Criminal Penalties for Immigrant Smuggling or Operating a Stash House,"Bill Passed
                           - House
                      

                      
                          (92 - 54)"
"Oct. 12, 2023",TX,SB 11,Establishes a New State Crime for Illegally Entering Texas from a Foreign Nation,"Bill Passed
                           - Senate
                      

                      
                          (19 - 12)"
"Oct. 12, 2023",TX,SB 4,Increases Criminal Penalties for Immigrant Smuggling or Operating a Stash House,"Bill Passed
                           - Senate
                      

                      
                          (19 - 12)"
"Oct. 12, 2023",TX,SB 1,Establishes a School Choice Voucher Program,"Bill Passed
                           - Senate
                      

                      
                          (19 - 12)"
"Oct. 12, 2023",TX,SB 7,Prohibits Private Employers from Requiring the COVID-19 Vaccine,"Bill Passed
                           - Senate
                      

                      
                          (19 - 12)"
"May 28, 2023",TX,HB 5,Establishes Economic Incentives for Oil and Gas Companies,"Conference Report Adopted
                           - House
                      

                      
                          (100 - 36)"
"May 28, 2023",TX,SB 17,"Repeals Diversity, Equity, and Inclusion Trainings and Initiatives at State Universities","Conference Report Adopted
                           - House
                      

                      
                          (82 - 61)"
"May 28, 2023",TX,SB 1933,Increases Secretary of State Authority over Election Administration,"Conference Report Adopted
                           - House
                      

                      
                          (84 - 58)"
"May 25, 2023",TX,HB 33,Establishes the State of Texas as a Sanctuary State for Oil and Gas Companies,"Concurrence Vote Passed
                           - House
                      

                      
                          (107 - 34)"
"May 24, 2023",TX,HB 1287,Amends SNAP Vehicle Asset Tests to Modernize Reporting,"Bill Passed
                           - Senate
                      

                      
                          (27 - 4)"
"May 24, 2023",TX,HB 5,Establishes Economic Incentives for Oil and Gas Companies,"Bill Passed
                           - Senate
                      

                      
                          (27 - 4)"
"May 24, 2023",TX,SB 833,Prohibits Insurance Companies from Charging Higher Rates Based on ESG Criteria,"Bill Passed
                           - House
                      

                      
                          (86 - 54)"
"May 24, 2023",TX,HB 7,Authorizes the Creation of State Border Police,"Bill Passed
                           - Senate
                      

                      
                          (19 - 11)"
"May 23, 2023",TX,SB 1070,Authorizes the State to Discontinue Participation in the Interstate Voter Registration Crosscheck Program,"Bill Passed
                           - House
                      

                      
                          (85 - 61)"
"May 23, 2023",TX,SB 1750,Authorizes the Removal of the County Election Administrator Position,"Bill Passed
                           - House
                      

                      
                          (81 - 62)"
"May 22, 2023",TX,SB 1929,Requires Crypto Miners with an Energy Capacity of At Least 75 Megawatts Register with the Public Utilities Commiss ...,"Bill Passed
                           - House
                      

                      
                          (140 - 5)"
"May 22, 2023",TX,HB 33,Establishes the State of Texas as a Sanctuary State for Oil and Gas Companies,"Bill Passed
                           - Senate
                      

                      
                          (29 - 2)"
"May 22, 2023",TX,SB 477,Requires Election Workers Allow Disabled Voters to Skip the Line When They Vote in Person,"Bill Passed
                           - House
                      

                      
                          (109 - 25)"
"May 19, 2023",TX,HB 2127,Prohibits Cities From Passing any Heat-Related Ordinances,"Concurrence Vote Passed
                           - House
                      

                      
                          (84 - 58)"
