bill_id,session,primary_sponsor,floor_sponsor,drafting_attorney,chapter_num,last_action,title,description,comm_note,bill_url
H.B. 1,2024-RS,"Rep. Pulsipher, Susan","Sen. Fillmore, Lincoln",Jeff Van Hulten,,"13 Mar 2024, Governor Signed",Public Education Base Budget Amendments,"This bill supplements or reduces appropriations otherwise provided for the support and operation of public education for the fiscal year beginning July 1, 2023, and ending June 30, 2024, and appropriates funds for the support and operation of public education for the fiscal year beginning July 1, 2024, and ending June 30, 2025.",,https://le.utah.gov/~2024/bills/static/HB0001.html
H.B. 2,2024-RS,"Rep. Peterson, Val L.","Sen. Stevenson, Jerry W.",Christine R. Gilbert,,"21 Mar 2024, Governor Line Item Veto",New Fiscal Year Supplemental Appropriations Act,"This bill supplements or reduces appropriations otherwise provided for the support and operation of state government for the fiscal year beginning July 1, 2024 and ending June 30, 2025.",,https://le.utah.gov/~2024/bills/static/HB0002.html
H.B. 3,2024-RS,"Rep. Peterson, Val L.","Sen. Stevenson, Jerry W.",Christine R. Gilbert,,"21 Mar 2024, Governor Line Item Veto",Appropriations Adjustments,"This bill supplements or reduces appropriations otherwise provided for the support and operation of state government for the fiscal year beginning July 1, 2023 and ending June 30, 2024 and for the fiscal year beginning July 1, 2024 and ending June 30, 2025.",,https://le.utah.gov/~2024/bills/static/HB0003.html
H.B. 5,2024-RS,"Rep. Barlow, Stewart E.","Sen. Sandall, Scott D.",Christine R. Gilbert,,"31 Jan 2024, Governor Signed","Natural Resources, Agriculture, and Environmental Quality Base Budget","This bill supplements or reduces appropriations otherwise provided for the support and operation of state government for the fiscal year beginning July 1, 2023 and ending June 30, 2024 and appropriates funds for the support and operation of state government for the fiscal year beginning July 1, 2024 and ending June 30, 2025.",,https://le.utah.gov/~2024/bills/static/HB0005.html
H.B. 6,2024-RS,"Rep. Burton, Jefferson S.","Sen. Owens, Derrin R.",Christine R. Gilbert,,"31 Jan 2024, Governor Signed",Executive Offices and Criminal Justice Base Budget,"This bill supplements or reduces appropriations otherwise provided for the support and operation of state government for the fiscal year beginning July 1, 2023 and ending June 30, 2024 and appropriates funds for the support and operation of state government for the fiscal year beginning July 1, 2024 and ending June 30, 2025.",,https://le.utah.gov/~2024/bills/static/HB0006.html
H.B. 7,2024-RS,"Rep. Ward, Raymond P.","Sen. Balderree, Heidi",Christine R. Gilbert,,"31 Jan 2024, Governor Signed",Social Services Base Budget,"This bill supplements or reduces appropriations otherwise provided for the support and operation of state government for the fiscal year beginning July 1, 2023 and ending June 30, 2024 and appropriates funds for the support and operation of state government for the fiscal year beginning July 1, 2024 and ending June 30, 2025.",,https://le.utah.gov/~2024/bills/static/HB0007.html
H.B. 8,2024-RS,"Rep. Spendlove, Robert M.","Sen. Ipson, Don L.",Christine R. Gilbert,,"20 Mar 2024, Governor Signed",State Agency Fees and Internal Service Fund Rate Authorization and Appropriations,"This bill supplements or reduces appropriations otherwise provided for the support and operation of state government for the fiscal year beginning July 1, 2023 and ending June 30, 2024 and for the fiscal year beginning July 1, 2024 and ending June 30, 2025.",,https://le.utah.gov/~2024/bills/static/HB0008.html
H.B. 10,2024-RS,"Rep. Walter, R. Neil","Sen. Wilson, Chris H.",Christine R. Gilbert,,"19 Mar 2024, Governor Signed",Public Fund Amendments,This bill addresses reporting requirements for the Public Treasurers' Investment Fund.,The Political Subdivisions Interim Committee recommended this bill. (13-0-3),https://le.utah.gov/~2024/bills/static/HB0010.html
H.B. 11,2024-RS,"Rep. Owens, Doug","Sen. Winterton, Ronald M.",Patricia Owen,,"12 Mar 2024, Governor Signed",Water Efficient Landscaping Requirements,This bill addresses use of lawn or turf.,,https://le.utah.gov/~2024/bills/static/HB0011.html
H.B. 12,2024-RS,"Rep. Dunnigan, James A.","Sen. Harper, Wayne A.",Robert H. Rees,,"18 Mar 2024, Governor Signed",Tax Incentive Revisions,This bill modifies provisions relating to tax incentives for new development projects.,The Political Subdivisions Interim Committee recommended this bill. (10-0-6),https://le.utah.gov/~2024/bills/static/HB0012.html
