bill_id,session,chamber,location,action_date,action,vote,vote_url,order
H.B. 3001,2024-S3,,Legislative Research and General Counsel,2024-06-14,Bill Numbered but not Distributed,,,1
H.B. 3001,2024-S3,,Legislative Research and General Counsel,2024-06-14,Numbered Bill Publicly Distributed,,,2
H.B. 3001,2024-S3,Fiscal,Legislative Research and General Counsel,2024-06-14,LFA/ bill sent to agencies for fiscal input,,,3
H.B. 3001,2024-S3,Fiscal,Legislative Research and General Counsel,2024-06-18,LFA/ fiscal note publicly available,,,4
H.B. 3001,2024-S3,House,Clerk of the House,2024-06-19,House/ received bill from Legislative Printing,,,5
H.B. 3001,2024-S3,House,House Rules Committee,2024-06-19,House/ 1st reading (Introduced),,,6
H.B. 3001,2024-S3,House,House 3rd Reading Calendar for House bills,2024-06-19,House/ Rules to 3rd Reading Calendar,,,7
H.B. 3001,2024-S3,House,House 3rd Reading Calendar for House bills,2024-06-19,House/ 2nd reading,,,8
H.B. 3001,2024-S3,House,House 3rd Reading Calendar for House bills,2024-06-19,House/ 3rd reading,,,9
H.B. 3001,2024-S3,House,House 3rd Reading Calendar for House bills,2024-06-19,House/ floor amendment,,,10
H.B. 3001,2024-S3,House,Senate Secretary,2024-06-19,House/ passed 3rd reading,72 0 3,https://le.utah.gov/DynaBill/svotes.jsp?sessionid=2024S3&voteid=4&house=H,11
H.B. 3001,2024-S3,House,Senate Secretary,2024-06-19,House/ to Senate,,,12
H.B. 3001,2024-S3,Senate,Waiting for Introduction in the Senate,2024-06-19,Senate/ received from House,,,13
H.B. 3001,2024-S3,Senate,Senate Rules Committee,2024-06-19,Senate/ 1st reading (Introduced),,,14
H.B. 3001,2024-S3,Senate,Senate 2nd Reading Calendar,2024-06-19,Senate/ 2nd & 3rd readings/ suspension,,,15
H.B. 3001,2024-S3,Senate,Senate President,2024-06-19,Senate/ passed 2nd & 3rd readings/ suspension,26 0 3,https://le.utah.gov/DynaBill/svotes.jsp?sessionid=2024S3&voteid=7&house=S,16
H.B. 3001,2024-S3,Senate,House Speaker,2024-06-19,Senate/ signed by President/ returned to House,,,17
H.B. 3001,2024-S3,Senate,House Speaker,2024-06-19,Senate/ to House,,,18
H.B. 3001,2024-S3,House,House Speaker,2024-06-19,House/ received from Senate,,,19
H.B. 3001,2024-S3,House,Legislative Research and General Counsel / Enrolling,2024-06-19,House/ signed by Speaker/ sent for enrolling,,,20
H.B. 3001,2024-S3,,Legislative Research and General Counsel / Enrolling,2024-06-20,Bill Received from House for Enrolling,,,21
H.B. 3001,2024-S3,,Legislative Research and General Counsel / Enrolling,2024-06-20,Draft of Enrolled Bill Prepared,,,22
H.B. 3001,2024-S3,,Clerk of the House,2024-06-20,Enrolled Bill Returned to House or Senate,,,23
H.B. 3001,2024-S3,House,Clerk of the House,2024-06-20,House/ enrolled bill to Printing,,,24
H.B. 3001,2024-S3,House,Clerk of the House,2024-06-21,House/ received enrolled bill from Printing,,,25
H.B. 3001,2024-S3,House,Executive Branch - Governor,2024-06-21,House/ to Governor,,,26
H.B. 3001,2024-S3,,Lieutenant Governor's office for filing,2024-06-21,Governor Signed,,,27
H.B. 3002,2024-S3,,Legislative Research and General Counsel,2024-06-14,Bill Numbered but not Distributed,,,1
H.B. 3002,2024-S3,,Legislative Research and General Counsel,2024-06-14,Numbered Bill Publicly Distributed,,,2
H.B. 3002,2024-S3,House,House 3rd Reading Calendar for House bills,2024-06-19,House/ to Printing with fiscal note,,,3
H.B. 3002,2024-S3,Fiscal,House 3rd Reading Calendar for House bills,2024-06-19,LFA/ fiscal note sent to sponsor,,,4
H.B. 3002,2024-S3,House,Clerk of the House,2024-06-19,House/ received bill from Legislative Printing,,,5
H.B. 3002,2024-S3,House,House Rules Committee,2024-06-19,House/ 1st reading (Introduced),,,6
H.B. 3002,2024-S3,House,House 3rd Reading Calendar for House bills,2024-06-19,House/ Rules to 3rd Reading Calendar,,,7
H.B. 3002,2024-S3,House,House 3rd Reading Calendar for House bills,2024-06-19,House/ 2nd reading,,,8
