bill_id,date,chamber,sequence,action
1784070,2023-11-13,,1,"Bill Numbered but not Distributed in Legislative Research and General Counsel"
1784070,2023-11-13,,2,"Numbered Bill Publicly Distributed in Legislative Research and General Counsel"
1784070,2023-11-15,House,3,"House/ received bill from Legislative Research in Clerk of the House"
1784070,2023-11-15,House,4,"House/ to Printing with fiscal note in House 3rd Reading Calendar for House bills"
1784070,2023-11-15,House,5,"House/ received fiscal note from Fiscal Analyst in Clerk of the House"
1784070,2023-11-15,House,6,"House/ 1st reading (Introduced) in House Rules Committee"
1784070,2023-11-15,House,7,"House/ Rules to 3rd Reading Calendar in House 3rd Reading Calendar for House bills"
1784070,2023-11-15,House,8,"House/ 2nd reading in House 3rd Reading Calendar for House bills"
1784070,2023-11-15,House,9,"House/ 3rd reading in House 3rd Reading Calendar for House bills"
1784070,2023-11-15,House,10,"House/ substituted from # 0 to # 2 in House 3rd Reading Calendar for House bills"
1784070,2023-11-15,House,11,"House/ floor amendment # 2 in House 3rd Reading Calendar for House bills"
1784070,2023-11-15,House,12,"House/ floor amendment failed # 3 in House 3rd Reading Calendar for House bills"
1784070,2023-11-15,House,13,"House/ passed 3rd reading in House Speaker"
1784070,2023-11-15,,14,"House/ signed by Speaker/ sent for enrolling in Legislative Research and General Counsel / Enrolling"
1784070,2023-11-16,,15,"Bill Received from House for Enrolling in Legislative Research and General Counsel / Enrolling"
1784070,2023-11-16,,16,"Draft of Enrolled Bill Prepared in Legislative Research and General Counsel / Enrolling"
1784070,2023-11-17,House,17,"Enrolled Bill Returned to House or Senate in Clerk of the House"
1784070,2023-11-17,House,18,"House/ enrolled bill to Printing in Clerk of the House"
