bill_id,date,chamber,sequence,action
1771422,2023-06-12,,1,"Numbered Bill Publicly Distributed in Legislative Research and General Counsel"
1771422,2023-06-12,,2,"Bill Numbered but not Distributed in Legislative Research and General Counsel"
1771422,2023-06-12,,3,"LFA/ bill sent to agencies for fiscal input in Legislative Research and General Counsel"
1771422,2023-06-14,,4,"LFA/ fiscal note sent to sponsor in Legislative Research and General Counsel"
1771422,2023-06-14,,5,"LFA/ fiscal note publicly available in Legislative Research and General Counsel"
1771422,2023-06-14,House,6,"House/ received bill from Legislative Research in Clerk of the House"
1771422,2023-06-14,House,7,"House/ 1st reading (Introduced) in House Rules Committee"
1771422,2023-06-14,House,8,"House/ Rules to 3rd Reading Calendar in House 3rd Reading Calendar for House bills"
1771422,2023-06-14,House,9,"House/ 2nd reading in House 3rd Reading Calendar for House bills"
1771422,2023-06-14,House,10,"House/ 3rd reading in House 3rd Reading Calendar for House bills"
1771422,2023-06-14,Senate,11,"House/ passed 3rd reading in Senate Secretary"
1771422,2023-06-14,Senate,12,"House/ to Senate in Senate Secretary"
1771422,2023-06-14,Senate,13,"Senate/ received from House in Waiting for Introduction in the Senate"
1771422,2023-06-14,Senate,14,"Senate/ 1st reading (Introduced) in Senate Rules Committee"
1771422,2023-06-14,Senate,15,"Senate/ 2nd & 3rd readings/ suspension in Senate 2nd Reading Calendar"
1771422,2023-06-14,Senate,16,"Senate/ passed 2nd & 3rd readings/ suspension in Senate President"
1771422,2023-06-14,House,17,"Senate/ signed by President/ returned to House in House Speaker"
1771422,2023-06-14,House,18,"Senate/ to House in House Speaker"
1771422,2023-06-14,House,19,"House/ received from Senate in House Speaker"
1771422,2023-06-14,,20,"House/ signed by Speaker/ sent for enrolling in Legislative Research and General Counsel / Enrolling"
1771422,2023-06-14,,21,"Bill Received from House for Enrolling in Legislative Research and General Counsel / Enrolling"
1771422,2023-06-14,,22,"Draft of Enrolled Bill Prepared in Legislative Research and General Counsel / Enrolling"
1771422,2023-06-14,House,23,"Enrolled Bill Returned to House or Senate in Clerk of the House"
1771422,2023-06-14,House,24,"House/ enrolled bill to Printing in Clerk of the House"
1771422,2023-06-15,House,25,"House/ received enrolled bill from Printing in Clerk of the House"
1771422,2023-06-15,,26,"House/ to Governor in Executive Branch - Governor"
1771422,2023-06-17,,27,"Governor Signed in Lieutenant Governor's office for filing"
