bill_id,document_id,document_type,document_size,document_mime,document_desc,url,state_link
1659621,2641448,text,199257,application/pdf,Introduced,https://legiscan.com/UT/text/HB0001/id/2641448,https://le.utah.gov/~2023/bills/hbillint/HB0001.pdf
1659621,2668584,text,178963,application/pdf,Enrolled,https://legiscan.com/UT/text/HB0001/id/2668584,https://le.utah.gov/~2023/bills/hbillenr/HB0001.pdf
1721175,2718678,text,200106,application/pdf,Introduced,https://legiscan.com/UT/text/HB0002/id/2718678,https://le.utah.gov/~2023/bills/hbillint/HB0002.pdf
1721175,2726932,text,193138,application/pdf,Enrolled,https://legiscan.com/UT/text/HB0002/id/2726932,https://le.utah.gov/~2023/bills/hbillenr/HB0002.pdf
1720775,2718156,text,235024,application/pdf,Introduced,https://legiscan.com/UT/text/HB0003/id/2718156,https://le.utah.gov/~2023/bills/hbillint/HB0003.pdf
1720775,2735369,text,213568,application/pdf,Enrolled,https://legiscan.com/UT/text/HB0003/id/2735369,https://le.utah.gov/~2023/bills/hbillenr/HB0003.pdf
1659597,2641425,text,204739,application/pdf,Introduced,https://legiscan.com/UT/text/HB0004/id/2641425,https://le.utah.gov/~2023/bills/hbillint/HB0004.pdf
1659597,2668499,text,185505,application/pdf,Enrolled,https://legiscan.com/UT/text/HB0004/id/2668499,https://le.utah.gov/~2023/bills/hbillenr/HB0004.pdf
1659584,2641413,text,181939,application/pdf,Introduced,https://legiscan.com/UT/text/HB0006/id/2641413,https://le.utah.gov/~2023/bills/hbillint/HB0006.pdf
1659584,2668302,text,163094,application/pdf,Enrolled,https://legiscan.com/UT/text/HB0006/id/2668302,https://le.utah.gov/~2023/bills/hbillenr/HB0006.pdf
1659571,2641393,text,118518,application/pdf,Introduced,https://legiscan.com/UT/text/HB0007/id/2641393,https://le.utah.gov/~2023/bills/hbillint/HB0007.pdf
1659571,2668311,text,102782,application/pdf,Enrolled,https://legiscan.com/UT/text/HB0007/id/2668311,https://le.utah.gov/~2023/bills/hbillenr/HB0007.pdf
1659609,2641437,text,253052,application/pdf,Introduced,https://legiscan.com/UT/text/HB0008/id/2641437,https://le.utah.gov/~2023/bills/hbillint/HB0008.pdf
1659609,2721385,text,260008,application/pdf,Introduced,https://legiscan.com/UT/text/HB0008/id/2721385,https://le.utah.gov/~2023/bills/hbillint/HB0008S01.pdf
1659609,2734598,text,235723,application/pdf,Enrolled,https://legiscan.com/UT/text/HB0008/id/2734598,https://le.utah.gov/~2023/bills/hbillenr/HB0008.pdf
1639216,2619259,text,89380,application/pdf,Introduced,https://legiscan.com/UT/text/HB0011/id/2619259,https://le.utah.gov/~2023/bills/hbillint/HB0011.pdf
1639216,2736163,text,76714,application/pdf,Enrolled,https://legiscan.com/UT/text/HB0011/id/2736163,https://le.utah.gov/~2023/bills/hbillenr/HB0011.pdf
1639219,2619262,text,124803,application/pdf,Introduced,https://legiscan.com/UT/text/HB0012/id/2619262,https://le.utah.gov/~2023/bills/hbillint/HB0012.pdf
1639219,2649265,text,126703,application/pdf,Introduced,https://legiscan.com/UT/text/HB0012/id/2649265,https://le.utah.gov/~2023/bills/hbillint/HB0012S01.pdf
1639219,2736913,text,114337,application/pdf,Enrolled,https://legiscan.com/UT/text/HB0012/id/2736913,https://le.utah.gov/~2023/bills/hbillenr/HB0012.pdf
1639350,2619389,text,76044,application/pdf,Introduced,https://legiscan.com/UT/text/HB0013/id/2619389,https://le.utah.gov/~2023/bills/hbillint/HB0013.pdf
1639350,2736775,text,63653,application/pdf,Enrolled,https://legiscan.com/UT/text/HB0013/id/2736775,https://le.utah.gov/~2023/bills/hbillenr/HB0013.pdf
1639389,2619400,text,70918,application/pdf,Introduced,https://legiscan.com/UT/text/HB0014/id/2619400,https://le.utah.gov/~2023/bills/hbillint/HB0014.pdf
1639389,2737120,text,58358,application/pdf,Enrolled,https://legiscan.com/UT/text/HB0014/id/2737120,https://le.utah.gov/~2023/bills/hbillenr/HB0014.pdf
1639428,2619411,text,71705,application/pdf,Introduced,https://legiscan.com/UT/text/HB0015/id/2619411,https://le.utah.gov/~2023/bills/hbillint/HB0015.pdf
1639428,2736746,text,57697,application/pdf,Enrolled,https://legiscan.com/UT/text/HB0015/id/2736746,https://le.utah.gov/~2023/bills/hbillenr/HB0015.pdf
1639462,2619443,text,126348,application/pdf,Introduced,https://legiscan.com/UT/text/HB0016/id/2619443,https://le.utah.gov/~2023/bills/hbillint/HB0016.pdf
1639462,2677474,text,128448,application/pdf,Introduced,https://legiscan.com/UT/text/HB0016/id/2677474,https://le.utah.gov/~2023/bills/hbillint/HB0016S01.pdf
1639462,2714275,text,125077,application/pdf,Introduced,https://legiscan.com/UT/text/HB0016/id/2714275,https://le.utah.gov/~2023/bills/hbillint/HB0016S02.pdf
1639462,2669153,text,135600,application/pdf,Amended,https://legiscan.com/UT/text/HB0016/id/2669153,https://le.utah.gov/~2023/bills/hbillamd/HB0016.pdf
1639462,2737291,text,112611,application/pdf,Enrolled,https://legiscan.com/UT/text/HB0016/id/2737291,https://le.utah.gov/~2023/bills/hbillenr/HB0016.pdf
1639460,2619440,text,82996,application/pdf,Introduced,https://legiscan.com/UT/text/HB0017/id/2619440,https://le.utah.gov/~2023/bills/hbillint/HB0017.pdf
1639460,2661318,text,92386,application/pdf,Amended,https://legiscan.com/UT/text/HB0017/id/2661318,https://le.utah.gov/~2023/bills/hbillamd/HB0017.pdf
1639460,2736131,text,69614,application/pdf,Enrolled,https://legiscan.com/UT/text/HB0017/id/2736131,https://le.utah.gov/~2023/bills/hbillenr/HB0017.pdf
1639472,2619455,text,96370,application/pdf,Introduced,https://legiscan.com/UT/text/HB0018/id/2619455,https://le.utah.gov/~2023/bills/hbillint/HB0018.pdf
1639472,2660800,text,97656,application/pdf,Introduced,https://legiscan.com/UT/text/HB0018/id/2660800,https://le.utah.gov/~2023/bills/hbillint/HB0018S01.pdf
1639472,2734712,text,86139,application/pdf,Enrolled,https://legiscan.com/UT/text/HB0018/id/2734712,https://le.utah.gov/~2023/bills/hbillenr/HB0018.pdf
1639464,2619446,text,79446,application/pdf,Introduced,https://legiscan.com/UT/text/HB0019/id/2619446,https://le.utah.gov/~2023/bills/hbillint/HB0019.pdf
1639464,2736105,text,67676,application/pdf,Enrolled,https://legiscan.com/UT/text/HB0019/id/2736105,https://le.utah.gov/~2023/bills/hbillenr/HB0019.pdf
1639454,2619434,text,76763,application/pdf,Introduced,https://legiscan.com/UT/text/HB0020/id/2619434,https://le.utah.gov/~2023/bills/hbillint/HB0020.pdf
1639454,2737173,text,64960,application/pdf,Enrolled,https://legiscan.com/UT/text/HB0020/id/2737173,https://le.utah.gov/~2023/bills/hbillenr/HB0020.pdf
1639463,2619444,text,75905,application/pdf,Introduced,https://legiscan.com/UT/text/HB0021/id/2619444,https://le.utah.gov/~2023/bills/hbillint/HB0021.pdf
1639463,2714780,text,145451,application/pdf,Introduced,https://legiscan.com/UT/text/HB0021/id/2714780,https://le.utah.gov/~2023/bills/hbillint/HB0021S02.pdf
1639463,2719278,text,146813,application/pdf,Introduced,https://legiscan.com/UT/text/HB0021/id/2719278,https://le.utah.gov/~2023/bills/hbillint/HB0021S03.pdf
1639463,2726526,text,140345,application/pdf,Introduced,https://legiscan.com/UT/text/HB0021/id/2726526,https://le.utah.gov/~2023/bills/hbillint/HB0021S04.pdf
