bill_id,people_id,position
1639216,8123,1
1639216,8165,2
1639217,12088,2
1639217,13830,1
1639218,15461,2
1639218,16439,1
1639219,8111,2
1639219,22378,1
1639337,15461,2
1639337,16439,1
1639350,19090,2
1639350,20382,1
1639363,8111,1
1639363,18777,2
1639376,8150,1
1639376,15452,2
1639389,8111,2
1639389,18777,1
1639400,13764,2
1639400,22124,1
1639413,17849,1
1639413,17986,2
1639428,8111,2
1639428,18777,1
1639439,14566,1
1639439,23787,2
1639454,8111,2
1639454,18777,1
1639455,8150,1
1639455,15452,2
1639456,17849,1
1639456,21105,2
1639457,8150,1
1639457,15452,2
1639458,8131,1
1639458,11900,2
1639459,8111,1
1639459,18777,2
1639460,17849,2
1639460,21104,1
1639461,21108,1
1639461,22076,2
1639462,17396,2
1639462,18548,1
1639463,12070,1
1639463,15450,2
1639464,8209,2
1639464,14564,1
1639465,8150,1
1639465,21414,2
1639466,8150,1
1639466,22521,2
1639467,8150,1
1639467,15452,2
1639468,20381,2
1639468,22073,1
1639469,12088,1
1639469,14566,2
1639470,14566,2
1639470,17033,1
1639471,8111,2
1639471,13764,1
1639472,8150,2
1639472,14564,1
1639473,15461,2
1639473,16439,1
1639474,13816,2
1639474,22519,1
1639475,8150,1
1639475,17986,2
1639476,8150,1
1639476,15452,2
1639477,8186,1
1639477,12088,2
1639478,11713,1
1639478,20380,2
1639481,8111,2
1639481,17448,1
1639489,13830,1
1639489,17986,2
1639497,8150,2
1639497,12088,1
1639507,13816,1
1639507,21049,2
1639520,16439,2
1639520,19707,1
1639522,15461,1
1639522,16439,2
1639529,8209,2
1639529,12088,1
1639535,8111,1
1639535,18777,2
1639541,8165,2
1639541,14564,1
1639546,16439,2
1639546,19707,1
1639553,19090,2
1639553,20382,1
1639558,13830,1
1639558,16525,2
1639564,8111,1
1639564,18777,2
1639570,21108,1
1639570,22072,2
1639574,17719,2
1639574,18110,1
1639586,8150,2
1639586,15452,1
1639587,8150,2
1639587,23044,1
1639588,8111,1
1639588,21414,2
1639590,8165,2
1639590,8193,1
1639591,17396,2
1639591,20382,1
1639593,8150,2
1639593,17986,1
1639595,15450,2
1639595,17448,1
1639596,19090,2
1639596,20380,1
1639600,15461,1
1639600,21108,2
1639602,13816,2
1639602,22073,1
1639604,17396,1
1639604,18548,2
1639605,17396,2
1639605,18548,1
1639607,15461,1
1639607,16439,2
1639608,8148,1
1639608,11716,2
1639610,8111,2
1639610,18110,1
1639611,15458,2
1639611,16525,1
1639612,8151,1
1639612,8196,2
1639613,15458,2
1639613,19707,1
1639614,12088,1
1639614,13830,2
1639615,13816,2
1639615,19091,1
1639616,8186,2
1639616,17986,1
1639617,8151,1
1639617,8156,2
1639618,20381,2
1639618,22073,1
1639619,16180,1
1639619,22124,2
1639620,13816,2
1639620,22073,1
1639621,8151,1
1639621,8196,2
1639622,8186,1
1639622,18777,2
1639623,8150,2
1639623,17033,1
1639624,8151,1
1639624,13816,2
1639700,8150,2
1639700,22523,1
1639713,13816,2
1639713,22072,1
1639728,20381,2
1639728,20382,1
1639744,12088,1
1639744,22124,2
1639786,8209,2
1639786,21414,1
1639787,12088,1
1639787,17849,2
1639788,8172,1
1639788,13816,2
1639789,8111,2
1639789,13764,1
1639790,8123,1
1639790,8150,2
1639791,13830,2
1639791,17448,1
1639792,14566,2
1639792,23044,1
1639793,15450,2
1639793,21104,1
1639794,19090,2
1639794,20380,1
1639795,22124,2
1639795,22969,1
1639883,17849,1
1639883,24493,2
1639887,12088,2
1639887,17849,1
1639890,12088,1
1639890,23751,2
1639894,17849,1
1639894,21630,2
1639896,17849,1
1639896,23786,2
1639899,8196,2
1639899,17986,1
1639900,21630,1
1639902,15450,2
1639902,18110,1
1639904,20380,1
1639905,20383,1
1639907,8172,1
1639909,13816,2
1639909,20383,1
1639911,22524,1
1639912,21104,1
1639914,21104,1
1639914,22074,2
1639916,17033,1
1639918,20383,1
1639919,8172,1
1639919,16439,2
1639921,22519,1
1639923,20381,2
1639923,20383,1
1639925,8165,2
1639925,8193,1
1639926,17719,1
1639926,24493,2
1639928,8196,2
1639928,17986,1
1639930,8150,2
1639930,22524,1
1639932,17849,1
1639933,8193,1
1639935,8193,1
1639937,20381,2
1639937,22523,1
1639939,20383,1
1639965,8111,2
1639965,22073,1
1639967,15458,2
1639967,21105,1
1639969,12070,1
1639971,22074,2
1639971,22969,1
1639973,22124,2
1639973,23809,1
1639974,19666,1
1639975,21414,1
1639976,13816,1
1639976,22076,2
1639978,8186,1
1639978,18110,2
1639979,13816,1
1639979,17527,2
1639981,17396,2
1639981,20380,1
1639982,17849,2
1639982,19666,1
1639983,8186,2
1639983,18110,1
1639985,17719,2
1639985,18110,1
1639986,17849,1
1639986,17986,2
1639988,8150,1
1639988,24493,2
1639989,16439,2
1639989,19707,1
1639991,19091,1
1639991,22074,2
1639992,21066,1
1639994,16439,2
1639994,22073,1
1639995,8165,2
1639995,8193,1
1639997,19666,2
1639997,21066,1
1639998,14564,1
1639999,8150,1
1639999,22076,2
1640001,8111,2
1640001,8172,1
1640041,20381,2
1640041,20383,1
1640103,8111,2
1640103,17448,1
1640124,15458,2
1640124,22378,1
1640143,15450,2
1640143,17448,1
1640146,14566,2
1640146,20383,1
1640147,21630,1
1640149,17849,1
1640149,21104,2
1640151,14566,2
1640151,19091,1
1640153,19666,1
1640153,20381,2
1640154,20823,1
1640154,22124,2
1640157,8111,2
1640157,21630,1
1640158,17719,2
1640158,22072,1
1640161,16439,2
1640161,24496,1
1640163,21630,1
1640166,8111,2
1640166,8123,1
1640170,8150,2
1640170,21046,1
1640173,8150,1
1640173,8193,2
1640175,8165,2
1640175,20383,1
1640179,14566,2
1640179,17986,1
1640181,17448,1
1640181,19090,2
1640183,8150,2
1640183,19415,1
1640186,17849,2
1640186,18548,1
1640191,19666,1
1640191,20381,2
1640203,17849,2
1640203,21104,1
