roll_call_id,people_id,vote,vote_desc
1458564,8123,1,Yea
1458564,8151,1,Yea
1458564,8172,2,Nay
1458564,8173,2,Nay
1458564,8193,1,Yea
1458564,8207,2,Nay
1458564,11842,1,Yea
1458564,11900,1,Yea
1458564,12070,2,Nay
1458564,12088,1,Yea
1458564,13764,1,Yea
1458564,14564,2,Nay
1458564,15452,1,Yea
1458564,15461,1,Yea
1458564,16180,1,Yea
1458564,16525,1,Yea
1458564,16714,1,Yea
1458564,17033,1,Yea
1458564,17448,1,Yea
1458564,17527,2,Nay
1458564,17986,1,Yea
1458564,18110,1,Yea
1458564,18548,1,Yea
1458564,18777,1,Yea
1458564,19072,1,Yea
1458564,19091,1,Yea
1458564,19415,1,Yea
1458564,19666,4,Absent
1458564,19707,1,Yea
1458564,20380,1,Yea
1458564,20382,1,Yea
1458564,20383,2,Nay
1458564,20471,2,Nay
1458564,20823,1,Yea
1458564,21031,1,Yea
1458564,21046,1,Yea
1458564,21049,1,Yea
1458564,21099,1,Yea
1458564,21104,4,Absent
1458564,21105,1,Yea
1458564,21414,1,Yea
1458564,21630,1,Yea
1458564,22072,1,Yea
1458564,22073,4,Absent
1458564,22075,1,Yea
1458564,22076,1,Yea
1458564,22378,1,Yea
1458564,22454,1,Yea
1458564,22519,2,Nay
1458564,22521,2,Nay
1458564,22522,1,Yea
1458564,22523,1,Yea
1458564,22524,2,Nay
1458564,22525,2,Nay
1458564,22968,1,Yea
1458564,22969,1,Yea
1458564,23044,1,Yea
1458564,23169,1,Yea
1458564,23558,1,Yea
1458564,23786,1,Yea
1458564,23787,1,Yea
1458564,23788,1,Yea
1458564,23789,1,Yea
1458564,23790,2,Nay
1458564,23791,1,Yea
1458564,23809,1,Yea
1458564,23896,1,Yea
1458564,24070,1,Yea
1458564,24492,1,Yea
1458564,24493,4,Absent
1458564,24494,1,Yea
1458564,24496,1,Yea
1458564,24868,2,Nay
1458564,24964,1,Yea
1458564,24965,1,Yea
1458565,8111,1,Yea
1458565,8131,1,Yea
1458565,8148,1,Yea
1458565,8150,1,Yea
1458565,8156,1,Yea
1458565,8165,1,Yea
1458565,8186,4,Absent
1458565,8196,1,Yea
1458565,8209,2,Nay
1458565,11713,2,Nay
1458565,13816,1,Yea
1458565,13830,1,Yea
1458565,14566,4,Absent
1458565,15458,1,Yea
1458565,16439,1,Yea
1458565,17396,1,Yea
1458565,17719,1,Yea
1458565,17849,1,Yea
1458565,19010,4,Absent
1458565,19090,1,Yea
1458565,20381,2,Nay
1458565,21066,2,Nay
1458565,21100,1,Yea
1458565,21108,1,Yea
1458565,22074,1,Yea
1458565,22124,1,Yea
1458565,23751,2,Nay
1458565,24499,2,Nay
1458565,25016,1,Yea
1458568,8123,4,Absent
1458568,8151,1,Yea
1458568,8172,1,Yea
1458568,8173,1,Yea
1458568,8193,1,Yea
1458568,8207,1,Yea
1458568,11842,1,Yea
1458568,11900,1,Yea
1458568,12070,4,Absent
1458568,12088,1,Yea
1458568,13764,1,Yea
1458568,14564,1,Yea
1458568,15452,1,Yea
1458568,15461,1,Yea
1458568,16180,1,Yea
1458568,16525,1,Yea
1458568,16714,1,Yea
1458568,17033,1,Yea
1458568,17448,1,Yea
1458568,17527,1,Yea
1458568,17986,1,Yea
1458568,18110,1,Yea
1458568,18548,1,Yea
1458568,18777,1,Yea
1458568,19072,1,Yea
1458568,19091,1,Yea
1458568,19415,1,Yea
1458568,19666,1,Yea
1458568,19707,1,Yea
1458568,20380,1,Yea
1458568,20382,1,Yea
1458568,20383,1,Yea
1458568,20471,1,Yea
1458568,20823,1,Yea
1458568,21031,1,Yea
1458568,21046,1,Yea
1458568,21049,1,Yea
1458568,21099,1,Yea
1458568,21104,4,Absent
1458568,21105,1,Yea
1458568,21414,1,Yea
1458568,21630,1,Yea
1458568,22072,1,Yea
1458568,22073,4,Absent
1458568,22075,1,Yea
1458568,22076,1,Yea
1458568,22378,1,Yea
1458568,22454,1,Yea
1458568,22519,1,Yea
1458568,22521,1,Yea
1458568,22522,1,Yea
1458568,22523,1,Yea
1458568,22524,1,Yea
1458568,22525,1,Yea
1458568,22968,1,Yea
1458568,22969,1,Yea
1458568,23044,1,Yea
1458568,23169,1,Yea
1458568,23558,1,Yea
1458568,23786,1,Yea
1458568,23787,1,Yea
1458568,23788,1,Yea
1458568,23789,1,Yea
1458568,23790,1,Yea
1458568,23791,1,Yea
1458568,23809,1,Yea
1458568,23896,1,Yea
1458568,24070,1,Yea
1458568,24492,1,Yea
1458568,24493,4,Absent
1458568,24494,1,Yea
1458568,24496,1,Yea
1458568,24868,1,Yea
1458568,24964,1,Yea
1458568,24965,1,Yea
1458569,8111,1,Yea
1458569,8131,1,Yea
1458569,8148,1,Yea
1458569,8150,1,Yea
1458569,8156,1,Yea
1458569,8165,1,Yea
1458569,8186,4,Absent
1458569,8196,1,Yea
1458569,8209,1,Yea
1458569,11713,1,Yea
1458569,13816,1,Yea
1458569,13830,1,Yea
1458569,14566,4,Absent
1458569,15458,1,Yea
1458569,16439,1,Yea
1458569,17396,1,Yea
1458569,17719,1,Yea
1458569,17849,1,Yea
1458569,19010,1,Yea
1458569,19090,1,Yea
1458569,20381,1,Yea
1458569,21066,1,Yea
1458569,21100,1,Yea
1458569,21108,1,Yea
1458569,22074,1,Yea
1458569,22124,1,Yea
1458569,23751,1,Yea
1458569,24499,1,Yea
1458569,25016,1,Yea
1458573,8123,1,Yea
1458573,8151,1,Yea
1458573,8172,2,Nay
1458573,8173,2,Nay
1458573,8193,1,Yea
1458573,8207,2,Nay
1458573,11842,1,Yea
1458573,11900,1,Yea
1458573,12070,2,Nay
1458573,12088,1,Yea
1458573,13764,1,Yea
1458573,14564,2,Nay
1458573,15452,1,Yea
1458573,15461,1,Yea
1458573,16180,1,Yea
1458573,16525,1,Yea
1458573,16714,1,Yea
1458573,17033,1,Yea
1458573,17448,1,Yea
1458573,17527,2,Nay
1458573,17986,1,Yea
1458573,18110,1,Yea
1458573,18548,1,Yea
1458573,18777,1,Yea
1458573,19072,1,Yea
1458573,19091,1,Yea
1458573,19415,1,Yea
1458573,19666,4,Absent
1458573,19707,1,Yea
1458573,20380,1,Yea
1458573,20382,1,Yea
1458573,20383,2,Nay
1458573,20471,2,Nay
1458573,20823,1,Yea
1458573,21031,1,Yea
1458573,21046,1,Yea
1458573,21049,1,Yea
1458573,21099,1,Yea
1458573,21104,4,Absent
1458573,21105,1,Yea
1458573,21414,1,Yea
1458573,21630,1,Yea
1458573,22072,1,Yea
1458573,22073,4,Absent
1458573,22075,1,Yea
1458573,22076,1,Yea
1458573,22378,1,Yea
1458573,22454,1,Yea
1458573,22519,2,Nay
1458573,22521,2,Nay
1458573,22522,1,Yea
1458573,22523,1,Yea
1458573,22524,2,Nay
1458573,22525,2,Nay
1458573,22968,1,Yea
1458573,22969,1,Yea
1458573,23044,1,Yea
1458573,23169,1,Yea
1458573,23558,1,Yea
1458573,23786,1,Yea
1458573,23787,1,Yea
1458573,23788,1,Yea
1458573,23789,1,Yea
1458573,23790,2,Nay
1458573,23791,1,Yea
1458573,23809,1,Yea
1458573,23896,1,Yea
1458573,24070,1,Yea
1458573,24492,1,Yea
1458573,24493,4,Absent
1458573,24494,1,Yea
1458573,24496,1,Yea
1458573,24868,2,Nay
1458573,24964,1,Yea
1458573,24965,1,Yea
1458574,8111,1,Yea
1458574,8131,1,Yea
1458574,8148,1,Yea
1458574,8150,1,Yea
1458574,8156,1,Yea
1458574,8165,1,Yea
1458574,8186,4,Absent
1458574,8196,1,Yea
1458574,8209,2,Nay
1458574,11713,2,Nay
1458574,13816,1,Yea
1458574,13830,1,Yea
1458574,14566,4,Absent
1458574,15458,1,Yea
1458574,16439,1,Yea
1458574,17396,1,Yea
1458574,17719,1,Yea
1458574,17849,1,Yea
1458574,19010,4,Absent
1458574,19090,1,Yea
1458574,20381,2,Nay
1458574,21066,2,Nay
1458574,21100,1,Yea
1458574,21108,1,Yea
1458574,22074,1,Yea
1458574,22124,1,Yea
1458574,23751,2,Nay
1458574,24499,2,Nay
1458574,25016,1,Yea
1458577,8123,1,Yea
1458577,8151,1,Yea
1458577,8172,1,Yea
1458577,8173,1,Yea
1458577,8193,1,Yea
1458577,8207,1,Yea
1458577,11842,1,Yea
1458577,11900,1,Yea
1458577,12070,1,Yea
1458577,12088,1,Yea
1458577,13764,1,Yea
1458577,14564,1,Yea
1458577,15452,1,Yea
1458577,15461,1,Yea
1458577,16180,1,Yea
1458577,16525,1,Yea
1458577,16714,1,Yea
1458577,17033,1,Yea
1458577,17448,1,Yea
1458577,17527,1,Yea
1458577,17986,1,Yea
1458577,18110,1,Yea
1458577,18548,1,Yea
1458577,18777,1,Yea
1458577,19072,1,Yea
1458577,19091,1,Yea
1458577,19415,1,Yea
1458577,19666,1,Yea
1458577,19707,1,Yea
1458577,20380,1,Yea
1458577,20382,1,Yea
1458577,20383,1,Yea
1458577,20471,1,Yea
1458577,20823,1,Yea
1458577,21031,1,Yea
1458577,21046,1,Yea
1458577,21049,1,Yea
1458577,21099,1,Yea
1458577,21104,4,Absent
1458577,21105,1,Yea
1458577,21414,1,Yea
1458577,21630,1,Yea
1458577,22072,1,Yea
1458577,22073,4,Absent
1458577,22075,1,Yea
1458577,22076,1,Yea
1458577,22378,1,Yea
1458577,22454,1,Yea
1458577,22519,1,Yea
1458577,22521,1,Yea
1458577,22522,1,Yea
1458577,22523,1,Yea
1458577,22524,1,Yea
1458577,22525,1,Yea
1458577,22968,1,Yea
1458577,22969,1,Yea
1458577,23044,1,Yea
1458577,23169,1,Yea
1458577,23558,1,Yea
1458577,23786,1,Yea
1458577,23787,1,Yea
1458577,23788,1,Yea
1458577,23789,1,Yea
1458577,23790,1,Yea
1458577,23791,1,Yea
1458577,23809,1,Yea
1458577,23896,1,Yea
1458577,24070,1,Yea
1458577,24492,1,Yea
1458577,24493,4,Absent
1458577,24494,1,Yea
1458577,24496,1,Yea
1458577,24868,1,Yea
1458577,24964,1,Yea
1458577,24965,1,Yea
1458578,8111,1,Yea
1458578,8131,1,Yea
1458578,8148,1,Yea
1458578,8150,1,Yea
1458578,8156,1,Yea
1458578,8165,1,Yea
1458578,8186,4,Absent
1458578,8196,1,Yea
1458578,8209,1,Yea
1458578,11713,1,Yea
1458578,13816,1,Yea
1458578,13830,1,Yea
1458578,14566,4,Absent
1458578,15458,1,Yea
1458578,16439,1,Yea
1458578,17396,1,Yea
1458578,17719,1,Yea
1458578,17849,4,Absent
1458578,19010,1,Yea
1458578,19090,1,Yea
1458578,20381,1,Yea
1458578,21066,1,Yea
1458578,21100,1,Yea
1458578,21108,1,Yea
1458578,22074,1,Yea
1458578,22124,1,Yea
1458578,23751,1,Yea
1458578,24499,1,Yea
1458578,25016,1,Yea
1458580,8123,1,Yea
1458580,8151,1,Yea
1458580,8172,2,Nay
1458580,8173,2,Nay
1458580,8193,1,Yea
1458580,8207,1,Yea
1458580,11842,1,Yea
1458580,11900,1,Yea
1458580,12070,2,Nay
1458580,12088,1,Yea
1458580,13764,1,Yea
1458580,14564,2,Nay
1458580,15452,1,Yea
1458580,15461,1,Yea
1458580,16180,1,Yea
1458580,16525,1,Yea
1458580,16714,1,Yea
1458580,17033,1,Yea
1458580,17448,1,Yea
1458580,17527,2,Nay
1458580,17986,1,Yea
1458580,18110,1,Yea
1458580,18548,1,Yea
1458580,18777,1,Yea
1458580,19072,1,Yea
1458580,19091,1,Yea
1458580,19415,1,Yea
1458580,19666,1,Yea
1458580,19707,1,Yea
1458580,20380,1,Yea
1458580,20382,1,Yea
1458580,20383,1,Yea
1458580,20471,2,Nay
1458580,20823,1,Yea
1458580,21031,1,Yea
1458580,21046,1,Yea
1458580,21049,1,Yea
1458580,21099,1,Yea
1458580,21104,4,Absent
1458580,21105,1,Yea
1458580,21414,1,Yea
1458580,21630,1,Yea
1458580,22072,1,Yea
1458580,22073,4,Absent
1458580,22075,1,Yea
1458580,22076,1,Yea
1458580,22378,1,Yea
1458580,22454,1,Yea
1458580,22519,1,Yea
1458580,22521,1,Yea
1458580,22522,1,Yea
1458580,22523,1,Yea
1458580,22524,1,Yea
1458580,22525,1,Yea
1458580,22968,1,Yea
1458580,22969,1,Yea
1458580,23044,1,Yea
1458580,23169,1,Yea
1458580,23558,1,Yea
1458580,23786,1,Yea
1458580,23787,1,Yea
1458580,23788,1,Yea
1458580,23789,1,Yea
1458580,23790,1,Yea
1458580,23791,1,Yea
1458580,23809,1,Yea
1458580,23896,1,Yea
1458580,24070,1,Yea
1458580,24492,1,Yea
1458580,24493,4,Absent
1458580,24494,1,Yea
1458580,24496,1,Yea
1458580,24868,1,Yea
1458580,24964,1,Yea
1458580,24965,1,Yea
1458581,8111,1,Yea
1458581,8131,1,Yea
1458581,8148,1,Yea
1458581,8150,1,Yea
1458581,8156,1,Yea
1458581,8165,1,Yea
1458581,8186,4,Absent
1458581,8196,1,Yea
1458581,8209,1,Yea
1458581,11713,1,Yea
1458581,13816,1,Yea
1458581,13830,1,Yea
1458581,14566,1,Yea
1458581,15458,1,Yea
1458581,16439,1,Yea
1458581,17396,1,Yea
1458581,17719,1,Yea
1458581,17849,1,Yea
1458581,19010,4,Absent
1458581,19090,1,Yea
1458581,20381,1,Yea
1458581,21066,1,Yea
1458581,21100,1,Yea
1458581,21108,1,Yea
1458581,22074,1,Yea
1458581,22124,1,Yea
1458581,23751,1,Yea
1458581,24499,1,Yea
1458581,25016,1,Yea
1458586,8123,1,Yea
1458586,8151,1,Yea
1458586,8172,2,Nay
1458586,8173,2,Nay
1458586,8193,1,Yea
1458586,8207,1,Yea
1458586,11842,1,Yea
1458586,11900,1,Yea
1458586,12070,2,Nay
1458586,12088,1,Yea
1458586,13764,1,Yea
1458586,14564,2,Nay
1458586,15452,1,Yea
1458586,15461,1,Yea
1458586,16180,1,Yea
1458586,16525,1,Yea
1458586,16714,1,Yea
1458586,17033,1,Yea
1458586,17448,1,Yea
1458586,17527,2,Nay
1458586,17986,1,Yea
1458586,18110,1,Yea
1458586,18548,1,Yea
1458586,18777,1,Yea
1458586,19072,1,Yea
1458586,19091,1,Yea
1458586,19415,1,Yea
1458586,19666,1,Yea
1458586,19707,1,Yea
1458586,20380,1,Yea
1458586,20382,1,Yea
1458586,20383,1,Yea
1458586,20471,2,Nay
1458586,20823,1,Yea
1458586,21031,1,Yea
1458586,21046,1,Yea
1458586,21049,1,Yea
1458586,21099,1,Yea
1458586,21104,4,Absent
1458586,21105,1,Yea
1458586,21414,1,Yea
1458586,21630,1,Yea
1458586,22072,1,Yea
1458586,22073,4,Absent
1458586,22075,1,Yea
1458586,22076,1,Yea
1458586,22378,1,Yea
1458586,22454,1,Yea
1458586,22519,2,Nay
1458586,22521,1,Yea
1458586,22522,1,Yea
1458586,22523,1,Yea
1458586,22524,1,Yea
1458586,22525,2,Nay
1458586,22968,1,Yea
1458586,22969,1,Yea
1458586,23044,1,Yea
1458586,23169,1,Yea
1458586,23558,1,Yea
1458586,23786,1,Yea
1458586,23787,1,Yea
1458586,23788,1,Yea
1458586,23789,1,Yea
1458586,23790,2,Nay
1458586,23791,1,Yea
1458586,23809,1,Yea
1458586,23896,1,Yea
1458586,24070,1,Yea
1458586,24492,1,Yea
1458586,24493,4,Absent
1458586,24494,1,Yea
1458586,24496,1,Yea
1458586,24868,2,Nay
1458586,24964,1,Yea
1458586,24965,1,Yea
1458587,8111,1,Yea
1458587,8131,1,Yea
1458587,8148,1,Yea
1458587,8150,1,Yea
1458587,8156,1,Yea
1458587,8165,1,Yea
1458587,8186,4,Absent
1458587,8196,1,Yea
1458587,8209,2,Nay
1458587,11713,1,Yea
1458587,13816,1,Yea
1458587,13830,1,Yea
1458587,14566,1,Yea
1458587,15458,1,Yea
1458587,16439,1,Yea
1458587,17396,1,Yea
1458587,17719,1,Yea
1458587,17849,1,Yea
1458587,19010,4,Absent
