bill_id,date,chamber,sequence,action
1792410,2023-12-13,,1,"Bill Numbered but not Distributed in Legislative Research and General Counsel"
1792410,2023-12-14,,2,"Numbered Bill Publicly Distributed in Legislative Research and General Counsel"
1792410,2023-12-14,,3,"LFA/ fiscal note sent to sponsor in Legislative Research and General Counsel"
1792410,2023-12-14,,4,"LFA/ bill sent to agencies for fiscal input in Legislative Research and General Counsel"
1792410,2023-12-14,,5,"LFA/ fiscal note publicly available in Legislative Research and General Counsel"
1792410,2024-01-10,House,6,"House/ received bill from Legislative Research in Clerk of the House"
1792410,2024-01-16,House,7,"House/ received fiscal note from Fiscal Analyst in Clerk of the House"
1792410,2024-01-16,House,8,"House/ 1st reading (Introduced) in House Rules Committee"
1792410,2024-01-16,House,9,"House/ Rules to 3rd Reading Calendar in House 3rd Reading Calendar for House bills"
1792410,2024-01-16,House,10,"House/ 2nd reading in House 3rd Reading Calendar for House bills"
1792410,2024-01-16,House,11,"House/ 3rd reading in House 3rd Reading Calendar for House bills"
1792410,2024-01-16,Senate,12,"House/ passed 3rd reading in Senate Secretary"
1792410,2024-01-16,Senate,13,"House/ to Senate in Senate Secretary"
1792410,2024-01-16,Senate,14,"Senate/ received from House in Waiting for Introduction in the Senate"
1792410,2024-01-16,Senate,15,"Senate/ 1st reading (Introduced) in Senate Rules Committee"
1792410,2024-01-17,Senate,16,"Senate/ to standing committee in Senate Government Operations and Political Subdivisions Committee"
1792410,2024-01-18,Senate,17,"Senate Comm - Not Considered in Senate Government Operations and Political Subdivisions Committee"
1792410,2024-01-24,Senate,18,"Senate Comm - Favorable Recommendation in Senate Government Operations and Political Subdivisions Committee"
1792410,2024-01-25,Senate,19,"Senate/ committee report favorable in Senate Government Operations and Political Subdivisions Committee"
1792410,2024-01-25,Senate,20,"Senate/ placed on 2nd Reading Calendar in Senate 2nd Reading Calendar"
1792410,2024-01-31,Senate,21,"Senate/ 2nd reading in Senate 2nd Reading Calendar"
1792410,2024-01-31,Senate,22,"Senate/ passed 2nd reading in Senate 3rd Reading Calendar"
1792410,2024-02-01,Senate,23,"Senate/ 3rd reading in Senate 3rd Reading Calendar"
1792410,2024-02-01,Senate,24,"Senate/ passed 3rd reading in Senate President"
1792410,2024-02-01,House,25,"Senate/ signed by President/ returned to House in House Speaker"
1792410,2024-02-01,House,26,"Senate/ to House in House Speaker"
1792410,2024-02-01,House,27,"House/ received from Senate in House Speaker"
1792410,2024-02-01,,28,"House/ signed by Speaker/ sent for enrolling in Legislative Research and General Counsel / Enrolling"
1792410,2024-02-04,,29,"Bill Received from House for Enrolling in Legislative Research and General Counsel / Enrolling"
1792410,2024-02-04,,30,"Draft of Enrolled Bill Prepared in Legislative Research and General Counsel / Enrolling"
1792410,2024-03-07,House,31,"Enrolled Bill Returned to House or Senate in Clerk of the House"
1792410,2024-03-07,House,32,"House/ enrolled bill to Printing in Clerk of the House"
1792410,2024-03-08,House,33,"House/ received enrolled bill from Printing in Clerk of the House"
1792410,2024-03-08,,34,"House/ to Governor in Executive Branch - Governor"
1792410,2024-03-19,,35,"Governor Signed in Lieutenant Governor's office for filing"
1792413,2023-12-13,,1,"Bill Numbered but not Distributed in Legislative Research and General Counsel"
1792413,2023-12-15,,2,"Numbered Bill Publicly Distributed in Legislative Research and General Counsel"
1792413,2023-12-20,Senate,3,"Senate/ received bill from Legislative Research in Waiting for Introduction in the Senate"
1792413,2024-01-11,Senate,4,"Senate/ received fiscal note from Fiscal Analyst in Waiting for Introduction in the Senate"
1792413,2024-01-16,Senate,5,"Senate/ 1st reading (Introduced) in Senate Rules Committee"
1792413,2024-01-16,Senate,6,"Senate/ placed on 2nd Reading Calendar in Senate 2nd Reading Calendar"
1792413,2024-01-16,Senate,7,"Senate/ 2nd & 3rd readings/ suspension in Senate 2nd Reading Calendar"
1792413,2024-01-16,House,8,"Senate/ passed 2nd & 3rd readings/ suspension in Clerk of the House"
1792413,2024-01-16,House,9,"Senate/ to House in Clerk of the House"
1792413,2024-01-17,House,10,"House/ received from Senate in Clerk of the House"
1792413,2024-01-17,House,11,"House/ 1st reading (Introduced) in House Rules Committee"
1792413,2024-01-19,House,12,"House/ to standing committee in House Law Enforcement and Criminal Justice Committee"
1792413,2024-01-24,House,13,"Senate/ to Printing with fiscal note in House Law Enforcement and Criminal Justice Committee"
1792413,2024-01-29,House,14,"House Comm - Substitute Recommendation from # 0 to # 1 in House Law Enforcement and Criminal Justice Committee"
1792413,2024-01-29,House,15,"House Comm - Favorable Recommendation in House Law Enforcement and Criminal Justice Committee"
1792413,2024-01-30,House,16,"House/ comm rpt/ substituted in House Law Enforcement and Criminal Justice Committee"
1792413,2024-01-30,House,17,"House/ 2nd reading in House 3rd Reading Calendar for Senate bills"
1792413,2024-01-31,House,18,"House/ 3rd reading in House 3rd Reading Calendar for Senate bills"
1792413,2024-01-31,Senate,19,"House/ passed 3rd reading in Senate Secretary"
1792413,2024-01-31,Senate,20,"House/ to Senate in Senate Secretary"
1792413,2024-02-01,Senate,21,"Senate/ received from House in Senate Secretary"
1792413,2024-02-01,Senate,22,"Senate/ placed on Concurrence Calendar in Senate Concurrence Calendar"
1792413,2024-02-02,House,23,"Senate/ concurs with House amendment in House Speaker"
