bill_id,session_id,bill_number,status,status_desc,status_date,title,description,committee_id,committee,last_action_date,last_action,url,state_link
1877734,2139,HB6001,4,Passed,2024-05-13,"Budget Bill.","Budget Bill. Provides for all appropriations of the Budget submitted by the Governor of Virginia in accordance with the provisions of § 2.2-1509 of the Code of Virginia, and provides a portion of revenues for the two years ending respectively on the thirtieth day of June 2025 and the thirtieth day of June 2026.",0,,2024-05-13,"Governor: Acts of Assembly Chapter text (CHAP0002)",https://legiscan.com/VA/bill/HB6001/2024/X1,https://lis.virginia.gov/cgi-bin/legp604.exe?242+sum+HB6001
1877735,2139,HB6002,4,Passed,2024-05-13,"Budget Bill.","Budget Bill. Amends Chapter 2 of the Acts of Assembly of 2022, Special Session I, as amended by Chapter 769 of the Acts of Assembly of 2023, as further amended by Chapter 1 of the Acts of Assembly of 2023, Special Session I.",0,,2024-05-13,"Governor: Acts of Assembly Chapter text (CHAP0001)",https://legiscan.com/VA/bill/HB6002/2024/X1,https://lis.virginia.gov/cgi-bin/legp604.exe?242+sum+HB6002
1882815,2139,HB6003,2,Engrossed,2024-06-28,"Va. Military Survivors and Dependents Education Program & related programs; repeal of modifications.","General appropriation act; repeal of modifications to waiver programs. Removes language in the appropriation act imposing additional requirements on financial aid waivers and stipends for the Virginia Military Survivors and Dependents Education Program and related programs.",164,"Senate Finance and Appropriations",2024-07-01,"Referred to Committee on Finance and Appropriations",https://legiscan.com/VA/bill/HB6003/2024/X1,https://lis.virginia.gov/cgi-bin/legp604.exe?242+sum+HB6003
1883989,2139,HB6004,4,Passed,2024-07-18,"Va. Military Survivors & Dependents Ed. Program & related programs; modifications, surplus revenues.","General appropriation act; designation of additional surplus; repeal of modifications to certain waiver programs. Designates certain additional surplus revenues in the amount of $90 million to offset the impact of financial aid waivers and stipends for the Virginia Military Survivors and Dependents Education Program and related programs and removes language in the appropriation act that imposes additional requirements for such programs.",0,,2024-07-18,"Governor: Acts of Assembly Chapter text (CHAP0004)",https://legiscan.com/VA/bill/HB6004/2024/X1,https://lis.virginia.gov/cgi-bin/legp604.exe?242+sum+HB6004
1877732,2139,HR601,4,Passed,2024-05-13,"Commending Sharon J. Stone.","Commending Sharon J. Stone.",0,,2024-05-13,"Bill text as passed House (HR601ER)",https://legiscan.com/VA/bill/HR601/2024/X1,https://lis.virginia.gov/cgi-bin/legp604.exe?242+sum+HR601
1877737,2139,HR602,4,Passed,2024-05-13,"Commending Lisa Pennycuff, Ed.D.","Commending Lisa Pennycuff, Ed.D.",0,,2024-05-13,"Bill text as passed House (HR602ER)",https://legiscan.com/VA/bill/HR602/2024/X1,https://lis.virginia.gov/cgi-bin/legp604.exe?242+sum+HR602
1877730,2139,HR603,4,Passed,2024-05-13,"Commending Mervin B. Daugherty, Ed.D.","Commending Mervin B. Daugherty, Ed.D.",0,,2024-05-13,"Bill text as passed House (HR603ER)",https://legiscan.com/VA/bill/HR603/2024/X1,https://lis.virginia.gov/cgi-bin/legp604.exe?242+sum+HR603
1877736,2139,HR604,4,Passed,2024-05-13,"Commending the Potomac Senior High School Culinary Department.","Commending the Potomac Senior High School Culinary Department.",0,,2024-05-13,"Bill text as passed House (HR604ER)",https://legiscan.com/VA/bill/HR604/2024/X1,https://lis.virginia.gov/cgi-bin/legp604.exe?242+sum+HR604
1877727,2139,HR605,4,Passed,2024-05-13,"Celebrating the life of David Andrew Rosenberg.","Celebrating the life of David Andrew Rosenberg.",0,,2024-05-13,"Bill text as passed House (HR605ER)",https://legiscan.com/VA/bill/HR605/2024/X1,https://legacylis.virginia.gov/cgi-bin/legp604.exe?242+sum+HR605
1877782,2139,HR606,4,Passed,2024-05-13,"Commending the Reverend Dr. Vernon C. Walton.","Commending the Reverend Dr. Vernon C. Walton.",0,,2024-05-13,"Bill text as passed House (HR606ER)",https://legiscan.com/VA/bill/HR606/2024/X1,https://lis.virginia.gov/cgi-bin/legp604.exe?242+sum+HR606
