bill_id,document_id,document_type,document_size,document_mime,document_desc,url,state_link
1882815,3010365,text,20855,text/html,Introduced,https://legiscan.com/VA/text/HB6003/id/3010365,https://lis.virginia.gov/cgi-bin/legp604.exe?242+ful+HB6003+hil
1883989,3013405,text,43300,text/html,Introduced,https://legiscan.com/VA/text/HB6004/id/3013405,https://lis.virginia.gov/cgi-bin/legp604.exe?242+ful+HB6004+hil
1883989,3014730,text,41890,text/html,Enrolled,https://legiscan.com/VA/text/HB6004/id/3014730,https://lis.virginia.gov/cgi-bin/legp604.exe?242+ful+HB6004ER+hil
1883989,3014837,text,41878,text/html,Chaptered,https://legiscan.com/VA/text/HB6004/id/3014837,https://lis.virginia.gov/cgi-bin/legp604.exe?242+ful+CHAP0004+hil
1877732,2996184,text,2986,text/html,Prefiled,https://legiscan.com/VA/text/HR601/id/2996184,https://lis.virginia.gov/cgi-bin/legp604.exe?242+ful+HR601+hil
1877732,3007853,text,2803,text/html,Enrolled,https://legiscan.com/VA/text/HR601/id/3007853,https://lis.virginia.gov/cgi-bin/legp604.exe?242+ful+HR601ER+hil
1877737,2996187,text,2894,text/html,Prefiled,https://legiscan.com/VA/text/HR602/id/2996187,https://lis.virginia.gov/cgi-bin/legp604.exe?242+ful+HR602+hil
1877737,3007777,text,2726,text/html,Enrolled,https://legiscan.com/VA/text/HR602/id/3007777,https://lis.virginia.gov/cgi-bin/legp604.exe?242+ful+HR602ER+hil
1877730,2996183,text,3712,text/html,Prefiled,https://legiscan.com/VA/text/HR603/id/2996183,https://lis.virginia.gov/cgi-bin/legp604.exe?242+ful+HR603+hil
1877730,3007784,text,3523,text/html,Enrolled,https://legiscan.com/VA/text/HR603/id/3007784,https://lis.virginia.gov/cgi-bin/legp604.exe?242+ful+HR603ER+hil
1877736,2996186,text,2453,text/html,Prefiled,https://legiscan.com/VA/text/HR604/id/2996186,https://lis.virginia.gov/cgi-bin/legp604.exe?242+ful+HR604+hil
1877736,3007779,text,2291,text/html,Enrolled,https://legiscan.com/VA/text/HR604/id/3007779,https://lis.virginia.gov/cgi-bin/legp604.exe?242+ful+HR604ER+hil
1877727,2996181,text,5307,text/html,Prefiled,https://legiscan.com/VA/text/HR605/id/2996181,https://lis.virginia.gov/cgi-bin/legp604.exe?242+ful+HR605+hil
1877727,3007727,text,5055,text/html,Enrolled,https://legiscan.com/VA/text/HR605/id/3007727,https://lis.virginia.gov/cgi-bin/legp604.exe?242+ful+HR605ER+hil
1877782,2996259,text,3376,text/html,Prefiled,https://legiscan.com/VA/text/HR606/id/2996259,https://lis.virginia.gov/cgi-bin/legp604.exe?242+ful+HR606+hil
1877782,3007880,text,3173,text/html,Enrolled,https://legiscan.com/VA/text/HR606/id/3007880,https://lis.virginia.gov/cgi-bin/legp604.exe?242+ful+HR606ER+hil
1877815,2996797,text,2742,text/html,Prefiled,https://legiscan.com/VA/text/HR607/id/2996797,https://lis.virginia.gov/cgi-bin/legp604.exe?242+ful+HR607+hil
1877815,3007870,text,2580,text/html,Enrolled,https://legiscan.com/VA/text/HR607/id/3007870,https://lis.virginia.gov/cgi-bin/legp604.exe?242+ful+HR607ER+hil
1877951,2996549,text,2833,text/html,Prefiled,https://legiscan.com/VA/text/HR608/id/2996549,https://lis.virginia.gov/cgi-bin/legp604.exe?242+ful+HR608+hil
1877951,3007767,text,2658,text/html,Enrolled,https://legiscan.com/VA/text/HR608/id/3007767,https://lis.virginia.gov/cgi-bin/legp604.exe?242+ful+HR608ER+hil
1877750,2996228,text,3312,text/html,Prefiled,https://legiscan.com/VA/text/HR609/id/2996228,https://lis.virginia.gov/cgi-bin/legp604.exe?242+ful+HR609+hil
1877750,3007875,text,3087,text/html,Enrolled,https://legiscan.com/VA/text/HR609/id/3007875,https://lis.virginia.gov/cgi-bin/legp604.exe?242+ful+HR609ER+hil
1877765,2996243,text,2398,text/html,Prefiled,https://legiscan.com/VA/text/HR610/id/2996243,https://lis.virginia.gov/cgi-bin/legp604.exe?242+ful+HR610+hil
1877765,3008845,text,2227,text/html,Enrolled,https://legiscan.com/VA/text/HR610/id/3008845,https://lis.virginia.gov/cgi-bin/legp604.exe?242+ful+HR610ER+hil
1877775,2996252,text,3387,text/html,Prefiled,https://legiscan.com/VA/text/HR611/id/2996252,https://lis.virginia.gov/cgi-bin/legp604.exe?242+ful+HR611+hil
1877775,3008843,text,3192,text/html,Enrolled,https://legiscan.com/VA/text/HR611/id/3008843,https://lis.virginia.gov/cgi-bin/legp604.exe?242+ful+HR611ER+hil
1877812,2996290,text,3722,text/html,Prefiled,https://legiscan.com/VA/text/HR612/id/2996290,https://lis.virginia.gov/cgi-bin/legp604.exe?242+ful+HR612+hil
1877812,3007874,text,3543,text/html,Enrolled,https://legiscan.com/VA/text/HR612/id/3007874,https://lis.virginia.gov/cgi-bin/legp604.exe?242+ful+HR612ER+hil
1877787,2996264,text,3545,text/html,Prefiled,https://legiscan.com/VA/text/HR613/id/2996264,https://lis.virginia.gov/cgi-bin/legp604.exe?242+ful+HR613+hil
1877787,3008167,text,3343,text/html,Enrolled,https://legiscan.com/VA/text/HR613/id/3008167,https://lis.virginia.gov/cgi-bin/legp604.exe?242+ful+HR613ER+hil
1877785,2996262,text,2387,text/html,Prefiled,https://legiscan.com/VA/text/HR614/id/2996262,https://lis.virginia.gov/cgi-bin/legp604.exe?242+ful+HR614+hil
1877785,3009471,text,2232,text/html,Enrolled,https://legiscan.com/VA/text/HR614/id/3009471,https://lis.virginia.gov/cgi-bin/legp604.exe?242+ful+HR614ER+hil
1877909,2996520,text,1564,text/html,Prefiled,https://legiscan.com/VA/text/HR615/id/2996520,https://lis.virginia.gov/cgi-bin/legp604.exe?242+ful+HR615+hil
1877909,3007763,text,1472,text/html,Enrolled,https://legiscan.com/VA/text/HR615/id/3007763,https://lis.virginia.gov/cgi-bin/legp604.exe?242+ful+HR615ER+hil
1877945,2996546,text,1487,text/html,Prefiled,https://legiscan.com/VA/text/HR616/id/2996546,https://lis.virginia.gov/cgi-bin/legp604.exe?242+ful+HR616+hil
1877945,3007773,text,1355,text/html,Enrolled,https://legiscan.com/VA/text/HR616/id/3007773,https://lis.virginia.gov/cgi-bin/legp604.exe?242+ful+HR616ER+hil
1877839,2996471,text,3722,text/html,Prefiled,https://legiscan.com/VA/text/HR617/id/2996471,https://lis.virginia.gov/cgi-bin/legp604.exe?242+ful+HR617+hil
1877839,3007735,text,3518,text/html,Enrolled,https://legiscan.com/VA/text/HR617/id/3007735,https://lis.virginia.gov/cgi-bin/legp604.exe?242+ful+HR617ER+hil
1877808,2996286,text,3023,text/html,Prefiled,https://legiscan.com/VA/text/HR618/id/2996286,https://lis.virginia.gov/cgi-bin/legp604.exe?242+ful+HR618+hil
1877808,3009699,text,2836,text/html,Enrolled,https://legiscan.com/VA/text/HR618/id/3009699,https://lis.virginia.gov/cgi-bin/legp604.exe?242+ful+HR618ER+hil
1877795,2996272,text,3781,text/html,Prefiled,https://legiscan.com/VA/text/HR619/id/2996272,https://lis.virginia.gov/cgi-bin/legp604.exe?242+ful+HR619+hil
1877795,3007897,text,3580,text/html,Enrolled,https://legiscan.com/VA/text/HR619/id/3007897,https://lis.virginia.gov/cgi-bin/legp604.exe?242+ful+HR619ER+hil
1877754,2996232,text,2079,text/html,Prefiled,https://legiscan.com/VA/text/HR620/id/2996232,https://lis.virginia.gov/cgi-bin/legp604.exe?242+ful+HR620+hil
1877754,3008467,text,1933,text/html,Enrolled,https://legiscan.com/VA/text/HR620/id/3008467,https://lis.virginia.gov/cgi-bin/legp604.exe?242+ful+HR620ER+hil
1877986,2996576,text,3345,text/html,Prefiled,https://legiscan.com/VA/text/HR621/id/2996576,https://lis.virginia.gov/cgi-bin/legp604.exe?242+ful+HR621+hil
1877986,3007770,text,3253,text/html,Enrolled,https://legiscan.com/VA/text/HR621/id/3007770,https://lis.virginia.gov/cgi-bin/legp604.exe?242+ful+HR621ER+hil
1877746,2996224,text,2666,text/html,Prefiled,https://legiscan.com/VA/text/HR622/id/2996224,https://lis.virginia.gov/cgi-bin/legp604.exe?242+ful+HR622+hil
1877746,3007890,text,2492,text/html,Enrolled,https://legiscan.com/VA/text/HR622/id/3007890,https://lis.virginia.gov/cgi-bin/legp604.exe?242+ful+HR622ER+hil
1877821,2996298,text,3677,text/html,Prefiled,https://legiscan.com/VA/text/HR623/id/2996298,https://lis.virginia.gov/cgi-bin/legp604.exe?242+ful+HR623+hil
1877821,3009204,text,3441,text/html,Enrolled,https://legiscan.com/VA/text/HR623/id/3009204,https://lis.virginia.gov/cgi-bin/legp604.exe?242+ful+HR623ER+hil
1877777,2996254,text,3844,text/html,Prefiled,https://legiscan.com/VA/text/HR624/id/2996254,https://lis.virginia.gov/cgi-bin/legp604.exe?242+ful+HR624+hil
