bill_id,date,chamber,sequence,action
1877727,2024-05-10,House,1,"Prefiled and laid on Speaker's table; offered 05/13/24 24200049D"
1877727,2024-05-13,House,2,"Engrossed by House"
1877727,2024-05-13,House,3,"Agreed to by House"
1877727,2024-05-13,House,4,"Bill text as passed House (HR605ER)"
1877728,2024-05-11,Senate,1,"Prefiled and ordered printed; offered 05/13/24 24200102D"
1877728,2024-05-11,Senate,2,"Referred to Committee on Finance and Appropriations"
1877728,2024-05-13,Senate,3,"Reported from Finance and Appropriations (14-Y 0-N)"
1877728,2024-05-13,House,4,"Placed on Calendar"
1877728,2024-05-13,Senate,5,"Read first time"
1877728,2024-05-13,House,6,"Read first time"
1877728,2024-05-13,Senate,7,"Rules suspended (40-Y 0-N)"
1877728,2024-05-13,Senate,8,"Second Constitutional reading dispensed"
1877728,2024-05-13,Senate,9,"Rules suspended (40-Y 0-N)"
1877728,2024-05-13,Senate,10,"Third Constitutional reading dispensed"
1877728,2024-05-13,Senate,11,"Passed Senate (39-Y 1-N)"
1877728,2024-05-13,House,12,"Placed on Calendar"
1877728,2024-05-13,House,13,"Read first time"
1877728,2024-05-13,House,14,"Referred to Committee on Appropriations"
1877730,2024-05-09,House,1,"Prefiled and laid on Speaker's table; offered 05/13/24 24200028D"
1877730,2024-05-13,House,2,"Engrossed by House"
1877730,2024-05-13,House,3,"Agreed to by House by voice vote"
1877730,2024-05-13,House,4,"Bill text as passed House (HR603ER)"
1877731,2024-05-11,Senate,1,"Prefiled and ordered printed; offered 05/13/24 24200101D"
1877731,2024-05-11,Senate,2,"Referred to Committee on Finance and Appropriations"
1877731,2024-05-13,Senate,3,"Reported from Finance and Appropriations (14-Y 0-N)"
1877731,2024-05-13,Senate,4,"Read first time"
1877731,2024-05-13,House,5,"Placed on Calendar"
1877731,2024-05-13,Senate,6,"Rules suspended (40-Y 0-N)"
1877731,2024-05-13,Senate,7,"Second Constitutional reading dispensed"
1877731,2024-05-13,House,8,"Read first time"
1877731,2024-05-13,Senate,9,"Rules suspended (40-Y 0-N)"
1877731,2024-05-13,Senate,10,"Third Constitutional reading dispensed"
1877731,2024-05-13,Senate,11,"Passed Senate (39-Y 1-N)"
1877731,2024-05-13,House,12,"Placed on Calendar"
1877731,2024-05-13,House,13,"Read first time"
1877731,2024-05-13,House,14,"Referred to Committee on Appropriations"
1877732,2024-05-09,House,1,"Prefiled and laid on Speaker's table; offered 05/13/24 24200042D"
1877732,2024-05-13,House,2,"Engrossed by House"
1877732,2024-05-13,House,3,"Agreed to by House by voice vote"
1877732,2024-05-13,House,4,"Bill text as passed House (HR601ER)"
1877734,2024-05-11,House,1,"Prefiled and ordered printed; offered 05/13/24 24200099D"
1877734,2024-05-11,House,2,"Referred to Committee on Appropriations"
1877734,2024-05-13,House,3,"Reported from Appropriations (22-Y 0-N)"
1877734,2024-05-13,Senate,4,"Constitutional reading dispensed"
1877734,2024-05-13,House,5,"Read first time"
1877734,2024-05-13,House,6,"Constitutional readings dispensed (99-Y 0-N)"
1877734,2024-05-13,House,7,"VOTE: Adoption (99-Y 0-N)"
1877734,2024-05-13,House,8,"Passed by temporarily"
1877734,2024-05-13,House,9,"Passed House (94-Y 6-N)"
1877734,2024-05-13,House,10,"VOTE: Passage (94-Y 6-N)"
1877734,2024-05-13,Senate,11,"Constitutional reading dispensed"
1877734,2024-05-13,Senate,12,"Referred to Committee on Finance and Appropriations"
1877734,2024-05-13,Senate,13,"Reported from Finance and Appropriations (15-Y 0-N)"
1877734,2024-05-13,Senate,14,"Read second time"
1877734,2024-05-13,Senate,15,"Constitutional reading dispensed (40-Y 0-N)"
1877734,2024-05-13,Senate,16,"Passed Senate (39-Y 1-N)"
1877734,2024-05-13,House,17,Enrolled
1877734,2024-05-13,House,18,"Bill text as passed House and Senate (HB6001ER)"
1877734,2024-05-13,House,19,"Signed by Speaker"
1877734,2024-05-13,Senate,20,"Signed by President"
1877734,2024-05-13,,21,"Governor: Approved by Governor-Chapter 2 (effective 7/1/24)"
1877734,2024-05-13,,22,"Governor: Acts of Assembly Chapter text (CHAP0002)"
1877735,2024-05-11,House,1,"Prefiled and ordered printed; offered 05/13/24 24200100D"
1877735,2024-05-11,House,2,"Referred to Committee on Appropriations"
1877735,2024-05-13,House,3,"Reported from Appropriations (22-Y 0-N)"
1877735,2024-05-13,House,4,"Read first time"
1877735,2024-05-13,House,5,"Constitutional readings dispensed (99-Y 0-N)"
1877735,2024-05-13,House,6,"VOTE: Adoption (99-Y 0-N)"
1877735,2024-05-13,House,7,"Passed House (94-Y 6-N)"
1877735,2024-05-13,House,8,"VOTE: Passage (94-Y 6-N)"
