bill_id,roll_call_id,date,chamber,description,yea,nay,nv,absent,total
1877728,1442454,2024-05-13,Senate,"Senate: Reported from Finance and Appropriations (14-Y 0-N)",14,0,0,0,14
1877728,1442455,2024-05-13,Senate,"Senate: Rules suspended (40-Y 0-N)",40,0,0,0,40
1877728,1442456,2024-05-13,Senate,"Senate: Rules suspended (40-Y 0-N)",40,0,0,0,40
1877728,1442457,2024-05-13,Senate,"Senate: Passed Senate (39-Y 1-N)",39,1,0,0,40
1877731,1442304,2024-05-13,Senate,"Senate: Reported from Finance and Appropriations (14-Y 0-N)",14,0,0,0,14
1877731,1442468,2024-05-13,Senate,"Senate: Rules suspended (40-Y 0-N)",40,0,0,0,40
1877731,1442469,2024-05-13,Senate,"Senate: Rules suspended (40-Y 0-N)",40,0,0,0,40
1877731,1442470,2024-05-13,Senate,"Senate: Passed Senate (39-Y 1-N)",39,1,0,0,40
1882815,1461344,2024-06-28,House,"House: Reported from Appropriations (21-Y 0-N)",21,0,0,1,22
1882815,1461345,2024-06-28,House,"House: VOTE: Adoption (91-Y 0-N)",91,0,0,9,100
1882815,1461346,2024-06-28,House,"House: VOTE: Passage (92-Y 0-N)",92,0,0,8,100
1883905,1462140,2024-07-01,Senate,"Senate: Reported from Finance and Appropriations (10-Y 5-N)",10,5,0,0,15
1883905,1462141,2024-07-01,Senate,"Senate: Suspend 48 Hours (20-Y 17-N) (2/3 voting required)",20,17,0,3,40
1877734,1442303,2024-05-13,House,"House: Reported from Appropriations (22-Y 0-N)",22,0,0,0,22
1877734,1442459,2024-05-13,House,"House: VOTE: Adoption (99-Y 0-N)",99,0,0,1,100
1877734,1442460,2024-05-13,House,"House: VOTE: Passage (94-Y 6-N)",94,6,0,0,100
1877734,1442461,2024-05-13,Senate,"Senate: Reported from Finance and Appropriations (15-Y 0-N)",15,0,0,0,15
1877734,1442462,2024-05-13,Senate,"Senate: Constitutional reading dispensed (40-Y 0-N)",40,0,0,0,40
1877734,1442463,2024-05-13,Senate,"Senate: Passed Senate (39-Y 1-N)",39,1,0,0,40
1877735,1442293,2024-05-13,House,"House: Reported from Appropriations (22-Y 0-N)",22,0,0,0,22
1877735,1442345,2024-05-13,Senate,"Senate: Reported from Finance and Appropriations (15-Y 0-N)",15,0,0,0,15
1877735,1442421,2024-05-13,House,"House: VOTE: Adoption (99-Y 0-N)",99,0,0,1,100
1877735,1442422,2024-05-13,House,"House: VOTE: Passage (94-Y 6-N)",94,6,0,0,100
1877735,1442423,2024-05-13,Senate,"Senate: Constitutional reading dispensed (40-Y 0-N)",40,0,0,0,40
1877735,1442424,2024-05-13,Senate,"Senate: Passed Senate (39-Y 1-N)",39,1,0,0,40
1877755,1442458,2024-05-13,House,"House: VOTE: Adoption (98-Y 0-N 1-A)",98,0,1,1,100
1877834,1444836,2024-05-13,House,"House: VOTE: Election (98-Y 0-N)",98,0,0,2,100
1877836,1444837,2024-05-13,House,"House: VOTE: Election (99-Y 0-N)",99,0,0,1,100
1877848,1442688,2024-05-13,House,"House: VOTE: Adoption (100-Y 0-N)",100,0,0,0,100
1877848,1442689,2024-05-13,House,"House: VOTE: Adoption (95-Y 1-N)",95,1,0,4,100
1877848,1442690,2024-05-13,Senate,"Senate: Agreed to by Senate (40-Y 0-N)",40,0,0,0,40
1877924,1442685,2024-05-13,House,"House: VOTE: Adoption (99-Y 0-N)",99,0,0,1,100
1877924,1442686,2024-05-13,Senate,"Senate: Agreed to by Senate (39-Y 1-N)",39,1,0,0,40
1877973,1442687,2024-05-13,Senate,"Senate: Agreed to by Senate (40-Y 0-N)",40,0,0,0,40
1878014,1442430,2024-05-13,Senate,"Senate: Election by Senate (40-Y 0-N)",40,0,0,0,40
1878026,1442431,2024-05-13,Senate,"Senate: Election by Senate (40-Y 0-N)",40,0,0,0,40
1878052,1442433,2024-05-13,House,"House: VOTE: Election (98-Y 0-N)",98,0,0,2,100
1878079,1442435,2024-05-13,Senate,"Senate: Election by Senate (40-Y 0-N)",40,0,0,0,40
1883985,1463117,2024-07-18,Senate,"Senate: Reported from Finance and Appropriations (12-Y 0-N)",12,0,0,0,12
1883985,1463118,2024-07-18,Senate,"Senate: Constitutional reading dispensed (34-Y 0-N)",34,0,0,6,40
1883985,1463119,2024-07-18,Senate,"Senate: Constitutional reading dispensed (34-Y 0-N)",34,0,0,6,40
1883985,1463120,2024-07-18,Senate,"Senate: Passed Senate (38-Y 0-N)",38,0,0,2,40
1883985,1463121,2024-07-18,House,"House: Reported from Appropriations (19-Y 0-N)",19,0,0,3,22
1883985,1463122,2024-07-18,House,"House: VOTE: Adoption (80-Y 0-N)",80,0,0,20,100
1883985,1463123,2024-07-18,House,"House: VOTE: Passage (81-Y 0-N)",81,0,0,19,100
1883989,1463111,2024-07-18,House,"House: Reported from Appropriations (18-Y 0-N)",18,0,0,4,22
1883989,1463112,2024-07-18,Senate,"Senate: Reported from Finance and Appropriations (14-Y 0-N)",14,0,0,0,14
1883989,1463113,2024-07-18,Senate,"Senate: Constitutional reading dispensed (38-Y 0-N)",38,0,0,2,40
1883989,1463114,2024-07-18,Senate,"Senate: Passed Senate (38-Y 0-N)",38,0,0,2,40
1883989,1463115,2024-07-18,House,"House: VOTE: Adoption (81-Y 0-N)",81,0,0,19,100
1883989,1463116,2024-07-18,House,"House: VOTE: Passage (82-Y 0-N)",82,0,0,18,100
