bill_id,session_id,bill_number,status,status_desc,status_date,title,description,committee_id,committee,last_action_date,last_action,url,state_link
1785700,2113,HB1,5,Vetoed,2024-03-28,"Minimum wage; increases wage to $13.50 per hour effective January 1, 2025.","Minimum wage. Increases the minimum wage from the current rate of $12.00 per hour to $13.50 per hour effective January 1, 2025, and to $15.00 per hour effective January 1, 2026. The bill satisfies a reenactment clause included in Chapters 1204 and 1242 of the Acts of Assembly of 2020.",0,,2024-04-17,"House sustained Governor's veto",https://legiscan.com/VA/bill/HB1/2024,https://lis.virginia.gov/cgi-bin/legp604.exe?241+sum+HB1
1785447,2113,HB2,5,Vetoed,2024-03-26,"Assault firearms & certain ammunition, etc.; purchase, possession, sale, transfer, etc., prohibited.","Purchase, sale, transfer, etc., of assault firearms and certain ammunition feeding devices prohibited; penalty. Creates a Class 1 misdemeanor for any person who imports, sells, manufactures, purchases, or transfers an assault firearm, as that term is defined in the bill, and prohibits a person who has been convicted of such violation from purchasing, possessing, or transporting a firearm for a period of three years from the date of conviction. The bill provides that an assault firearm does not include any firearm that is an antique firearm, has been rendered permanently inoperable, is manually operated by bolt, pump, lever, or slide action, or was manufactured before July 1, 2024. The bill also prohibits the sale of a large capacity ammunition feeding device, as that term is defined in the bill. The bill provides that any person who willfully and intentionally (i) sells an assault firearm to another person or (ii) purchases an assault firearm from another person is guilty of a Class 1 misdemeanor and that any person who imports, sells, barters, or transfers a large capacity ammunition feeding device is guilty of a Class 1 misdemeanor. The bill also makes it a Class 1 misdemeanor for any person younger than 21 years of age to import, sell, manufacture, purchase, possess, transport, or transfer an assault firearm regardless of the date of manufacture of such assault firearm.",0,,2024-04-17,"House sustained Governor's veto",https://legiscan.com/VA/bill/HB2/2024,https://lis.virginia.gov/cgi-bin/legp604.exe?241+sum+HB2
1785578,2113,HB3,1,Introduced,2023-11-20,"State Air Pollution Control Board; motor vehicle emissions standards.","State Air Pollution Control Board; motor vehicle emissions standards. Repeals the requirement that the State Air Pollution Control Board implement a low-emissions and zero-emissions vehicle program for motor vehicles with a model year of 2025 and later. The bill prohibits the Board from adopting or enforcing any model year standards related to control of emissions from new motor vehicles or new motor vehicle engines, including low-emission vehicle and zero-emission vehicle standards pursuant to the federal Clean Air Act and prohibits the Commonwealth from requiring any new motor vehicle or new motor vehicle engine to be certified as compliant with model year standards related to the control of emissions adopted by California for which a waiver has been granted pursuant to the federal Clean Air Act.",4178,"House Labor and Commerce",2024-02-13,"Left in Labor and Commerce",https://legiscan.com/VA/bill/HB3/2024,https://lis.virginia.gov/cgi-bin/legp604.exe?241+sum+HB3
1785663,2113,HB4,5,Vetoed,2024-04-05,"Plastic bag tax; distribution to towns.","Plastic bag tax; distribution to towns. Provides that any town located within a county that has imposed a disposable plastic bag tax shall receive a distribution of revenues collected by the county based on the local sales tax distribution formula for appropriations to towns. The bill requires that towns use such revenues for the same purposes allowable for a county or city.",0,,2024-04-17,"House sustained Governor's veto",https://legiscan.com/VA/bill/HB4/2024,https://lis.virginia.gov/cgi-bin/legp604.exe?241+sum+HB4
1785638,2113,HB5,4,Passed,2024-04-02,"Town of Leesburg Parking Authority; created.","Town of Leesburg Parking Authority. Authorizes the creation of the Town of Leesburg Parking Authority. The bill grants to the Authority various powers, including the authority to construct, operate, and lease parking facilities, contract with outside entities, issue revenue bonds and revenue refunding bonds, and acquire property. The bill also exempts the Authority from taxation.",0,,2024-04-02,"Governor: Acts of Assembly Chapter text (CHAP0265)",https://legiscan.com/VA/bill/HB5/2024,https://lis.virginia.gov/cgi-bin/legp604.exe?241+sum+HB5
1785434,2113,HB6,1,Introduced,2023-11-30,"Eastern Daylight Time; Commonwealth shall observe year-round upon enactment by Congress, etc.","Time zone of the Commonwealth. Provides that the Commonwealth shall observe Eastern Daylight Time (Eastern Standard Time, advanced one hour) year-round upon the enactment by Congress of a law allowing states to observe Eastern Daylight Time year-round.",157,"House Rules",2024-02-13,"Left in Rules",https://legiscan.com/VA/bill/HB6/2024,https://lis.virginia.gov/cgi-bin/legp604.exe?241+sum+HB6
1785734,2113,HB7,1,Introduced,2023-11-30,"State Air Pollution Control Board; regulations, low-emissions and zero-emissions vehicle standards.","State Air Pollution Control Board; regulations; low-emissions and zero-emissions vehicle standards. Repeals the State Air Pollution Control Board's authority to implement low-emissions and zero-emissions vehicle standards that apply for vehicles with a model year of 2025 and later.",146,"House Agriculture, Chesapeake and Natural Resources",2024-02-13,"Left in Agriculture, Chesapeake and Natural Resources",https://legiscan.com/VA/bill/HB7/2024,https://lis.virginia.gov/cgi-bin/legp604.exe?241+sum+HB7
1785841,2113,HB8,1,Introduced,2023-12-01,"Medical Ethics Defense Act; established.","Medical Ethics Defense Act established. Establishes the right of a medical practitioner, health care institution, or health care payer not to participate in or pay for any medical procedure or service that violates such medical practitioner's, health care institution's, or health care payer's conscience, as those terms and conditions are defined in the bill. The bill provides protections for medical practitioners who disclose violations of the bill or report violations of laws or ethical guidelines for the safe provision of any medical procedure or service. The bill also provides a private right of action for any party harmed by violations of the bill.",4915,"House Health and Human Services",2024-02-13,"Left in Health and Human Services",https://legiscan.com/VA/bill/HB8/2024,https://lis.virginia.gov/cgi-bin/legp604.exe?241+sum+HB8
1785996,2113,HB9,1,Introduced,2023-12-04,"Animal control officers; additional training.","Animal control officers; additional training. Increases the number of hours of required additional training in animal control and protection from 15 to 24 every three years for all animal control officers and deputy animal control officers employed by a locality.",146,"House Agriculture, Chesapeake and Natural Resources",2024-02-07,"Continued to 2025 in Agriculture, Chesapeake and Natural Resources by voice vote",https://legiscan.com/VA/bill/HB9/2024,https://lis.virginia.gov/cgi-bin/legp604.exe?241+sum+HB9
1789561,2113,HB10,1,Introduced,2023-12-06,"High school graduation; requires passing score on select questions from U.S. Naturalization Test.","High school graduation requirements; passing score on select questions from the U.S. Naturalization Test. Requires the Board of Education, in establishing high school graduation requirements, to require, except in the case of a high school student whose individualized education program indicates otherwise, each high school student to take and correctly answer at least 70 percent of the questions on a test composed of at least 50 but not more than 60 of the questions on the civics portion of the U.S. Naturalization Test in order to graduate high school with a standard or advanced studies diploma, provided that such student may take such test at any time during grades nine through 12 and as many times during such period as necessary to achieve the minimum 70 percent passing score.",0,,2024-01-24,"Stricken from docket by Education (21-Y 0-N)",https://legiscan.com/VA/bill/HB10/2024,https://lis.virginia.gov/cgi-bin/legp604.exe?241+sum+HB10
1789603,2113,HB11,1,Introduced,2023-12-06,"Knives; carrying as concealed weapons.","Carrying concealed weapons; knives. Clarifies the types of knives that are prohibited from being carried in a concealed manner.",0,,2024-01-19,"Tabled in Public Safety (12-Y 9-N)",https://legiscan.com/VA/bill/HB11/2024,https://lis.virginia.gov/cgi-bin/legp604.exe?241+sum+HB11
1790977,2113,HB12,1,Introduced,2023-12-07,"Handguns; firearm locking device required for sale or transfer, child safety warning required.","Firearm locking device required for sale or transfer of handguns; child safety warning required; penalty. Makes it a Class 1 misdemeanor for any licensed manufacturer, licensed importer, or licensed dealer to sell, deliver, or transfer any handgun to any person, other than a licensed manufacturer, licensed importer, or licensed dealer, unless the transferee is provided with a locking device for such handgun and the handgun is accompanied by a warning, in conspicuous and legible type in capital letters printed on a label affixed to the gun and on a separate sheet of paper included within the packaging enclosing the handgun, that handguns should be locked and kept away from children and that there may be civil and criminal liability for failing to do so. The bill provides exceptions for law-enforcement and governmental agencies.",0,,2024-01-26,"Incorporated by Public Safety ",https://legiscan.com/VA/bill/HB12/2024,https://lis.virginia.gov/cgi-bin/legp604.exe?241+sum+HB12
1790937,2113,HB13,1,Introduced,2023-12-07,"High school graduation; requires passing score on select questions from U.S. Naturalization, etc.","High school graduation requirements; passing score on select questions from U.S. Naturalization Test. Requires the Board of Education, in establishing high school graduation requirements, to require, except in the case of a high school student whose individualized education program indicates otherwise, each high school student to take and correctly answer at least 70 percent of the questions on a test composed of at least 25 but not more than 50 of the questions on the civics portion of the U.S. Naturalization Test in order to graduate high school with a standard or advanced studies diploma, provided that such student may take such test at any time during grades nine through 12 and as many times during such period as necessary to achieve the minimum 70 percent passing score.",151,"House Education",2024-02-13,"Left in Education",https://legiscan.com/VA/bill/HB13/2024,https://lis.virginia.gov/cgi-bin/legp604.exe?241+sum+HB13
1791149,2113,HB14,4,Passed,2024-03-28,"Unemployment compensation; employer's failure to respond to requests for information, etc.","Unemployment compensation; employer failure to respond to requests for information; claim determination; notice requirements. Provides that an employer's account shall not be relieved of charges relating to an erroneous payment if the Virginia Employment Commission determines that (i) the employer has failed to respond timely or adequately to a written request for information related to the claim and (ii) the employer has established a pattern of failing to respond timely or adequately to such requests, as described in the bill. The bill requires the Commission to provide written notice for each instance of untimely or inadequate employer response to such requests. The bill provides that upon the Commission's third determination, and for each subsequent determination, within the applicable review period that an employer failed to respond timely or adequately to such a request, the employer shall be considered to have waived all rights in connection with the claim, including participation and appeal rights. The bill requires a deputy examining a claim to provide the reasoning behind the decision, as described in the bill, and a short statement of case-specific facts material to the determination together with any notice of determination upon a claim. The provisions of the bill have a delayed effective date of July 1, 2025. As introduced, this bill was a recommendation of the Commission on Unemployment Compensation.",0,,2024-03-28,"Governor: Acts of Assembly Chapter text (CHAP0165)",https://legiscan.com/VA/bill/HB14/2024,https://lis.virginia.gov/cgi-bin/legp604.exe?241+sum+HB14
1791254,2113,HB15,4,Passed,2024-03-14,"Warning light units, certain; increases number of units person may equip on one vehicle, etc.","Certain warning light units. Increases from two to four the number of flashing or steady-burning red or red and white combination warning light units with which a member of a fire department, volunteer fire company, or volunteer emergency medical services agency and any police chaplain may equip one vehicle owned by him.",0,,2024-03-14,"Governor: Acts of Assembly Chapter text (CHAP0076)",https://legiscan.com/VA/bill/HB15/2024,https://lis.virginia.gov/cgi-bin/legp604.exe?241+sum+HB15
1791335,2113,HB16,1,Introduced,2023-12-09,"Firearm or explosive material; carrying within Capitol Square and the surrounding area, etc.","Carrying a firearm or explosive material within Capitol Square and the surrounding area, into a building owned or leased by the Commonwealth, etc.; exception for concealed handgun permit holders. Adds an exception for persons who have been issued a valid concealed handgun permit by the Commonwealth to the prohibition of carrying a firearm within Capitol Square and the surrounding area, any building owned or leased by the Commonwealth or any agency thereof, or any office where employees of the Commonwealth or any agency thereof are regularly present for the purpose of performing their official duties.",0,,2024-01-19,"Passed by indefinitely in Public Safety (12-Y 9-N)",https://legiscan.com/VA/bill/HB16/2024,https://lis.virginia.gov/cgi-bin/legp604.exe?241+sum+HB16
1791330,2113,HB17,1,Introduced,2023-12-09,"Students who receive home instruction; participation in interscholastic programs, fees, etc.","Students who receive home instruction; participation in interscholastic programs. Prohibits public schools from joining an organization governing interscholastic programs that does not deem eligible for participation a student who (i) receives home instruction; (ii) has demonstrated evidence of progress for two consecutive academic years; (iii) is in compliance with immunization requirements; (iv) is entitled to free tuition in a public school; (v) has not reached the age of 19 by August 1 of the current academic year; (vi) is an amateur who receives no compensation but participates solely for the educational, physical, mental, and social benefits of the activity; (vii) complies with all disciplinary rules and is subject to all codes of conduct applicable to all public high school athletes; and (viii) complies with all other rules governing awards, all-star games, maximum consecutive semesters of high school enrollment, parental consents, physical examinations, and transfers applicable to all high school athletes. The bill provides that no local school board is required to establish a policy to permit students who receive home instruction to participate in interscholastic programs. The bill permits reasonable fees to be charged to students who receive home instruction to cover the costs of participation in such interscholastic programs, including the costs of additional insurance, uniforms, and equipment. The bill has an expiration date of July 1, 2029.",151,"House Education",2024-02-13,"Left in Education",https://legiscan.com/VA/bill/HB17/2024,https://lis.virginia.gov/cgi-bin/legp604.exe?241+sum+HB17
1791324,2113,HB18,4,Passed,2024-04-02,"Hate crimes and discrimination; ethnic animosity, nondiscrimination in employment, etc., penalties.","Hate crimes and discrimination; ethnic animosity; penalties. Provides that it is the policy of the Commonwealth to safeguard all individuals within the Commonwealth from unlawful discrimination in employment and in places of public accommodation because of such individual's ethnic origin and prohibits such discrimination. The bill also adds victims who are intentionally selected because of their ethnic origin to the categories of victims whose intentional selection for a hate crime involving assault, assault and battery, or trespass for the purpose of damaging another's property results in a higher criminal penalty for the offense. The bill also provides that no provider or user of an interactive computer service on the Internet shall be liable for any action voluntarily taken by it in good faith to restrict access to material that the provider or user considers to be intended to incite hatred on the basis of ethnic origin.",0,,2024-04-02,"Governor: Acts of Assembly Chapter text (CHAP0266)",https://legiscan.com/VA/bill/HB18/2024,https://lis.virginia.gov/cgi-bin/legp604.exe?241+sum+HB18
1791557,2113,HB19,1,Introduced,2023-12-12,"Atlantic menhaden; VIMS, et al., to study ecology, fishery impacts, and economic importance.","Virginia Institute of Marine Science, Marine Resources Commission; study of ecology, fishery impacts, and economic importance of Atlantic menhaden; report. Directs the Virginia Institute of Marine Science (VIMS) in collaboration with the Marine Resources Commission and certain stakeholders, as provided in the bill, to conduct a three-year study of the ecology, fishery impacts, and economic importance of the Atlantic menhaden population in the waters of the Commonwealth. The bill requires VIMS to provide a report on its findings and recommendations to the Chairmen of the Senate Committee on Agriculture, Conservation and Natural Resources and the House Committee on Agriculture, Chesapeake and Natural Resources and the Secretary of Natural and Historic Resources no later than October 1, 2027.",157,"House Rules",2024-02-01,"Continued to 2025 in Rules by voice vote",https://legiscan.com/VA/bill/HB19/2024,https://lis.virginia.gov/cgi-bin/legp604.exe?241+sum+HB19
1792054,2113,HB20,1,Introduced,2023-12-13,"Photo speed monitoring devices; location.","Photo speed monitoring devices; location. Authorizes the governing body of any county, city, or town to provide by ordinance for the placement and operation of photo speed monitoring devices in any location deemed necessary by the locality for the purposes of recording violations resulting from the operation of a vehicle in excess of the speed limit. The bill provides the same requirements for such devices, information collected from such devices, and any enforcement actions resulting from information collected from such devices as current law applies to the use of such devices in school crossing zones and highway work zones. The bill requires that two signs, rather than one, be placed warning of such device if the device is placed somewhere other than a school crossing zone or highway work zone.",159,"House Transportation",2024-02-06,"Continued to 2025 in Transportation by voice vote",https://legiscan.com/VA/bill/HB20/2024,https://lis.virginia.gov/cgi-bin/legp604.exe?241+sum+HB20
1792043,2113,HB21,1,Introduced,2023-12-13,"School crossing zones; expands definition of zones to include areas surrounding schools, etc.","School crossing zones. Expands the definition of ""school crossing zone"" to include areas surrounding schools where the presence of students reasonably requires a special warning to motorists and provides that the term ""school"" includes public institutions of higher education and nonprofit private institutions of higher education. Currently, the definition of ""school crossing zone"" includes only areas surrounding schools where the presence of children requires such warning. Existing provisions of law allowing photo speed monitoring devices to be installed in school crossing zones will apply to any location that meets the expanded definition.",0,,2024-02-06,"Incorporated by Transportation ",https://legiscan.com/VA/bill/HB21/2024,https://lis.virginia.gov/cgi-bin/legp604.exe?241+sum+HB21
1792049,2113,HB22,4,Passed,2024-03-26,"Auto sears and trigger activators; prohibition on manufacture, importation, sale, etc., penalty.","Manufacture, importation, sale, etc., of auto sears; prohibition; penalty. Prohibits the manufacture, importation, sale or offer to sell, possession, transfer, or transportation of an auto sear, defined in the bill as a device, other than a trigger activator, for use in converting a semi-automatic firearm to shoot automatically more than one shot, without manual reloading, by a single function of the trigger. A violation is punishable as a Class 6 felony. The bill also provides for the forfeiture of any auto sear concealed, possessed, transported, or carried in violation of the prohibition.",0,,2024-03-26,"Governor: Acts of Assembly Chapter text (CHAP0163)",https://legiscan.com/VA/bill/HB22/2024,https://lis.virginia.gov/cgi-bin/legp604.exe?241+sum+HB22
1792409,2113,HB23,1,Introduced,2023-12-14,"Weapons; possession or transportation into facility that provides mental health services, etc.","Weapons; possession or transportation; facility that provides mental health services or developmental services; penalty. Makes it a Class 1 misdemeanor for any person to possess in or transport into any facility that provides mental health services or developmental services in the Commonwealth, including a hospital or an emergency department or other facility rendering emergency medical care, any (i) firearm or other weapon designed or intended to propel a missile or projectile of any kind; (ii) knife, except a pocket knife having a folding metal blade of less than three inches; or (iii) other dangerous weapon, including explosives and stun weapons. The bill provides that any such firearm, knife, explosive, or weapon is subject to seizure by a law-enforcement officer and specifies exceptions to the prohibition.  Weapons; possession or transportation; facility that provides mental health services or developmental services; penalty. Makes it a Class 1 misdemeanor for any person to possess in or transport into any facility that provides mental health services or developmental services in the Commonwealth, including a hospital or an emergency department or other facility rendering emergency medical care, any (i) firearm or other weapon designed or intended to propel a missile or projectile of any kind; (ii) knife, except a pocket knife having a folding metal blade of less than three inches; or (iii) other dangerous weapon, including explosives and stun weapons. The bill provides that any such firearm, knife, explosive, or weapon is subject to seizure by a law-enforcement officer and specifies exceptions to the prohibition.",0,,2024-02-02,"Incorporated by Public Safety ",https://legiscan.com/VA/bill/HB23/2024,https://lis.virginia.gov/cgi-bin/legp604.exe?241+sum+HB23
1792479,2113,HB24,4,Passed,2024-03-20,"Amber warning lights; flashing lights on certain fox hunting vehicles.","Amber warning lights; certain hunting vehicles. Authorizes road whips, defined in the bill, who are operating vehicles during certain fox hunts to display flashing amber warning lights when such vehicles are not in motion for the purpose of warning other vehicles of such hunt happening in the area. The bill requires such vehicles to also display a sign reading ""Horse Crossing With Rider.""",0,,2024-03-20,"Governor: Acts of Assembly Chapter text (CHAP0095)",https://legiscan.com/VA/bill/HB24/2024,https://lis.virginia.gov/cgi-bin/legp604.exe?241+sum+HB24
1793685,2113,HB25,4,Passed,2024-04-08,"Retail Sales and Use Tax; establishes an annual tax holiday that takes place in August.","Annual retail sales and use tax holiday. Establishes an annual retail sales and use tax holiday that takes place on the first full weekend in August beginning on July 1, 2025, through July 1, 2030. During such weekend, state retail sales and use tax will not apply to certain (i) school supplies, (ii) clothing and footwear, (iii) qualified products designated as Energy Star or WaterSense, (iv) portable generators, or (v) hurricane preparedness equipment.",0,,2024-04-08,"Governor: Acts of Assembly Chapter text (CHAP0628)",https://legiscan.com/VA/bill/HB25/2024,https://lis.virginia.gov/cgi-bin/legp604.exe?241+sum+HB25
1793708,2113,HB26,5,Vetoed,2024-04-08,"Voter identification; accepted forms of identification, private entities licensed or certified.","Voter identification; accepted forms of identification; private entities licensed or certified by certain state agencies. Adds to the list of accepted forms of identification for purposes of voting a valid identification card that contains a photograph of the voter and is issued by any private entity that is licensed or certified, in whole or in part, by the Department of Health, Department of Social Services, Department of Medical Assistance Services, or Department of Behavioral Health and Developmental Services.",0,,2024-04-17,"House sustained Governor's veto",https://legiscan.com/VA/bill/HB26/2024,https://lis.virginia.gov/cgi-bin/legp604.exe?241+sum+HB26
1793711,2113,HB27,4,Passed,2024-04-08,"Kinship foster care; placement of child with foster parent.","Kinship foster care; alternative living arrangements; Parental Child Safety Placement Program established. Establishes the Parental Child Safety Placement Program to promote and support placements of children with relatives by local boards of social services in order to avoid foster care. The bill establishes the requirements for a parental child safety placement agreement, the procedure for assessing a proposed caregiver, and the process for terminating the placement.",0,,2024-04-08,"Governor: Acts of Assembly Chapter text (CHAP0629)",https://legiscan.com/VA/bill/HB27/2024,https://lis.virginia.gov/cgi-bin/legp604.exe?241+sum+HB27
1793743,2113,HB28,1,Introduced,2023-12-18,"Fossil fuel projects moratorium; transitioning energy workers, environmental justice protections.","Fossil fuel projects moratorium; transitioning energy workers; environmental justice protections. Establishes a moratorium, effective January 1, 2025, on any approval by any state agency or political subdivision required for (i) electric generating facilities that generate fossil fuel energy through the combustion or use of a fossil fuel resource, (ii) import or export terminals for fossil fuel resources, (iii) modification of an import or export terminal for a fossil fuel resource, (iv) gathering lines or pipelines for the transport of any fossil fuel resource that requires the use of public land or eminent domain on private property, (v) modification of such gathering lines or pipelines, (vi) refineries of a fossil fuel resource, (vii) facilities that change the physical state of fossil fuels for the purposes of transporting such fuels, and (viii) exploration for any type of fossil fuel, unless preempted by applicable federal law. The measure requires the establishment of job training programs and energy worker protections, transitional assistance for workers in the fossil fuel industry and affected communities, and environmental justice protections.",157,"House Rules",2024-02-13,"Left in Rules",https://legiscan.com/VA/bill/HB28/2024,https://lis.virginia.gov/cgi-bin/legp604.exe?241+sum+HB28
1794021,2113,HB29,3,Enrolled,2024-03-25,"Budget Bill.","Budget Bill. Amends Chapter 2 of the Acts of Assembly of 2022, Special Session I, as amended by Chapter 769 of the Acts of Assembly of 2023, as further amended by Chapter 1 of the Acts of Assembly of 2023, Special Session I,",0,,2024-04-17,"Failed to pass",https://legiscan.com/VA/bill/HB29/2024,https://lis.virginia.gov/cgi-bin/legp604.exe?241+sum+HB29
1794034,2113,HB30,3,Enrolled,2024-03-25,"Budget Bill.","Budget Bill. Provides for all appropriations of the Budget submitted by the Governor of Virginia in accordance with the provisions of § 2.2-1509 of the Code of Virginia, and provides a portion of revenues for the two years ending respectively on the thirtieth day of June 2025 and the thirtieth day of June 2026.",0,,2024-04-17,"Failed to pass",https://legiscan.com/VA/bill/HB30/2024,https://lis.virginia.gov/cgi-bin/legp604.exe?241+sum+HB30
1793752,2113,HB31,1,Introduced,2023-12-18,"Motor vehicle safety inspection approval sticker; persons on active duty.","Motor vehicle safety inspection approval sticker; persons on active duty. Authorizes motor vehicles owned and operated by persons on active duty with the United States Armed Forces stationed outside the Commonwealth at the time the inspection expires to be operated on the highways of the Commonwealth while such persons are on leave. Existing law only authorizes the operation of any such vehicle by active duty Virginia residents when such vehicle displays a valid inspection sticker issued by another state.",159,"House Transportation",2024-02-13,"Left in Transportation",https://legiscan.com/VA/bill/HB31/2024,https://lis.virginia.gov/cgi-bin/legp604.exe?241+sum+HB31
