bill_id,document_id,document_type,document_size,document_mime,document_desc,url,state_link
1785700,2852490,text,4063,text/html,Prefiled,https://legiscan.com/VA/text/HB1/id/2852490,https://lis.virginia.gov/cgi-bin/legp604.exe?241+ful+HB1+hil
1785700,2943271,text,3763,text/html,Enrolled,https://legiscan.com/VA/text/HB1/id/2943271,https://lis.virginia.gov/cgi-bin/legp604.exe?241+ful+HB1ER+hil
1785447,2852302,text,73160,text/html,Prefiled,https://legiscan.com/VA/text/HB2/id/2852302,https://lis.virginia.gov/cgi-bin/legp604.exe?241+ful+HB2+hil
1785447,2907131,text,71421,text/html,"Comm Sub",https://legiscan.com/VA/text/HB2/id/2907131,https://lis.virginia.gov/cgi-bin/legp604.exe?241+ful+HB2H1+hil
1785447,2935798,text,72293,text/html,"Comm Sub",https://legiscan.com/VA/text/HB2/id/2935798,https://lis.virginia.gov/cgi-bin/legp604.exe?241+ful+HB2S1+hil
1785447,2953230,text,72124,text/html,Enrolled,https://legiscan.com/VA/text/HB2/id/2953230,https://lis.virginia.gov/cgi-bin/legp604.exe?241+ful+HB2ER+hil
1785578,2852400,text,8042,text/html,Prefiled,https://legiscan.com/VA/text/HB3/id/2852400,https://lis.virginia.gov/cgi-bin/legp604.exe?241+ful+HB3+hil
1785663,2852462,text,2895,text/html,Prefiled,https://legiscan.com/VA/text/HB4/id/2852462,https://lis.virginia.gov/cgi-bin/legp604.exe?241+ful+HB4+hil
1785663,2950162,text,2613,text/html,Enrolled,https://legiscan.com/VA/text/HB4/id/2950162,https://lis.virginia.gov/cgi-bin/legp604.exe?241+ful+HB4ER+hil
1785638,2852445,text,28387,text/html,Prefiled,https://legiscan.com/VA/text/HB5/id/2852445,https://lis.virginia.gov/cgi-bin/legp604.exe?241+ful+HB5+hil
1785638,2942126,text,27293,text/html,Enrolled,https://legiscan.com/VA/text/HB5/id/2942126,https://lis.virginia.gov/cgi-bin/legp604.exe?241+ful+HB5ER+hil
1785638,2982295,text,27287,text/html,Chaptered,https://legiscan.com/VA/text/HB5/id/2982295,https://lis.virginia.gov/cgi-bin/legp604.exe?241+ful+CHAP0265+hil
1785434,2852290,text,2885,text/html,Prefiled,https://legiscan.com/VA/text/HB6/id/2852290,https://lis.virginia.gov/cgi-bin/legp604.exe?241+ful+HB6+hil
1785734,2852519,text,7159,text/html,Prefiled,https://legiscan.com/VA/text/HB7/id/2852519,https://lis.virginia.gov/cgi-bin/legp604.exe?241+ful+HB7+hil
1785841,2852651,text,16858,text/html,Prefiled,https://legiscan.com/VA/text/HB8/id/2852651,https://lis.virginia.gov/cgi-bin/legp604.exe?241+ful+HB8+hil
1785996,2853026,text,3475,text/html,Prefiled,https://legiscan.com/VA/text/HB9/id/2853026,https://lis.virginia.gov/cgi-bin/legp604.exe?241+ful+HB9+hil
1789561,2860804,text,19894,text/html,Prefiled,https://legiscan.com/VA/text/HB10/id/2860804,https://lis.virginia.gov/cgi-bin/legp604.exe?241+ful+HB10+hil
1789603,2860854,text,6038,text/html,Prefiled,https://legiscan.com/VA/text/HB11/id/2860854,https://lis.virginia.gov/cgi-bin/legp604.exe?241+ful+HB11+hil
1790977,2862080,text,3253,text/html,Prefiled,https://legiscan.com/VA/text/HB12/id/2862080,https://lis.virginia.gov/cgi-bin/legp604.exe?241+ful+HB12+hil
1790937,2862057,text,19875,text/html,Prefiled,https://legiscan.com/VA/text/HB13/id/2862057,https://lis.virginia.gov/cgi-bin/legp604.exe?241+ful+HB13+hil
1791149,2862213,text,18727,text/html,Prefiled,https://legiscan.com/VA/text/HB14/id/2862213,https://lis.virginia.gov/cgi-bin/legp604.exe?241+ful+HB14+hil
1791149,2908823,text,19020,text/html,"Comm Sub",https://legiscan.com/VA/text/HB14/id/2908823,https://lis.virginia.gov/cgi-bin/legp604.exe?241+ful+HB14H1+hil
1791149,2919921,text,19327,text/html,"Comm Sub",https://legiscan.com/VA/text/HB14/id/2919921,https://lis.virginia.gov/cgi-bin/legp604.exe?241+ful+HB14H2+hil
1791149,2942136,text,19346,text/html,"Comm Sub",https://legiscan.com/VA/text/HB14/id/2942136,https://lis.virginia.gov/cgi-bin/legp604.exe?241+ful+HB14S1+hil
1791149,2953248,text,19349,text/html,Enrolled,https://legiscan.com/VA/text/HB14/id/2953248,https://lis.virginia.gov/cgi-bin/legp604.exe?241+ful+HB14ER+hil
1791149,2974744,text,19344,text/html,Chaptered,https://legiscan.com/VA/text/HB14/id/2974744,https://lis.virginia.gov/cgi-bin/legp604.exe?241+ful+CHAP0165+hil
1791254,2862334,text,1822,text/html,Prefiled,https://legiscan.com/VA/text/HB15/id/2862334,https://lis.virginia.gov/cgi-bin/legp604.exe?241+ful+HB15+hil
1791254,2940481,text,1587,text/html,Enrolled,https://legiscan.com/VA/text/HB15/id/2940481,https://lis.virginia.gov/cgi-bin/legp604.exe?241+ful+HB15ER+hil
1791254,2971852,text,1581,text/html,Chaptered,https://legiscan.com/VA/text/HB15/id/2971852,https://lis.virginia.gov/cgi-bin/legp604.exe?241+ful+CHAP0076+hil
1791335,2862559,text,6003,text/html,Prefiled,https://legiscan.com/VA/text/HB16/id/2862559,https://lis.virginia.gov/cgi-bin/legp604.exe?241+ful+HB16+hil
1791330,2862554,text,3527,text/html,Prefiled,https://legiscan.com/VA/text/HB17/id/2862554,https://lis.virginia.gov/cgi-bin/legp604.exe?241+ful+HB17+hil
