people_id,name,first_name,middle_name,last_name,suffix,nickname,party_id,party,role_id,role,district,followthemoney_eid,votesmart_id,opensecrets_id,ballotpedia,knowwho_pid,committee_id
673,"David Bulova",David,L.,Bulova,,,1,D,1,Rep,HD-037,5839868,57143,,David_Bulova,241241,0
683,"Adam Ebbin",Adam,P.,Ebbin,,,1,D,2,Sen,SD-030,6410921,50868,,Adam_Ebbin,221587,0
689,"Todd Gilbert","C. Todd",,Gilbert,,Todd,2,R,1,Rep,HD-015,5950406,59235,,C._Todd_Gilbert_(Virginia),241233,0
706,"Terry Kilgore",Terry,G.,Kilgore,,,2,R,1,Rep,HD-001,6140983,5165,,Terry_Kilgore,199423,0
712,"Dave Marsden",Dave,W.,Marsden,,,1,D,2,Sen,SD-037,6467010,58666,,Dave_Marsden,241244,0
713,"Daniel Marshall",Daniel,W.,Marshall,III,Danny,2,R,1,Rep,HD-014,5941605,50841,,Danny_Marshall_III,209950,0
731,"Robert Orrock",Robert,D.,Orrock,Sr.,Bobby,2,R,1,Rep,HD-054,5818609,5177,,Bobby_Orrock,199476,0
748,"Mark Sickles",Mark,D.,Sickles,,,1,D,1,Rep,HD-043,983993,50781,,Mark_Sickles,220485,0
756,"Jeion Ward",Jeion,A.,Ward,,,1,D,1,Rep,HD-092,6411063,50921,,Jeion_Ward,219778,0
758,"Lee Ware",Lee,,Ware,Jr.,,2,R,1,Rep,HD-065,6572453,15440,,Lee_Ware,199487,0
759,"Vivian Watts",Vivian,E.,Watts,,,1,D,1,Rep,HD-039,13007329,8227,,Vivian_Watts,199461,0
760,"Thomas Wright",Thomas,,Wright,Jr.,Tommy,2,R,1,Rep,HD-061,6351657,25800,,Tommy_Wright_(Virginia),205712,0
765,"Creigh Deeds",Creigh,,Deeds,,,1,D,2,Sen,SD-025,5704026,5140,,Creigh_Deeds,199440,0
772,"Mamie Locke",Mamie,E.,Locke,,,1,D,2,Sen,SD-002,6410995,50935,,Mamie_Locke,219691,0
773,"Louise Lucas",Louise,,Lucas,,,1,D,2,Sen,SD-018,5704336,5105,,Louise_Lucas,199400,0
776,"Ryan McDougle",Ryan,T.,McDougle,,,2,R,2,Sen,SD-004,13007393,50924,,Ryan_McDougle,209965,0
783,"Mark Obenshain",Mark,D.,Obenshain,,,2,R,2,Sen,SD-026,5883443,50954,,Mark_Obenshain,219692,0
789,"Frank Ruff",Frank,M.,Ruff,Jr.,,2,R,2,Sen,SD-015,6571545,5188,,Frank_Ruff,199483,0
794,"Richard Stuart",Richard,H.,Stuart,,,2,R,2,Sen,SD-028,6136944,90324,,"Richard_Stuart,_Virginia_Senator",260391,0
892,"Luke Torian",Luke,E.,Torian,,,1,D,1,Rep,HD-052,13007353,111179,,Luke_Torian,282969,0
894,"Charniele Herring",Charniele,L.,Herring,,,1,D,1,Rep,HD-046,5761539,110912,,Charniele_Herring,275445,0
1465,"Delores McQuinn",Delores,L.,McQuinn,,,1,D,1,Rep,HD-070,6498305,79252,,Delores_McQuinn,276165,0
1469,"Barry Knight",Barry,D.,Knight,,,2,R,1,Rep,HD-081,5822124,110911,,Barry_Knight,273794,0
1472,"Patrick Hope",Patrick,A.,Hope,,,1,D,1,Rep,HD-047,6498271,111176,,Patrick_Hope,282967,0
1477,"Scott Surovell",Scott,A.,Surovell,,,1,D,2,Sen,SD-036,5740451,115805,,Scott_Surovell,282953,0
1478,"Betsy Carr",Betsy,B.,Carr,,,1,D,1,Rep,HD-069,6065415,111181,,Betsy_Carr,283103,0
