bill_id,date,chamber,sequence,action
1885882,2024-01-05,House,1,"Prefiled and ordered printed; offered 01/10/24 24101112D"
1885882,2024-01-05,House,2,"Referred to Committee on Counties, Cities and Towns"
1885882,2024-01-24,House,3,"Assigned CC & T sub: Subcommittee #3"
1885882,2024-02-08,House,4,"Subcommittee recommends reporting with amendments (6-Y 1-N)"
1885882,2024-02-09,House,5,"Reported from Counties, Cities and Towns with amendment(s) (13-Y 8-N)"
1885882,2024-02-11,House,6,"Read first time"
1885882,2024-02-12,House,7,"Read second time"
1885882,2024-02-12,House,8,"Committee amendments agreed to"
1885882,2024-02-12,House,9,"Engrossed by House as amended HB338E"
1885882,2024-02-12,House,10,"Printed as engrossed 24101112D-E"
1885882,2024-02-13,House,11,"Read third time and passed House (55-Y 42-N 1-A)"
1885882,2024-02-13,House,12,"VOTE: Passage (55-Y 42-N 1-A)"
1885882,2024-02-14,Senate,13,"Constitutional reading dispensed (on 1st reading)"
1885882,2024-02-14,Senate,14,"Referred to Committee on General Laws and Technology"
1885882,2024-02-28,Senate,15,"Continued to 2025 in General Laws and Technology (9-Y 3-N 3-A)"
1885882,2024-11-19,Senate,16,"Left in General Laws and Technology"
1885883,2024-01-01,House,1,"Prefiled and ordered printed; offered 01/10/24 24101755D"
1885883,2024-01-01,House,2,"Referred to Committee on Finance"
1885883,2024-01-21,House,3,"Impact statement from TAX (HB116)"
1885883,2024-02-02,House,4,"Assigned Finance sub: Subcommittee #2"
1885883,2024-02-06,House,5,"House subcommittee amendments and substitutes offered"
1885883,2024-02-06,House,6,"Subcommittee recommends continuing to 2025 with amendment(s) (Voice Vote)"
1885883,2024-02-07,House,7,"Continued to 2025 with amendment(s) in Finance (Voice Vote)"
1885883,2024-11-18,House,8,"Left in Finance"
1885884,2024-01-09,House,1,"Prefiled and ordered printed; offered 01/10/24 24102759D"
1885884,2024-01-09,House,2,"Referred to Committee on Communications, Technology and Innovation"
1885884,2024-01-26,House,3,"Assigned CT & I sub: Technology and Innovation"
1885884,2024-01-31,House,4,"Subcommittee recommends reporting with substitute (8-Y 1-N)"
1885884,2024-02-05,House,5,"Reported from Communications, Technology and Innovation with substitute (14-Y 6-N)"
1885884,2024-02-05,House,6,"Committee substitute printed 24106751D-H1"
1885884,2024-02-05,House,7,"Incorporates HB1037 (Bloxom)"
1885884,2024-02-07,House,8,"Read first time"
1885884,2024-02-08,House,9,"Read second time"
1885884,2024-02-08,House,10,"Committee substitute agreed to 24106751D-H1"
1885884,2024-02-08,House,11,"Engrossed by House - committee substitute HB775H1"
1885884,2024-02-09,House,12,"Read third time and passed House (66-Y 27-N)"
1885884,2024-02-09,House,13,"VOTE: Passage (66-Y 27-N)"
1885884,2024-02-12,Senate,14,"Constitutional reading dispensed (on 1st reading)"
1885884,2024-02-12,Senate,15,"Referred to Committee on Transportation"
1885884,2024-02-19,House,16,"Impact statement from DPB (HB775H1)"
1885884,2024-02-26,Senate,17,"Rereferred from Transportation (15-Y 0-N)"
1885884,2024-02-26,Senate,18,"Rereferred to Courts of Justice"
1885884,2024-02-28,Senate,19,"Continued to 2025 in Courts of Justice (12-Y 0-N)"
1885884,2024-11-19,Senate,20,"Left in Courts of Justice"
1885885,2024-01-09,House,1,"Prefiled and ordered printed; offered 01/10/24 24103356D"
1885885,2024-01-09,House,2,"Referred to Committee on Health and Human Services"
1885885,2024-01-17,House,3,"Assigned sub: Social Services"
1885885,2024-01-29,House,4,"Impact statement from DPB (HB620)"
1885885,2024-02-01,House,5,"Subcommittee recommends continuing to 2025 (Voice Vote)"
1885885,2024-02-06,House,6,"Continued to 2025 in Health and Human Services (Voice Vote)"
1885885,2024-11-18,House,7,"Left in Health and Human Services"
1885886,2024-01-09,House,1,"Prefiled and ordered printed; offered 01/10/24 24104556D"
1885886,2024-01-09,House,2,"Referred to Committee on Finance"
1885886,2024-02-02,House,3,"Assigned Finance sub: Subcommittee #3"
1885886,2024-02-03,House,4,"Impact statement from TAX (HB889)"
1885886,2024-02-05,House,5,"Subcommittee recommends continuing to 2025 (Voice Vote)"
1885886,2024-02-07,House,6,"Continued to 2025 in Finance (Voice Vote)"
1885886,2024-11-18,House,7,"Left in Finance"
1885887,2024-01-05,House,1,"Prefiled and ordered printed; offered 01/10/24 24100939D"
1885887,2024-01-05,House,2,"Referred to Committee on Privileges and Elections"
1885887,2024-01-15,House,3,"Impact statement from DPB (HB276)"
1885887,2024-01-16,House,4,"Assigned P & E sub: Campaign Finance"
1885887,2024-01-24,House,5,"Subcommittee recommends reporting (5-Y 3-N)"
1885887,2024-01-25,House,6,"House committee, floor amendments and substitutes offered"
1885887,2024-01-26,House,7,"Continued to 2025 in Privileges and Elections (Voice Vote)"
1885887,2024-11-18,House,8,"Left in Privileges and Elections"
1885888,2024-01-18,Senate,1,"Presented and ordered printed 24105719D"
1885888,2024-01-18,Senate,2,"Referred to Committee on Commerce and Labor"
1885888,2024-01-29,Senate,3,"Impact statement from SCC (SB688)"
1885888,2024-02-05,Senate,4,"Continued to 2025 in Commerce and Labor (10-Y 5-N)"
1885888,2024-11-18,Senate,5,"Left in Commerce and Labor"
1885889,2024-01-09,Senate,1,"Prefiled and ordered printed; offered 01/10/24 24104716D"
1885889,2024-01-09,Senate,2,"Referred to Committee on Education and Health"
1885889,2024-01-12,Senate,3,"Assigned Education and Health Sub: Higher Education"
1885889,2024-01-18,Senate,4,"Reported from Education and Health (15-Y 0-N)"
1885889,2024-01-18,Senate,5,"Rereferred to Finance and Appropriations"
