bill_id,people_id,position
1885882,13739,6
1885882,19453,7
1885882,21445,2
1885882,24971,1
1885882,24988,4
1885882,24998,5
1885882,25019,3
1885883,16261,1
1885884,894,1
1885884,16226,2
1885884,18551,3
1885884,24377,4
1885885,17806,1
1885886,759,1
1885887,21445,1
1885888,17821,1
1885889,19453,1
1885890,24982,1
1885891,783,1
1885892,21407,1
1885892,24982,2
1885893,16061,12
1885893,19454,7
1885893,21409,14
1885893,21444,13
1885893,23031,9
1885893,23033,3
1885893,23034,4
1885893,23037,11
1885893,24972,10
1885893,24975,1
1885893,24977,6
1885893,24979,5
1885893,24980,8
1885893,24986,2
1885894,21410,1
1885896,21451,1
1885897,673,9
1885897,683,52
1885897,712,54
1885897,748,1
1885897,756,48
1885897,759,49
1885897,894,22
1885897,1465,33
1885897,1472,23
1885897,1478,11
1885897,13732,29
1885897,13742,53
1885897,16061,43
1885897,16093,36
1885897,16261,46
1885897,17727,51
1885897,17728,26
1885897,17806,35
1885897,18551,19
1885897,19445,15
1885897,19454,13
1885897,19471,38
1885897,19508,47
1885897,21409,50
1885897,21444,44
1885897,21445,20
1885897,21446,39
1885897,21450,7
1885897,22416,34
1885897,23031,30
1885897,23032,41
1885897,23033,8
1885897,23034,12
1885897,23037,42
1885897,23040,18
1885897,24377,40
1885897,24970,37
1885897,24971,5
1885897,24972,31
1885897,24973,16
1885897,24974,24
1885897,24975,21
1885897,24976,32
1885897,24977,3
1885897,24978,10
1885897,24979,2
1885897,24980,4
1885897,24983,55
1885897,24986,6
1885897,24987,14
1885897,24988,27
1885897,24989,28
1885897,25008,17
1885897,25009,25
1885897,26302,45
1885898,794,1
1885899,24977,1
1885900,23029,1
1885900,24981,2
1885901,783,1
1885902,21407,2
1885902,24981,1
1885903,23029,1
1885904,712,1
1885904,17733,2
1885905,19473,1
1885905,24981,3
1885905,25001,2
1885906,17806,1
1885908,21444,6
1885908,21449,2
1885908,23034,3
1885908,24377,5
1885908,24980,4
1885908,24987,1
1885909,13783,1
1885911,23029,1
1885912,17821,1
1885913,23034,2
1885913,24988,1
1885913,25009,3
1885914,16261,1
1885915,17733,1
1885916,683,9
